Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
Rv0238	1.0		Input		Rv0238	886691.0	O53661	RVBD_0238	transcriptional regulator	M14	O53661	['GO:0003700', 'GO:0000976']	True	False	False	False
etfB		1.0	Output		etfB	887670.0	P9WNG7	fixA,RVBD_3029c	electron transfer flavoprotein subunit beta	M14	P9WNG7	['GO:0009055']	False	False	False	False
Rv3030		0.9392211191177433	Output		Rv3030	888604.0	P9WJZ1	RVBD_3030	S-adenosylmethionine-dependent methyltransferase	M14	P9WJZ1	['GO:0008168', 'GO:0008757']	False	False	False	False
fabG		1.0	Output		fabG	887697.0	O53547	RVBD_3502c	short-chain type dehydrogenase/reductase	M14	O53547	['GO:0003857', 'GO:0004300']	False	False	False	False
fadA2		1.0	Output		fadA2	886682.0	O86361	RVBD_0243	acetyl-CoA acetyltransferase FadA	M14	O86361	['GO:0016747']	False	False	False	False
fadE24		1.0	Output		fadE24	887971.0	P95187	RVBD_3139	acyl-CoA dehydrogenase FadE24	M14	P95187	['GO:0003995', 'GO:0050660']	False	False	False	False
Rv3830c	1.0	1.0	Middle	1.0	Rv3830c	886158.0	P96248	RVBD_3830c	TetR family transcriptional regulator	Global regulator	P96248	['GO:0003677', 'GO:0003700']	True	False	False	False
Rv0302	1.0	1.0	Middle	1.0	Rv0302	886584.0	O07229	RVBD_0302	transcriptional regulator	Global regulator	O07229	['GO:0003700', 'GO:0000976']	True	False	False	False
embA		1.0	Output		embA	886123.0	P9WNL9	RVBD_3794	arabinosyltransferase A	Basal machinery	P9WNL9	['GO:0052636']	False	False	False	False
Rv0807		1.0	Output		Rv0807	885272.0	I6Y8U3	RVBD_0807	hypothetical protein	Basal machinery	I6Y8U3	[]	False	False	False	False
Rv0093c		1.0	Output		Rv0093c	886945.0	P9WM69	RVBD_0093c	membrane protein	Basal machinery	P9WM69	[]	False	False	False	False
gmdA		1.0	Output		gmdA	886529.0	P71790	RVBD_1511,gmd	GDP-D-mannose dehydratase GmdA	Basal machinery	P71790	['GO:0008446', 'GO:0070401']	False	False	False	False
ceoB		1.0	Output		ceoB	887250.0	I6XF25	RVBD_2691	TRK system potassium uptake protein CeoB	Basal machinery	I6XF25	['GO:0005267']	False	False	False	False
kstR	1.0	1.0	Middle	1.0	kstR	887204.0	P96856	RVBD_3574	HTH-type transcriptional regulator KstR	Global regulator	P96856	['GO:0003677', 'GO:0003700', 'GO:0042803', 'GO:0000976']	True	False	False	False
hsaE		1.0	Output		hsaE	888406.0	I6XHH5	RVBD_3536c	hydratase	Basal machinery	I6XHH5	['GO:0008684']	False	False	False	False
Rv1204c		0.7364179255276743	Output		Rv1204c	887552.0	O05305	RVBD_1204c	hypothetical protein	Basal machinery	O05305	[]	False	False	False	False
Rv3631		1.0	Output		Rv3631	885314.0	O06376	RVBD_3631	transferase	Basal machinery	O06376	['GO:0016740']	False	False	False	False
hsaA		1.0	Output		hsaA	887241.0	P9WJA1	RVBD_3570c	flavin-dependent monooxygenase oxygenase subunit HsaA	M17	P9WJA1	['GO:0036383', 'GO:0003995', 'GO:0050660', 'GO:0016712']	False	False	False	False
Rv1894c		1.0	Output		Rv1894c	885081.0	O07738	RVBD_1894c	hypothetical protein	Basal machinery	O07738	['GO:0018580', 'GO:0016491']	False	False	False	False
trmI		1.0	Output		trmI	887374.0	P9WFZ1	RVBD_2118c	tRNA (adenine(58)-N(1))-methyltransferase	Basal machinery	P9WFZ1	['GO:0160107']	False	False	False	False
pimE		1.0	Output		pimE	885899.0	P9WN01	RVBD_1159	polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase	M1.7	P9WN01	['GO:0004377', 'GO:0043750']	False	False	False	False
echA19		1.0	Output		echA19	888301.0	O53561	RVBD_3516	enoyl-CoA hydratase EchA19	Basal machinery	O53561	['GO:0016829']	False	False	False	False
fadD19		1.0	Output		fadD19	888275.0	P9WQ51	RVBD_3515c	long-chain-fatty-acid--CoA ligase FadD19	Basal machinery	P9WQ51	['GO:0005524', 'GO:0102391', 'GO:0004467']	False	False	False	False
hemB		1.0	Output		hemB	887312.0	P9WMP5	RVBD_0512	delta-aminolevulinic acid dehydratase	Basal machinery	P9WMP5	['GO:0004655', 'GO:0008270']	False	False	False	False
Rv3528c		1.0	Output		Rv3528c	888297.0	I6YGE4	RVBD_3528c	hypothetical protein	Basal machinery	I6YGE4	[]	False	False	False	False
Rv0687		1.0	Output		Rv0687	888279.0	P9WGS7	RVBD_0687	NAD-dependent oxidoreductase	Basal machinery	P9WGS7	['GO:0016491']	False	False	False	False
kshA		1.0	Output		kshA	888268.0	P71875	RVBD_3526	3-ketosteroid-9-alpha-hydroxylase oxygenase subunit	Basal machinery	P71875	['GO:0051537', 'GO:0036200', 'GO:0005506', 'GO:0047086']	False	False	False	False
kstD		1.0	Output		kstD	888422.0	P71864	RVBD_3537	3-oxosteroid 1-dehydrogenase	Basal machinery	P71864	['GO:0047571']	False	False	False	False
Rv0940c		1.0	Output		Rv0940c	885412.0	P9WKP1	RVBD_0940c	oxidoreductase	Basal machinery	P9WKP1	['GO:0016705']	False	False	False	False
