Node	AbsOutCoh	AbsInCoh	NodeLevel	Network	FracInCoh	FracOutCoh	Diff_InOutCoh	TotCoh
SCO1489	8.288287286741062	0.7357588823429572	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.08153314694506268	0.9184668530549374	-0.8369337061098747	9.024046169084018
SCO2817	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
SCO3323	1.0	0.8800453161743982	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.4680979275356801	0.53190207246432	-0.0638041449286399	1.8800453161743982
sigH	4.0	0.8800453161743982	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.1803354803402297	0.8196645196597703	-0.6393290393195405	4.880045316174398
SCO2792	2.0	0.8800453161743982	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.3055664823161095	0.6944335176838905	-0.388867035367781	2.880045316174398
whiG	2.0	0.8800453161743982	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.3055664823161095	0.6944335176838905	-0.388867035367781	2.880045316174398
SCO7337	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
SCOt24	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
ftsZ	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
sti1	0.0	0.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	0.8800453161743982
SCO4596	11.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.08333333333333333	0.9166666666666666	-0.8333333333333333	12.0
bfr	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO3328	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO6809	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO6992	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO0736	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
actII-4	5.0	12.358285491504411	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.7119531187312752	0.2880468812687248	0.4239062374625504	17.35828549150441
SCO2964	1.0	1.0	Middle	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.5	0.5	0.0	2.0
SCO3063	15.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	15.0
SCO2833	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2014	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6222	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO3139	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO1147	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5393	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4883	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6748	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO6280	0.0	1.8800453161743982	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.8800453161743982
SCO5405	4.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	4.0
SCO7681	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO7682	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO2183	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2371	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
afsQ1	25.0	0.0	Input	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	0.0	1.0	-1.0	25.0
SCO6276	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO6275	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO2978	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO2529	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO2210	0.0	8.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	8.117440990028916
whiD	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO4908	0.0	1.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	1.0
SCO5881	0.0	8.759097258127245	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	8.759097258127245
SCO4142	0.0	2.0	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	2.0
SCO5583	0.0	7.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	7.117440990028916
SCO4768	0.0	3.1174409900289164	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	3.1174409900289164
ureA	0.0	7.117440990028916	Output	100226_v2019_sA22-DBSCR15_eStrong_regNetwork_Strong	1.0	0.0	1.0	7.117440990028916
