imodulon_k,imodulon_name,threshold
0,Phage Shock,0.074523734
1,Magnesium,0.054747682
2,Tyr-Trp-Phe,0.084492222
3,Maltose,0.041280427
4,UC-1,0.070667452
5,Microaerobic,0.090847862
6,Cysteine-1,0.041729897
7,Curli,0.107607841
8,Xylose,0.067509359
9,cydB-appC KO,0.118843984
10,Glycolate,0.136409285
11,Lysine-T2SS,0.067013674
12,ykgR,0.337576968
13,Thiamine,0.056342317
14,Cra,0.068397604
15,Methionine,0.093689575
16,ytiC,0.171470126
17,FucR-AllR-AraC,0.063345951
18,DNA Damage,0.069371935
19,Molybdenum,0.077928179
20,Nitrate-Nitrite,0.079324141
21,BasR,0.055570548
22,GadXW,0.039767868
23,minicoli KOs-1,0.082794875
24,IS1,0.113794832
25,Rhamnose,0.160149264
26,Dipeptide,0.084364826
27,ROS TALE Del-1,0.105049674
28,Cytochrome c,0.098518835
29,Pyrimidine,0.066637982
30,Membrane,0.084353572
31,Phosphotransferase,0.116531617
32,GlcNAc,0.089298754
33,Tryptophanase,0.22375103
34,ROS TALE Del-2,0.093405589
35,crp KO,0.080818789
36,Fnr-1,0.080144718
37,Cytochrome bo3,0.158397174
38,Arginine,0.046238148
39,Fimbriae,0.138006608
40,PaaX,0.07776231
41,FlhDC-2,0.041674678
42,Fnr-3,0.070960227
43,Cytochrome bd-I,0.153306183
44,Phosphate-1,0.099853527
45,Leucine,0.094297574
46,Sorbitol,0.086824383
47,UC-K12-1,0.090892296
48,SSW SNPs,0.034592042
49,UC-4,0.036890337
50,Salicylic Acid,0.08059861
51,Osmoprotectant,0.100641313
52,Zinc-1,0.029356542
53,entC-ubiC KO,0.134310589
54,Glutamine,0.135444752
55,Glyoxylate,0.200286448
56,Glycerol,0.04112084
57,N Reduction,0.069416427
58,Copper,0.04710061
59,Lactate,0.193392387
60,Nucleotide Stress,0.063927274
61,Sialic Acid,0.097420679
62,Acetate,0.154132049
63,ROS TALE Amp,0.106838328
64,UC-K12-2,0.051214184
65,BW25113,0.075362088
66,UC-K12-3,0.059703606
67,Fur-2,0.063163499
68,FliA,0.037291783
69,Ile-Val,0.100361087
70,Gluconate,0.158886905
71,ldrC,0.133365078
72,Galactose,0.112460391
73,RpoH,0.038990753
74,Thr-Ser,0.120410288
75,UC-K12-4,0.098911936
76,Fermentation,0.105120952
77,Suf System,0.106407692
78,Histidine,0.158547131
79,FlhDC-1,0.063414195
80,lacI,0.342723104
81,CsrA,0.048503384
82,UC-K12-5,0.048162267
83,PDH,0.108368414
84,UC-K12-6,0.099382494
85,Cellulose,0.050362061
86,Glutarate,0.150863491
87,Phosphate-2,0.062578756
88,CPZ-55,0.143701945
89,pts KO,0.111392102
90,Crp-1,0.046594363
91,NrdR,0.122068697
92,YmfT,0.06726127
93,Pyruvate-1,0.067668402
94,baeR KO,0.106497976
95,Succinate,0.069195816
96,Translation,0.050715405
97,OxyR,0.056091551
98,Quorum Sensing,0.181963682
99,Halicin,0.08780774
100,Exuronate,0.121931865
101,Cold Shock,0.095504339
102,ppGpp,0.047727483
103,Nucleoside,0.109664125
104,LPS,0.070864719
105,NtrC-2,0.065969048
106,Formaldehyde,0.186218294
107,Biotin,0.116721245
108,YgbI,0.124559729
109,YieP,0.087510082
110,Efflux Pump,0.244626818
111,Glycine Betaine,0.146627496
112,Sugar Diacid,0.070409297
113,RpoS,0.03276928
114,Ferric Citrate,0.184461064
115,UC-K12-7,0.069610547
116,Putrescine,0.065422011
117,Lrp,0.07500288
118,Sulfoquinovose,0.140443406
119,minicoli KOs-3,0.077496692
120,Fatty Acid,0.110017083
121,NO Stress,0.084441083
122,ArcA,0.059003077
123,FDH,0.125409819
124,NtrC-3,0.058782548
125,Purine,0.053617474
126,CP4-44,0.063910861
127,Cysteine-2,0.1142611
128,FDH-N_NRA,0.089509906
129,UC-K12-8,0.108730753
130,NtrC-1,0.06999474
131,Tryptophan,0.074357309
132,e14 Del,0.083936119
133,NDH-1,0.089922884
134,Isc System,0.116768567
135,pgi KO,0.202170509
136,FHL,0.08574106
137,UC-K12-9,0.090863599
138,Glycine,0.133663993
139,yjjZ,0.106394558
140,SoxS,0.034202897
141,Acid Shock RNA,0.102277417
142,UC-K12-10,0.09447759
143,Zinc-2,0.311346688
144,RpoE,0.080992773
145,Empty,0.119714671
146,Biofilm,0.220795173
147,NAD,0.187633413
148,EvgA,0.07911469
149,Fnr-2,0.049906062
150,gcvB,0.044936838
151,PAL 26 Del,0.077913727
152,TMAO,0.186799556
153,Lactose,0.217711051
154,Sulfate,0.05351673
155,Potassium,0.137496458
156,Nickel-Cobalt,0.188510973
157,Nitrogen,0.082294614
158,Lysine,0.101502095
159,Nickel,0.076291502
160,Ribose,0.150994768
161,Single Reads,0.064944005
162,Fur-1,0.048074635
163,UC-K12-11,0.085008429
164,Flagella,0.091651799
165,Capsule,0.031572127
166,CpxR,0.054997923
167,yzfA,0.106698402
168,Oxidoreductase,0.107695102
169,Propionate,0.191458483
170,Qin Prophage-1,0.109362891
171,UC-K12-12,0.074348071
172,YgeV,0.076339216
173,UC-2,0.048195412
174,Qin-Rac,0.105967032
175,Pyruvate-2,0.421689346
176,Crp-2,0.057803094
177,DhaR,0.085530815
178,IS Elements,0.06101053
179,UC-K12-13,0.162680406
180,UC-K12-14,0.089686341
181,Citrate Lyase,0.087237142
182,IS5,0.115849849
183,Qin Prophage-2,0.117770637
184,UC-K12-15,0.080307543
185,SoxR-ECA,0.06628296
186,UC-K12-16,0.066785583
187,Leu-Val-Ile,0.103762792
188,minicoli KOs-2,0.051290687
189,Qin Prophage-3,0.174481756
190,Resistance,0.046773582
191,Alanine,0.115375821
192,Tartrate,0.143712907
193,UC-K12-17,0.111099965
