gname,log2FoldChange,pvalue
thrL,-0.195403648,0.847936109
thrA,1.821267147,4.24854E-22
thrB,1.866501654,2.88099E-20
thrC,1.855315385,1.16947E-19
yaaX,1.420425003,0.001398888
yaaA,-0.029783052,0.908109293
yaaJ,-0.370139319,0.101382295
talB,0.001738214,0.993217909
mog,0.213984734,0.388664212
satP,0.034889262,0.879251156
yaaW,-0.53219931,0.307694713
yaaI,0.465180604,0.604250191
dnaK,-0.882847961,1.86822E-05
dnaJ,-0.969920314,2.56621E-07
insL1,-0.390100408,0.059348437
mokC,-1.088242899,0.046088677
sokC,-0.370611529,0.710981107
nhaA,-1.973528113,0.006385421
nhaR,-0.894652822,2.57487E-05
insB1,-0.213138242,0.629061727
insA1,-0.289159151,0.621651757
rpsT,-1.009053728,4.34657E-05
yaaY,0.362529681,0.330428621
ribF,-0.953222912,5.84872E-06
ileS,-0.490396411,0.012873798
lspA,-1.153720744,3.15635E-05
fkpB,-0.147651737,0.647970083
ispH,-0.502380699,0.020442152
rihC,1.065339601,6.38737E-07
dapB,-0.184346013,0.373354125
carA,0.813491077,0.04323272
carB,0.240155169,0.338691741
caiF,1.202064595,3.81352E-06
caiE,0.361102873,0.466322008
caiD,0.279343915,0.549966682
caiC,-0.0474388,0.888760274
caiB,0.602553734,0.058346675
caiA,0.262656381,0.361883701
caiT,0.336855875,0.59544851
fixA,0.536005204,0.491146332
fixB,-0.106059037,0.879768661
fixC,-0.313786625,0.507162907
yaaU,-0.501437739,0.345599495
kefF,0.116234776,0.657391438
kefC,-0.395648486,0.073208454
folA,-0.282335456,0.202441182
apaH,0.049618255,0.801641662
apaG,0.141377084,0.503160996
rsmA,0.006172124,0.975577664
pdxA,-0.015712708,0.937873549
surA,-0.10623511,0.610257659
lptD,-0.037748223,0.852122834
djlA,-0.339355152,0.1663895
yabP,0.695356755,0.135061387
yabQ,1.314346042,0.000303582
rluA,-0.509392098,0.021348801
rapA,-0.419377734,0.059179475
polB,-0.653511178,0.001117858
araD,1.038761342,0.007167697
araA,0.352154564,0.114487956
araB,0.355646208,0.139776898
araC,0.252312381,0.208134116
yabI,-0.252752203,0.277040134
thiQ,0.554170718,0.074383164
thiP,-0.496024235,0.166552694
thiB,0.725653471,0.032358581
sroA,0.862659352,0.277823716
sgrR,0.511854653,0.02353497
setA,-0.402109099,0.219462713
leuD,0.389795824,0.123513864
leuC,0.282950772,0.237233051
leuB,0.062026775,0.818765156
leuA,0.21362266,0.466122639
leuO,0.568534167,0.214420546
ilvI,0.06325899,0.807659804
ilvH,0.526654187,0.125224622
cra,0.518467803,0.020465368
mraZ,-0.310817493,0.125824064
rsmH,-0.1497802,0.445574824
ftsL,0.153532503,0.508075095
ftsI,0.059040893,0.76619054
murE,0.001290519,0.994665105
murF,0.384563353,0.058371501
mraY,-0.289615217,0.239848649
murD,-0.067511514,0.725301547
ftsW,-0.05271462,0.80448606
murG,-0.114138395,0.595609862
murC,0.144242718,0.452128305
ddlB,-0.111261068,0.588375701
ftsQ,-0.191672025,0.346949467
ftsA,-0.196063656,0.343258359
ftsZ,0.199293373,0.298659996
lpxC,-0.104471677,0.585661175
secM,0.129905383,0.523032663
secA,0.248959519,0.222557094
mutT,0.77225317,0.08741457
yacG,0.323565485,0.23167995
zapD,0.378875391,0.129925926
coaE,-0.145711639,0.601361048
guaC,0.088713394,0.669768388
hofC,-0.118399962,0.721113901
hofB,0.349975558,0.224752585
ppdD,0.248401849,0.782060707
nadC,-0.194159951,0.380693431
ampD,0.41559438,0.070423391
ampE,-0.371057992,0.19292089
aroP,0.256009151,0.278113633
pdhR,0.449596221,0.086800441
aceE,0.513591002,0.024313852
aceF,0.189071774,0.32875634
lpd,0.787131427,3.0713E-05
yacH,-0.232898573,0.407481703
acnB,0.902573801,2.74467E-06
yacL,0.590330686,0.011188875
speD,0.553000607,0.029472631
speE,0.393340198,0.072212003
yacC,-0.615365761,0.050663597
cueO,-0.383431486,0.071822356
gcd,0.362574196,0.074268673
hpt,-0.496280802,0.032080594
can,0.106670817,0.623887417
yadG,0.723093164,0.001498986
yadH,-0.287799128,0.305796209
yadI,0.193757304,0.435175069
yadE,0.290362256,0.232084032
panD,-0.214124627,0.316462549
rpnC,-0.195946695,0.659265797
panC,0.166075452,0.389749058
panB,-0.183455133,0.411471191
yadC,3.664251457,0.024807233
yadL,0.637552065,0.442113719
htrE,0.045463725,0.951800576
folK,-0.416674333,0.356534784
pcnB,-0.456460972,0.033187006
gluQ,-0.298239821,0.330387836
dksA,-0.691666627,0.000345941
sfsA,0.012050646,0.961159504
thpR,0.706615011,0.012229469
hrpB,-0.365711075,0.069343902
mrcB,-0.420193804,0.039025948
fhuA,-0.287698248,0.194048513
