PreSplitGroup,Group,Node
1,1,SCO0034
1,1,SCO0736
1,1,SCO1147
1,1,SCO1196
1,1,SCO1276
1,1,SCO1394
1,1,SCO1402
1,1,SCO1403
1,1,SCO1541
1,1,SCO1906
1,1,SCO2014
1,1,SCO2068
1,1,SCO2103
1,1,SCO2286
1,1,SCO2373
1,1,SCO2532
1,1,SCO2652
1,1,SCO2699
1,1,SCO2700
1,1,SCO2792
1,1,SCO2817
1,1,SCO2833
1,1,SCO2878
1,1,SCO2978
1,1,SCO3013
1,1,SCO3063
1,1,SCO3139
1,1,SCO3217
1,1,SCO3323
1,1,SCO3328
1,1,SCO3790
1,1,SCO3867
1,1,SCO3925
1,1,SCO3926
1,1,SCO4118
1,1,SCO4142
1,1,SCO4230
1,1,SCO4596
1,1,SCO4768
1,1,SCO4878
1,1,SCO4908
1,1,SCO5071
1,1,SCO5072
1,1,SCO5087
1,1,SCO5552
1,1,SCO5819
1,1,SCO6029
1,1,SCO6266
1,1,SCO6275
1,1,SCO6276
1,1,SCO6312
1,1,SCO6324
1,1,SCO6974
1,1,SCO6992
1,1,SCO7337
1,1,SCOr14
1,1,SCOt24
1,1,actII-2
1,1,actII-4
1,1,actIII
1,1,afsQ1
1,1,bfr
1,1,dagA
1,1,ftsZ
1,1,gap
1,1,hrdB
1,1,hrdD
1,1,leuC
1,1,mca
1,1,mshA
1,1,redD
1,1,rrnD
1,1,sigE
1,1,sigH
1,1,sigR
1,1,sti1
1,1,trxA
1,1,trxB
1,1,tuf3
1,1,whiB
1,1,whiG
2,2,SCO0255
2,2,SCO0888
2,2,SCO1346
2,2,SCO2404
2,2,SCO3225
2,2,SCO3229
2,2,SCO3230
2,2,SCO3249
2,2,SCO4683
2,2,SCO5423
2,2,SCO5545
2,2,SCO6071
2,2,SCO6286
2,2,SCO6323
2,2,SCO7162
2,2,SCO7163
2,2,SCO7164
2,2,SCO7165
2,2,SCO7166
2,2,SCO7167
2,2,SCO7623
2,2,arsI
2,2,ectA
2,2,leuA
2,2,lon
2,2,murC
2,2,rsrA
2,2,serS
2,2,sigI
2,2,ureA
2,2,valS
3,3,SCO2210
3,3,SCO2473
3,3,SCO2486
3,3,SCO2958
3,3,SCO2959
3,3,SCO5583
3,3,SCO5881
3,3,glnA
3,3,glnR
4,4,SCO0607
4,4,SCO1700
4,4,SCO2120
4,4,SCO4011
4,4,SCO4225
4,4,SCO4924
4,4,SCO6728
4,4,SCO7460
4,4,SCO7613
1,5,SCO1178
1,5,SCO1697
1,5,SCO1909
1,5,SCO2478
1,5,ecaA
1,5,ecaD1
5,6,SCO5774
5,6,SCO5775
5,6,SCO5776
5,6,SCO5777
5,6,SCO5778
6,7,SCO5032
6,7,SCO5033
6,7,ahpD
2,8,SCO4425
2,8,afsR
2,8,argR
7,9,SCO0186
7,9,SCO0191
7,9,SCO0194
8,10,SCO4075
8,10,SCO6681
8,10,SCO6685
1,11,SCO5321
1,11,sigF
9,12,SCO2386
9,12,SCO2387
10,13,SCO3288
10,13,SCO3291
11,14,SCO6194
11,14,SCO6195
12,15,SCO0712
12,15,lipA
13,16,SCO1489
14,17,SCO3361
15,18,sigB
16,19,SCO6265
17,20,SCO3133
18,21,SCO2928
19,22,rex
20,23,hspR
21,24,SCO3129
22,25,SCO7168
23,26,SCO3201
24,27,nsrR
25,28,SCO2935
26,29,SCO6294
27,30,SCO5206
28,31,furA
2,32,SCO6809
29,33,SCO2964
2,34,SCO6222
2,35,SCO5393
2,36,SCO4883
2,37,SCO6748
2,38,SCO6280
1,39,SCO5405
2,40,SCO7681
2,41,SCO7682
2,42,SCO2183
2,43,SCO2371
3,44,SCO2529
2,45,whiD
1,46,dmdR1
2,47,SCO2782
30,48,SCO3362
31,49,amfC
1,50,SCO0666
32,51,SCO1568
1,52,SCO1347
1,53,rpsD
1,54,SCO6272
1,55,SCO6271
1,56,SCO2616
1,57,SCO3616
1,58,SCO3615
3,59,SCO4947
3,60,SCO4921
1,61,SCO3224
3,62,SCO3868
1,63,SCO6282
1,64,SCO5544
1,65,rpsL
1,66,SCO1571
3,67,SCO6268
1,68,SCO6288
1,69,SCO1698
3,70,SCO2907
1,71,argH
1,72,SCO4503
1,73,SCO4677
3,74,afsK
1,75,SCO2879
2,76,SCO3226
33,77,mdh
34,78,SCO5999
35,79,aceB
36,80,SCO7000
37,81,tam
38,82,hpd
1,83,SCO1678
2,84,SCO1679
39,85,dnaJ1
40,86,dnaK
41,87,grpE
1,88,pyrR
3,89,SCO5896
1,90,carB
1,91,argC
1,92,argG
2,93,SCO0204
42,94,SCO0200
1,95,SCO5320
1,96,SCO1135
2,97,SCO1134
2,98,SCO1133
2,99,SCO1132
1,100,SCO2987
2,101,SCO2986
2,102,dasR
1,103,SCO2758
1,104,nagB
1,105,ptsI
1,106,ptsH
1,107,SCO1390
1,108,SCO2905
1,109,SCO2906
43,110,SCO3128
44,111,SCO3130
1,112,SCO4229
2,113,SCO3081
2,114,SCO5584
2,115,glnD
2,116,rpoZ
2,117,SCO4261
2,118,SCO1430
2,119,SCO2262
2,120,hrdA
2,121,SCO6008
2,122,SCO5082
1,123,actII-3
45,124,SCO5260
2,125,SCO6256
46,126,SCO7428
47,127,SCO7094
48,128,SCO6289
49,129,SCO6295
50,130,SCO5281
51,131,SCO5912
1,132,SCO6459
2,133,SCO6460
2,134,SCO6978
2,135,SCO6979
2,136,rsbA
52,137,SCO0379
1,138,SCO2508
2,139,SCO0475
2,140,rpmF2
2,141,SCO7676
2,142,SCO2505
2,143,rpmB2
53,144,katG
1,145,SCO4180
2,146,SCO6451
