PreSplitGroup,Group,Node
1,1,RegX3
1,1,SpiA-WhcA
1,1,SpiE-WhcE
1,1,WhcD-WhiA
1,1,aceA
1,1,aceE
1,1,aceF
1,1,ackA
1,1,acn
1,1,acpS
1,1,acyP
1,1,adhA
1,1,adk
1,1,aftA
1,1,aftB
1,1,aftC
1,1,ahcY
1,1,ahpD
1,1,alaS
1,1,ald
1,1,alr
1,1,amt
1,1,apt
1,1,arc
1,1,argB
1,1,argC
1,1,argD
1,1,argF
1,1,argG
1,1,argH
1,1,argJ
1,1,argS
1,1,arnA1
1,1,arnA2
1,1,arnR
1,1,aroA
1,1,aroC
1,1,aroG
1,1,aroP
1,1,aroQ
1,1,asd
1,1,asgR
1,1,aspA
1,1,aspS
1,1,atpA
1,1,atpC
1,1,atpD
1,1,atpE
1,1,atpF
1,1,atpG
1,1,atpH
1,1,bca
1,1,benR
1,1,betP
1,1,bioA
1,1,bioB
1,1,bioD
1,1,birA
1,1,brnE
1,1,brnF
1,1,brnQ
1,1,butA
1,1,carA
1,1,carB
1,1,ccsB
1,1,cg0004
1,1,cg0006
1,1,cg0007
1,1,cg0008
1,1,cg0010
1,1,cg0015
1,1,cg0016
1,1,cg0018
1,1,cg0019
1,1,cg0021
1,1,cg0038
1,1,cg0039
1,1,cg0041
1,1,cg0042
1,1,cg0043
1,1,cg0044
1,1,cg0045
1,1,cg0046
1,1,cg0047
1,1,cg0048
1,1,cg0064
1,1,cg0066
1,1,cg0067
1,1,cg0075
1,1,cg0081
1,1,cg0082
1,1,cg0083
1,1,cg0085
1,1,cg0087
1,1,cg0088
1,1,cg0091
1,1,cg0092
1,1,cg0096
1,1,cg0104
1,1,cg0107
1,1,cg0108
1,1,cg0109
1,1,cg0121
1,1,cg0122
1,1,cg0123
1,1,cg0124
1,1,cg0128
1,1,cg0129
1,1,cg0131
1,1,cg0133
1,1,cg0134
1,1,cg0135
1,1,cg0136
1,1,cg0138
1,1,cg0139
1,1,cg0141
1,1,cg0142
1,1,cg0143
1,1,cg0144
1,1,cg0147
1,1,cg0152
1,1,cg0153
1,1,cg0154
1,1,cg0155
1,1,cg0160
1,1,cg0161
1,1,cg0162
1,1,cg0163
1,1,cg0165
1,1,cg0166
1,1,cg0167
1,1,cg0168
1,1,cg0171
1,1,cg0173
1,1,cg0175
1,1,cg0176
1,1,cg0177
1,1,cg0178
1,1,cg0180
1,1,cg0184
1,1,cg0185
1,1,cg0186
1,1,cg0187
1,1,cg0188
1,1,cg0191
1,1,cg0192
1,1,cg0193
1,1,cg0194
1,1,cg0195
1,1,cg0197
1,1,cg0198
1,1,cg0199
1,1,cg0201
1,1,cg0202
1,1,cg0203
1,1,cg0205
1,1,cg0208
1,1,cg0209
1,1,cg0211
1,1,cg0214
1,1,cg0215
1,1,cg0218
1,1,cg0219
1,1,cg0221
1,1,cg0222
1,1,cg0233
1,1,cg0235
1,1,cg0237
1,1,cg0238
1,1,cg0239
1,1,cg0240
1,1,cg0241
1,1,cg0242
1,1,cg0243
1,1,cg0244
1,1,cg0245
1,1,cg0246
1,1,cg0247
1,1,cg0249
1,1,cg0250
1,1,cg0251
1,1,cg0253
1,1,cg0254
1,1,cg0259
1,1,cg0263
1,1,cg0264
1,1,cg0272
1,1,cg0273
1,1,cg0275
1,1,cg0277
1,1,cg0279
1,1,cg0280
1,1,cg0281
1,1,cg0282
1,1,cg0283
1,1,cg0284
1,1,cg0285
1,1,cg0286
1,1,cg0293
1,1,cg0294
1,1,cg0295
1,1,cg0296
1,1,cg0297
1,1,cg0300
1,1,cg0302
1,1,cg0304
1,1,cg0308
1,1,cg0310
1,1,cg0316
1,1,cg0326
1,1,cg0327
1,1,cg0334
1,1,cg0335
1,1,cg0336
1,1,cg0338
1,1,cg0339
1,1,cg0349
1,1,cg0352
1,1,cg0353
1,1,cg0354
1,1,cg0355
1,1,cg0356
1,1,cg0359
1,1,cg0360
1,1,cg0370
1,1,cg0373
1,1,cg0374
1,1,cg0375
1,1,cg0376
1,1,cg0378
1,1,cg0380
1,1,cg0382
1,1,cg0384
1,1,cg0387
1,1,cg0388
1,1,cg0389
1,1,cg0390
1,1,cg0391
1,1,cg0394
1,1,cg0395
1,1,cg0396
1,1,cg0397
1,1,cg0399
1,1,cg0400
1,1,cg0401
1,1,cg0402
1,1,cg0403
1,1,cg0405
1,1,cg0407
1,1,cg0409
1,1,cg0410
1,1,cg0411
1,1,cg0414
1,1,cg0415
1,1,cg0416
1,1,cg0417
1,1,cg0418
1,1,cg0419
1,1,cg0420
1,1,cg0424
1,1,cg0427
1,1,cg0431
1,1,cg0432
1,1,cg0435
1,1,cg0436
1,1,cg0438
1,1,cg0439
1,1,cg0442
1,1,cg0443
1,1,cg0446
1,1,cg0447
1,1,cg0448
1,1,cg0450
1,1,cg0451
1,1,cg0452
1,1,cg0453
1,1,cg0457
1,1,cg0461
1,1,cg0464
1,1,cg0466
1,1,cg0467
1,1,cg0468
1,1,cg0472
1,1,cg0475
1,1,cg0477
1,1,cg0480
1,1,cg0486
1,1,cg0487
1,1,cg0489
1,1,cg0491
1,1,cg0492
1,1,cg0493
1,1,cg0494
1,1,cg0495
1,1,cg0496
1,1,cg0499
1,1,cg0501
1,1,cg0502
1,1,cg0505
1,1,cg0510
1,1,cg0511
1,1,cg0512
1,1,cg0513
1,1,cg0514
1,1,cg0515
1,1,cg0517
1,1,cg0519
1,1,cg0520
1,1,cg0522
1,1,cg0523
1,1,cg0528
1,1,cg0530
1,1,cg0531
1,1,cg0532
1,1,cg0536
1,1,cg0538
1,1,cg0545
1,1,cg0548
1,1,cg0549
1,1,cg0550
1,1,cg0551
1,1,cg0552
1,1,cg0553
1,1,cg0555
1,1,cg0557
1,1,cg0559
1,1,cg0561
1,1,cg0562
1,1,cg0570
1,1,cg0575
1,1,cg0578
1,1,cg0579
1,1,cg0580
1,1,cg0588
1,1,cg0591
1,1,cg0607
1,1,cg0612
1,1,cg0618
1,1,cg0625
1,1,cg0646
1,1,cg0650
1,1,cg0658
1,1,cg0660
1,1,cg0662
1,1,cg0663
1,1,cg0664
1,1,cg0676
1,1,cg0678
1,1,cg0679
1,1,cg0680
1,1,cg0682
1,1,cg0683
1,1,cg0684
1,1,cg0685
1,1,cg0686
1,1,cg0689
1,1,cg0691
1,1,cg0697
1,1,cg0698
1,1,cg0699
1,1,cg0700
1,1,cg0702
1,1,cg0704
1,1,cg0706
1,1,cg0707
1,1,cg0710
1,1,cg0711
1,1,cg0713
1,1,cg0714
1,1,cg0715
1,1,cg0716
1,1,cg0723
1,1,cg0727
1,1,cg0728
1,1,cg0730
1,1,cg0739
1,1,cg0740
1,1,cg0747
1,1,cg0748
1,1,cg0749
1,1,cg0751
1,1,cg0752
1,1,cg0753
1,1,cg0756
1,1,cg0757
1,1,cg0764
1,1,cg0765
1,1,cg0767
1,1,cg0768
1,1,cg0769
1,1,cg0770
1,1,cg0772
1,1,cg0773
1,1,cg0774
1,1,cg0775
1,1,cg0778
1,1,cg0780
1,1,cg0781
1,1,cg0782
1,1,cg0783
1,1,cg0787
1,1,cg0788
1,1,cg0789
1,1,cg0790
1,1,cg0791
1,1,cg0792
1,1,cg0793
1,1,cg0794
1,1,cg0795
1,1,cg0806
1,1,cg0807
1,1,cg0811
1,1,cg0815
1,1,cg0816
1,1,cg0819
1,1,cg0820
1,1,cg0821
1,1,cg0822
1,1,cg0823
1,1,cg0826
1,1,cg0828
1,1,cg0829
1,1,cg0830
1,1,cg0833
1,1,cg0834
1,1,cg0835
1,1,cg0839
1,1,cg0840
1,1,cg0841
1,1,cg0845
1,1,cg0848
1,1,cg0849
1,1,cg0852
1,1,cg0853
1,1,cg0854
1,1,cg0855
1,1,cg0856
1,1,cg0858
1,1,cg0859
1,1,cg0861
1,1,cg0866
1,1,cg0867
1,1,cg0870
1,1,cg0871
1,1,cg0874
1,1,cg0877
1,1,cg0879
1,1,cg0881
1,1,cg0882
1,1,cg0883
1,1,cg0884
1,1,cg0885
1,1,cg0886
1,1,cg0887
1,1,cg0888
1,1,cg0889
1,1,cg0892
1,1,cg0893
1,1,cg0895
1,1,cg0896
1,1,cg0901
1,1,cg0905
1,1,cg0906
1,1,cg0907
1,1,cg0908
1,1,cg0909
1,1,cg0911
1,1,cg0914
1,1,cg0915
1,1,cg0918
1,1,cg0921
1,1,cg0922
1,1,cg0923
1,1,cg0924
1,1,cg0926
1,1,cg0927
1,1,cg0928
1,1,cg0931
1,1,cg0933
1,1,cg0935
1,1,cg0938
1,1,cg0939
1,1,cg0940
1,1,cg0941
1,1,cg0944
1,1,cg0945
1,1,cg0947
1,1,cg0948
