PreSplitGroup,Group,Node
1,1,PA0007
1,1,PA0038
1,1,PA0107
1,1,PA0172
1,1,PA0440
1,1,PA0472
1,1,PA0494
1,1,PA0525
1,1,PA0526
1,1,PA0572
1,1,PA0714.1
1,1,PA0845
1,1,PA0938
1,1,PA1088
1,1,PA1131
1,1,PA1195
1,1,PA1196
1,1,PA1199
1,1,PA1202
1,1,PA1203
1,1,PA1204
1,1,PA1205
1,1,PA1253
1,1,PA1340
1,1,PA1657
1,1,PA1658
1,1,PA1664
1,1,PA1668
1,1,PA1680
1,1,PA1738
1,1,PA1785
1,1,PA1786
1,1,PA1913
1,1,PA1939
1,1,PA1941
1,1,PA2005
1,1,PA2079
1,1,PA2082
1,1,PA2228
1,1,PA2449
1,1,PA2462
1,1,PA2567
1,1,PA2588
1,1,PA2657
1,1,PA2661
1,1,PA2780
1,1,PA2867
1,1,PA2958.1
1,1,PA3019
1,1,PA3106
1,1,PA3234
1,1,PA3235
1,1,PA3331
1,1,PA3332
1,1,PA3342
1,1,PA3343
1,1,PA3345
1,1,PA3347
1,1,PA3353
1,1,PA3367
1,1,PA3401
1,1,PA3413
1,1,PA3514
1,1,PA3565
1,1,PA3670
1,1,PA3691
1,1,PA3722
1,1,PA3749
1,1,PA3900
1,1,PA3907
1,1,PA3925
1,1,PA3951
1,1,PA4222
1,1,PA4324
1,1,PA4677
1,1,PA4683
1,1,PA4726.11
1,1,PA4772
1,1,PA4894
1,1,PA4908
1,1,PA4980
1,1,PA5138
1,1,PA5167
1,1,PA5216
1,1,PA5290
1,1,PA5324
1,1,PA5423
1,1,PA5518
1,1,PA5530
1,1,accA
1,1,acpP1
1,1,acpP2
1,1,adcA
1,1,agmR
1,1,amtB
1,1,aotJ
1,1,aotM
1,1,aotP
1,1,aotQ
1,1,aprA
1,1,aprD
1,1,aprE
1,1,aprF
1,1,aprX
1,1,argG
1,1,azu
1,1,bexR
1,1,bfiS
1,1,bifA
1,1,bphO
1,1,bphP
1,1,cafA
1,1,cbpD
1,1,cbrB
1,1,ccoN1
1,1,ccoN2
1,1,ccoO1
1,1,ccoO2
1,1,ccoP1
1,1,ccoP2
1,1,ccoQ1
1,1,ccoQ2
1,1,cioA
1,1,cioB
1,1,clpP2
1,1,coIII
1,1,cobS
1,1,coxA
1,1,coxB
1,1,ctpL
1,1,cyoA
1,1,cyoB
1,1,cyoC
1,1,cyoD
1,1,cyoE2
1,1,cysG
1,1,eraR
1,1,eraS
1,1,eta
1,1,exaA
1,1,exaB
1,1,exaC
1,1,fabH
1,1,fagA
1,1,fleR
1,1,fleS
1,1,flgE
1,1,flgG
1,1,flhA
1,1,flhB
1,1,fliC
1,1,fliD
1,1,fliE
1,1,fliF
1,1,fliG
1,1,fliI
1,1,fliJ
1,1,fliL
1,1,fliM
1,1,fliN
1,1,fliO
1,1,fliP
1,1,fliQ
1,1,fliR
1,1,flp
1,1,foxA
1,1,foxI
