PreSplitGroup,Group,Node
1,1,BSU07735
1,1,BSU16845
1,1,BSU19810
1,1,BSU21670
1,1,BSU23329
1,1,BSU23330
1,1,BSU26390
1,1,BSU26559
1,1,BSU35239
1,1,BSU35609
1,1,BSU35699
1,1,BSU_29679
1,1,BSU_CDS_3119273
1,1,BSU_misc_RNA_2
1,1,BSU_misc_RNA_55
1,1,BSU_misc_RNA_67
1,1,BSU_misc_RNA_72
1,1,BSU_misc_RNA_82
1,1,BSU_misc_RNA_92
1,1,BSU_rRNA_19
1,1,BSU_rRNA_20
1,1,BSU_rRNA_21
1,1,G8J2-20
1,1,abf2
1,1,abfA
1,1,abn2
1,1,abnA
1,1,accA
1,1,accC2
1,1,accD
1,1,acdA
1,1,ackA
1,1,acoA
1,1,acoB
1,1,acoC
1,1,acoL
1,1,acoR
1,1,acpA
1,1,acpK
1,1,acsA
1,1,acuA
1,1,acuB
1,1,acuC
1,1,adaA
1,1,adaB
1,1,addA
1,1,addB
1,1,adeR
1,1,adhA
1,1,adhB
1,1,adhR
1,1,adk
1,1,ahpC
1,1,ahpF
1,1,albA
1,1,albB
1,1,albC
1,1,albD
1,1,albE
1,1,albF
1,1,albG
1,1,ald
1,1,aldY
1,1,alkA
1,1,allB
1,1,alr2
1,1,alsD
1,1,alsR
1,1,alsS
1,1,amhX
1,1,amyC
1,1,amyD
1,1,amyE
1,1,amyX
1,1,ansA
1,1,ansB
1,1,ansZ
1,1,antE
1,1,aprE
1,1,aprX
1,1,araA
1,1,araB
1,1,araD
1,1,araE
1,1,araL
1,1,araN
1,1,araP
1,1,araQ
1,1,arfM
1,1,argB
1,1,argC
1,1,argD
1,1,argF
1,1,argJ
1,1,arsB
1,1,arsC
1,1,asd
1,1,asnH
1,1,asnO
1,1,azoR2
1,1,azr
1,1,bacA
1,1,bacB
1,1,bacC
1,1,bacD
1,1,bacE
1,1,bcrC
1,1,bdbC
1,1,bdbD
1,1,bglH
1,1,bglP
1,1,bglS
1,1,birA
1,1,blt
1,1,bltD
1,1,bltR
1,1,bmr
1,1,bmrA
1,1,bmrR
1,1,bmrU
1,1,bofA
1,1,bofC
1,1,bpr
1,1,braB
1,1,bshA
1,1,bshB1
1,1,bshB2
1,1,bsn
1,1,bsrG
1,1,cadA
1,1,capA
1,1,capB
1,1,capC
1,1,carA
1,1,carB
1,1,catD
1,1,catE
1,1,cca
1,1,cccA
1,1,ccdA
1,1,ccdB
1,1,ccdC
1,1,ccpB
1,1,cdd
1,1,cgeA
1,1,cgeB
1,1,cgeC
1,1,cgeD
1,1,cgeE
1,1,chaA
1,1,cheA
1,1,cheB
1,1,cheC
1,1,cheD
1,1,cheV
1,1,cheW
1,1,cheY
1,1,cidA
1,1,cisA
1,1,citA
1,1,citM
1,1,citN
1,1,citT
1,1,citZ
1,1,clpC
1,1,clpE
1,1,clpP
1,1,clpQ
1,1,clpX
1,1,clpY
1,1,coaE
1,1,coaX
1,1,comA
1,1,comB
1,1,comC
1,1,comEA
1,1,comEB
1,1,comEC
1,1,comFA
1,1,comFB
1,1,comFC
1,1,comGA
1,1,comGB
1,1,comGC
1,1,comGD
1,1,comGE
1,1,comGF
1,1,comGG
1,1,comK
1,1,comN
1,1,comP
1,1,comQ
1,1,comS
1,1,comX
1,1,comZ
1,1,copA
1,1,copZ
1,1,corA
1,1,cotB
1,1,cotE
1,1,cotF
1,1,cotG
1,1,cotH
1,1,cotI
1,1,cotJA
1,1,cotJB
1,1,cotJC
1,1,cotM
1,1,cotO
1,1,cotR
1,1,cotS
1,1,cotSA
1,1,cotT
1,1,cotV
1,1,cotW
1,1,cotX
1,1,cotY
1,1,cotZ
1,1,coxA
1,1,crh
1,1,csbA
1,1,csbB
1,1,csbC
1,1,csbD
1,1,csbX
1,1,cse15
1,1,cse60
1,1,csfB
1,1,csgA
1,1,csk22
1,1,cspB
1,1,cspR
1,1,csrA
1,1,cssR
1,1,cssS
1,1,cstA
1,1,ctaA
1,1,ctc
1,1,ctpB
1,1,cwlC
1,1,cwlD
1,1,cwlH
1,1,cwlJ
1,1,cwlO
1,1,cycB
1,1,cydA
1,1,cydB
1,1,cydC
1,1,cydD
1,1,cypC
1,1,cypE
1,1,cysC
1,1,cysE
1,1,cysH
1,1,cysI
1,1,cysJ
1,1,cysK
1,1,cysP
1,1,cysS
1,1,dacB
1,1,dacC
1,1,dacF
1,1,dapA
1,1,dapB
1,1,dapG
1,1,dctA
1,1,dctB
1,1,ddl
1,1,defA
1,1,degQ
1,1,degR
1,1,degS
1,1,deoC
1,1,des
1,1,desR
1,1,dhbA
1,1,dhbB
1,1,dhbC
1,1,dhbE
1,1,dhbF
1,1,dinB
1,1,dinB2
1,1,disA
1,1,divIB
1,1,divIC
1,1,dltA
1,1,dltB
1,1,dltC
1,1,dltD
1,1,dltE
1,1,dnaA
1,1,dnaE
1,1,dnaG
1,1,dnaJ
1,1,dnaK
1,1,dnaN
1,1,dpaA
1,1,dpaB
1,1,dppA
1,1,dppB
1,1,dppC
1,1,dppD
1,1,dppE
1,1,dps
1,1,drm
1,1,dus1
1,1,efeM
1,1,efeN
1,1,efeU
1,1,eglS
1,1,egsA
1,1,engB
1,1,eno
1,1,epr
1,1,epsC
1,1,epsD
1,1,epsE
1,1,epsF
1,1,epsG
1,1,epsH
1,1,epsI
1,1,epsJ
1,1,epsK
1,1,epsL
1,1,epsM
1,1,epsN
1,1,epsO
1,1,era
1,1,est
1,1,etfA
1,1,etfB
1,1,exoA
1,1,expZ
1,1,exuT
1,1,ezrA
1,1,fabD
1,1,fabG
1,1,fabL
1,1,fadA
1,1,fadB
1,1,fadE
1,1,fadF
1,1,fadM
1,1,fadN
1,1,fbp
1,1,feuA
1,1,feuB
1,1,feuC
1,1,ffh
1,1,flgB
1,1,flgC
1,1,flgG
1,1,flgK
1,1,flgL
1,1,flgM
1,1,flhA
1,1,flhB
1,1,flhF
1,1,flhO
1,1,flhP
1,1,fliD
1,1,fliE
1,1,fliF
1,1,fliG
1,1,fliH
1,1,fliI
1,1,fliJ
1,1,fliK
1,1,fliL
1,1,fliM
1,1,fliP
1,1,fliQ
1,1,fliR
1,1,fliS
1,1,fliT
1,1,fliW
1,1,fliY
1,1,fliZ
1,1,fmt
1,1,fnr
1,1,folB
1,1,folC
1,1,folE
1,1,folE2
1,1,folK
1,1,frlB
1,1,frlD
1,1,ftsA
1,1,ftsH
1,1,ftsW
1,1,ftsY
1,1,ftsZ
1,1,fumC
1,1,gabD
1,1,gabP
1,1,gabT
1,1,galE
1,1,galM
1,1,gamA
1,1,gamP
1,1,ganA
1,1,ganB
1,1,ganP
1,1,ganQ
1,1,gapA
1,1,gapB
1,1,gbsA
1,1,gbsB
1,1,gdh
1,1,gerAA
1,1,gerAB
1,1,gerAC
1,1,gerBA
1,1,gerBB
1,1,gerBC
1,1,gerD
1,1,gerKA
1,1,gerKB
1,1,gerKC
1,1,gerM
1,1,gerQ
1,1,ggaA
1,1,ggaB
1,1,glcP
1,1,glcT
1,1,glcU
1,1,glgA
1,1,glgB
1,1,glgC
1,1,glgD
1,1,glgP
1,1,glmM
1,1,glmS
1,1,glmU
1,1,glnA
1,1,glnH
1,1,glnL
1,1,glnM
1,1,glnP
1,1,glnQ
1,1,glnT
1,1,glpD
1,1,glpP
1,1,glpQ
1,1,glpT
1,1,glsA1
1,1,gltA
1,1,gltB
1,1,gltX
1,1,glvA
1,1,glvR
1,1,glxK
1,1,glyA
1,1,gmk
1,1,gmuA
1,1,gmuB
1,1,gmuC
1,1,gmuD
1,1,gmuE
1,1,gmuF
1,1,gmuG
