PreSplitGroup,Group,Node
1,1,CRP-Sxy
1,1,GadE-RcsB
1,1,aaeA
1,1,aaeB
1,1,aaeX
1,1,accA
1,1,accC
1,1,accD
1,1,aceA
1,1,aceB
1,1,aceE
1,1,aceF
1,1,aceK
1,1,acnA
1,1,acnB
1,1,acpP
1,1,acpS
1,1,acrA
1,1,acrB
1,1,acrD
1,1,acrZ
1,1,acs
1,1,actP
1,1,ada
1,1,add
1,1,adhE
1,1,adiC
1,1,agaA
1,1,agaB
1,1,agaC
1,1,agaD
1,1,agaI
1,1,agaS
1,1,agaV
1,1,agaW
1,1,agp
1,1,ahpC
1,1,ahpF
1,1,alaE
1,1,aldA
1,1,alkA
1,1,alkB
1,1,allB
1,1,alsA
1,1,alsB
1,1,alsC
1,1,alsE
1,1,amiA
1,1,amiB
1,1,ampC
1,1,ampG
1,1,ansB
1,1,apaG
1,1,apaH
1,1,apt
1,1,araA
1,1,araB
1,1,araD
1,1,arfA
1,1,argB
1,1,argC
1,1,argD
1,1,argE
1,1,argF
1,1,argH
1,1,argI
1,1,argO
1,1,argS
1,1,aroA
1,1,aroB
1,1,aroD
1,1,aroF
1,1,aroG
1,1,aroH
1,1,aroK
1,1,aroP
1,1,arsB
1,1,arsC
1,1,artI
1,1,artJ
1,1,artM
1,1,artP
1,1,artQ
1,1,ascB
1,1,ascF
1,1,aslB
1,1,asnA
1,1,aspA
1,1,asr
1,1,astA
1,1,astB
1,1,astC
1,1,astD
1,1,astE
1,1,atoA
1,1,atoB
1,1,atoC
1,1,atoD
1,1,atoE
1,1,atpA
1,1,atpB
1,1,atpC
1,1,atpD
1,1,atpE
1,1,atpF
1,1,atpG
1,1,atpH
1,1,atpI
1,1,azoR
1,1,azuC
1,1,b0216
1,1,b0244
1,1,b0536
1,1,b0664
1,1,b0665
1,1,b0666
1,1,b0668
1,1,b0670
1,1,b0672
1,1,b0673
1,1,b0743
1,1,b0744
1,1,b0745
1,1,b0883
1,1,b0971
1,1,b1032
1,1,b1230
1,1,b1231
1,1,b1665
1,1,b1666
1,1,b2083
1,1,b2189
1,1,b2348
1,1,b2396
1,1,b2397
1,1,b2401
1,1,b2402
1,1,b2403
1,1,b2404
1,1,b2621
1,1,b2814
1,1,b2815
1,1,b2816
1,1,b2864
1,1,b2967
1,1,b3171
1,1,b3174
1,1,b3545
1,1,b3796
1,1,b3797
1,1,b3798
1,1,b3799
1,1,b3976
1,1,b3977
1,1,b3978
1,1,b3979
1,1,b4134
1,1,b4270
