PreSplitGroup,Group,Node
1,1,PE15
1,1,PE35
1,1,PE_PGRS39
1,1,PPE56
1,1,Rv0029
1,1,Rv0030
1,1,Rv0044c
1,1,Rv0047c
1,1,Rv0076c
1,1,Rv0077c
1,1,Rv0078A
1,1,Rv0081
1,1,Rv0161
1,1,Rv0188
1,1,Rv0194
1,1,Rv0195
1,1,Rv0213c
1,1,Rv0257
1,1,Rv0268c
1,1,Rv0269c
1,1,Rv0273c
1,1,Rv0293c
1,1,Rv0309
1,1,Rv0331
1,1,Rv0339c
1,1,Rv0426c
1,1,Rv0430
1,1,Rv0458
1,1,Rv0474
1,1,Rv0493c
1,1,Rv0576
1,1,Rv0579
1,1,Rv0634c
1,1,Rv0654
1,1,Rv0681
1,1,Rv0687
1,1,Rv0730
1,1,Rv0744c
1,1,Rv0759c
1,1,Rv0837c
1,1,Rv0849
1,1,Rv0854
1,1,Rv0940c
1,1,Rv0941c
1,1,Rv0950c
1,1,Rv0953c
1,1,Rv0963c
1,1,Rv0996
1,1,Rv1048c
1,1,Rv1116
1,1,Rv1128c
1,1,Rv1190
1,1,Rv1192
1,1,Rv1204c
1,1,Rv1265
1,1,Rv1320c
1,1,Rv1425
1,1,Rv1532c
1,1,Rv1533
1,1,Rv1628c
1,1,Rv1687c
1,1,Rv1688
1,1,Rv1728c
1,1,Rv1754c
1,1,Rv1760
1,1,Rv1812c
1,1,Rv1830
1,1,Rv1875
1,1,Rv1894c
1,1,Rv1895
1,1,Rv1913
1,1,Rv1920
1,1,Rv1936
1,1,Rv1945
1,1,Rv1975
1,1,Rv1985c
1,1,Rv1990c
1,1,Rv2077A
1,1,Rv2078
1,1,Rv2100
1,1,Rv2132
1,1,Rv2250c
1,1,Rv2288
1,1,Rv2300c
1,1,Rv2302
1,1,Rv2307A
1,1,Rv2307c
1,1,Rv2323c
1,1,Rv2387
1,1,Rv2409c
1,1,Rv2452c
1,1,Rv2466c
1,1,Rv2515c
1,1,Rv2516c
1,1,Rv2517c
1,1,Rv2525c
1,1,Rv2556c
1,1,Rv2633c
1,1,Rv2638
1,1,Rv2666
1,1,Rv2700
1,1,Rv2707
1,1,Rv2712c
1,1,Rv2729c
1,1,Rv2798c
1,1,Rv2799
1,1,Rv2827c
1,1,Rv2884
1,1,Rv2952
1,1,Rv3023c
1,1,Rv3055
1,1,Rv3058c
1,1,Rv3076
1,1,Rv3142c
1,1,Rv3172c
1,1,Rv3221c
1,1,Rv3237c
1,1,Rv3269
