Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
IS466A-ORF	SCO3469	1098906	Q9R2U5	SCP1.276,SCO3490		Basal machinery
IS468B-ORF	SCO0098	1095524	Q7DJE7	SCO3466,SCO3467,SCO3539,SCO0567,IS468A-ORF,SCO6910		Basal machinery
IS469-ORF	SCO3468	1098905	Q9R2U8			Basal machinery
IS470-ORF	SCO3470	1098907	Q9R319			Basal machinery
ORF7	SCO5093	1100534	Q9X9V2			Basal machinery
SC3A4.21c	SCO7095	1102533	Q9KZ37			Basal machinery
SCO0003	SCO0003	1095446	Q9FBV4	SCO7844		Basal machinery
SCO0005	SCO0005	1095444	Q9FBV6	SCO7842		Basal machinery
SCO0007	SCO0007	1095442	Q9S1Y7	SCO7840		Basal machinery
SCO0009	SCO0009	1095441	Q9S1Y5	SCO7838		Basal machinery
SCO0010	SCO0010	1095439	Q9S1Y4	SCO7837		Basal machinery
SCO0011	SCO0011	1095438	Q9S1Y3	SCO7836		Basal machinery
SCO0013	SCO0013	1095453	Q9S1Y0	SCO7834		Basal machinery
SCO0014	SCO0014	1095449	Q9S1X9	SCO7833		Basal machinery
SCO0018	SCO0018	1095454	Q9S1X5	SCO7829		Basal machinery
SCO0020	SCO0020	1095437	Q8CK71			Basal machinery
SCO0021	SCO0021	1095456	Q9S1X1			Basal machinery
SCO0022	SCO0022	1095457	Q8R5N1			Basal machinery
SCO0028	SCO0028	1095461	Q9S1W4			Basal machinery
SCO0033	SCO0033	1095466	Q9S1V9			Basal machinery
SCO0034	SCO0034	1095467	Q9S1V8		hypothetical protein	Basal machinery
SCO0037	SCO0037	1095470	Q9S1V5			Basal machinery
SCO0038	SCO0038	1095471	Q9S1V4			Basal machinery
SCO0039	SCO0039	1095472	Q9S1V3			Basal machinery
SCO0040	SCO0040	1095473	Q9S1V2			Basal machinery
SCO0041	SCO0041	1095474	Q9S1V1			Basal machinery
SCO0042	SCO0042	1095475	Q9S1V0			Basal machinery
SCO0043	SCO0043	1095476	Q9S1U9			Basal machinery
SCO0045	SCO0045	1095478	Q9S1U7			Basal machinery
SCO0050	SCO0050	1095483	Q9S1U2			Basal machinery
SCO0053	SCO0053	1095485				Basal machinery
SCO0055	SCO0055	1095486	Q9S1T7			Basal machinery
SCO0056	SCO0056	1095487	Q9S1T6			Basal machinery
SCO0058	SCO0058	1095489	Q9S1T4			Basal machinery
SCO0064	SCO0064	1095495	Q9S1S8			Basal machinery
SCO0065	SCO0065	1095496	Q9S1S7			Basal machinery
SCO0069	SCO0069	1095500	Q9S1S3			Basal machinery
SCO0070	SCO0070	1095501	Q9S1S2			Basal machinery
SCO0072	SCO0072	1095503	Q8CK70			M16.1
SCO0073	SCO0073	1095504	Q9RIA2			Basal machinery
SCO0076	SCO0076	1095507				Basal machinery
SCO0079	SCO0079	1095508	Q9RI96			Basal machinery
SCO0080	SCO0080	1095509	Q9RI95			Basal machinery
SCO0084	SCO0084	1095512	Q9RI91			Basal machinery
SCO0086	SCO0086	1095514	Q9RI89			Basal machinery
SCO0088	SCO0088	1095516	Q9RI87			Basal machinery
SCO0089	SCO0089	1095517	Q9RI86			Basal machinery
SCO0090	SCO0090	1095518	Q9RI85			Basal machinery
SCO0091	SCO0091	1095519	O86758	SCO5641		Basal machinery
SCO0096	SCO0096	1095522	Q9RI80			Basal machinery
SCO0097	SCO0097	1095523	Q9RI79			Basal machinery
SCO0099	SCO0099	1095525				Basal machinery
SCO0100	SCO0100					Basal machinery
SCO0101	SCO0101	1095526	Q9RI76			Basal machinery
SCO0102	SCO0102	1095527	Q9RI75			Basal machinery
SCO0103	SCO0103	1095528	Q9RI74			Basal machinery
SCO0104	SCO0104	1095529	Q9RI73			Basal machinery
SCO0106	SCO0106	1095531	Q9RI71			Basal machinery
SCO0107	SCO0107	1095532	Q9RI70			Basal machinery
SCO0108	SCO0108	1095533	Q9RI69			Basal machinery
SCO0109	SCO0109	1095534	Q9RI68			Basal machinery
SCO0110	SCO0110	1095535	Q9RI67			Basal machinery
