Module_ID	GO_ID	GO_desc	q-value
M1	GO:0035435	phosphate ion transmembrane transport	0.00143020594966
M14	GO:0006014	D-ribose metabolic process	0.00114176105225
M18	GO:0046685	response to arsenic-containing substance	0.0000105667998845
M2	GO:0000917	barrier septum assembly	0.00168322171948
M2	GO:0006355	regulation of transcription, DNA-templated	0.00927295668988
M2	GO:0043093	FtsZ-dependent cytokinesis	0.00168322171948
M21	GO:0009102	biotin biosynthetic process	0.00000352587427579
M23.1	GO:0006096	glycolytic process	0.00586611456177
M23.1	GO:0006099	tricarboxylic acid cycle	0.00196694963314
M23.1	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00107333770007
M23.1	GO:0006865	amino acid transport	0.000597228858098
M23.1	GO:0043419	urea catabolic process	0.00645234992469
M23.13	GO:0006817	phosphate ion transport	0.025705052879
M23.14	GO:0000162	tryptophan biosynthetic process	0.000000539964307996
M23.2	GO:0006457	protein folding	0.0011990474835
M23.2	GO:0009408	response to heat	0.0028982686547
M23.20	GO:0009712	catechol-containing compound metabolic process	0.0475219979296
M23.3	GO:0016226	iron-sulfur cluster assembly	0.000129399585921
M23.4	GO:0006351	transcription, DNA-templated	0.019692595476
M23.5	GO:0006526	arginine biosynthetic process	0.0000000000200123570971
M24	GO:0005975	carbohydrate metabolic process	0.019692595476
M24	GO:0019262	N-acetylneuraminate catabolic process	0.000597228858098
M26	GO:0006281	DNA repair	0.000000000574215112052
M26	GO:0006310	DNA recombination	0.00000356021061377
M26	GO:0009432	SOS response	0.00000144385127332
M26	GO:0042823	pyridoxal phosphate biosynthetic process	0.00586611456177
M26	GO:0045892	negative regulation of transcription, DNA-templated	0.0444455788914
M28	GO:0007155	cell adhesion	0.000129399585921
M28	GO:0030001	metal ion transport	0.000597228858098
M30	GO:0006810	transport	0.00284679089027
M32	GO:0009435	NAD biosynthetic process	0.000924282756581
M33	GO:0019619	protocatechuate catabolic process	0.00114176105225
M34	GO:0009073	aromatic amino acid family biosynthetic process	0.00168322171948
M34	GO:0009423	chorismate biosynthetic process	0.00168322171948
M36	GO:0044205	'de novo' UMP biosynthetic process	0.0028982686547
M38	GO:0009088	threonine biosynthetic process	0.0028982686547
M4	GO:0009712	catechol-containing compound metabolic process	0.0475219979296
