Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
LolR	cg0196	3342760	Q8NTZ4	NCgl0154	GntR family transcriptional regulator	M10.21
OasR	cg1211	3344044	Q8NRI4	NCgl1019,oasR	MarR family transcriptional regulator	M10.24
RegX3	cg0484	3344669	Q8NTA3	cgtR4,NCgl0392	two component response regulator	Basal machinery
SpiA-WhcA	SpiA-WhcA					M10.2
SpiE-WhcE	SpiE-WhcE					M10.2
WhcD-WhiA	WhcD-WhiA					M17
aceA	cg2560	3345421	P42449	NCgl2248	isocitrate lyase	M10.21
aceE	cg2466	3344029	Q8NNF6	NCgl2167	pyruvate dehydrogenase subunit E1	Basal machinery
aceF	cg2421	3344465	Q8NNJ2	sucB,NCgl2126	dihydrolipoamide acetyltransferase	Basal machinery
ackA	cg3047	3344522	P77845	ack,NCgl2656	acetate kinase	Intermodular
acn	cg1737	3344469	Q8NQ98	NCgl1482	aconitate hydratase	M10.3
acnR	cg1738	3344470	Q8NQ97	NCgl1483	TETR family transcriptional regulator	M10.3
acpS	cg2738	3345350	Q8NMS4	ppt1,NCgl2405	4'-phosphopantetheinyl transferase	Basal machinery
acr3	cg1705	3343303	Q8NQC8	arsB1,NCgl1453,arsC2	arsenite efflux pump ACR3 or related permease	M16
acyP	cg2266	3343100	Q8NNW4	NCgl1987	acylphosphatase	Basal machinery
adhA	cg3107	3345150	Q8NLX9	NCgl2709	Zn-dependent alcohol dehydrogenase	Intermodular
adk	cg0648	3344720	P49973	NCgl0533	adenylate kinase	Basal machinery
aftA	cg0236	3343007	Q8NTW4	NCgl0185	membrane protein	Basal machinery
aftB	cg3187	3342697	Q8NLR0	NCgl2780	hypothetical protein	Basal machinery
aftC	cg2077	3344239	Q8NPB7	NCgl1822	hypothetical protein	Basal machinery
ahcY	cg0860	3343536	Q8NSC4	NCgl0719,sahH	S-adenosyl-L-homocysteine hydrolase	Basal machinery
ahpD	cg2674	3344220	Q8NMX8	NCgl2349	alkylhydroperoxidase	Intermodular
alaS	cg1838	3343630	Q8NQ22	NCgl1570	alanyl-tRNA synthetase	Basal machinery
ald	cg3096	3344651	Q8NLZ0	padA,NCgl2698	aldehyde dehydrogenase	Intermodular
alr	cg0681	3343955	Q8RSU9	NCgl0563	alanine racemase	M10.1
amt	cg1785	3343475	P54146	NCgl1521,amtA	high-affinity ammonia permease	M10.9
amtB	cg2261	3344138	Q79VF1	NCgl1983	low affinity ammonium uptake protein	M10.9
amtR	cg0986	3345060	Q79VH8	NCgl0829	transcription regulator AmtR	M10.9
apt	cg1862	3343472	O87330	NCgl1591	adenine phosphoribosyltransferase	Basal machinery
arc	cg1691	3345077	Q8NQD8	NCgl1440	ATPase AAA+	Basal machinery
argB	cg1582	3344361	Q59281	NCgl1342	acetylglutamate kinase	M10.7
argC	cg1580	3344983	Q59279	NCgl1340	N-acetyl-gamma-glutamyl-phosphate reductase	Intermodular
argD	cg1583	3344455	Q59282	NCgl1343	acetylornithine aminotransferase	M10.7
argF	cg1584	3345366	Q59283	NCgl1344	ornithine carbamoyltransferase	M10.7
argG	cg1586	3342925	O85176	NCgl1346	argininosuccinate synthase	M10.7
argH	cg1588	3342602	O88101	NCgl1347	argininosuccinate lyase	M10.7
argJ	cg1581	3343818	Q59280	NCgl1341	bifunctional ornithine acetyltransferase/N-acetylglutamate synthase	M10.7
argR	cg1585	3344825	O85175	NCgl1345	arginine repressor ArgR	M10.7
argS	cg1333	3343206	P35868	NCgl1132	arginyl-tRNA synthetase	Basal machinery
arnA1	arnA1					Basal machinery
arnA2	arnA2					Basal machinery
arnR	cg1340	3344450	Q8NR72	NCgl1138	hypothetical protein	M10.3
aroA	cg0873	3345010	Q9Z470	NCgl0730	3-phosphoshikimate 1-carboxyvinyltransferase	Basal machinery
aroC	cg1829	3343477	Q9X5D0	NCgl1561	chorismate synthase	Basal machinery
aroG	cg1129	3343015	P35170	aroF,NCgl0950	phospho-2-dehydro-3-deoxyheptonate aldolase	M10.1
aroP	cg1257	3343787	Q46065	NCgl1062	aromatic amino acid transporter	Basal machinery
aroQ	cg0503	3344098	O52377	aroD,NCgl0408	3-dehydroquinate dehydratase	M6
arsB2	cg0318	3342805	Q8NTP4	arsC1,NCgl0258	heavy metal resistance membrane protein	M16
arsB3	cg1661	3343913	Q8NQG5	NCgl1414	arsenite efflux pump ACR3 or related permease	Basal machinery
arsC1	cg1706	3343304	P0DKS5	NCgl1454	low molecular weight phosphotyrosine protein phosphatase	M16
arsC2	cg0319	3343791	P0DKS7	NCgl0259,arsX	arsenate reductase	M16
arsR2	cg0317	3342893	Q8NTP5	NCgl0257	hypothetical protein	M16
asd	cg0307	3345564	P0C1D8	NCgl0248	aspartate-semialdehyde dehydrogenase	Basal machinery
asgR	asgR					Basal machinery
aspA	cg1697	3343809	Q59200	NCgl1446	aspartate ammonia-lyase	Basal machinery
aspS	cg1841	3343486	Q8NQ19	NCgl1573	aspartyl-tRNA synthetase	Basal machinery
atlR	cg0146	3342776	Q8NU36	sucR,NCgl0110,mtlR	DeoR family regulatory protein	Global regulator
atpA	cg1366	3344283	Q79VG7	NCgl1163	ATP synthase F0F1 subunit alpha	Basal machinery
atpC	cg1369	3344159	Q9ETA7	NCgl1166	ATP synthase F0F1 subunit epsilon	M10.5
atpD	cg1368	3344381	P42464	NCgl1165	ATP synthase F0F1 subunit beta	Basal machinery
atpE	cg1363	3343367	H7C6C1	NCgl1160	ATP synthase F0F1 subunit C	Basal machinery
atpF	cg1364	3343872	Q79VG9	NCgl1161	ATP synthase F0F1 subunit B	Basal machinery
atpG	cg1367	3343692	Q79VG6	NCgl1164	ATP synthase F0F1 subunit gamma	Basal machinery
atpH	cg1365	3344206	Q7DIC8	NCgl1162	ATP synthase F0F1 subunit delta	Basal machinery
bca	cg2954	3344915	Q8NMA8	cynT,NCgl2579	carbonic anhydrase	Basal machinery
benB	cg2638	3344701	Q8NN08	NCgl2321	benzoate dioxygenase small subunit	M10.15
benC	cg2639	3344617	Q8NN07	NCgl2322	benzoate 1,2-dioxygenase ferredoxin reductase subunit	M10.15
benK3	cg1225	3343942	Q8NRH3	NCgl1031,pcaK	benzoate transport transmembrane protein	M10.8
benR	cg2461	3344791	Q8NN05	NCgl2324	LuxR family transcriptional regulator	M10.15
betP	cg1016	3342778	P54582	NCgl0856	glycine betaine transporter	M10.30
bioA	cg2885	3342736	P46395	NCgl2515	adenosylmethionine-8-amino-7-oxononanoate aminotransferase	M8
bioB	cg0095	3343513	P46396	NCgl0071	biotin synthase	M8
bioD	cg2886	3344953	P46397	NCgl2516	dithiobiotin synthetase	M8
bioQ	cg2309	3345374	Q8NNT1	NCgl2025	TetR family regulatory protein	M8
birA	cg0814	3343169	Q8NSG6	NCgl0679	biotin--protein ligase	Basal machinery
brnE	cg0315	3344066	Q8NTP7	NCgl0255	branched chain amino acid exporter, small subunit	M1
brnF	cg0314	3342679	Q8NTP8	NCgl0254	branched chain amino acid exporter, large subunit	M1
brnQ	cg2537	3342609	O06754	NCgl2228	branched-chain amino acid uptake carrier	Basal machinery
butA	cg2958	3345609	Q8NMA4	NCgl2582	L-2,3-butanediol dehydrogenase/acetoin reductase	M10.22
carA	cg1814	3343549	P58893	NCgl1548	carbamoyl phosphate synthase small subunit	M10.7
carB	cg1813	3342822	P58939	NCgl1547	carbamoyl phosphate synthase large subunit	M10.7
catA1	cg2636	3344944	Q8NN11	NCgl2319,catA	catechol 1,2-dioxygenase	Intermodular
catA3	cg3385	3345640	Q8NL92	NCgl2951,rhcD2	catechol 1,2-dioxygenase	M32
ccsB	cg0524	3343329	Q8NT68	NCgl0427	cytochrome c assembly membrane protein	Basal machinery
cepA	cg3334	3344433	Q8NLD6	NCgl2903	arabinose efflux permease	Basal machinery
cg0004	cg0004	3344144	Q8NUD6	NCgl0002,dnaN	DNA polymerase III subunit beta	Basal machinery
cg0006	cg0006	3343829	Q8NUD4	NCgl0004	hypothetical protein	Basal machinery
cg0007	cg0007	3342713		gyrB	DNA gyrase subunit B	Basal machinery
cg0008	cg0008	3343291	Q8NUD2	NCgl0006	hypothetical protein	Basal machinery
cg0009	cg0009	3344876	Q8NUD1	NCgl0007	hypothetical protein	M10.3
cg0010	cg0010	3344822	Q8NUD0	NCgl0008	hypothetical protein	Basal machinery
cg0015	cg0015	3343245	Q8NUC6	gyrA,NCgl0012	DNA gyrase subunit A	Basal machinery
cg0016	cg0016	3342775	Q8NUC5	NCgl0013	hypothetical protein	Basal machinery
cg0018	cg0018	3343877	Q6M8W7	NCgl0014	hypothetical protein	M19
cg0019	cg0019	3345524	Q8NUC3	NCgl0015	LysR family transcriptional regulator	M19
cg0021	cg0021	3345362	Q8NUC2	NCgl0016	hypothetical protein	Basal machinery
cg0038	cg0038					Basal machinery
cg0039	cg0039					M10.27
cg0041	cg0041	3343211	Q8NUB2	NCgl0026	solute-binding lipoprotein, signal peptid	M10.3
cg0042	cg0042	3344042	Q8NUB1	NCgl0027	ABC transporter protein membrane protein	M10.3
cg0043	cg0043	3345495	Q8NUB0	NCgl0028	ABC transporter ATP-binding protein	M10.3
cg0044	cg0044	3342757	Q8NUA9	NCgl0029	solute-binding lipoprotein, signal peptide	M10.3
cg0045	cg0045	3343151	Q8NUA8	NCgl0030	ABC transporter membrane protein	M10.3
cg0046	cg0046	3343670	Q8NUA7	NCgl0031	ABC transporter ATP-binding protein	M10.3
cg0047	cg0047					Basal machinery
cg0048	cg0048	3344354		ppiA	peptidyl-prolyl cis-trans isomerase B	Basal machinery
cg0051	cg0051	3343704	Q8NUA3	NCgl0035	transcription regulator protein, AraC typ	M22
cg0052	cg0052					M22
cg0053	cg0053	3343363	Q8NUA1	NCgl0037	IRON-siderophore uptake system ATP-bindin	M22
cg0054	cg0054	3342744	Q8NUA0	NCgl0038	iron-chelator utilization protein	M22
cg0061	cg0061	3344606		rodA	FtsW/RodA/SpoVE family cell cycle protein	Basal machinery
cg0064	cg0064					Basal machinery
cg0066	cg0066	3344161	Q8NU90	NCgl0048	hypothetical protein	Basal machinery
cg0067	cg0067	3344396	Q8NU89	NCgl0049,gabD3	succinate-semialdehyde dehydrogenase (NADP+)	Basal machinery
cg0072	cg0072					M10.4
cg0075	cg0075					Basal machinery
cg0081	cg0081	3343488	Q8NU77	NCgl0061	tautomerase	Basal machinery
cg0082	cg0082					M10.5
cg0083	cg0083	3343628	Q8NU75	NCgl0063	mononucleotide transporter	Basal machinery
cg0085	cg0085	3343580		phoH1	ATPase related to phosphate starvation-inducible protein	M10.14
cg0087	cg0087	3343572	Q8NU73	NCgl0065	transmembrane transport protein	Basal machinery
cg0088	cg0088	3343731		citP	citrate transporter	M15
cg0091	cg0091	3343479	Q8NU69	NCgl0069	D-isomer specific 2-hydroxyacid dehydrogenase	Basal machinery
cg0092	cg0092	3343205	Q8NU68	NCgl0070	hypothetical protein	Basal machinery
cg0096	cg0096	3343438	Q8NU67	NCgl0072	hypothetical protein	M8
cg0097	cg0097					M8
cg0104	cg0104	3342796		codA	creatinine deaminase	M10.9
cg0105	cg0105	3343903	Q8NU63	NCgl0076	hypothetical protein	Basal machinery
cg0107	cg0107					Basal machinery
cg0108	cg0108					Basal machinery
cg0109	cg0109	3342844	Q8NU60	NCgl0079	triacylglycerol lipase precursor	Basal machinery
cg0111	cg0111					M10.3
cg0120	cg0120	3344136	Q8NU56	NCgl0090	esterase	M10.3
cg0121	cg0121	3342719	Q8NU55	NCgl0091	major facilitator superfamily permease	Basal machinery
cg0122	cg0122	3343088	Q8NU54	NCgl0092	hypothetical protein	Basal machinery
