Module_ID	GO_ID	GO_desc	q-value
M10.1	GO:0000162	tryptophan biosynthetic process	0.00592397506967
M10.1	GO:0006096	glycolytic process	0.00262003258396
M10.1	GO:0006281	DNA repair	0.000401414321872
M10.1	GO:0006310	DNA recombination	0.0026664563669
M10.1	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.0151648555431
M10.1	GO:0009432	SOS response	0.00187657513201
M10.1	GO:0016226	iron-sulfur cluster assembly	0.0332079250887
M10.12	GO:0005975	carbohydrate metabolic process	0.017301605852
M10.12	GO:0019262	N-acetylneuraminate catabolic process	0.000656698489593
M10.19	GO:0006810	transport	0.0234142135115
M10.2	GO:0006355	regulation of transcription, DNA-templated	0.0159743168951
M10.2	GO:0009435	NAD biosynthetic process	0.00592397506967
M10.24	GO:0006817	phosphate ion transport	0.030964328782
M10.3	GO:0006412	translation	0.027012106148
M10.3	GO:0007155	cell adhesion	0.017301605852
M10.4	GO:0006457	protein folding	0.00592397506967
M10.6	GO:0006810	transport	0.0234142135115
M10.7	GO:0006526	arginine biosynthetic process	0.000000000000181545753116
M10.7	GO:0044205	'de novo' UMP biosynthetic process	0.00262003258396
M10.8	GO:0019619	protocatechuate catabolic process	0.00246261933598
M10.9	GO:0006865	amino acid transport	0.0242771069386
M16	GO:0046685	response to arsenic-containing substance	0.0000270193583069
M17	GO:0000917	barrier septum assembly	0.00262003258396
M17	GO:0006355	regulation of transcription, DNA-templated	0.0159743168951
M17	GO:0043093	FtsZ-dependent cytokinesis	0.00262003258396
M26	GO:0044205	'de novo' UMP biosynthetic process	0.00461623941313
M30	GO:0055085	transmembrane transport	0.0204045602124
M32	GO:0009712	catechol-containing compound metabolic process	0.0403351124924
M6	GO:0009073	aromatic amino acid family biosynthetic process	0.00262003258396
M6	GO:0009423	chorismate biosynthetic process	0.00262003258396
M8	GO:0009102	biotin biosynthetic process	0.0000101420616153
