Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
PA0007	PA0007					Basal machinery
PA0028	PA0028					Basal machinery
PA0038	PA0038					Basal machinery
PA0041a	PA0041a					Basal machinery
PA0042	PA0042					Basal machinery
PA0082	PA0082					Basal machinery
PA0102	PA0102					Basal machinery
PA0107	PA0107					Basal machinery
PA0138	PA0138					Basal machinery
PA0149	PA0149					M32.1
PA0157	PA0157					Basal machinery
PA0158	PA0158					Basal machinery
PA0165	PA0165					Basal machinery
PA0167	PA0167					M43
PA0172	PA0172					Basal machinery
PA0263.1	PA0263.1					Basal machinery
PA0277	PA0277					Basal machinery
PA0328	PA0328					Basal machinery
PA0344	PA0344					Basal machinery
PA0364	PA0364					M33
PA0365	PA0365					M33
PA0367	PA0367					M33
PA0422	PA0422					Basal machinery
PA0440	PA0440					Basal machinery
PA0456	PA0456					Basal machinery
PA0472	PA0472					M32.1
PA0494	PA0494					Basal machinery
PA0499	PA0499					Basal machinery
PA0521	PA0521					Basal machinery
PA0522	PA0522					Basal machinery
PA0525	PA0525					Basal machinery
PA0526	PA0526					Basal machinery
PA0540	PA0540					Basal machinery
PA0557	PA0557					Basal machinery
PA0570	PA0570					Basal machinery
PA0572	PA0572					M43
PA0601	PA0601					M55
PA0603	PA0603					M55
PA0604	PA0604					M55
PA0605	PA0605					M55
PA0606	PA0606					M55
PA0633	PA0633					Basal machinery
PA0643	PA0643					Basal machinery
PA0691	PA0691					M46
PA0703	PA0703					Basal machinery
PA0714.1	PA0714.1	9793389		phrD	PhrD	Basal machinery
PA0718	PA0718					Basal machinery
PA0739	PA0739					M20
PA0802	PA0802					Basal machinery
PA0839	PA0839					M43
PA0845	PA0845					Basal machinery
PA0848	PA0848					Basal machinery
PA0851	PA0851					Basal machinery
PA0856	PA0856					Basal machinery
PA0874	PA0874					Basal machinery
PA0883	PA0883					Basal machinery
PA0884	PA0884					M9
PA0885	PA0885					M9
PA0886	PA0886					M9
PA0900	PA0900					Basal machinery
PA0938	PA0938					Basal machinery
PA0947	PA0947					Basal machinery
PA0959	PA0959					Basal machinery
PA0981	PA0981					Basal machinery
PA0984	PA0984					Basal machinery
PA0986	PA0986					Basal machinery
PA1012	PA1012					Basal machinery
PA1053	PA1053	881262	Q9I4S1	slyB	hypothetical protein	Basal machinery
PA1055	PA1055					Basal machinery
PA1069	PA1069					Basal machinery
PA1088	PA1088					Basal machinery
PA1107	PA1107					Basal machinery
PA1131	PA1131					Basal machinery
PA1159	PA1159					Basal machinery
PA1182	PA1182					M9
PA1195	PA1195					M40
PA1196	PA1196					M40
PA1199	PA1199					Basal machinery
PA1200	PA1200					Basal machinery
PA1202	PA1202					M43
PA1203	PA1203					M43
PA1204	PA1204					M43
PA1205	PA1205					M43
PA1211	PA1211					Basal machinery
PA1253	PA1253					Basal machinery
PA1256	PA1256					Basal machinery
PA1257	PA1257					Basal machinery
PA1258	PA1258					Basal machinery
PA1260	PA1260					Basal machinery
PA1261	PA1261					Global regulator
PA1266	PA1266					Basal machinery
PA1266.1	PA1266.1					Basal machinery
PA1267	PA1267					Basal machinery
PA1268	PA1268					Basal machinery
PA1287	PA1287					Basal machinery
PA1295	PA1295					Basal machinery
PA1300	PA1300					Intermodular
PA1333	PA1333					Basal machinery
PA1340	PA1340					Basal machinery
PA1351	PA1351					Basal machinery
PA1363	PA1363					Basal machinery
PA1370	PA1370					Basal machinery
PA1371	PA1371					Basal machinery
PA1372	PA1372					Basal machinery
PA1383	PA1383					Basal machinery
PA1437	PA1437					M42
PA1438	PA1438					M42
PA1473	PA1473					Basal machinery
PA1494	PA1494					M43
PA1566	PA1566					M16
PA1571	PA1571					Basal machinery
PA1592	PA1592					Basal machinery
PA1656	PA1656					Basal machinery
PA1657	PA1657					Basal machinery
PA1658	PA1658					Basal machinery
PA1664	PA1664					Basal machinery
PA1668	PA1668					Basal machinery
PA1680	PA1680					Basal machinery
PA1727	PA1727	PseudoCap:PA1727	Q9I310	mucR	MucR protein	Basal machinery
PA1736	PA1736					Basal machinery
PA1738	PA1738					Basal machinery
PA1744	PA1744					Basal machinery
PA1746	PA1746					Basal machinery
PA1784	PA1784					Basal machinery
PA1785	PA1785					Basal machinery
PA1786	PA1786					Basal machinery
PA1819	PA1819					Basal machinery
PA1874	PA1874					Basal machinery
PA1875	PA1875					Basal machinery
PA1876	PA1876					Basal machinery
PA1877	PA1877					Basal machinery
PA1913	PA1913					Basal machinery
PA1939	PA1939					Basal machinery
PA1941	PA1941					Basal machinery
PA1942	PA1942					Basal machinery
PA1970	PA1970					Basal machinery
PA2004	PA2004					Basal machinery
PA2005	PA2005					Basal machinery
PA2010	PA2010					M6
PA2047	PA2047					M13
PA2050	PA2050					M32.1
PA2079	PA2079					M27
PA2082	PA2082					M27
PA2100	PA2100					M4
PA2177	PA2177					Basal machinery
PA2206	PA2206					M32.1
PA2223	PA2223					Basal machinery
PA2226	PA2226					Basal machinery
PA2228	PA2228					Basal machinery
PA2229	PA2229					Basal machinery
PA2251	PA2251					M36
PA2252	PA2252					M36
PA2265	PA2265					M47
PA2274	PA2274					Basal machinery
PA2301	PA2301					Basal machinery
PA2373	PA2373					Basal machinery
PA2383	PA2383					M32.1
PA2384	PA2384					M32.1
PA2449	PA2449					M31
PA2459	PA2459					Basal machinery
PA2461	PA2461					Basal machinery
PA2462	PA2462					Basal machinery
PA2471	PA2471					Basal machinery
PA2486	PA2486					Basal machinery
PA2491	PA2491					Basal machinery
PA2502	PA2502					Basal machinery
PA2504	PA2504					Basal machinery
PA2511	PA2511					M45
PA2523	PA2523					M1
PA2567	PA2567					Basal machinery
PA2569	PA2569					Basal machinery
PA2588	PA2588					Global regulator
PA2634	PA2634	PseudoCap:PA263	Q9I0K4	aceA	isocitrate lyase	M3
PA2657	PA2657					M30
PA2661	PA2661					Basal machinery
PA2667	PA2667					M53
PA2698	PA2698					Basal machinery
PA2759	PA2759					Basal machinery
PA2780	PA2780					M22
PA2793	PA2793					Basal machinery
PA2811	PA2811					Basal machinery
PA2812	PA2812					Basal machinery
PA2813	PA2813					Basal machinery
PA2864	PA2864					Basal machinery
PA2867	PA2867					Basal machinery
PA2874	PA2874					Basal machinery
PA2895	PA2895					M43
PA2896	PA2896					M43
PA2958.1	PA2958.1	6965620		rgsA	RgsA	Basal machinery
PA3019	PA3019					Basal machinery
PA3044	PA3044					Basal machinery
PA3045	PA3045					Basal machinery
PA3047	PA3047					Basal machinery
PA3067	PA3067					Basal machinery
PA3077	PA3077					Basal machinery
PA3106	PA3106					Basal machinery
PA3110	PA3110					Basal machinery
PA3190	PA3190					Basal machinery
PA3204	PA3204					M4
PA3205	PA3205					Basal machinery
PA3214	PA3214					Basal machinery
PA3225	PA3225					Basal machinery
PA3229	PA3229					Basal machinery
PA3234	PA3234					Basal machinery
PA3235	PA3235					Basal machinery
PA3262	PA3262					Basal machinery
PA3290	PA3290					Basal machinery
PA3291	PA3291					Basal machinery
PA3305.1	PA3305.1	6965615		phrS	PhrS	Basal machinery
PA3309	PA3309					Basal machinery
PA3313	PA3313					Basal machinery
PA3325	PA3325					Basal machinery
PA3327	PA3327					Basal machinery
PA3328	PA3328					Basal machinery
PA3331	PA3331					Basal machinery
PA3332	PA3332					Basal machinery
PA3342	PA3342					Basal machinery
PA3343	PA3343					M39
PA3345	PA3345					M39
PA3346	PA3346					M39
PA3347	PA3347					M39
PA3353	PA3353					Basal machinery
PA3367	PA3367					Basal machinery
PA3375	PA3375					Basal machinery
PA3398	PA3398					M48
PA3401	PA3401					Basal machinery
PA3410	PA3410					M32.1
PA3413	PA3413					Basal machinery
PA3457	PA3457					Basal machinery
PA3458	PA3458					Basal machinery
PA3489	PA3489					Basal machinery
PA3510	PA3510					Basal machinery
PA3513	PA3513					Basal machinery
PA3514	PA3514					Basal machinery
PA3519	PA3519					Basal machinery
PA3520	PA3520					Basal machinery
PA3523	PA3523					M38
PA3530	PA3530					Basal machinery
PA3533	PA3533					Basal machinery
PA3535	PA3535					Basal machinery
PA3535.1	PA3535.1					Basal machinery
PA3538	PA3538					Basal machinery
PA3559	PA3559					Basal machinery
PA3564	PA3564					Basal machinery
PA3565	PA3565					Basal machinery
PA3572	PA3572					Basal machinery
PA3592	PA3592					Basal machinery
PA3669	PA3669					Basal machinery
PA3670	PA3670					Basal machinery
PA3676	PA3676					Basal machinery
PA3691	PA3691					Basal machinery
PA3722	PA3722					Basal machinery
PA3740	PA3740					Basal machinery
PA3749	PA3749					Basal machinery
PA3759	PA3759					Basal machinery
PA3761	PA3761					Basal machinery
PA3774	PA3774					Basal machinery
PA3808	PA3808					Basal machinery
PA3819	PA3819					Basal machinery
PA3835	PA3835					Basal machinery
PA3836	PA3836					Basal machinery
PA3843	PA3843					Basal machinery
PA3854	PA3854					Basal machinery
PA3866	PA3866					Basal machinery
PA3892	PA3892					Basal machinery
PA3898	PA3898					M4
PA3899	PA3899					M32.1
PA3900	PA3900					Basal machinery
PA3907	PA3907					Basal machinery
PA3925	PA3925					Basal machinery
PA3934	PA3934					Basal machinery
PA3951	PA3951					Basal machinery
PA3952	PA3952					Basal machinery
PA3959	PA3959					Basal machinery
PA3973	PA3973					Basal machinery
PA4019	PA4019					Basal machinery
PA4033	PA4033					Basal machinery
PA4080	PA4080					Basal machinery
PA4087	PA4087					Basal machinery
PA4112	PA4112					Basal machinery
PA4132	PA4132					Basal machinery
PA4139	PA4139					Basal machinery
PA4141	PA4141					Basal machinery
PA4144	PA4144					Basal machinery
PA4148	PA4148					M28
PA4149	PA4149					M28
PA4150	PA4150					M28
PA4152	PA4152					M28
PA4153	PA4153					M28
PA4171	PA4171					Basal machinery
PA4181	PA4181					M56
PA4182	PA4182					M56
PA4202	PA4202					Basal machinery
PA4218	PA4218					Basal machinery
PA4222	PA4222					Basal machinery
PA4223	PA4223					Basal machinery
PA4289	PA4289					Basal machinery
PA4291	PA4291					Basal machinery
PA4294	PA4294					Basal machinery
PA4298	PA4298					Basal machinery
PA4299	PA4299	PseudoCap:PA429	Q9HWA1	tadD	protein TadD	Basal machinery
PA4312	PA4312					Basal machinery
PA4320	PA4320					Basal machinery
PA4324	PA4324					Basal machinery
PA4340	PA4340					Basal machinery
PA4352	PA4352					Basal machinery
PA4354	PA4354					M52
PA4355	PA4355					M52
PA4357	PA4357					Basal machinery
PA4365	PA4365					M56
PA4392	PA4392					Basal machinery
PA4475	PA4475					Basal machinery
PA4488	PA4488					Basal machinery
PA4510	PA4510					Basal machinery
PA4523	PA4523					Basal machinery
PA4570	PA4570					Basal machinery
PA4586	PA4586					Basal machinery
PA4595	PA4595					Global regulator
PA4596	PA4596					M2
PA4611	PA4611					Basal machinery
PA4615	PA4615					Basal machinery
PA4623	PA4623					Basal machinery
PA4625	PA4625					Basal machinery
PA4648	PA4648					Basal machinery
PA4649	PA4649					Basal machinery
PA4650	PA4650					Basal machinery
PA4651	PA4651					Basal machinery
PA4652	PA4652					Basal machinery
PA4653	PA4653					Basal machinery
PA4654	PA4654					Basal machinery
PA4676	PA4676					Basal machinery
PA4677	PA4677					Basal machinery
PA4683	PA4683					Basal machinery
PA4685	PA4685					Basal machinery
PA4726.11	PA4726.11	9793394		crcZ	CrcZ	Basal machinery
PA4735	PA4735					Basal machinery
PA4754	PA4754					Basal machinery
PA4757	PA4757					Basal machinery
PA4772	PA4772					Basal machinery
PA4778	PA4778	881842	Q9HV30	cueR	protein CueR	M38
PA4781	PA4781					Basal machinery
PA4853	PA4853	880045	Q9HUW0	fis	Fis family transcriptional regulator	M12
PA4878	PA4878					Global regulator
PA4881	PA4881					Basal machinery
PA4894	PA4894					Basal machinery
PA4896	PA4896					M32.1
PA4908	PA4908					Basal machinery
PA4925	PA4925					Basal machinery
PA4948	PA4948					Basal machinery
PA4980	PA4980					Basal machinery
PA4987	PA4987					Basal machinery
PA4992	PA4992					Basal machinery
PA5082	PA5082					M54
PA5083	PA5083					M54
PA5085	PA5085					M54
PA5087	PA5087					Basal machinery
PA5088	PA5088					Basal machinery
PA5136	PA5136					Basal machinery
PA5138	PA5138					Basal machinery
PA5149.1	PA5149.1					Basal machinery
PA5152	PA5152					Basal machinery
PA5153	PA5153					Basal machinery
PA5154	PA5154					Basal machinery
PA5155	PA5155					Basal machinery
PA5159	PA5159					M4
PA5160	PA5160					M4
PA5166	PA5166					M9
PA5167	PA5167					Basal machinery
PA5181.1	PA5181.1					Basal machinery
PA5210	PA5210					Basal machinery
PA5216	PA5216					Basal machinery
PA5232	PA5232					Basal machinery
PA5290	PA5290					Basal machinery
PA5291	PA5291					Basal machinery
PA5295	PA5295					M7
PA5324	PA5324					Global regulator
PA5342	PA5342					Basal machinery
PA5384	PA5384					M50
PA5388	PA5388					M50
PA5403	PA5403					M32.1
PA5423	PA5423					Basal machinery
PA5438	PA5438					M3
PA5440	PA5440					Basal machinery
PA5446	PA5446					Basal machinery
PA5471	PA5471					M5
PA5492.1	PA5492.1					Basal machinery
PA5506	PA5506					Basal machinery
PA5517	PA5517					Basal machinery
PA5518	PA5518					Basal machinery
PA5530	PA5530					M24
PA5543	PA5543					Basal machinery
PA5546	PA5546					Basal machinery
PrrF1	PA4704.1	4179187		prrF1	regulatory RNA PrrF1	M32.1
PrrF2	PA4704.2	4179185		prrF2	regulatory RNA PrrF2	Basal machinery
accA	PA3639	880489	Q9HXZ2		acetyl-CoA carboxylase carboxyltransferase subunit alpha	Basal machinery
acoB	PA4151	880055	Q9HWN0		acetoin catabolism protein AcoB	M28
acoR	PA4147	880118	Q9HWN4		transcriptional regulator AcoR	M28
acpP1	PA2966	879895	O54439	acpP	acyl carrier protein	Basal machinery
acpP2	PA1869	881955	O52658		acyl carrier protein	Basal machinery
acsA1	PA0887	879732	Q9I558	acsA	acetyl-CoA synthetase	M11
adcA	PA4843	879632	Q9HUW7	gcbA	two-component response regulator	Basal machinery
adhA	PA5427	877625	Q9HTD9		alcohol dehydrogenase	Basal machinery
aer	PA1561	879271	Q9I3F6		aerotaxis receptor Aer	Basal machinery
agmR	PA1978	880879	P29369	erbR,glpR	response regulator ErbR	Global regulator
aguA	PA0292	879730	Q9I6J9		agmatine deiminase	M44
aguB	PA0293	880699	Q9I6J8		N-carbamoylputrescine amidohydrolase	M44
aguR	PA0294	880857	Q9I6J7		transcriptional regulator AguR	M44
alc	PA1515	883130	Q9I3J8		allantoicase	Basal machinery
alg44	PA3542	878770	Q9HY69		alginate biosynthesis protein Alg44	Basal machinery
alg8	PA3541	879005	Q52463		alginate biosynthesis protein Alg8	Basal machinery
algA	PA3551	879142	P07874	pmi	phosphomannose isomerase / guanosine 5'-diphospho-D-mannose pyrophosphorylase	Basal machinery
algB	PA5483	877696	P23747		two-component response regulator AlgB	M5
algC	PA5322	879406	P26276		phosphomannomutase	Basal machinery
algD	PA3540	879004	P11759		GDP-mannose 6-dehydrogenase AlgD	M5
algE	PA3544	879838	P18895	alg76	Alginate production outer membrane protein AlgE	Basal machinery
algF	PA3550	878717	Q06062		alginate o-acetyltransferase AlgF	Basal machinery
algG	PA3545	879839	Q51371		alginate-c5-mannuronan-epimerase AlgG	Basal machinery
algI	PA3548	877959	Q51392		alginate o-acetyltransferase AlgI	Basal machinery
algJ	PA3549	878716	Q51393		alginate o-acetyltransferase AlgJ	Basal machinery
