Module_ID	GO_ID	GO_desc	q-value
M1	GO:0051301	cell division	0.0390119931647
M13	GO:0051301	cell division	0.00631080890888
M14	GO:0000162	tryptophan biosynthetic process	0.00000229443756835
M16	GO:0019483	beta-alanine biosynthetic process	0.00000015839312602
M19	GO:0007155	cell adhesion	0.00287209596792
M2	GO:0051301	cell division	0.0167516883558
M21	GO:0030254	protein secretion by the type III secretion system	0.025721544939
M21	GO:0050709	negative regulation of protein secretion	0.00386995136529
M21	GO:0071277	cellular response to calcium ion	0.000627616922544
M27	GO:0019441	tryptophan catabolic process to kynurenine	0.00000229443756835
M27	GO:0043420	anthranilate metabolic process	0.000627616922544
M29	GO:0008300	isoprenoid catabolic process	0.00000000000743833409872
M3	GO:0006099	tricarboxylic acid cycle	0.0390119931647
M31	GO:0019464	glycine decarboxylation via glycine cleavage system	0.00386995136529
M32.1	GO:0006352	DNA-templated transcription, initiation	0.0000108388987952
M32.1	GO:1903506	regulation of nucleic acid-templated transcription	0.00120680356288
M34	GO:0018106	peptidyl-histidine phosphorylation	0.0055337662444
M34	GO:0023014	signal transduction by phosphorylation	0.00680860581784
M37	GO:0019285	glycine betaine biosynthetic process from choline	0.00000229443756835
M4	GO:0006855	drug transmembrane transport	0.00055550046966
M4	GO:0046677	response to antibiotic	0.00631080890888
M44	GO:0033388	putrescine biosynthetic process from arginine	0.000627616922544
M5	GO:0006855	drug transmembrane transport	0.0317446224234
M5	GO:0042121	alginic acid biosynthetic process	0.0390119931647
M7	GO:0006071	glycerol metabolic process	0.0002483604216
M8	GO:0042413	carnitine catabolic process	0.00152780861583
M9	GO:0008643	carbohydrate transport	0.0390119931647
