Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
PA0007	PA0007					Basal machinery
PA0027	PA0027					Basal machinery
PA0028	PA0028					Basal machinery
PA0038	PA0038					Basal machinery
PA0041a	PA0041a					Basal machinery
PA0042	PA0042					Basal machinery
PA0045	PA0045					Basal machinery
PA0046	PA0046					Basal machinery
PA0050	PA0050					Basal machinery
PA0052	PA0052					Basal machinery
PA0060	PA0060					Basal machinery
PA0061	PA0061					Basal machinery
PA0062	PA0062					Basal machinery
PA0068	PA0068					Basal machinery
PA0071	PA0071					Basal machinery
PA0082	PA0082					Basal machinery
PA0096	PA0096					Basal machinery
PA0097	PA0097					Basal machinery
PA0098	PA0098					Basal machinery
PA0099	PA0099					Basal machinery
PA0101	PA0101					Basal machinery
PA0102	PA0102					Basal machinery
PA0107	PA0107					M22
PA0109	PA0109					Basal machinery
PA0112	PA0112					Basal machinery
PA0115	PA0115					Basal machinery
PA0116	PA0116					Basal machinery
PA0123	PA0123					Basal machinery
PA0134	PA0134					Basal machinery
PA0136	PA0136					Basal machinery
PA0137	PA0137					Basal machinery
PA0138	PA0138					Basal machinery
PA0144	PA0144					Basal machinery
PA0146	PA0146					Basal machinery
PA0147	PA0147					Basal machinery
PA0149	PA0149					M20.1
PA0156	PA0156					Basal machinery
PA0157	PA0157					Basal machinery
PA0158	PA0158					M20.9
PA0165	PA0165					Basal machinery
PA0166	PA0166					Basal machinery
PA0167	PA0167					M11
PA0168	PA0168					Basal machinery
PA0172	PA0172					Basal machinery
PA0177	PA0177					Basal machinery
PA0178	PA0178					Basal machinery
PA0179	PA0179					Basal machinery
PA0182	PA0182					Basal machinery
PA0186	PA0186					Basal machinery
PA0191	PA0191					Basal machinery
PA0192	PA0192					Basal machinery
PA0193	PA0193					Basal machinery
PA0194	PA0194					Basal machinery
PA0200	PA0200					Basal machinery
PA0201	PA0201					Basal machinery
PA0217	PA0217					Basal machinery
PA0218	PA0218					Basal machinery
PA0219	PA0219					Basal machinery
PA0220	PA0220					Basal machinery
PA0221	PA0221					Basal machinery
PA0222	PA0222					Basal machinery
PA0225	PA0225					Basal machinery
PA0248	PA0248					Basal machinery
PA0250	PA0250					Basal machinery
PA0253	PA0253					Basal machinery
PA0254	PA0254					Basal machinery
PA0256	PA0256					Basal machinery
PA0259	PA0259					Basal machinery
PA0263.1	PA0263.1					Basal machinery
PA0264	PA0264					Basal machinery
PA0269	PA0269					Basal machinery
PA0270	PA0270					Basal machinery
PA0271	PA0271					Basal machinery
PA0275	PA0275					Basal machinery
PA0277	PA0277					Basal machinery
PA0285	PA0285					Basal machinery
PA0305	PA0305					Basal machinery
PA0308	PA0308					Basal machinery
PA0309	PA0309					Basal machinery
PA0311	PA0311					Basal machinery
PA0312	PA0312					Basal machinery
PA0315	PA0315					Basal machinery
PA0320	PA0320					Basal machinery
PA0321	PA0321					Basal machinery
PA0322	PA0322					Basal machinery
PA0324	PA0324					Basal machinery
PA0328	PA0328					Basal machinery
PA0329	PA0329					Basal machinery
PA0332	PA0332					Basal machinery
PA0333	PA0333					Basal machinery
PA0334	PA0334					Basal machinery
PA0335	PA0335					Basal machinery
PA0338	PA0338					Basal machinery
PA0344	PA0344					Basal machinery
PA0346	PA0346					Basal machinery
PA0354	PA0354					Basal machinery
PA0356	PA0356					Basal machinery
PA0358	PA0358					Basal machinery
PA0359	PA0359					Basal machinery
PA0360	PA0360					Basal machinery
PA0364	PA0364					M30
PA0365	PA0365					M30
PA0367	PA0367					M30
PA0370	PA0370					Basal machinery
PA0371	PA0371					Basal machinery
PA0372	PA0372					Basal machinery
PA0377	PA0377					Basal machinery
PA0387	PA0387					Basal machinery
PA0389	PA0389					Basal machinery
PA0391	PA0391					Basal machinery
PA0397	PA0397					Basal machinery
PA0418	PA0418					Basal machinery
PA0419	PA0419					Basal machinery
PA0422	PA0422					Basal machinery
PA0423	PA0423	PseudoCap:PA042	Q9I690	pasP	hypothetical protein	Basal machinery
PA0431	PA0431					Basal machinery
PA0439	PA0439					Basal machinery
PA0440	PA0440					Basal machinery
PA0442	PA0442					Basal machinery
PA0443	PA0443					Basal machinery
PA0444	PA0444					Basal machinery
PA0451	PA0451					Basal machinery
PA0452	PA0452					Basal machinery
PA0454	PA0454					Basal machinery
PA0456	PA0456					Basal machinery
PA0457	PA0457					Basal machinery
PA0459	PA0459					Basal machinery
PA0467	PA0467					Basal machinery
PA0468	PA0468					Basal machinery
PA0469	PA0469					Basal machinery
PA0472	PA0472					Intermodular
PA0476	PA0476					Basal machinery
PA0483	PA0483					Basal machinery
PA0484	PA0484					Basal machinery
PA0485	PA0485					Basal machinery
PA0491	PA0491					Basal machinery
PA0492	PA0492					Basal machinery
PA0494	PA0494					Basal machinery
PA0499	PA0499					Basal machinery
PA0502	PA0502					Basal machinery
PA0505	PA0505					Basal machinery
PA0506	PA0506					Basal machinery
PA0508	PA0508					Basal machinery
PA0521	PA0521					Basal machinery
PA0522	PA0522					Basal machinery
PA0525	PA0525					Basal machinery
PA0526	PA0526					Basal machinery
PA0528	PA0528					Basal machinery
PA0534	PA0534					Basal machinery
PA0535	PA0535					Basal machinery
PA0536	PA0536					Basal machinery
PA0537	PA0537					Basal machinery
PA0539	PA0539					Basal machinery
PA0540	PA0540					Basal machinery
PA0544	PA0544					Basal machinery
PA0557	PA0557					Basal machinery
PA0563	PA0563					Basal machinery
PA0567	PA0567					Basal machinery
PA0570	PA0570					Basal machinery
PA0572	PA0572					M11
PA0574	PA0574					Basal machinery
PA0575	PA0575					Basal machinery
PA0578	PA0578					Basal machinery
PA0583	PA0583					Basal machinery
PA0586	PA0586					Basal machinery
PA0587	PA0587					Basal machinery
PA0588	PA0588					Basal machinery
PA0596	PA0596					Basal machinery
PA0597	PA0597					Basal machinery
PA0598	PA0598					Basal machinery
PA0601	PA0601					M40
PA0602	PA0602					Basal machinery
PA0603	PA0603					M40
PA0604	PA0604					M40
PA0605	PA0605					M40
PA0606	PA0606					M40
PA0628	PA0628					Basal machinery
PA0629	PA0629					Basal machinery
PA0630	PA0630					Basal machinery
PA0631	PA0631					Basal machinery
PA0632	PA0632					Basal machinery
PA0633	PA0633					M21
PA0634	PA0634					Basal machinery
PA0635	PA0635					Basal machinery
PA0643	PA0643					Basal machinery
PA0657	PA0657					Basal machinery
PA0658	PA0658					Basal machinery
PA0660	PA0660					Basal machinery
PA0661	PA0661					Basal machinery
PA0663	PA0663					Basal machinery
PA0664	PA0664					Basal machinery
PA0681	PA0681					Basal machinery
PA0682	PA0682					Basal machinery
PA0684	PA0684					Basal machinery
PA0690	PA0690					Basal machinery
PA0691	PA0691					M26
PA0697	PA0697					Basal machinery
PA0699	PA0699					Basal machinery
PA0701	PA0701					Basal machinery
PA0703	PA0703					Basal machinery
PA0704	PA0704					Basal machinery
PA0708	PA0708					Basal machinery
PA0709	PA0709					Basal machinery
PA0714	PA0714					Basal machinery
PA0714.1	PA0714.1	9793389		phrD	PhrD	M20.1
PA0718	PA0718					Basal machinery
PA0720	PA0720					Basal machinery
PA0721	PA0721					Basal machinery
PA0722	PA0722					Basal machinery
PA0727	PA0727					Basal machinery
PA0728	PA0728					Basal machinery
PA0739	PA0739					M9
PA0769	PA0769					Basal machinery
PA0777	PA0777					Basal machinery
PA0786	PA0786					Basal machinery
PA0787	PA0787					Basal machinery
PA0788	PA0788					Basal machinery
PA0794	PA0794					Basal machinery
PA0797	PA0797					Basal machinery
PA0802	PA0802					Basal machinery
PA0805	PA0805					Basal machinery
PA0806	PA0806					Basal machinery
PA0810	PA0810					Basal machinery
PA0811	PA0811					Basal machinery
PA0812	PA0812					Basal machinery
PA0818	PA0818					Basal machinery
PA0820	PA0820					Basal machinery
PA0826	PA0826					Basal machinery
PA0827	PA0827					Basal machinery
PA0833	PA0833					Basal machinery
PA0834	PA0834					Basal machinery
PA0838	PA0838					Basal machinery
PA0839	PA0839					M11
PA0840	PA0840					Basal machinery
PA0842	PA0842					Basal machinery
PA0845	PA0845					Intermodular
PA0848	PA0848					M21
PA0850	PA0850					Basal machinery
PA0851	PA0851					Basal machinery
PA0856	PA0856					Basal machinery
PA0858	PA0858					Basal machinery
PA0861	PA0861					Basal machinery
PA0862	PA0862					Basal machinery
PA0874	PA0874					Basal machinery
PA0878	PA0878					Basal machinery
PA0879	PA0879					Basal machinery
PA0880	PA0880					Basal machinery
PA0881	PA0881					Basal machinery
PA0882	PA0882					Basal machinery
PA0883	PA0883					Basal machinery
