Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
BSU05343	BSU05343			ydzS/1		M121
BSU05344	BSU05344			ydzS/2,ydzS		M121
BSU05890	BSU05890			ydhU/1,ydhU		Basal machinery
BSU05899	BSU05899			ydhU/2		Basal machinery
BSU07735	BSU07735			yflB		Basal machinery
BSU11381	BSU11381			appA,appA/1		Basal machinery
BSU11382	BSU11382			appA/2		Basal machinery
BSU12671	BSU12671			xkdN		M65
BSU16845	BSU16845			ymfF		M45
BSU19810	BSU19810			ypqP,yodU		Basal machinery
BSU21670	BSU21670			ypqP		Basal machinery
BSU23329	BSU23329			ypuC/1		Basal machinery
BSU23330	BSU23330			ypuC,ypuC/2		Basal machinery
BSU25760	BSU25760			spoIVCB		Global regulator
BSU26055						M13
BSU26390	BSU26390			spoIIIC		Basal machinery
BSU26559	BSU26559			yrzN		Basal machinery
BSU33221	BSU33221			yvrHb,yvrH		M25.2
BSU35239	BSU35239			swrAA/2		M25.19
BSU35609	BSU35609			tuaA,tuaA/1		Basal machinery
BSU35699	BSU35699			yvzE		Basal machinery
BSU_29679						Basal machinery
BSU_CDS_3119273	BSU_CDS_3119273			ytrG		M37
BSU_misc_RNA_11	BSU_misc_RNA_11					M15
BSU_misc_RNA_16	BSU_misc_RNA_16					M10
BSU_misc_RNA_2	BSU_misc_RNA_2			scr		Basal machinery
BSU_misc_RNA_55	BSU_misc_RNA_55			ssrA		Basal machinery
BSU_misc_RNA_67						M111
BSU_misc_RNA_69						Basal machinery
BSU_misc_RNA_72						Basal machinery
BSU_misc_RNA_79						Basal machinery
BSU_misc_RNA_81						M13
BSU_misc_RNA_82						Basal machinery
BSU_misc_RNA_92						M13
BSU_rRNA_19	BSU_rRNA_19			rrnB-16S		Basal machinery
BSU_rRNA_20	BSU_rRNA_20			rrnB-23S		Basal machinery
BSU_rRNA_21	BSU_rRNA_21			rrnB-5S		Basal machinery
G8J2-20	G8J2-20			cmpA		Basal machinery
abf2	BSU28510		P94552	xsa,asd		M16
abfA	BSU28720	937509	P94531		alpha-L-arabinofuranosidase	M16
abh	BSU14480	938738	P39758	ylxT,yzaA	transition state regulator Abh	M25.1
abn2	BSU39330		P42293	J3A,yxiA,abnB		Basal machinery
abnA	BSU28810	937430	P94522		arabinan-endo 1,5-alpha-L-arabinase	M16
abrB	BSU00370	937009	P08874	cpsX	transition state regulatory protein AbrB	Global regulator
accA	BSU29200	936367	O34847		acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	Basal machinery
accC2	BSU18240		O34544	accC,yngH		Basal machinery
accD	BSU29210	936186	C0SP93	yttI	acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	Basal machinery
acdA	BSU37170	938457	P45867	acd	acyl-CoA dehydrogenase	M89
ackA	BSU29470	937347	P37877		acetate kinase	Basal machinery
acoA	BSU08060	936152	O31404	yfjK	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha	Intermodular
acoB	BSU08070	939697	O34591	yfjJ	acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta	Intermodular
