Module_ID	GO_ID	GO_desc	q-value
M1	GO:0006071	glycerol metabolic process	0.0000000000633001566511
M1	GO:0006072	glycerol-3-phosphate metabolic process	0.000131272770903
M1	GO:0019563	glycerol catabolic process	0.000131272770903
M1	GO:0031564	transcription antitermination	0.0329989009011
M10	GO:0006810	transport	0.0105079992144
M10	GO:0046677	response to antibiotic	0.00198749428844
M100	GO:0006166	purine ribonucleoside salvage	0.0211731493099
M100	GO:0006400	tRNA modification	0.0285122320985
M100	GO:0030163	protein catabolic process	0.0285122320985
M100	GO:0043934	sporulation	0.0285122320985
M101	GO:0006457	protein folding	0.000000453448479999
M101	GO:0009408	response to heat	0.0407874597101
M102	GO:0043934	sporulation	0.0211731493099
M103	GO:0006537	glutamate biosynthetic process	0.0393919056929
M103	GO:0097054	L-glutamate biosynthetic process	0.0000348626047316
M104	GO:0006810	transport	0.0253088049299
M105	GO:0006810	transport	0.0389170388741
M106	GO:0006979	response to oxidative stress	0.0293702313525
M107	GO:0006281	DNA repair	0.0329989009011
M109	GO:0012501	programmed cell death	0.0211731493099
M109	GO:0019835	cytolysis	0.0293702313525
M11	GO:0006825	copper ion transport	0.000240646478361
M110	GO:0006633	fatty acid biosynthetic process	0.0499298101432
M111	GO:0045151	acetoin biosynthetic process	0.00000126360962077
M113	GO:0006935	chemotaxis	0.000000000000415367197983
M113	GO:0009306	protein secretion	0.000122521229876
M113	GO:0044780	bacterial-type flagellum assembly	0.0000000494407992904
M113	GO:0044781	bacterial-type flagellum organization	0.000000000031282038751
M113	GO:0071973	bacterial-type flagellum-dependent cell motility	0.00000000000000142529730835
M115	GO:0006865	amino acid transport	0.00000207715109498
M116	GO:0042744	hydrogen peroxide catabolic process	0.0211731493099
M117	GO:0006270	DNA replication initiation	0.0293702313525
M117	GO:0015074	DNA integration	0.000451335775301
M118	GO:0006044	N-acetylglucosamine metabolic process	0.0293702313525
M118	GO:0019262	N-acetylneuraminate catabolic process	0.0393919056929
M119	GO:0006811	ion transport	0.0000601287868404
M119	GO:0055072	iron ion homeostasis	0.000056397500159
M12	GO:0006814	sodium ion transport	0.00092599275899
M120	GO:0042732	D-xylose metabolic process	0.000000381661681376
M120	GO:0045493	xylan catabolic process	0.0460912093821
M121	GO:0046685	response to arsenic-containing substance	0.0262612704619
M122	GO:0009086	methionine biosynthetic process	0.0460912093821
M122	GO:0009088	threonine biosynthetic process	0.00000000967803269043
M122	GO:0009094	L-phenylalanine biosynthetic process	0.0393919056929
M123	GO:0005975	carbohydrate metabolic process	0.000489830434582
M123	GO:0009254	peptidoglycan turnover	0.0407874597101
M124	GO:0008643	carbohydrate transport	0.00388238208821
M14	GO:0006825	copper ion transport	0.0293702313525
M15	GO:0006810	transport	0.00651282611701
M15	GO:0009228	thiamine biosynthetic process	0.0000000000540989033051
M15	GO:0009229	thiamine diphosphate biosynthetic process	0.000000000000415367197983
M16	GO:0008643	carbohydrate transport	0.0000153219115685
M16	GO:0019569	L-arabinose catabolic process to xylulose 5-phosphate	0.00000673561324752
M16	GO:0031222	arabinan catabolic process	0.0000209023340852
M16	GO:0046373	L-arabinose metabolic process	0.000487350161977
M17	GO:0046148	pigment biosynthetic process	0.0000932727582732
M18	GO:0015031	protein transport	0.0460912093821
M18	GO:0051205	protein insertion into membrane	0.00849048593881
M19	GO:0006829	zinc ion transport	0.0000256130347194
M19	GO:0035998	7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0.0407874597101
M20	GO:0000272	polysaccharide catabolic process	0.0000145987076784
M20	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00250262976459
M20	GO:0015774	polysaccharide transport	0.0000145987076784
M21	GO:0000256	allantoin catabolic process	0.00115445025383
M21	GO:0006144	purine nucleobase metabolic process	0.0000000000540989033051
M21	GO:0009114	hypoxanthine catabolic process	0.00000000511685460427
M21	GO:0019628	urate catabolic process	0.00115445025383
M21	GO:0043419	urea catabolic process	0.0000227088700419
M22	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00000987323716762
M24	GO:0009450	gamma-aminobutyric acid catabolic process	0.0000861781761367
M25.1	GO:0022900	electron transport chain	0.000558505970751
M25.1	GO:0071555	cell wall organization	0.00964785549755
M25.10	GO:0006352	DNA-templated transcription, initiation	0.0439961544102
M25.11	GO:0000271	polysaccharide biosynthetic process	2.84795353787e-20
M25.12	GO:0045892	negative regulation of transcription, DNA-templated	0.0393919056929
M25.13	GO:0019285	glycine betaine biosynthetic process from choline	0.0000348626047316
M25.15	GO:0006221	pyrimidine nucleotide biosynthetic process	0.000346731340537
M25.15	GO:0006526	arginine biosynthetic process	1.67520765833e-19
M25.15	GO:0051259	protein oligomerization	0.0460912093821
M25.15	GO:0070409	carbamoyl phosphate biosynthetic process	0.0460912093821
M25.16	GO:0006782	protoporphyrinogen IX biosynthetic process	0.00000000697458784268
M25.20	GO:0006089	lactate metabolic process	0.0000599047574262
M25.21	GO:0045893	positive regulation of transcription, DNA-templated	0.0262612704619
M25.3	GO:0019350	teichoic acid biosynthetic process	0.0000000546322642417
M25.3	GO:0071555	cell wall organization	0.0000137990935494
M25.4	GO:0006270	DNA replication initiation	0.0439961544102
M25.5	GO:0042128	nitrate assimilation	1.67307200915e-17
M25.5	GO:0045333	cellular respiration	0.000632425878645
M25.6	GO:0006633	fatty acid biosynthetic process	0.00000000000701659890969
M25.6	GO:0008654	phospholipid biosynthetic process	0.00646196321022
M25.7	GO:0030152	bacteriocin biosynthetic process	0.0000000000160685947987
M25.7	GO:0030153	bacteriocin immunity	0.00000673561324752
M25.9	GO:0006525	arginine metabolic process	0.0211731493099
M26	GO:0006164	purine nucleotide biosynthetic process	0.00250262976459
M26	GO:0006189	'de novo' IMP biosynthetic process	2.78889685902e-19
M26	GO:0006541	glutamine metabolic process	0.00733718393494
M26	GO:0009113	purine nucleobase biosynthetic process	0.00250262976459
M26	GO:0009116	nucleoside metabolic process	0.0189224100616
M26	GO:0035999	tetrahydrofolate interconversion	0.00250262976459
M26	GO:0042823	pyridoxal phosphate biosynthetic process	0.00250262976459
M26	GO:0044208	'de novo' AMP biosynthetic process	0.00250262976459
M27	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.000240646478361
M28	GO:0017000	antibiotic biosynthetic process	0.000489830434582
M29	GO:0005975	carbohydrate metabolic process	0.0285122320985
M29	GO:0006044	N-acetylglucosamine metabolic process	0.0293702313525
M29	GO:0019262	N-acetylneuraminate catabolic process	0.000240646478361
M29	GO:0070084	protein initiator methionine removal	0.0293702313525
M3	GO:0006064	glucuronate catabolic process	0.000240646478361
M30	GO:0006355	regulation of transcription, DNA-templated	0.0253141814055
M31	GO:0045490	pectin catabolic process	0.0000861781761367
M32	GO:0006281	DNA repair	0.00476671664393
M32	GO:0006284	base-excision repair	0.0329989009011
M32	GO:0006289	nucleotide-excision repair	0.0439961544102
M33	GO:0006355	regulation of transcription, DNA-templated	0.0178074023119
M34	GO:0006101	citrate metabolic process	0.0211731493099
M34	GO:0009605	response to external stimulus	0.0156788915747
M35	GO:0006811	ion transport	0.0113123050518
M35	GO:0007155	cell adhesion	0.0439961544102
M35	GO:0030001	metal ion transport	0.000131272770903
M36	GO:0006412	translation	0.00512089828382
M37	GO:0006810	transport	0.000334503733425
M38	GO:0006629	lipid metabolic process	0.0460912093821
M39	GO:0030435	sporulation resulting in formation of a cellular spore	0.0000182715267495
M4	GO:0000103	sulfate assimilation	0.000346731340537
M4	GO:0019344	cysteine biosynthetic process	0.000153602732587
M4	GO:0070814	hydrogen sulfide biosynthetic process	0.000593957175025
M40	GO:0006810	transport	0.0253088049299
M42	GO:0006006	glucose metabolic process	0.0329989009011
M42	GO:0006096	glycolytic process	0.000000010192173004
M43	GO:0009636	response to toxic substance	0.00000673561324752
M43	GO:0019439	aromatic compound catabolic process	0.00000226453037607
M44	GO:0046685	response to arsenic-containing substance	0.000000157154809978
M45	GO:0006355	regulation of transcription, DNA-templated	0.0389170388741
M45	GO:0046677	response to antibiotic	0.0253141814055
M45	GO:0055085	transmembrane transport	0.0404221702152
M46	GO:0006814	sodium ion transport	0.0460912093821
M46	GO:0045893	positive regulation of transcription, DNA-templated	0.0407874597101
M47	GO:0006353	DNA-templated transcription, termination	0.0407874597101
M47	GO:0031564	transcription antitermination	0.0262612704619
M47	GO:0042254	ribosome biogenesis	0.0329989009011
M47	GO:0042274	ribosomal small subunit biogenesis	0.0329989009011
M49	GO:0006108	malate metabolic process	0.0460912093821
M50	GO:0019301	rhamnose catabolic process	0.0000599047574262
M52	GO:0009636	response to toxic substance	0.0000932727582732
M52	GO:0019439	aromatic compound catabolic process	0.0000472046118945
M54	GO:0006869	lipid transport	0.0293702313525
M54	GO:0046677	response to antibiotic	0.00198749428844
M56	GO:0009636	response to toxic substance	0.0000000000108173935873
M56	GO:0019439	aromatic compound catabolic process	0.0000000000012313922952
M57	GO:0005975	carbohydrate metabolic process	0.0285122320985
M58	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00703255685822
M59	GO:0016311	dephosphorylation	0.0293702313525
M59	GO:0044283	small molecule biosynthetic process	0.0211731493099
M6	GO:0005975	carbohydrate metabolic process	0.0111612126168
M60	GO:0006814	sodium ion transport	0.0460912093821
M60	GO:0006950	response to stress	0.0460912093821
M61	GO:0006810	transport	0.0253088049299
M61	GO:0046677	response to antibiotic	0.00512089828382
M62	GO:0009264	deoxyribonucleotide catabolic process	0.0211731493099
M63	GO:0006825	copper ion transport	0.0293702313525
M64	GO:0006437	tyrosyl-tRNA aminoacylation	0.0156788915747
M65	GO:0006323	DNA packaging	0.0000599047574262
M65	GO:0019076	viral release from host cell	0.0000599047574262
M67	GO:0006284	base-excision repair	0.0329989009011
M67	GO:0030497	fatty acid elongation	0.0211731493099
M67	GO:0051289	protein homotetramerization	0.0211731493099
M69	GO:0006865	amino acid transport	0.00703255685822
M7	GO:0005975	carbohydrate metabolic process	0.0111612126168
M7	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	0.0329989009011
M7	GO:0006730	one-carbon metabolic process	0.0329989009011
M7	GO:0009636	response to toxic substance	0.00375454827422
