Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
CGSSp9BS68_00442	CGSSp9BS68_00442				iron-dependent transcriptional regulator	M6.1
CGSSp9BS68_00757	CGSSp9BS68_00757				immunoglobulin A1 protease	Basal machinery
CGSSp9BS68_00862	CGSSp9BS68_00862				Catabolite control protein A	Global regulator
CGSSp9BS68_00917	CGSSp9BS68_00917				sugar ABC transporter, permease protein	Basal machinery
CGSSp9BS68_00947	CGSSp9BS68_00947				oligopeptide ABC transporter, oligopeptide-binding protein AmiA	Basal machinery
CGSSp9BS68_01298	CGSSp9BS68_01298				integral membrane regulatory protein Cps2A	Basal machinery
CGSSp9BS68_01303	CGSSp9BS68_01303				capsular polysaccharide biosynthesis protein Cps4B	Basal machinery
CGSSp9BS68_01308	CGSSp9BS68_01308				chain length determinant protein/polysaccharide export protein, MPA1 family protein	Basal machinery
CGSSp9BS68_01393	CGSSp9BS68_01393				immunity protein BlpL	Basal machinery
CGSSp9BS68_01413	CGSSp9BS68_01413				bacteriocin BlpK	Basal machinery
CGSSp9BS68_01418	CGSSp9BS68_01418				bacteriocin BlpJ	Basal machinery
CGSSp9BS68_01423	CGSSp9BS68_01423				bacteriocin BlpI	Basal machinery
CGSSp9BS68_01428	CGSSp9BS68_01428				hypothetical protein	Basal machinery
CGSSp9BS68_01463	CGSSp9BS68_01463				response regulator BlpR	Global regulator
CGSSp9BS68_01473	CGSSp9BS68_01473				BlpT protein, fusion	Basal machinery
CGSSp9BS68_01503	CGSSp9BS68_01503				dnaJ protein	M2
CGSSp9BS68_01513	CGSSp9BS68_01513				chaperone protein DnaK	M2
CGSSp9BS68_01653	CGSSp9BS68_01653				acetyl xylan esterase, putative	Basal machinery
CGSSp9BS68_01768	CGSSp9BS68_01768				hypothetical protein	Basal machinery
CGSSp9BS68_01773	CGSSp9BS68_01773				ABC transporter, ATP-binding protein	Basal machinery
CGSSp9BS68_01988	CGSSp9BS68_01988				enoyl-CoA hydratase	Global regulator
CGSSp9BS68_01998	CGSSp9BS68_01998				acyl carrier protein	Basal machinery
CGSSp9BS68_02003	CGSSp9BS68_02003				enoyl-(acyl-carrier-protein) reductase	Basal machinery
CGSSp9BS68_02028	CGSSp9BS68_02028				acetyl-CoA carboxylase biotin carboxyl carrier protein subunit	Basal machinery
CGSSp9BS68_02038	CGSSp9BS68_02038				biotin carboxylase subunit	Basal machinery
CGSSp9BS68_02043	CGSSp9BS68_02043				acetyl-CoA carboxylase subunit beta	Basal machinery
CGSSp9BS68_02048	CGSSp9BS68_02048				acetyl-CoA carboxylase, carboxyl transferase, alpha subunit	Basal machinery
CGSSp9BS68_02133	CGSSp9BS68_02133				acetolactate synthase catalytic subunit	Basal machinery
CGSSp9BS68_02143	CGSSp9BS68_02143				ketol-acid reductoisomerase	Basal machinery
CGSSp9BS68_02158	CGSSp9BS68_02158				threonine dehydratase	Basal machinery
CGSSp9BS68_02508	CGSSp9BS68_02508				D-alanine-D-alanine ligase	Basal machinery
CGSSp9BS68_02623	CGSSp9BS68_02623				ABC transporter, substrate binding lipoprotein	Intermodular
CGSSp9BS68_02628	CGSSp9BS68_02628				putative manganese ABC transporter permease	Intermodular
CGSSp9BS68_02633	CGSSp9BS68_02633				manganese ABC transporter, ATP-binding protein	Intermodular
CGSSp9BS68_02663	CGSSp9BS68_02663				competence factor transporting ATP-binding/permease protein ComA	Basal machinery
CGSSp9BS68_02668	CGSSp9BS68_02668				competence factor transport protein ComB	Basal machinery
CGSSp9BS68_02758	CGSSp9BS68_02758				Beta-galactosidase 3	Basal machinery
CGSSp9BS68_02763	CGSSp9BS68_02763				PTS system, IIB component	Basal machinery
CGSSp9BS68_02768	CGSSp9BS68_02768				PTS system, IIC component	Basal machinery
CGSSp9BS68_02773	CGSSp9BS68_02773				PTS system, IID component	Basal machinery
CGSSp9BS68_02778	CGSSp9BS68_02778				PTS system, IIA component	Basal machinery
CGSSp9BS68_02783	CGSSp9BS68_02783				sugar isomerase domain protein AgaS	Basal machinery
CGSSp9BS68_02788	CGSSp9BS68_02788				aldose 1-epimerase	Basal machinery
