Module_ID	GO_ID	GO_desc	q-value
M1	GO:0015768	maltose transport	0.0390486147412
M1	GO:0043433	negative regulation of sequence-specific DNA binding transcription factor activity	0.0208656719991
M12	GO:0006566	threonine metabolic process	0.040382685605
M12	GO:0006567	threonine catabolic process	0.00000539495604623
M12	GO:0070689	L-threonine catabolic process to propionate	0.000000000000842292457256
M13	GO:0019323	pentose catabolic process	0.0382458449193
M13	GO:0019324	L-lyxose metabolic process	0.00000815657060579
M13	GO:0019572	L-arabinose catabolic process	0.0382458449193
M13	GO:0034219	carbohydrate transmembrane transport	0.000093202524005
M14	GO:0009440	cyanate catabolic process	0.000000170992491133
M15	GO:0031388	organic acid phosphorylation	0.0439949131533
M15	GO:0042838	D-glucarate catabolic process	0.0000000171654196653
M15	GO:0046392	galactarate catabolic process	0.0000000171654196653
M15	GO:0046487	glyoxylate metabolic process	0.0439949131533
M15	GO:0055085	transmembrane transport	0.0436824172613
M16	GO:0008643	carbohydrate transport	0.00548428692995
M16	GO:0019316	D-allose catabolic process	0.000100323094468
M16	GO:0044262	cellular carbohydrate metabolic process	0.0462590299144
M17	GO:0009063	cellular amino acid catabolic process	0.0382458449193
M18	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.00434795343506
M18	GO:0015882	L-ascorbic acid transport	0.000234087220426
M18	GO:0019852	L-ascorbic acid metabolic process	0.000234087220426
M18	GO:0019854	L-ascorbic acid catabolic process	0.0000000104445675212
M18	GO:0034219	carbohydrate transmembrane transport	0.00742419423286
M19	GO:0006970	response to osmotic stress	0.0000343066363302
M19	GO:0019285	glycine betaine biosynthetic process from choline	0.000000000284851841487
M2	GO:0006310	DNA recombination	0.0102659560777
M2	GO:0007049	cell cycle	0.000202667195016
M2	GO:0015074	DNA integration	0.00210758800413
M2	GO:0032196	transposition	0.0390486147412
M2	GO:0051301	cell division	0.0004319363846
M2	GO:0051302	regulation of cell division	0.0390486147412
M2	GO:0075713	establishment of integrated proviral latency	0.0295513400833
M20	GO:0019380	3-phenylpropionate catabolic process	0.00000000000832744118303
M20	GO:0019439	aromatic compound catabolic process	0.00000354469148747
M20	GO:0019622	3-(3-hydroxy)phenylpropionate catabolic process	0.00000104732900819
M20	GO:0044550	secondary metabolite biosynthetic process	0.0475656613906
M20	GO:0046271	phenylpropanoid catabolic process	0.000183618874738
M21	GO:0009437	carnitine metabolic process	6.56065279333e-17
M21	GO:0042413	carnitine catabolic process	0.000429218614545
M21	GO:0055114	oxidation-reduction process	0.00386969294705
M22	GO:0015700	arsenite transport	0.0208656719991
M22	GO:0046685	response to arsenic-containing substance	0.000000170992491133
M24	GO:0006144	purine nucleobase metabolic process	0.00000000421011755594
M24	GO:0009436	glyoxylate catabolic process	0.0000221417371044
M24	GO:0009442	allantoin assimilation pathway	0.0000000800128476177
M24	GO:0046296	glycolate catabolic process	0.000093202524005
M25	GO:0009102	biotin biosynthetic process	0.000000000000433568731915
M26	GO:0019563	glycerol catabolic process	0.00000539495604623
M27	GO:0019380	3-phenylpropionate catabolic process	0.00000000174536428177
M28	GO:0035873	lactate transmembrane transport	0.0208656719991
M28	GO:0042355	L-fucose catabolic process	0.0439949131533
M28	GO:0097339	glycolate transmembrane transport	0.027581255782
M29	GO:0009082	branched-chain amino acid biosynthetic process	0.0208656719991
M29	GO:0009097	isoleucine biosynthetic process	0.0481747873501
M29	GO:0009099	valine biosynthetic process	0.0481747873501
M30	GO:1901530	response to hypochlorite	0.000000170992491133
