Module_ID	GO_ID	GO_desc	q-value
M1	GO:0006265	DNA topological change	0.0206936307381
M1	GO:0006268	DNA unwinding involved in DNA replication	0.0257247839879
M1	GO:0007059	chromosome segregation	0.0456006532839
M1	GO:0009409	response to cold	0.0416603445172
M1	GO:0031564	transcription antitermination	0.0396738431647
M1	GO:0060567	negative regulation of DNA-templated transcription, termination	0.0206936307381
M10	GO:0000737	DNA catabolic process, endonucleolytic	0.0236343045798
M11	GO:0006310	DNA recombination	0.0108693953128
M11	GO:0007049	cell cycle	0.000209981287619
M11	GO:0015074	DNA integration	0.00229459179807
M11	GO:0032196	transposition	0.0408889729174
M11	GO:0051301	cell division	0.000444290052884
M11	GO:0051302	regulation of cell division	0.0302264295269
M11	GO:0075713	establishment of integrated proviral latency	0.0302264295269
M12	GO:0032259	methylation	0.0408889729174
M13	GO:0009440	cyanate catabolic process	0.000000197785078888
M15	GO:0006352	DNA-templated transcription, initiation	0.0408889729174
M15	GO:0006810	transport	0.0103903274439
M15	GO:0046942	carboxylic acid transport	0.0000997565479466
M17	GO:0006878	cellular copper ion homeostasis	0.00000000728651633765
M17	GO:0010043	response to zinc ion	0.0396738431647
M17	GO:0010272	response to silver ion	0.00000000728651633765
M17	GO:0010273	detoxification of copper ion	0.000000025714848616
M17	GO:0010628	positive regulation of gene expression	0.000944574935354
M17	GO:0015679	plasma membrane copper ion transport	0.000206736240052
M17	GO:0046688	response to copper ion	0.00000000000277568959776
M17	GO:0060003	copper ion export	0.00000121143360819
M18	GO:0019323	pentose catabolic process	0.0396738431647
M18	GO:0019324	L-lyxose metabolic process	0.00000914737449262
M18	GO:0019572	L-arabinose catabolic process	0.0396738431647
M18	GO:0034219	carbohydrate transmembrane transport	0.000101685558686
M2	GO:0035873	lactate transmembrane transport	0.0206936307381
M2	GO:0042355	L-fucose catabolic process	0.0456006532839
M2	GO:0097339	glycolate transmembrane transport	0.0282706073896
M20	GO:0000160	phosphorelay signal transduction system	0.00776996388513
M21	GO:0017148	negative regulation of translation	0.0416603445172
M21	GO:0043488	regulation of mRNA stability	0.0257247839879
M22	GO:0006824	cobalt ion transport	0.0348375993848
M22	GO:0010045	response to nickel cation	0.0000997565479466
M22	GO:0032025	response to cobalt ion	0.0000395013887242
M22	GO:0035444	nickel cation transmembrane transport	0.0348375993848
M23	GO:0019299	rhamnose metabolic process	0.00015192841817
M23	GO:0019301	rhamnose catabolic process	0.00000566017715106
M23	GO:0045893	positive regulation of transcription, DNA-templated	0.0416603445172
M24	GO:0006814	sodium ion transport	0.0408889729174
M25	GO:0046688	response to copper ion	0.000324113958763
M27	GO:0006355	regulation of transcription, DNA-templated	0.0257247839879
M27	GO:0017148	negative regulation of translation	0.0416603445172
M27	GO:0034198	cellular response to amino acid starvation	0.0157534468289
M28	GO:0005975	carbohydrate metabolic process	0.000344027639173
M28	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.000032697576471
M28	GO:2001059	D-tagatose 6-phosphate catabolic process	0.00213167628592
M29	GO:0034220	ion transmembrane transport	0.018720891621
M3	GO:0006970	response to osmotic stress	0.0000395013887242
M3	GO:0019285	glycine betaine biosynthetic process from choline	0.000000000316094874936
M30	GO:0009437	carnitine metabolic process	9.53064087776e-17
M30	GO:0042413	carnitine catabolic process	0.000459804524832
M30	GO:0055114	oxidation-reduction process	0.00440923979699
M31	GO:0006351	transcription, DNA-templated	0.0155917274106
M31	GO:0006415	translational termination	0.0408889729174
M31	GO:0044010	single-species biofilm formation	0.00205116025834
M31	GO:0060567	negative regulation of DNA-templated transcription, termination	0.0282706073896
M31	GO:2000143	negative regulation of DNA-templated transcription, initiation	0.0282706073896
M33	GO:0015700	arsenite transport	0.0206936307381
M33	GO:0046685	response to arsenic-containing substance	0.000000197785078888
M35	GO:0006144	purine nucleobase metabolic process	0.000994849790091
M35	GO:0009436	glyoxylate catabolic process	0.0000120044587547
M35	GO:0009442	allantoin assimilation pathway	0.000382271503783
M35	GO:0031388	organic acid phosphorylation	0.048504452238
M35	GO:0046296	glycolate catabolic process	0.0000484439500627
M35	GO:0046487	glyoxylate metabolic process	0.048504452238
M36	GO:0009102	biotin biosynthetic process	0.0000000000006514912439
M37.1	GO:0006189	'de novo' IMP biosynthetic process	0.0132046477873
M37.1	GO:0006208	pyrimidine nucleobase catabolic process	0.00170670575462
M37.1	GO:0006212	uracil catabolic process	0.0000218265882985
M37.1	GO:0006351	transcription, DNA-templated	0.00503405417278
M37.1	GO:0006355	regulation of transcription, DNA-templated	0.0450408270004
M37.1	GO:0006569	tryptophan catabolic process	0.0184622481888
M37.1	GO:0006935	chemotaxis	0.000124085636834
M37.1	GO:0007155	cell adhesion	0.0000859601616093
M37.1	GO:0007165	signal transduction	0.0449237235884
M37.1	GO:0009098	leucine biosynthetic process	0.0147457524036
M37.1	GO:0015628	protein secretion by the type II secretion system	0.0000231352075899
M37.1	GO:0015888	thiamine transport	0.0184622481888
M37.1	GO:0015914	phospholipid transport	0.00065709223503
M37.1	GO:0019740	nitrogen utilization	0.000572033988301
M37.1	GO:0022610	biological adhesion	0.0184622481888
M37.1	GO:0033554	cellular response to stress	0.0184622481888
M37.1	GO:0044010	single-species biofilm formation	0.0157534468289
M37.1	GO:0045226	extracellular polysaccharide biosynthetic process	0.00065709223503
M37.1	GO:0051454	intracellular pH elevation	0.00065709223503
M37.1	GO:0051607	defense response to virus	0.00203967347549
M37.1	GO:0071468	cellular response to acidic pH	0.00371338394722
M37.1	GO:0071973	bacterial-type flagellum-dependent cell motility	0.0243585110824
M37.10	GO:0006177	GMP biosynthetic process	0.000807327652757
M37.10	GO:0006260	DNA replication	0.00661325765207
M37.10	GO:0009089	lysine biosynthetic process via diaminopimelate	0.000904972207767
M37.10	GO:0009432	SOS response	0.0126561120445
M37.10	GO:0019877	diaminopimelate biosynthetic process	0.00377781269371
M37.11	GO:0009061	anaerobic respiration	0.000214082376034
M37.11	GO:0015707	nitrite transport	0.048504452238
M37.11	GO:0022904	respiratory electron transport chain	0.00283057298758
M37.11	GO:0042128	nitrate assimilation	0.000961897266994
M37.11	GO:0045333	cellular respiration	0.0000484439500627
M37.11	GO:0055114	oxidation-reduction process	0.0416824618273
M37.12	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	0.0000527590548639
M37.13	GO:0019464	glycine decarboxylation via glycine cleavage system	0.000000643686782066
M37.13	GO:0032259	methylation	0.0348375993848
M37.14	GO:0006730	one-carbon metabolic process	0.0011746113369
M37.14	GO:0008616	queuosine biosynthetic process	0.0416603445172
M37.14	GO:0009086	methionine biosynthetic process	0.00000000486435989191
M37.14	GO:0035999	tetrahydrofolate interconversion	0.0416603445172
M37.14	GO:0046654	tetrahydrofolate biosynthetic process	0.0011746113369
M37.15	GO:0006534	cysteine metabolic process	0.0416603445172
M37.15	GO:0016226	iron-sulfur cluster assembly	0.00000442628846492
M37.16	GO:0019629	propionate catabolic process, 2-methylcitrate cycle	0.0000000822219563523
M37.16	GO:0019679	propionate metabolic process, methylcitrate cycle	0.000324113958763
M37.17	GO:0006090	pyruvate metabolic process	0.00519419202866
M37.17	GO:0006096	glycolytic process	0.00750896157894
M37.17	GO:0007049	cell cycle	0.0000000199139771209
M37.17	GO:0008360	regulation of cell shape	0.00000000000277568959776
M37.17	GO:0009252	peptidoglycan biosynthetic process	0.0000000000006514912439
M37.17	GO:0043093	FtsZ-dependent cytokinesis	0.0108326502367
M37.17	GO:0051301	cell division	0.00000000486435989191
M37.17	GO:0071555	cell wall organization	0.000000000060045318601
M37.18	GO:0006012	galactose metabolic process	0.0302264295269
M37.18	GO:0008643	carbohydrate transport	0.00573877782623
M37.18	GO:0015757	galactose transport	0.0408889729174
M37.19	GO:0009073	aromatic amino acid family biosynthetic process	0.0133915303286
M37.19	GO:0009423	chorismate biosynthetic process	0.00807345333506
M37.2	GO:0006355	regulation of transcription, DNA-templated	0.0174204719297
M37.2	GO:0009267	cellular response to starvation	0.0408889729174
M37.2	GO:0022611	dormancy process	0.048504452238
M37.2	GO:0030308	negative regulation of cell growth	0.048504452238
M37.2	GO:0043488	regulation of mRNA stability	0.048504452238
M37.20	GO:0005975	carbohydrate metabolic process	0.0457149815721
M37.20	GO:0030980	alpha-glucan catabolic process	0.00000265990379122
M37.20	GO:0042956	maltodextrin transport	0.00229459179807
M37.20	GO:0051692	cellular oligosaccharide catabolic process	0.000324113958763
M37.23	GO:0010273	detoxification of copper ion	0.0302264295269
M37.23	GO:0034220	ion transmembrane transport	0.0302264295269
M37.24	GO:0005975	carbohydrate metabolic process	0.0133915303286
M37.24	GO:0019262	N-acetylneuraminate catabolic process	0.00000135623295164
M37.25	GO:0000746	conjugation	0.0127732809202
M37.25	GO:0006417	regulation of translation	0.0206936307381
M37.26	GO:0006855	drug transmembrane transport	0.000057250031901
M37.26	GO:0046618	drug export	0.000944574935354
M37.27	GO:0006633	fatty acid biosynthetic process	0.0416603445172
M37.27	GO:0045717	negative regulation of fatty acid biosynthetic process	0.00925244066655
M37.28	GO:0006276	plasmid maintenance	0.0236343045798
M37.28	GO:0031564	transcription antitermination	0.0236343045798
M37.28	GO:0042150	plasmid recombination	0.0127732809202
M37.28	GO:0043171	peptide catabolic process	0.00925244066655
M37.29	GO:0034355	NAD salvage	0.0157534468289
M37.29	GO:0034605	cellular response to heat	0.0302264295269
M37.29	GO:0034628	'de novo' NAD biosynthetic process from aspartate	0.0206936307381
M37.29	GO:0036460	cellular response to cell envelope stress	0.0206936307381
M37.3	GO:0006097	glyoxylate cycle	0.0000399600606238
M37.3	GO:0006099	tricarboxylic acid cycle	0.0236163731887
M37.3	GO:0006631	fatty acid metabolic process	0.018406006724
M37.3	GO:0006633	fatty acid biosynthetic process	0.000000025714848616
M37.3	GO:0006635	fatty acid beta-oxidation	0.0003284690229
M37.3	GO:0008610	lipid biosynthetic process	0.0133915303286
M37.3	GO:0009102	biotin biosynthetic process	0.0335173448571
M37.3	GO:0019380	3-phenylpropionate catabolic process	0.00000417049038096
M37.3	GO:0030497	fatty acid elongation	0.00198749125656
M37.3	GO:0042759	long-chain fatty acid biosynthetic process	0.00198749125656
M37.3	GO:2001295	malonyl-CoA biosynthetic process	0.0000484439500627
M37.31	GO:0006004	fucose metabolic process	0.0348375993848
M37.31	GO:0019571	D-arabinose catabolic process	0.000000721091433447
M37.31	GO:0042355	L-fucose catabolic process	0.0000000315540449272
M37.31	GO:0051143	propanediol metabolic process	0.0348375993848
M37.32	GO:0010124	phenylacetate catabolic process	0.00000940217128745
