Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
PE1	PE1	886857	Q79G06	RVBD_0151c	PE family protein PE1	Basal machinery
PE15	PE15	886757	P9WIH1	RVBD_1386	PE family protein PE15	M5
PE17	PE17	885486	L7N681	RVBD_1646	PE family protein PE17	Basal machinery
PE18	PE18	885895	L7N649	RVBD_1788	PE family protein PE18	Basal machinery
PE19	PE19	885445	Q79FK4	RVBD_1791	PE family protein PE19	Basal machinery
PE2	PE2	886838	Q79G05	RVBD_0152c	PE family protein PE2	Basal machinery
PE20	PE20	885537	L7N656	RVBD_1806	PE family protein PE20	Basal machinery
PE22	PE22	887811	L7N6B5	RVBD_2107	PE family protein PE22	Intermodular
PE23	PE23	888111	P9WIG9	RVBD_2328	PE family protein PE23	Basal machinery
PE24	PE24	885511	Q79FE3	RVBD_2408	PE family protein PE24	Basal machinery
PE25	PE25	885703	I6X486	RVBD_2431c	PE family protein PE25	M10
PE26	PE26	888172	Q79FD3	RVBD_2519	PE family protein PE26	Basal machinery
PE27	PE27	888461	Q79FA8	RVBD_2769c	PE family protein PE27	Basal machinery
PE27A	PE27A		Q6MX19	RVBD_3018Bc		Basal machinery
PE3	PE3	886826	Q79G04	RVBD_0159c	PE family protein PE3	Basal machinery
PE31	PE31	888474	I6YG87	RVBD_3477	PE family protein PE31	M19
PE34	PE34	885764	Q79FA1	RVBD_3746c	PE family protein PE34	M1.2
PE35	PE35	886191	P9WIG7	RVBD_3872	PE family protein PE35	M1.36
PE36	PE36	886213	L7N660	RVBD_3893c	PE family protein PE36	Basal machinery
PE6	PE6	886527	L7N648	RVBD_0335c	PE family protein PE6	Basal machinery
PE7	PE7	885167	I6Y936	RVBD_0916c	PE family protein PE7	Basal machinery
PE8	PE8	888533	L7N667	RVBD_1040c	PE family protein PE8	Basal machinery
PE_PGRS10	PE_PGRS10	888662	P9WIG1		PE-PGRS family protein PE_PGRS10	Basal machinery
PE_PGRS14	PE_PGRS14	885369	Q79FV6	RVBD_0834c	PE-PGRS family protein PE_PGRS14	Basal machinery
PE_PGRS15	PE_PGRS15	885742	Q79FV3	RVBD_0872c	PE-PGRS family protein PE_PGRS15	Basal machinery
PE_PGRS18	PE_PGRS18	885327	Q79FU0	RVBD_0980c	PE-PGRS family protein PE_PGRS18	Basal machinery
PE_PGRS19	PE_PGRS19	887122	Q79FT3	RVBD_1067c	PE-PGRS family protein PE_PGRS19	Basal machinery
PE_PGRS22	PE_PGRS22	885258	Q79FS5	RVBD_1091	PE-PGRS family protein PE_PGRS22	Basal machinery
PE_PGRS23	PE_PGRS23	887109	Q79FQ7	RVBD_1243c	PE-PGRS family protein PE_PGRS23	Basal machinery
PE_PGRS24	PE_PGRS24	886899	P9WIF7	RVBD_1325c	PE-PGRS family protein PE_PGRS24	Basal machinery
PE_PGRS26	PE_PGRS26	886626	Q79FP3	RVBD_1441c	PE-PGRS family protein PE_PGRS26	Basal machinery
PE_PGRS30	PE_PGRS30	885174	Q79FL8	RVBD_1651c	PE-PGRS family protein PE_PGRS30	Basal machinery
PE_PGRS31	PE_PGRS31	885429	Q79FK9	RVBD_1768	PE-PGRS family protein PE_PGRS31	Basal machinery
PE_PGRS32	PE_PGRS32	885730	Q79FJ9	RVBD_1803c	PE-PGRS family protein PE_PGRS32	Basal machinery
PE_PGRS33	PE_PGRS33	885551	P9WIF5	RVBD_1818c	PE-PGRS family protein PE_PGRS33	Basal machinery
PE_PGRS35	PE_PGRS35	885921	P9WIF1	RVBD_1983	PE-PGRS family protein PE_PGRS35	Basal machinery
PE_PGRS37	PE_PGRS37	887791	L0TBL4		PE-PGRS family protein PE_PGRS37	Basal machinery
PE_PGRS38	PE_PGRS38	887300	L7N6A1	RVBD_2162c	PE-PGRS family protein PE_PGRS38	M3
PE_PGRS39	PE_PGRS39	888961	L7N659	RVBD_2340c	PE-PGRS family protein PE_PGRS39	Basal machinery
PE_PGRS40	PE_PGRS40	885141	Q79FE9	RVBD_2371	PE-PGRS family protein PE_PGRS40	Basal machinery
PE_PGRS41	PE_PGRS41	885517	Q79FE6	RVBD_2396	acid and phagosome regulated protein AprC	Basal machinery
PE_PGRS42	PE_PGRS42	887909	I6XEF1	RVBD_2487c	PE-PGRS family protein PE_PGRS42	Basal machinery
PE_PGRS43	PE_PGRS43	887941	Q79FD4	RVBD_2490c	PE-PGRS family protein PE_PGRS43	Basal machinery
PE_PGRS44	PE_PGRS44	887992	P9WIE9	RVBD_2591	PE-PGRS family protein PE_PGRS44	Basal machinery
PE_PGRS46	PE_PGRS46	888573	P9WIE7	RVBD_2634c	PE-PGRS family protein PE_PGRS46	Basal machinery
PE_PGRS47	PE_PGRS47	888339	Q79FB3		PE-PGRS family protein PE_PGRS47	Basal machinery
PE_PGRS5	PE_PGRS5	885981	Q6MX50	RVBD_0297	PE-PGRS family protein PE_PGRS5	Basal machinery
PE_PGRS52	PE_PGRS52	888151	Q6MWX5	RVBD_3388	PE-PGRS family protein PE_PGRS52	Basal machinery
PE_PGRS54	PE_PGRS54	888270	O53553		PE-PGRS family protein PE_PGRS54	Basal machinery
PE_PGRS55	PE_PGRS55	888273	Q6MWW8		PE-PGRS family protein PE_PGRS55	Basal machinery
PE_PGRS57	PE_PGRS57	888294	Q6MWW6		PE-PGRS family protein PE_PGRS57	Basal machinery
PE_PGRS59	PE_PGRS59	885464	Q6MWV6	RVBD_3595c	PE-PGRS family protein PE_PGRS59	Basal machinery
PE_PGRS6	PE_PGRS6	887391	L0T3X8		PE-PGRS family protein PE_PGRS6	Basal machinery
PE_PGRS61	PE_PGRS61	886259	Q6MWV0	RVBD_3653	PE-PGRS family-related protein PE_PGRS61	M1.11
PE_PGRS62	PE_PGRS62	886143	L7N680	RVBD_3812	PE-PGRS family protein PE_PGRS62	Basal machinery
PE_PGRS7	PE_PGRS7	887725	Q6MX28	RVBD_0578c	PE-PGRS family protein PE_PGRS7	Basal machinery
PE_PGRS9	PE_PGRS9	888664	Q79FW8		PE-PGRS family protein PE_PGRS9	Basal machinery
PPE18	PPE18	886073	L7N675	RVBD_1196	PPE family protein PPE18	M10
PPE27	PPE27	885859	Q79FK5	RVBD_1790	PPE family protein PPE27	Basal machinery
PPE35	PPE35	885506	Q79FI8	RVBD_1918c	PPE family protein PPE35	Basal machinery
PPE39	PPE39	886003	Q79FF3	RVBD_2353c	PPE family protein PPE39	Basal machinery
PPE41	PPE41	885945	Q79FE1	RVBD_2430c	PPE family protein PPE41	Basal machinery
