id,source,target,Effect,Evidence
SCO4596-SCO4598,SCO4596,SCO4598,+,Weak
SCO4596-SCO4596,SCO4596,SCO4596,?,Strong
SCO4596-SCO4597,SCO4596,SCO4597,+,Weak
SCO4596-SCO1480,SCO4596,SCO1480,+,Weak
SCO4596-SCO6809,SCO4596,SCO6809,-,Strong
SCO4596-SCO3263,SCO4596,SCO3263,?,Weak
SCO4596-bfr,SCO4596,bfr,+,Strong
SCO4596-nagB,SCO4596,nagB,?,Weak
SCO4596-SCO6329,SCO4596,SCO6329,-,Weak
SCO4596-SCO7545,SCO4596,SCO7545,?,Weak
SCO4596-trpS1,SCO4596,trpS1,?,Weak
SCO4596-SCO4612,SCO4596,SCO4612,+,Weak
SCO4596-ptsI,SCO4596,ptsI,?,Weak
SCO4596-SCO5332,SCO4596,SCO5332,?,Weak
SCO4596-SCO5330,SCO4596,SCO5330,?,Weak
SCO4596-SCO2605,SCO4596,SCO2605,-,Weak
SCO4596-SCO6820,SCO4596,SCO6820,?,Weak
SCO4596-SCO4630,SCO4596,SCO4630,?,Weak
SCO4596-rplR,SCO4596,rplR,+,Weak
SCO4596-rplP,SCO4596,rplP,-,Weak
SCO4596-SCO2779,SCO4596,SCO2779,+,Weak
SCO4596-rplO,SCO4596,rplO,+,Weak
SCO4596-SCO6951,SCO4596,SCO6951,?,Weak
SCO4596-rplD,SCO4596,rplD,+,Weak
SCO4596-SCO0951,SCO4596,SCO0951,?,Weak
SCO4596-SCO5638,SCO4596,SCO5638,?,Weak
SCO4596-SCO6732,SCO4596,SCO6732,?,Weak
SCO4596-SCO5632,SCO4596,SCO5632,?,Weak
SCO4596-SCO4123,SCO4596,SCO4123,?,Weak
SCO4596-SCO1998,SCO4596,SCO1998,+,Weak
SCO4596-SCO7077,SCO4596,SCO7077,?,Weak
SCO4596-SCO7665,SCO4596,SCO7665,-,Weak
SCO4596-SCO4425,SCO4596,SCO4425,+,Weak
SCO4596-actIII,SCO4596,actIII,+,Weak
SCO4596-SCO0277,SCO4596,SCO0277,-,Weak
SCO4596-SCO5089,SCO4596,SCO5089,+,Weak
SCO4596-SCO5088,SCO4596,SCO5088,+,Weak
SCO4596-SCO5729,SCO4596,SCO5729,?,Weak
SCO4596-SCO5087,SCO4596,SCO5087,+,Weak
SCO4596-SCO5081,SCO4596,SCO5081,+,Weak
SCO4596-SCO5080,SCO4596,SCO5080,+,Weak
SCO4596-SCO3590,SCO4596,SCO3590,?,Weak
SCO4596-SCO6273,SCO4596,SCO6273,?,Weak
SCO4596-rpsN,SCO4596,rpsN,+,Weak
SCO4596-SCO4559,SCO4596,SCO4559,+,Weak
SCO4596-rpsT,SCO4596,rpsT,+,Weak
SCO4596-SCO3309,SCO4596,SCO3309,-,Weak
SCO4596-rpsP,SCO4596,rpsP,+,Weak
SCO4596-SCO3020,SCO4596,SCO3020,?,Weak
SCO4596-SCO6557,SCO4596,SCO6557,-,Weak
SCO4596-frr,SCO4596,frr,-,Weak
SCO4596-SCO6992,SCO4596,SCO6992,+,Strong
SCO4596-SCO6205,SCO4596,SCO6205,+,Weak
SCO4596-SCO5090,SCO4596,SCO5090,+,Weak
SCO4596-rpsR1,SCO4596,rpsR1,+,Weak
SCO4596-SCO0682,SCO4596,SCO0682,+,Weak
SCO4596-rpmI,SCO4596,rpmI,+,Weak
SCO4596-SCO5075,SCO4596,SCO5075,+,Weak
SCO4596-SCO5077,SCO4596,SCO5077,+,Weak
SCO4596-SCO5071,SCO4596,SCO5071,+,Weak
SCO4596-SCO5072,SCO4596,SCO5072,+,Weak
SCO4596-SCO5073,SCO4596,SCO5073,+,Weak
SCO4596-rpmA,SCO4596,rpmA,+,Weak
SCO4596-SCO5078,SCO4596,SCO5078,+,Weak
SCO4596-SCO5079,SCO4596,SCO5079,+,Weak
SCO4596-actII-4,SCO4596,actII-4,+,Strong
SCO4596-SCO5966,SCO4596,SCO5966,?,Weak
SCO4596-SCO3327,SCO4596,SCO3327,+,Weak
SCO4596-SCO7801,SCO4596,SCO7801,-,Weak
SCO4596-SCO6941,SCO4596,SCO6941,?,Weak
SCO4596-SCO6259,SCO4596,SCO6259,-,Weak
SCO4596-SCO4075,SCO4596,SCO4075,?,Weak
SCO4596-SCO0122,SCO4596,SCO0122,-,Weak
SCO4596-SCO3328,SCO4596,SCO3328,+,Strong
SCO4596-SCO3992,SCO4596,SCO3992,?,Weak
SCO4596-SCO0850,SCO4596,SCO0850,-,Weak
SCO4596-SCO1839,SCO4596,SCO1839,+,Weak
SCO4596-SCO5915,SCO4596,SCO5915,+,Weak
SCO4596-SCO5912,SCO4596,SCO5912,?,Weak
