id,NDA,Color
rbfA,Basal machinery,#b22130
SCO4598,Basal machinery,#b22130
SCO4594,Basal machinery,#b22130
SCO4595,Basal machinery,#b22130
SCO4596,Global regulator,#09535b
SCO4597,Basal machinery,#b22130
SCO4590,Basal machinery,#b22130
SCO4591,Basal machinery,#b22130
pafA,Basal machinery,#b22130
SCO1412,Basal machinery,#b22130
SCO1413,Basal machinery,#b22130
SCO1410,Basal machinery,#b22130
SCO1411,Basal machinery,#b22130
SCO1416,Basal machinery,#b22130
SCO1142,Basal machinery,#b22130
SCO1415,Basal machinery,#b22130
afsQ2,Basal machinery,#b22130
SCO1418,Basal machinery,#b22130
SCO1419,M16.1,#715eba
SCO1148,Basal machinery,#b22130
SCO1149,Basal machinery,#b22130
SCO3368,Basal machinery,#b22130
SCO3369,Basal machinery,#b22130
SCO3819,Basal machinery,#b22130
SCO3362,M16.1,#715eba
SCO3363,Basal machinery,#b22130
SCO3816,Basal machinery,#b22130
SCO3361,M16.1,#715eba
SCO3366,Basal machinery,#b22130
SCO3367,Basal machinery,#b22130
SCO3812,Basal machinery,#b22130
SCO3365,Basal machinery,#b22130
SCO5249,M16.1,#715eba
SCO5248,Basal machinery,#b22130
SCO5242,Basal machinery,#b22130
SCO5241,Basal machinery,#b22130
SCO5247,Basal machinery,#b22130
SCO5246,Basal machinery,#b22130
SCO7237,Basal machinery,#b22130
SCO2140,M16.1,#715eba
SCO2143,Basal machinery,#b22130
SCO2142,Basal machinery,#b22130
SCO2146,Basal machinery,#b22130
IS466A-ORF,Basal machinery,#b22130
SCO6264,Basal machinery,#b22130
SCO6265,Global regulator,#09535b
SCO6266,M16.1,#715eba
SCO6267,Basal machinery,#b22130
SCO6260,Basal machinery,#b22130
SCO6261,Basal machinery,#b22130
SCO6262,Basal machinery,#b22130
SCO6263,Basal machinery,#b22130
SCO6268,Basal machinery,#b22130
SCO6269,Basal machinery,#b22130
SCO7249,Basal machinery,#b22130
SCO7247,Basal machinery,#b22130
SCO7240,Basal machinery,#b22130
whiB7,Basal machinery,#b22130
SCO1144,Basal machinery,#b22130
argC,Basal machinery,#b22130
SCO1145,Basal machinery,#b22130
SCO1146,Basal machinery,#b22130
clpP2,Basal machinery,#b22130
SCO1147,M16.1,#715eba
clpP5,Basal machinery,#b22130
SCO0734,Basal machinery,#b22130
SCO0043,Basal machinery,#b22130
SCO0736,Basal machinery,#b22130
SCO0041,Basal machinery,#b22130
SCO0730,Basal machinery,#b22130
SCO0732,M5,#f7f4a8
SCO0045,Basal machinery,#b22130
SCO1143,Basal machinery,#b22130
SCO4293,Basal machinery,#b22130
SCO4924,M12,#f78e74
SCO4291,Basal machinery,#b22130
SCO4926,Basal machinery,#b22130
SCO4921,M16.1,#715eba
SCO4920,Basal machinery,#b22130
SCO4295,Basal machinery,#b22130
SCO4922,Basal machinery,#b22130
SCO4299,Basal machinery,#b22130
