id,source,target,Effect,Evidence
SCO1489-SCO2817,SCO1489,SCO2817,-,Strong
SCO1489-SCO1489,SCO1489,SCO1489,-,Strong
SCO1489-SCO3323,SCO1489,SCO3323,-,Strong
SCO1489-sigH,SCO1489,sigH,-,Strong
SCO1489-SCO2792,SCO1489,SCO2792,-,Strong
SCO1489-SCO3328,SCO1489,SCO3328,+-,Strong
SCO1489-whiG,SCO1489,whiG,-,Strong
SCO1489-SCO7337,SCO1489,SCO7337,-,Strong
SCO1489-SCOt24,SCO1489,SCOt24,-,Strong
SCO1489-ftsZ,SCO1489,ftsZ,-,Strong
SCO1489-sti1,SCO1489,sti1,-,Strong
SCO4596-bfr,SCO4596,bfr,+,Strong
SCO4596-SCO4596,SCO4596,SCO4596,?,Strong
SCO4596-SCO3328,SCO4596,SCO3328,+,Strong
SCO4596-SCO6809,SCO4596,SCO6809,-,Strong
SCO4596-SCO6992,SCO4596,SCO6992,+,Strong
SCO4596-SCO0736,SCO4596,SCO0736,+,Strong
SCO4596-actII-4,SCO4596,actII-4,+,Strong
SCO2964-SCO2964,SCO2964,SCO2964,+,Strong
SCO1480-actII-4,SCO1480,actII-4,?,Strong
SCO1480-redD,SCO1480,redD,?,Strong
SCO3063-SCO2026,SCO3063,SCO2026,?,Strong
SCO3063-SCO2833,SCO3063,SCO2833,+,Strong
SCO3063-SCO2014,SCO3063,SCO2014,+,Strong
SCO3063-SCO6198,SCO3063,SCO6198,?,Strong
SCO3063-SCO6706,SCO3063,SCO6706,?,Strong
SCO3063-SCO6222,SCO3063,SCO6222,-,Strong
SCO3063-SCO7336,SCO3063,SCO7336,?,Strong
SCO3063-SCO3139,SCO3063,SCO3139,+,Strong
SCO3063-SCO0072,SCO3063,SCO0072,?,Strong
SCO3063-SCO1147,SCO3063,SCO1147,+,Strong
SCO3063-SCO1753,SCO3063,SCO1753,?,Strong
SCO3063-SCO6705,SCO3063,SCO6705,?,Strong
SCO3063-SCO5393,SCO3063,SCO5393,-,Strong
SCO3063-SCO4883,SCO3063,SCO4883,-,Strong
SCO3063-SCO6748,SCO3063,SCO6748,-,Strong
SCO3063-SCO7337,SCO3063,SCO7337,?,Strong
SCO3063-SCO6280,SCO3063,SCO6280,-,Strong
SCO3063-actII-4,SCO3063,actII-4,+,Strong
SCO5405-SCO7681,SCO5405,SCO7681,-,Strong
SCO5405-SCO7682,SCO5405,SCO7682,-,Strong
SCO5405-SCO2183,SCO5405,SCO2183,-,Strong
SCO5405-SCO2371,SCO5405,SCO2371,-,Strong
SCO5405-redD,SCO5405,redD,?,Strong
SCO5405-actII-4,SCO5405,actII-4,?,Strong
afsQ1-SCO6276,afsQ1,SCO6276,+,Strong
afsQ1-SCO6275,afsQ1,SCO6275,+,Strong
afsQ1-SCO0674,afsQ1,SCO0674,?,Strong
afsQ1-SCO4596,afsQ1,SCO4596,+,Strong
afsQ1-SCO2527,afsQ1,SCO2527,?,Strong
afsQ1-SCO4777,afsQ1,SCO4777,?,Strong
afsQ1-SCO3999,afsQ1,SCO3999,?,Strong
afsQ1-SCO2978,afsQ1,SCO2978,+,Strong
afsQ1-SCO2529,afsQ1,SCO2529,-,Strong
afsQ1-SCO2210,afsQ1,SCO2210,-,Strong
afsQ1-SCO0812,afsQ1,SCO0812,?,Strong
afsQ1-whiD,afsQ1,whiD,-,Strong
afsQ1-SCO4908,afsQ1,SCO4908,+,Strong
afsQ1-SCO5881,afsQ1,SCO5881,+,Strong
afsQ1-SCO1839,afsQ1,SCO1839,?,Strong
afsQ1-SCO4561,afsQ1,SCO4561,?,Strong
afsQ1-leuA,afsQ1,leuA,?,Strong
afsQ1-SCO4142,afsQ1,SCO4142,+,Strong
afsQ1-gap,afsQ1,gap,?,Strong
afsQ1-rbsA1,afsQ1,rbsA1,?,Strong
afsQ1-SCO2473,afsQ1,SCO2473,?,Strong
afsQ1-SCO5583,afsQ1,SCO5583,-,Strong
