id,NDA,Color
SCO6728,Basal machinery,#3ed874
SCO1489,Global regulator,#a207ef
SCO2967,Basal machinery,#3ed874
dnaJ1,M2,#c16117
SCO4596,Global regulator,#a207ef
SCO2964,Basal machinery,#3ed874
SCO2611,Basal machinery,#3ed874
SCO1480,M3,#473ee8
SCO3063,Global regulator,#a207ef
SCO5583,Basal machinery,#3ed874
SCO5584,Basal machinery,#3ed874
SCO3261,Basal machinery,#3ed874
SCO7337,Basal machinery,#3ed874
SCO7336,Basal machinery,#3ed874
SCO2914,Basal machinery,#3ed874
katG,M23,#677def
SCO6345,Basal machinery,#3ed874
SCO6344,Basal machinery,#3ed874
SCO5405,Global regulator,#a207ef
SCO7682,Basal machinery,#3ed874
SCO1147,Basal machinery,#3ed874
SCO2686,Basal machinery,#3ed874
SCO5032,M21,#333896
afsQ1,Global regulator,#a207ef
ureA,Basal machinery,#3ed874
SCO7632,Basal machinery,#3ed874
SCO2817,Basal machinery,#3ed874
dmdR1,M13,#d6851b
SCO3362,M30,#edaa5a
SCO3361,M30,#edaa5a
SCO5326,Basal machinery,#3ed874
SCO5320,Basal machinery,#3ed874
SCO5321,M11,#6eacd3
SCOt24,Basal machinery,#3ed874
sigB,M28,#8637fc
sigE,Global regulator,#a207ef
sigF,M11,#6eacd3
sigI,Basal machinery,#3ed874
sigH,Global regulator,#a207ef
SCO1700,Basal machinery,#3ed874
sigR,Global regulator,#a207ef
rpoZ,Basal machinery,#3ed874
SCO4142,Basal machinery,#3ed874
SCO6614,Basal machinery,#3ed874
SCO2387,M12,#338e02
SCO2386,M12,#338e02
SCO1967,Basal machinery,#3ed874
SCO5819,M5,#70a9d1
SCO1845,Basal machinery,#3ed874
SCO1844,Basal machinery,#3ed874
SCO2262,Basal machinery,#3ed874
SCO1968,Basal machinery,#3ed874
SCO3791,Basal machinery,#3ed874
SCO3790,Basal machinery,#3ed874
SCO4034,Basal machinery,#3ed874
valS,Basal machinery,#3ed874
SCO1568,Basal machinery,#3ed874
rpsD,Basal machinery,#3ed874
rpsL,Basal machinery,#3ed874
SCO4248,Basal machinery,#3ed874
SCO4249,Basal machinery,#3ed874
SCO1565,Basal machinery,#3ed874
SCO0186,M26,#29b7f4
SCO6288,Basal machinery,#3ed874
SCO6289,Basal machinery,#3ed874
SCO6282,Basal machinery,#3ed874
SCO6283,Basal machinery,#3ed874
SCO6280,Basal machinery,#3ed874
SCO6286,Global regulator,#a207ef
SCO3226,M24,#3de2bc
SCO3225,Basal machinery,#3ed874
SCO3224,Basal machinery,#3ed874
redD,M3,#473ee8
SCO5864,Basal machinery,#3ed874
SCO6040,Basal machinery,#3ed874
SCO6041,Basal machinery,#3ed874
ectA,Basal machinery,#3ed874
SCO6265,Global regulator,#a207ef
SCO6266,M1,#98f9cf
SCO4561,Basal machinery,#3ed874
SCO7393,Basal machinery,#3ed874
SCO4262,Basal machinery,#3ed874
SCO2727,Basal machinery,#3ed874
SCO6300,Basal machinery,#3ed874
SCO6268,Basal machinery,#3ed874
SCO4402,Basal machinery,#3ed874
SCO4768,M4,#06c9c2
SCO3133,Global regulator,#a207ef
SCO3130,M17,#daffb2
SCO3139,Basal machinery,#3ed874
SCO1196,Basal machinery,#3ed874
SCO2924,Basal machinery,#3ed874
SCO2928,M14,#4aefea
SCO2428,Basal machinery,#3ed874
SCO5281,Basal machinery,#3ed874
trxB,Basal machinery,#3ed874
htpX1,Basal machinery,#3ed874
trxA,Basal machinery,#3ed874
tam,Basal machinery,#3ed874
SCO7681,Basal machinery,#3ed874
SCO1429,Basal machinery,#3ed874
SCO7094,M16,#ad2f0f
SCO1581,Basal machinery,#3ed874
SCO0607,Basal machinery,#3ed874
SCO0608,Global regulator,#a207ef
SCO5447,Basal machinery,#3ed874
SCO5912,Basal machinery,#3ed874
SCO5911,Basal machinery,#3ed874
SCO0034,Basal machinery,#3ed874
rbsA1,Basal machinery,#3ed874
SCO2101,Basal machinery,#3ed874
SCO2103,Basal machinery,#3ed874
SCO0736,Basal machinery,#3ed874
glnA,Basal machinery,#3ed874
sti1,Basal machinery,#3ed874
SCO0256,Basal machinery,#3ed874
SCO0255,Basal machinery,#3ed874
SCO4158,Basal machinery,#3ed874
SCO4293,Basal machinery,#3ed874
SCO2210,Basal machinery,#3ed874
SCO5033,M21,#333896
SCO4921,Basal machinery,#3ed874
SCO2350,Basal machinery,#3ed874
SCO6460,M7,#db7e76
SCO2978,Basal machinery,#3ed874
SCO2603,Basal machinery,#3ed874
SCO6222,Basal machinery,#3ed874
SCO1394,Basal machinery,#3ed874
SCO1397,Basal machinery,#3ed874
SCO1390,Basal machinery,#3ed874
SCO1393,Basal machinery,#3ed874
SCO4683,Basal machinery,#3ed874
grpE,M2,#c16117
ftsZ,Basal machinery,#3ed874
SCO5004,Basal machinery,#3ed874
mdh,Basal machinery,#3ed874
SCO5552,Global regulator,#a207ef
SCO5003,Basal machinery,#3ed874
SCO5550,Basal machinery,#3ed874
SCO6451,M27,#cb06e5
SCO6985,Basal machinery,#3ed874
SCO1178,Basal machinery,#3ed874
rex,Basal machinery,#3ed874
SCO0812,Basal machinery,#3ed874
whiG,M5,#70a9d1
whiD,Basal machinery,#3ed874
whiB,M3,#473ee8
SCO6681,M29,#3cd83f
SCO7177,Basal machinery,#3ed874
SCO7176,Basal machinery,#3ed874
SCO3291,M20,#83efc6
SCO0379,M10,#5dcc3f
SCO5315,Basal machinery,#3ed874
SCO1678,M22,#31a80d
SCO1679,M22,#31a80d
hspR,M2,#c16117
SCO2782,M13,#d6851b
argR,Global regulator,#a207ef
argH,Basal machinery,#3ed874
carB,Basal machinery,#3ed874
argC,Basal machinery,#3ed874
SCO0675,Basal machinery,#3ed874
SCO0674,Basal machinery,#3ed874
argF,Basal machinery,#3ed874
argG,Basal machinery,#3ed874
SCO3731,Basal machinery,#3ed874
lon,Basal machinery,#3ed874
SCO2527,Basal machinery,#3ed874
rsrA,Basal machinery,#3ed874
SCO2529,Basal machinery,#3ed874
SCO0072,Basal machinery,#3ed874
ahpD,M21,#333896
SCO0204,Global regulator,#a207ef
SCO0207,Basal machinery,#3ed874
SCO0200,Basal machinery,#3ed874
serS,Basal machinery,#3ed874
SCO5778,Global regulator,#a207ef
SCO5777,Basal machinery,#3ed874
SCO5776,Basal machinery,#3ed874
SCO5775,Basal machinery,#3ed874
SCO5774,Basal machinery,#3ed874
SCO0208,Basal machinery,#3ed874
SCO0194,M26,#29b7f4
SCO5072,Basal machinery,#3ed874
SCO0191,M26,#29b7f4
SCO6170,Basal machinery,#3ed874
SCO3230,Basal machinery,#3ed874
SCO6071,Basal machinery,#3ed874
dnaK,M2,#c16117
SCO5707,Basal machinery,#3ed874
SCO4879,Basal machinery,#3ed874
SCO4878,Basal machinery,#3ed874
SCO1135,M19,#6afcb0
SCO1134,M19,#6afcb0
SCO2987,M9,#edc282
SCO2986,M9,#edc282
SCO1133,M19,#6afcb0
SCO1132,M19,#6afcb0
SCO6706,Basal machinery,#3ed874
SCO6705,Basal machinery,#3ed874
SCO4777,Basal machinery,#3ed874
SCO4471,Basal machinery,#3ed874
SCO1215,Basal machinery,#3ed874
SCO5999,Basal machinery,#3ed874
SCO7314,Basal machinery,#3ed874
SCO6685,M29,#3cd83f
dasR,Global regulator,#a207ef
SCO3128,M17,#daffb2
SCO3129,M17,#daffb2
SCO5673,Basal machinery,#3ed874
SCO2026,Basal machinery,#3ed874
SCO7428,M16,#ad2f0f
SCO5423,Basal machinery,#3ed874
ecaA,Basal machinery,#3ed874
SCO2183,Basal machinery,#3ed874
SCO4503,Basal machinery,#3ed874
SCO1430,Basal machinery,#3ed874
SCO1434,Basal machinery,#3ed874
SCO7339,Basal machinery,#3ed874
SCO7225,Basal machinery,#3ed874
SCO1753,Basal machinery,#3ed874
ecaD1,Basal machinery,#3ed874
SCO5226,Basal machinery,#3ed874
bfr,Basal machinery,#3ed874
nagB,Basal machinery,#3ed874
SCO3868,Basal machinery,#3ed874
SCO3901,Basal machinery,#3ed874
SCO3867,Basal machinery,#3ed874
leuB,Basal machinery,#3ed874
leuC,Basal machinery,#3ed874
leuA,Basal machinery,#3ed874
SCO1863,Basal machinery,#3ed874
afsR,Global regulator,#a207ef
SCO4284,Basal machinery,#3ed874
SCO4285,Basal machinery,#3ed874
SCO6033,Basal machinery,#3ed874
SCO6032,Basal machinery,#3ed874
SCO4118,M15.1,#728913
afsK,Basal machinery,#3ed874
hisD,Basal machinery,#3ed874
SCO1541,Basal machinery,#3ed874
SCO6198,Basal machinery,#3ed874
SCO1547,Basal machinery,#3ed874
SCO6194,M18,#b57d7c
SCO6195,M18,#b57d7c
SCO3082,Basal machinery,#3ed874
SCO3081,Basal machinery,#3ed874
SCO3249,Basal machinery,#3ed874
SCO4947,Basal machinery,#3ed874
SCO4237,Basal machinery,#3ed874
SCO5881,M24,#3de2bc
SCO4230,Global regulator,#a207ef
SCO6102,Basal machinery,#3ed874
SCO5544,Basal machinery,#3ed874
SCO5545,Basal machinery,#3ed874
SCO2068,Basal machinery,#3ed874
SCO2700,Basal machinery,#3ed874
SCO4924,Basal machinery,#3ed874
SCO5393,Basal machinery,#3ed874
SCO4425,Basal machinery,#3ed874
SCO6004,Basal machinery,#3ed874
SCO7263,Basal machinery,#3ed874
rpmF2,Basal machinery,#3ed874
SCO3013,M5,#70a9d1
actIII,Basal machinery,#3ed874
SCO0800,Basal machinery,#3ed874
SCO0801,Basal machinery,#3ed874
SCO6008,M3,#473ee8
SCO7613,Basal machinery,#3ed874
SCO5087,Basal machinery,#3ed874
SCO6748,Basal machinery,#3ed874
SCO7340,Basal machinery,#3ed874
SCO5082,M8,#91e554
SCO7164,Basal machinery,#3ed874
SCO7165,Basal machinery,#3ed874
SCO2833,Basal machinery,#3ed874
SCO7167,M6,#a939d6
SCO5260,M15.2,#efa5ea
SCO7162,Basal machinery,#3ed874
SCO7163,Basal machinery,#3ed874
SCO7000,Basal machinery,#3ed874
SCO7168,M6,#a939d6
mshA,Basal machinery,#3ed874
SCO2400,Basal machinery,#3ed874
SCO4883,Basal machinery,#3ed874
SCO2015,Basal machinery,#3ed874
SCO2014,Basal machinery,#3ed874
SCO2404,Basal machinery,#3ed874
SCO3323,M4,#06c9c2
SCO0666,M28,#8637fc
SCO1444,Basal machinery,#3ed874
SCO2792,Global regulator,#a207ef
SCO6256,Global regulator,#a207ef
SCO6992,Basal machinery,#3ed874
SCO3943,Basal machinery,#3ed874
SCO6312,Basal machinery,#3ed874
mca,Basal machinery,#3ed874
gap,Basal machinery,#3ed874
SCO2532,Basal machinery,#3ed874
SCO1906,Basal machinery,#3ed874
SCO1909,Basal machinery,#3ed874
SCO2120,Global regulator,#a207ef
SCO1619,Basal machinery,#3ed874
SCO4011,Basal machinery,#3ed874
SCO1346,Basal machinery,#3ed874
SCO1347,Basal machinery,#3ed874
SCO1221,Basal machinery,#3ed874
