id,source,target
rivRX-SpyM51815,rivRX,SpyM51815
rivRX-SpyM50536,rivRX,SpyM50536
rivRX-SpyM50091,rivRX,SpyM50091
rivRX-SpyM50613,rivRX,SpyM50613
SpyM50803-SpyM50805,SpyM50803,SpyM50805
SpyM50803-SpyM51653,SpyM50803,SpyM51653
SpyM50803-SpyM50801,SpyM50803,SpyM50801
SpyM50803-SpyM50800,SpyM50803,SpyM50800
SpyM50103-SpyM50105,SpyM50103,SpyM50105
SpyM50103-hslO,SpyM50103,hslO
SpyM50103-SpyM51698,SpyM50103,SpyM51698
SpyM50103-SpyM51825,SpyM50103,SpyM51825
SpyM50103-SpyM50107,SpyM50103,SpyM50107
SpyM50103-SpyM51671,SpyM50103,SpyM51671
SpyM50103-SpyM50101,SpyM50103,SpyM50101
SpyM50103-SpyM50103,SpyM50103,SpyM50103
SpyM50103-SpyM50100,SpyM50103,SpyM50100
SpyM50103-SpyM50106a,SpyM50103,SpyM50106a
SpyM50103-SpyM50136,SpyM50103,SpyM50136
SpyM50103-SpyM51686,SpyM50103,SpyM51686
SpyM50109-SpyM50103,SpyM50109,SpyM50103
codY-SpyM50229,codY,SpyM50229
codY-SpyM50228,codY,SpyM50228
codY-SpyM50308,codY,SpyM50308
codY-SpyM51662,codY,SpyM51662
codY-SpyM51701,codY,SpyM51701
codY-xpt,codY,xpt
codY-oppA of oppABCDF operon,codY,oppA of oppABCDF operon
codY-SpyM50820,codY,SpyM50820
codY-SpyM51021,codY,SpyM51021
codY-codY,codY,codY
codY-SpyM51128,codY,SpyM51128
codY-SpyM51167,codY,SpyM51167
codY-SpyM50230,codY,SpyM50230
codY-SpyM50231,codY,SpyM50231
codY-SpyM51127,codY,SpyM51127
codY-SpyM51673,codY,SpyM51673
codY-SpyM51572,codY,SpyM51572
codY-SpyM51573,codY,SpyM51573
codY-asnA,codY,asnA
codY-SpyM50931,codY,SpyM50931
codY-arcA,codY,arcA
codY-SpyM50135,codY,SpyM50135
codY-SpyM50134,codY,SpyM50134
codY-SpyM50136,codY,SpyM50136
codY-SpyM51246,codY,SpyM51246
codY-SpyM51247,codY,SpyM51247
SpyM51573-rivRX,SpyM51573,rivRX
SpyM51573-SpyM50151,SpyM51573,SpyM50151
SpyM51573-SpyM50150,SpyM51573,SpyM50150
SpyM51573-SpyM51387,SpyM51573,SpyM51387
SpyM51573-luxS,SpyM51573,luxS
SpyM51573-SpyM51701,SpyM51573,SpyM51701
SpyM51573-SpyM50175,SpyM51573,SpyM50175
SpyM51573-SpyM51702,SpyM51573,SpyM51702
SpyM51573-SpyM50176,SpyM51573,SpyM50176
SpyM51573-SpyM51239,SpyM51573,SpyM51239
SpyM51573-SpyM51698,SpyM51573,SpyM51698
SpyM51573-SpyM51824,SpyM51573,SpyM51824
SpyM51573-SpyM51674,SpyM51573,SpyM51674
