id,NDA,Color
SpyM50175,Basal machinery,#a468ff
SpyM50176,Basal machinery,#a468ff
SpyM50578,Basal machinery,#a468ff
clpP,Basal machinery,#a468ff
oppA of oppABCDF operon,Basal machinery,#a468ff
SpyM50105,Basal machinery,#a468ff
SpyM50107,Basal machinery,#a468ff
SpyM50100,Basal machinery,#a468ff
SpyM50101,Basal machinery,#a468ff
SpyM50103,Global regulator,#70f98b
SpyM50580,Basal machinery,#a468ff
SpyM50581,Basal machinery,#a468ff
SpyM50582,Basal machinery,#a468ff
SpyM50109,Basal machinery,#a468ff
codY,Global regulator,#70f98b
SpyM50317,Basal machinery,#a468ff
SpyM50316,Basal machinery,#a468ff
SpyM50319,Basal machinery,#a468ff
SpyM50318,Basal machinery,#a468ff
SpyM51675,Basal machinery,#a468ff
SpyM51674,Basal machinery,#a468ff
SpyM51677,Basal machinery,#a468ff
SpyM51676,Basal machinery,#a468ff
SpyM51671,Basal machinery,#a468ff
SpyM51673,Basal machinery,#a468ff
SpyM51572,Basal machinery,#a468ff
SpyM51573,Global regulator,#70f98b
SpyM50089,Basal machinery,#a468ff
SpyM50088,Basal machinery,#a468ff
asnA,Basal machinery,#a468ff
SpyM51680,Basal machinery,#a468ff
SpyM51683,Global regulator,#70f98b
SpyM50075,Global regulator,#70f98b
SpyM50076,Basal machinery,#a468ff
SpyM50077,Basal machinery,#a468ff
SpyM50229,Basal machinery,#a468ff
SpyM50228,Basal machinery,#a468ff
SpyM51017,M1.1,#42e57e
SpyM50154,Global regulator,#70f98b
SpyM50151,Basal machinery,#a468ff
SpyM50150,Basal machinery,#a468ff
SpyM50220,Basal machinery,#a468ff
SpyM50550,Basal machinery,#a468ff
SpyM51709,Basal machinery,#a468ff
SpyM51387,Basal machinery,#a468ff
SpyM51701,Global regulator,#70f98b
SpyM51814,Basal machinery,#a468ff
SpyM51702,Basal machinery,#a468ff
SpyM51128,M1.2,#9aa1f9
SpyM51659,Basal machinery,#a468ff
SpyM50931,Basal machinery,#a468ff
SpyM51653,Basal machinery,#a468ff
