id,NDA,Color
pafA,Basal machinery,#ede853
cg2149,M21,#7de097
cg2148,M21,#7de097
cg2147,M21,#7de097
cg2146,Basal machinery,#ede853
clgR,M23.2,#e85230
crtR,M20,#fcb688
dnaJ2,M23.2,#e85230
cg2036,Basal machinery,#ede853
cg2034,M26,#2ed3f4
cmk,Basal machinery,#ede853
cg2030,Basal machinery,#ede853
cg2529,Basal machinery,#ede853
cg1274,Basal machinery,#ede853
cg3032,Basal machinery,#ede853
cg3033,Basal machinery,#ede853
cg3035,Basal machinery,#ede853
cg3036,Basal machinery,#ede853
cg3037,Basal machinery,#ede853
cg2521,Basal machinery,#ede853
cg3039,Basal machinery,#ede853
cg2523,Basal machinery,#ede853
cg1276,Basal machinery,#ede853
cg2527,Basal machinery,#ede853
cg2526,Basal machinery,#ede853
cg1277,Basal machinery,#ede853
cg1902,Basal machinery,#ede853
cg1951,Basal machinery,#ede853
cg1421,M23.4,#221c9e
cg1423,Basal machinery,#ede853
cg1427,M26,#2ed3f4
cg1426,M23.2,#e85230
cg1429,Basal machinery,#ede853
kup,Basal machinery,#ede853
cg2457,Basal machinery,#ede853
cg2451,Basal machinery,#ede853
cg2453,Basal machinery,#ede853
cg2452,Basal machinery,#ede853
cg2459,Basal machinery,#ede853
cg2458,Basal machinery,#ede853
cg2859,Basal machinery,#ede853
cg2851,Basal machinery,#ede853
cg2850,Basal machinery,#ede853
cg2853,Basal machinery,#ede853
cg2852,Basal machinery,#ede853
cg2856,Basal machinery,#ede853
gltX,Basal machinery,#ede853
cg1398,Basal machinery,#ede853
cg1393,Basal machinery,#ede853
cg1392,Basal machinery,#ede853
cg1396,Basal machinery,#ede853
cg1394,Basal machinery,#ede853
gpsA,Basal machinery,#ede853
cg1559,M26,#2ed3f4
cg1888,Basal machinery,#ede853
gltA,M23.1,#0c5e60
cg1556,Basal machinery,#ede853
cg1551,Basal machinery,#ede853
cg1550,Basal machinery,#ede853
cg1553,M17,#58efa6
sugR,M23.1,#0c5e60
cg1375,Basal machinery,#ede853
cg1374,Basal machinery,#ede853
cg1373,Basal machinery,#ede853
cg1372,Basal machinery,#ede853
cg1295,M23.1,#0c5e60
cg2145,Basal machinery,#ede853
glgE,Basal machinery,#ede853
cg1087,Basal machinery,#ede853
cg1086,Basal machinery,#ede853
cg1085,Basal machinery,#ede853
cg1082,M13,#6ee58b
cg1081,M13,#6ee58b
cg1080,M26,#2ed3f4
cg1089,Basal machinery,#ede853
cg1088,Basal machinery,#ede853
cg1778,Intermodular,#c9fffe
cg1771,Basal machinery,#ede853
cg0840,Basal machinery,#ede853
cg1774,Intermodular,#c9fffe
cg3318,Basal machinery,#ede853
lpqB,Basal machinery,#ede853
disA,Basal machinery,#ede853
cg2746,Basal machinery,#ede853
uppP,Basal machinery,#ede853
arsC1,M18,#0bc160
cg1173,Basal machinery,#ede853
cg1172,Basal machinery,#ede853
cg1171,Basal machinery,#ede853
era,Basal machinery,#ede853
cg1174,Basal machinery,#ede853
cg1179,Basal machinery,#ede853
cgtR6,Basal machinery,#ede853
mnmA,Basal machinery,#ede853
gatA,Basal machinery,#ede853
gatB,Basal machinery,#ede853
gatC,Basal machinery,#ede853
cg0178,Basal machinery,#ede853
cg0171,Basal machinery,#ede853
cg0173,Basal machinery,#ede853
cg0175,Basal machinery,#ede853
cg0176,Basal machinery,#ede853
cg0177,Basal machinery,#ede853
cg1753,Basal machinery,#ede853
cg0282,M23.19,#95ea91
cg0283,Basal machinery,#ede853
cg0280,Basal machinery,#ede853
cg0281,Basal machinery,#ede853
cg0286,Basal machinery,#ede853
cg0284,Basal machinery,#ede853
cg0285,Basal machinery,#ede853
cg0772,Basal machinery,#ede853
cg0773,Basal machinery,#ede853
cg0770,Basal machinery,#ede853
