id,source,target,Effect,Evidence
clgR-cg2873,clgR,cg2873,+,Strong
clgR-cg0892,clgR,cg0892,+,Strong
clgR-clpP2,clgR,clpP2,+,Strong
clgR-clpP1,clgR,clpP1,+,Strong
clgR-cg0297,clgR,cg0297,+,Strong
clgR-recR,clgR,recR,+,Strong
clgR-clpC,clgR,clpC,+,Strong
clgR-cg2126,clgR,cg2126,+,Strong
crtR-cg0718,crtR,cg0718,-,Strong
crtR-cg0719,crtR,cg0719,-,Strong
crtR-crtR,crtR,crtR,-,Strong
crtR-cg0722,crtR,cg0722,-,Strong
crtR-cg0721,crtR,cg0721,-,Strong
crtR-cg0720,crtR,cg0720,-,Strong
crtR-cg0723,crtR,cg0723,-,Strong
crtR-cg0717,crtR,cg0717,-,Strong
sugR-fruR,sugR,fruR,-,Strong
sugR-ldh,sugR,ldh,-,Strong
sugR-pgi,sugR,pgi,-,Weak
sugR-fba,sugR,fba,-,Strong
sugR-cg0639,sugR,cg0639,-,Weak
sugR-alr,sugR,alr,-,Weak
sugR-cg0642,sugR,cg0642,-,Weak
sugR-cg0641,sugR,cg0641,-,Weak
sugR-ctaB,sugR,ctaB,-,Weak
sugR-cg0680,sugR,cg0680,-,Weak
sugR-cg0644,sugR,cg0644,-,Weak
sugR-cg0645,sugR,cg0645,-,Weak
sugR-eno,sugR,eno,-,Strong
sugR-cg1778,sugR,cg1778,-,Weak
sugR-opcA,sugR,opcA,-,Weak
sugR-cg2796,sugR,cg2796,-,Weak
sugR-cg1774,sugR,cg1774,-,Weak
sugR-cg2795,sugR,cg2795,-,Weak
sugR-cg1285,sugR,cg1285,-,Weak
sugR-cg1284,sugR,cg1284,-,Weak
sugR-cg1283,sugR,cg1283,-,Weak
sugR-ptsS,sugR,ptsS,-,Strong
sugR-gap,sugR,gap,-,Strong
sugR-ptsI,sugR,ptsI,-,Strong
sugR-ptsH,sugR,ptsH,-,Strong
sugR-cg1408,sugR,cg1408,-,Weak
sugR-ptsM,sugR,ptsM,-,Strong
sugR-cg2833,sugR,cg2833,-,Weak
sugR-ramA,sugR,ramA,-,Strong
sugR-pfkA,sugR,pfkA,-,Strong
sugR-cg0637,sugR,cg0637,-,Weak
sugR-cg2262,sugR,cg2262,-,Weak
sugR-cg3366,sugR,cg3366,-,Weak
sugR-cg2157,sugR,cg2157,-,Weak
sugR-pfkB,sugR,pfkB,-,Strong
sugR-cg0638,sugR,cg0638,-,Weak
sugR-cg1776,sugR,cg1776,-,Weak
sugR-pyk,sugR,pyk,-,Strong
sugR-cg3365,sugR,cg3365,-,Weak
sugR-cg2120,sugR,cg2120,-,Strong
sugR-lpd,sugR,lpd,-,Weak
sugR-cg2116,sugR,cg2116,-,Weak
sugR-sugR,sugR,sugR,-,Weak
glnK-amtR,glnK,amtR,-,Weak
cg2737-cg0957,cg2737,cg0957,-,Strong
cg2737-cg0802,cg2737,cg0802,-,Strong
cg2737-dtsR1,cg2737,dtsR1,-,Strong
cg2737-cg2743,cg2737,cg2743,-,Strong
ftsR-ftsZ,ftsR,ftsZ,+,Strong
whiA-cg2363,whiA,cg2363,+,Strong
whiA-WhcD-WhiA,whiA,WhcD-WhiA,+,Strong
whiA-dtsR1,whiA,dtsR1,+,Strong
whiA-ftsZ,whiA,ftsZ,+,Strong
gntR2-pgi,gntR2,pgi,-,Strong
gntR2-cg0291,gntR2,cg0291,-,Weak
gntR2-cg2616,gntR2,cg2616,-,Weak
gntR2-gntR1,gntR2,gntR1,+,Weak
gntR2-siaI,gntR2,siaI,+,Weak
gntR2-cg2733,gntR2,cg2733,-,Weak
gntR2-prpD1,gntR2,prpD1,-,Weak
gntR2-cg2399,gntR2,cg2399,+,Weak
gntR2-cg1642,gntR2,cg1642,-,Weak
gntR2-cg1778,gntR2,cg1778,-,Strong
gntR2-prpB1,gntR2,prpB1,-,Weak
gntR2-cg0385,gntR2,cg0385,-,Weak
gntR2-ddl,gntR2,ddl,+,Weak
gntR2-cg0211,gntR2,cg0211,+,Weak
gntR2-opcA,gntR2,opcA,-,Strong
gntR2-rplA,gntR2,rplA,+,Weak
gntR2-cg1774,gntR2,cg1774,-,Strong
gntR2-cg2691,gntR2,cg2691,+,Weak
gntR2-cg1776,gntR2,cg1776,-,Strong
gntR2-gntR2,gntR2,gntR2,+,Weak
gntR2-leuD,gntR2,leuD,+,Weak
gntR2-cg1589,gntR2,cg1589,-,Weak
gntR2-tsaD,gntR2,tsaD,+,Weak
gntR2-leuC,gntR2,leuC,+,Weak
gntR2-sutR,gntR2,sutR,-,Weak
gntR2-ptsS,gntR2,ptsS,+,Strong
gntR2-prpC1,gntR2,prpC1,-,Weak
gntR2-cg3399,gntR2,cg3399,-,Weak
gntR2-cg1002,gntR2,cg1002,+,Weak
gntR2-cg0658,gntR2,cg0658,+,Weak
gntR2-cg0286,gntR2,cg0286,+,Weak
gntR2-pckG,gntR2,pckG,+,Strong
gntR2-serA,gntR2,serA,+,Weak
gntR2-atpC,gntR2,atpC,-,Weak
gntR2-cg2725,gntR2,cg2725,+,Weak
gntR2-cg0770,gntR2,cg0770,+,Weak
gntR2-gntP,gntR2,gntP,-,Strong
gntR2-cg1255,gntR2,cg1255,-,Weak
gntR2-cg0144,gntR2,cg0144,-,Weak
gntR2-cg0751,gntR2,cg0751,+,Weak
gntR2-cg0143,gntR2,cg0143,-,Weak
gntR2-gntV,gntR2,gntV,-,Strong
gntR2-cg0082,gntR2,cg0082,+,Weak
gntR2-sucD,gntR2,sucD,-,Weak
gntR2-cg1643,gntR2,cg1643,-,Strong
gntR2-uraA,gntR2,uraA,+,Weak
gntR2-ptsM,gntR2,ptsM,+,Strong
gntR2-cg1454,gntR2,cg1454,-,Weak
gntR2-cg2810,gntR2,cg2810,-,Weak
gntR1-cg1069,gntR1,cg1069,+,Strong
gntR1-cg1642,gntR1,cg1642,-,Weak
gntR1-pgi,gntR1,pgi,-,Strong
gntR1-cg0291,gntR1,cg0291,-,Weak
gntR1-cg2616,gntR1,cg2616,-,Weak
gntR1-gntR1,gntR1,gntR1,+,Weak
gntR1-cg0658,gntR1,cg0658,+,Weak
gntR1-siaI,gntR1,siaI,+,Weak
gntR1-cg2733,gntR1,cg2733,-,Weak
gntR1-cg3335,gntR1,cg3335,+,Strong
gntR1-prpD1,gntR1,prpD1,-,Weak
gntR1-cg2399,gntR1,cg2399,+,Weak
gntR1-icd,gntR1,icd,+,Strong
gntR1-cg1778,gntR1,cg1778,-,Strong
gntR1-prpB1,gntR1,prpB1,-,Weak
gntR1-cg0385,gntR1,cg0385,-,Weak
gntR1-ddl,gntR1,ddl,+,Weak
gntR1-cg0211,gntR1,cg0211,+,Weak
gntR1-opcA,gntR1,opcA,-,Strong
gntR1-rplA,gntR1,rplA,+,Weak
gntR1-cg1774,gntR1,cg1774,-,Strong
gntR1-cg2691,gntR1,cg2691,+,Weak
gntR1-cg1776,gntR1,cg1776,-,Strong
gntR1-gntR2,gntR1,gntR2,+,Weak
gntR1-leuD,gntR1,leuD,+,Weak
