id,NDA,Color
pafA,Basal machinery,#c153a6
speE,Basal machinery,#c153a6
cg2149,M8,#a8afff
cg2148,M8,#a8afff
cg2635,M10.15,#b7f2f4
cg2634,M10.15,#b7f2f4
cg2637,M10.15,#b7f2f4
cg2147,M8,#a8afff
cg2146,Basal machinery,#c153a6
clgR,M10.4,#4141a3
crtR,M10.16,#50f4aa
dnaJ2,M10.4,#4141a3
cg2036,Basal machinery,#c153a6
cg2034,M10.1,#fcc1ff
cmk,M10.1,#fcc1ff
cg2031,Basal machinery,#c153a6
cg2030,Basal machinery,#c153a6
cg2529,Basal machinery,#c153a6
cg1274,Basal machinery,#c153a6
cg3032,Basal machinery,#c153a6
cg3033,Basal machinery,#c153a6
cg3035,Basal machinery,#c153a6
cg3036,Basal machinery,#c153a6
cg3037,Basal machinery,#c153a6
cg2521,Basal machinery,#c153a6
cg3039,Basal machinery,#c153a6
cg2523,Basal machinery,#c153a6
cg1276,Basal machinery,#c153a6
cg2527,Basal machinery,#c153a6
cg2526,Basal machinery,#c153a6
cg1277,Basal machinery,#c153a6
cg1902,Basal machinery,#c153a6
cg1951,Basal machinery,#c153a6
cg2442,Basal machinery,#c153a6
cg1956,Basal machinery,#c153a6
cg1421,Intermodular,#db7691
cg1423,Basal machinery,#c153a6
cg1427,M10.1,#fcc1ff
cg1426,M10.4,#4141a3
cg1429,Basal machinery,#c153a6
kup,Basal machinery,#c153a6
cg2457,Basal machinery,#c153a6
cg2451,Basal machinery,#c153a6
cg2453,Basal machinery,#c153a6
cg2452,Basal machinery,#c153a6
cg3328,Basal machinery,#c153a6
cg2459,Basal machinery,#c153a6
cg2458,Basal machinery,#c153a6
cg2859,Basal machinery,#c153a6
cg3329,Intermodular,#db7691
cg2851,Basal machinery,#c153a6
cg2850,Basal machinery,#c153a6
cg2853,Basal machinery,#c153a6
cg2852,Basal machinery,#c153a6
cg2856,Basal machinery,#c153a6
gltX,Basal machinery,#c153a6
cg1398,Basal machinery,#c153a6
cg1393,Basal machinery,#c153a6
cg1392,Basal machinery,#c153a6
cg1396,Basal machinery,#c153a6
cg1394,Basal machinery,#c153a6
gpsA,Basal machinery,#c153a6
cg1559,M10.1,#fcc1ff
cg1888,Basal machinery,#c153a6
gltA,Basal machinery,#c153a6
gltB,Intermodular,#db7691
cg1551,Basal machinery,#c153a6
gltD,Intermodular,#db7691
cg1553,Intermodular,#db7691
sugR,M10.1,#fcc1ff
cg1375,Basal machinery,#c153a6
cg1374,Basal machinery,#c153a6
creA,M10.18,#8ec2e2
cg1373,Basal machinery,#c153a6
cg1372,Basal machinery,#c153a6
cg1295,M10.9,#a4f738
cg2145,Basal machinery,#c153a6
glgE,M10.4,#4141a3
cg1087,Basal machinery,#c153a6
cg1086,Basal machinery,#c153a6
cg1085,M10.1,#fcc1ff
cg1082,M10.1,#fcc1ff
cg1081,M10.1,#fcc1ff
cg1080,M10.1,#fcc1ff
cg1089,Basal machinery,#c153a6
cg1088,Basal machinery,#c153a6
cg1778,Intermodular,#db7691
cg1771,Basal machinery,#c153a6
cg0840,Basal machinery,#c153a6
cg1774,Intermodular,#db7691
cg3318,Basal machinery,#c153a6
lpqB,Basal machinery,#c153a6
disA,Basal machinery,#c153a6
cg2746,Basal machinery,#c153a6
uppP,Basal machinery,#c153a6
arsC1,M16,#f911b8
cg1173,Basal machinery,#c153a6
cg1172,Basal machinery,#c153a6
cg1171,Basal machinery,#c153a6
era,Basal machinery,#c153a6
cg1174,Basal machinery,#c153a6
cg1179,Basal machinery,#c153a6
cg2803,Basal machinery,#c153a6
cgtR6,Basal machinery,#c153a6
mnmA,Basal machinery,#c153a6
cg0616,Basal machinery,#c153a6
gatA,Basal machinery,#c153a6
gatB,Basal machinery,#c153a6
gatC,Basal machinery,#c153a6
cg0178,Basal machinery,#c153a6
cg0171,Basal machinery,#c153a6
cg0173,Basal machinery,#c153a6
cg0175,Basal machinery,#c153a6
cg0176,Basal machinery,#c153a6
eno,M10.1,#fcc1ff
glnK,M10.9,#a4f738
cg0282,M10.30,#048766
cg0283,Basal machinery,#c153a6
cg0280,Basal machinery,#c153a6
cg0281,Basal machinery,#c153a6
cg0286,M10.5,#b19ee5
cg0284,Basal machinery,#c153a6
cg0285,Basal machinery,#c153a6
cg0772,Basal machinery,#c153a6
cg0773,Basal machinery,#c153a6
cg0770,M10.5,#b19ee5
argC,Intermodular,#db7691
cg0776,Basal machinery,#c153a6
cg0777,Basal machinery,#c153a6
cg0774,Basal machinery,#c153a6
cg0775,Basal machinery,#c153a6
cg0778,Basal machinery,#c153a6
clpP2,M10.4,#4141a3
clpP1,M10.4,#4141a3
cg1759,M10.1,#fcc1ff
cg0918,Basal machinery,#c153a6
cg1158,Basal machinery,#c153a6
cg0911,Basal machinery,#c153a6
cg0914,Basal machinery,#c153a6
cg0915,Basal machinery,#c153a6
cg2739,Basal machinery,#c153a6
cg2734,Basal machinery,#c153a6
cg2735,Basal machinery,#c153a6
cg2736,Basal machinery,#c153a6
cg2737,M17,#dd8dd5
cg2733,Intermodular,#db7691
cg3157,Basal machinery,#c153a6
cg3153,Basal machinery,#c153a6
cg3159,Basal machinery,#c153a6
cg0591,Basal machinery,#c153a6
cg0352,Basal machinery,#c153a6
cg0353,Basal machinery,#c153a6
cg0354,Basal machinery,#c153a6
cg0355,Basal machinery,#c153a6
cg0356,Basal machinery,#c153a6
cg0606,Basal machinery,#c153a6
cg0359,Basal machinery,#c153a6
cg0826,Basal machinery,#c153a6
cg0824,M10.4,#4141a3
cg0822,Basal machinery,#c153a6
cg0823,M10.4,#4141a3
cg0820,Basal machinery,#c153a6
cg0821,Basal machinery,#c153a6
cg0828,Basal machinery,#c153a6
cg0829,Basal machinery,#c153a6
ureA,Intermodular,#db7691
cg2033,M10.3,#ce56ef
cg2608,Basal machinery,#c153a6
cg2604,Basal machinery,#c153a6
cg2605,Basal machinery,#c153a6
cg2606,Basal machinery,#c153a6
ftsH,Basal machinery,#c153a6
ftsR,M17,#dd8dd5
ftsQ,Basal machinery,#c153a6
ftsZ,M17,#dd8dd5
cg2190,Basal machinery,#c153a6
cg2191,Basal machinery,#c153a6
mdh,Basal machinery,#c153a6
cg2193,Basal machinery,#c153a6
cg2194,Basal machinery,#c153a6
ino1,M10.3,#ce56ef
cg2196,Basal machinery,#c153a6
cg2197,Basal machinery,#c153a6
cg2198,Basal machinery,#c153a6
cg2199,Basal machinery,#c153a6
cg2514,Basal machinery,#c153a6
cg2043,Basal machinery,#c153a6
cg2040,Basal machinery,#c153a6
cg2041,Basal machinery,#c153a6
cg2046,Basal machinery,#c153a6
ligA,Basal machinery,#c153a6
cg2044,Basal machinery,#c153a6
cg2528,Basal machinery,#c153a6
cg2518,Basal machinery,#c153a6
