id,NDA,Color
PA5088,Basal machinery,#053372
PA5085,M54,#6253bc
PA5087,Basal machinery,#053372
PA5082,M54,#6253bc
PA5083,M54,#6253bc
speH,Basal machinery,#053372
PA4735,Basal machinery,#053372
PA5149.1,Basal machinery,#053372
cioA,Basal machinery,#053372
cioB,Basal machinery,#053372
tolR,Basal machinery,#053372
tolQ,Basal machinery,#053372
PA3819,Basal machinery,#053372
PA2813,Basal machinery,#053372
PA2811,Basal machinery,#053372
tolB,Basal machinery,#053372
tolA,Basal machinery,#053372
glk,M18,#d85259
gltR,M18,#d85259
gltB,Basal machinery,#053372
gltD,Basal machinery,#053372
maeA,Basal machinery,#053372
armR,M4,#e2c44a
calB,M33,#abb6f4
rsaL,Global regulator,#6464bc
phzF1,Basal machinery,#053372
phzF2,Basal machinery,#053372
PA0959,Basal machinery,#053372
dnr,Global regulator,#6464bc
cupB3,Basal machinery,#053372
cupB1,M19,#e26ff7
PA3559,Basal machinery,#053372
PA2958.1,Basal machinery,#053372
tpbA,Basal machinery,#053372
PA0739,M20,#ea7a70
PA0042,Basal machinery,#053372
bfmR,M46,#211eb5
PA0601,M55,#98f2ad
PA0603,M55,#98f2ad
PA0605,M55,#98f2ad
agmR,Global regulator,#6464bc
PA0606,M55,#98f2ad
amiC,Basal machinery,#053372
PA0138,Basal machinery,#053372
PA0422,Basal machinery,#053372
lap,Basal machinery,#053372
kdpD,Basal machinery,#053372
amiR,Basal machinery,#053372
bphP,Basal machinery,#053372
clpP2,Basal machinery,#053372
clpP1,Basal machinery,#053372
arcA,Basal machinery,#053372
arcB,Basal machinery,#053372
arcC,Basal machinery,#053372
vfr,Global regulator,#6464bc
oprB,M18,#d85259
PA0557,Basal machinery,#053372
PA3759,Basal machinery,#053372
creD,Basal machinery,#053372
piuC,Basal machinery,#053372
PA3047,Basal machinery,#053372
PA3044,Basal machinery,#053372
PA3045,Basal machinery,#053372
acsA1,M11,#90f9a2
zwf,M35,#13d6bf
PA5384,M50,#74acdb
PA3959,Basal machinery,#053372
PA3951,Basal machinery,#053372
PA3952,Basal machinery,#053372
PA5388,M50,#74acdb
PA5471,M5,#fc0ca8
roxS,Global regulator,#6464bc
roxR,Global regulator,#6464bc
pchA,Basal machinery,#053372
prfA,Basal machinery,#053372
spdH,Basal machinery,#053372
oxyR,M32.1,#7ae876
PA1383,Basal machinery,#053372
trkH,Basal machinery,#053372
phzG1,Basal machinery,#053372
PA2812,Basal machinery,#053372
cupC3,Basal machinery,#053372
aprE,Basal machinery,#053372
aprD,Basal machinery,#053372
aprF,Basal machinery,#053372
aprA,M43,#eac4ff
PA2010,M6,#1b22b5
adhA,Basal machinery,#053372
pvcD,Basal machinery,#053372
pvcC,Basal machinery,#053372
pvcB,Basal machinery,#053372
pvcA,Basal machinery,#053372
aprX,Basal machinery,#053372
kguT,M47,#76e28f
gcvH1,M31,#81b227
PA0703,Basal machinery,#053372
kguE,M47,#76e28f
kguD,M47,#76e28f
kguK,M47,#76e28f
vreA,Basal machinery,#053372
lptB,Basal machinery,#053372
PA0633,Basal machinery,#053372
PA4139,Basal machinery,#053372
PA4132,Basal machinery,#053372
PA0149,M32.1,#7ae876
PA1941,Basal machinery,#053372
PA1942,Basal machinery,#053372
wzz,Basal machinery,#053372
wzy,Basal machinery,#053372
dctA2,M9,#dddb89
PA4625,Basal machinery,#053372
PA4623,Basal machinery,#053372
pchR,Global regulator,#6464bc
atuR,Global regulator,#6464bc
