id,source,target,Effect,Evidence
PA5085-PA5083,PA5085,PA5083,+,Strong
PA5085-PA5082,PA5085,PA5082,+,Strong
PA5085-dadA2,PA5085,dadA2,+,Strong
gltR-oprB,gltR,oprB,-,Strong
gltR-glk,gltR,glk,-,Strong
gltR-edd,gltR,edd,-,Strong
gltR-eta,gltR,eta,-,Strong
armR-mexR,armR,mexR,-,Strong
rsaL-PA5324,rsaL,PA5324,?,Strong
rsaL-PA3669,rsaL,PA3669,?,Strong
rsaL-PA3774,rsaL,PA3774,?,Strong
rsaL-PA0845,rsaL,PA0845,?,Strong
rsaL-gyrA,rsaL,gyrA,?,Strong
rsaL-PA0158,rsaL,PA0158,?,Strong
rsaL-tilS,rsaL,tilS,?,Strong
rsaL-PA2228,rsaL,PA2228,?,Strong
rsaL-retS,rsaL,retS,?,Strong
rsaL-PA3722,rsaL,PA3722,?,Strong
rsaL-glyA2,rsaL,glyA2,?,Strong
rsaL-PA2226,rsaL,PA2226,?,Strong
rsaL-PA3342,rsaL,PA3342,?,Strong
rsaL-ratA,rsaL,ratA,?,Strong
rsaL-acpP1,rsaL,acpP1,?,Strong
rsaL-PA1333,rsaL,PA1333,?,Strong
rsaL-pqsH,rsaL,pqsH,?,Strong
rsaL-PA5517,rsaL,PA5517,?,Strong
rsaL-PA3513,rsaL,PA3513,?,Strong
dnr-narK2,dnr,narK2,+,Strong
dnr-narK1,dnr,narK1,+,Strong
dnr-nirQ,dnr,nirQ,+,Strong
dnr-narX,dnr,narX,+,Strong
dnr-nirS,dnr,nirS,+,Strong
dnr-nirE,dnr,nirE,+,Strong
dnr-nirD,dnr,nirD,+,Strong
dnr-nirG,dnr,nirG,+,Strong
dnr-nirF,dnr,nirF,+,Strong
dnr-narI,dnr,narI,+,Strong
dnr-narH,dnr,narH,+,Strong
dnr-nirC,dnr,nirC,+,Strong
dnr-narJ,dnr,narJ,+,Strong
dnr-nirM,dnr,nirM,+,Strong
dnr-nirL,dnr,nirL,+,Strong
dnr-narG,dnr,narG,+,Strong
dnr-nirN,dnr,nirN,+,Strong
dnr-nirH,dnr,nirH,+,Strong
dnr-nirJ,dnr,nirJ,+,Strong
dnr-dnr,dnr,dnr,+,Strong
dnr-norB,dnr,norB,+,Strong
dnr-nosR,dnr,nosR,+,Strong
dnr-nosY,dnr,nosY,+,Strong
dnr-nosZ,dnr,nosZ,+,Strong
dnr-nosD,dnr,nosD,+,Strong
dnr-nosF,dnr,nosF,+,Strong
dnr-nosL,dnr,nosL,+,Strong
dnr-norC,dnr,norC,+,Strong
dnr-hemN,dnr,hemN,+,Strong
dnr-narL,dnr,narL,+,Strong
dnr-hemA,dnr,hemA,+,Strong
dnr-hemF,dnr,hemF,+,Strong
dnr-anr,dnr,anr,+,Strong
dnr-aroE,dnr,aroE,+,Strong
PA0739-sdsA1,PA0739,sdsA1,+,Strong
PA0739-PA0739,PA0739,PA0739,+,Strong
bfmR-PA0691,bfmR,PA0691,+,Strong
bfmR-rhlR,bfmR,rhlR,-,Strong
PA0601-PA0603,PA0601,PA0603,+,Strong
PA0601-PA0605,PA0601,PA0605,+,Strong
PA0601-PA0604,PA0601,PA0604,+,Strong
PA0601-PA0606,PA0601,PA0606,+,Strong
agmR-exaA,agmR,exaA,+,Strong
agmR-exaB,agmR,exaB,+,Strong
agmR-exaC,agmR,exaC,+,Strong
agmR-pqqB,agmR,pqqB,+,Strong
agmR-pqqC,agmR,pqqC,+,Strong
agmR-pqqA,agmR,pqqA,+,Strong
agmR-eraR,agmR,eraR,+,Strong
agmR-eraS,agmR,eraS,+,Strong
agmR-pqqD,agmR,pqqD,+,Strong
agmR-pqqE,agmR,pqqE,+,Strong
agmR-pqqH,agmR,pqqH,+,Strong
PA2206-PA0472,PA2206,PA0472,?,Strong
PA2206-femI,PA2206,femI,?,Strong
PA2206-pvdS,PA2206,pvdS,?,Strong
clpP1-algU,clpP1,algU,-,Strong
vfr-lasR,vfr,lasR,+,Strong
vfr-exsA,vfr,exsA,+,Strong
vfr-cpdA,vfr,cpdA,+,Strong
vfr-ptxR,vfr,ptxR,+,Strong
vfr-algR,vfr,algR,+,Strong
vfr-fleQ,vfr,fleQ,-,Strong
vfr-eta,vfr,eta,+,Strong
vfr-rhlR,vfr,rhlR,+,Strong
vfr-toxR,vfr,toxR,+,Strong
vfr-amrZ,vfr,amrZ,+,Strong
vfr-vfr,vfr,vfr,+,Strong
PA2657-rhlA,PA2657,rhlA,+,Strong
PA2657-rhlB,PA2657,rhlB,+,Strong
PA2657-pqsA,PA2657,pqsA,+,Strong
PA2657-phnA,PA2657,phnA,+,Strong
PA5471-mexZ,PA5471,mexZ,-,Strong
PA5471-mexX,PA5471,mexX,+,Strong
PA5471-algD,PA5471,algD,+,Strong
PA5471-mexY,PA5471,mexY,+,Strong
roxS-ccoO1,roxS,ccoO1,+,Strong
roxS-ccoN2,roxS,ccoN2,+,Strong
roxS-ccoN1,roxS,ccoN1,+,Strong
roxS-coIII,roxS,coIII,+,Strong
roxS-coxA,roxS,coxA,+,Strong
roxS-cioA,roxS,cioA,+,Strong
roxS-cioB,roxS,cioB,+,Strong
roxS-cyoD,roxS,cyoD,+,Strong
roxS-ccoQ2,roxS,ccoQ2,+,Strong
roxS-ccoQ1,roxS,ccoQ1,+,Strong
roxS-ccoO2,roxS,ccoO2,+,Strong
roxS-coxB,roxS,coxB,+,Strong
roxS-PA0107,roxS,PA0107,+,Strong
roxS-cyoC,roxS,cyoC,+,Strong
roxS-cyoB,roxS,cyoB,+,Strong
roxS-cyoA,roxS,cyoA,+,Strong
roxS-ccoP1,roxS,ccoP1,+,Strong
roxS-ccoP2,roxS,ccoP2,+,Strong
roxS-cyoE2,roxS,cyoE2,+,Strong
roxR-ccoO1,roxR,ccoO1,+,Strong
roxR-ccoN2,roxR,ccoN2,+,Strong
roxR-ccoN1,roxR,ccoN1,+,Strong
roxR-coIII,roxR,coIII,+,Strong
roxR-coxA,roxR,coxA,+,Strong
roxR-cioA,roxR,cioA,+,Strong
roxR-cioB,roxR,cioB,+,Strong
roxR-cyoD,roxR,cyoD,+,Strong
roxR-ccoQ2,roxR,ccoQ2,+,Strong
roxR-ccoQ1,roxR,ccoQ1,+,Strong
roxR-ccoO2,roxR,ccoO2,+,Strong
roxR-coxB,roxR,coxB,+,Strong
roxR-PA0107,roxR,PA0107,+,Strong
roxR-cyoC,roxR,cyoC,+,Strong
roxR-cyoB,roxR,cyoB,+,Strong
roxR-cyoA,roxR,cyoA,+,Strong
roxR-ccoP1,roxR,ccoP1,+,Strong
roxR-ccoP2,roxR,ccoP2,+,Strong
roxR-cyoE2,roxR,cyoE2,+,Strong
oxyR-pvdS,oxyR,pvdS,?,Strong
fhpR-hmp,fhpR,hmp,+,Strong
