id,NDA,Color
PA1093,Basal machinery,#3fea92
PA4739,Basal machinery,#3fea92
PA4738,Basal machinery,#3fea92
PA4735,Basal machinery,#3fea92
PA4734,Basal machinery,#3fea92
hchA,Basal machinery,#3fea92
PA3962,Basal machinery,#3fea92
PA3965,Basal machinery,#3fea92
PA3966,Basal machinery,#3fea92
cioA,M22,#ffb5bd
PA5080,Basal machinery,#3fea92
cioB,M22,#ffb5bd
PA5462,Basal machinery,#3fea92
PA5463,Basal machinery,#3fea92
PA5460,Basal machinery,#3fea92
PA5461,Basal machinery,#3fea92
PA5464,Basal machinery,#3fea92
PA5397,Basal machinery,#3fea92
PA5062,Basal machinery,#3fea92
narL,Basal machinery,#3fea92
cbiD,Basal machinery,#3fea92
maeA,Basal machinery,#3fea92
armR,M20.4,#e86aca
PA2777,Basal machinery,#3fea92
PA2776,Basal machinery,#3fea92
PA2775,Basal machinery,#3fea92
PA2774,Basal machinery,#3fea92
PA2770,Basal machinery,#3fea92
typA,Basal machinery,#3fea92
calB,M30,#a3a3ed
PA2779,Basal machinery,#3fea92
PA0959,Basal machinery,#3fea92
purU1,Basal machinery,#3fea92
gloA1,Basal machinery,#3fea92
dnr,Global regulator,#f990ae
PA0951,Basal machinery,#3fea92
PA0953,Basal machinery,#3fea92
PA0952,Basal machinery,#3fea92
ddlA,Basal machinery,#3fea92
dsbD2,Basal machinery,#3fea92
snr1,Basal machinery,#3fea92
tpbB,Basal machinery,#3fea92
tpbA,Basal machinery,#3fea92
bfmR,M26,#a3ffe8
PA0601,M40,#47ba09
PA1607,Basal machinery,#3fea92
PA0603,M40,#47ba09
PA1605,Basal machinery,#3fea92
PA0605,M40,#47ba09
agmR,M24,#b4e9f7
PA2159,Basal machinery,#3fea92
PA0606,M40,#47ba09
PA2157,Basal machinery,#3fea92
PA2156,Basal machinery,#3fea92
PA2154,Basal machinery,#3fea92
PA2152,Basal machinery,#3fea92
PA1608,Basal machinery,#3fea92
PA0137,Basal machinery,#3fea92
PA0136,Basal machinery,#3fea92
PA0134,Basal machinery,#3fea92
PA2209,Basal machinery,#3fea92
PA1958,Basal machinery,#3fea92
PA1956,Basal machinery,#3fea92
PA1957,Basal machinery,#3fea92
PA1954,Basal machinery,#3fea92
PA1955,Basal machinery,#3fea92
PA1952,Basal machinery,#3fea92
PA1953,Basal machinery,#3fea92
PA4122,Basal machinery,#3fea92
PA0138,Basal machinery,#3fea92
carB,Basal machinery,#3fea92
argA,Basal machinery,#3fea92
PA0423,Basal machinery,#3fea92
PA0422,Basal machinery,#3fea92
carA,Basal machinery,#3fea92
clpP2,Basal machinery,#3fea92
clpP1,Basal machinery,#3fea92
hslV,Basal machinery,#3fea92
hslU,Basal machinery,#3fea92
argG,Basal machinery,#3fea92
vfr,M20.3,#c42f9f
PA4388,Basal machinery,#3fea92
PA4387,Basal machinery,#3fea92
creD,Basal machinery,#3fea92
piuC,Basal machinery,#3fea92
PA4858,Basal machinery,#3fea92
PA0879,Basal machinery,#3fea92
gcdH,Basal machinery,#3fea92
PA1144,Basal machinery,#3fea92
PA4702,Basal machinery,#3fea92
PA4703,Basal machinery,#3fea92
PA2974,Basal machinery,#3fea92
PA2971,Basal machinery,#3fea92
PA2973,Basal machinery,#3fea92
PA2972,Basal machinery,#3fea92
zwf,M5,#b34cef
PA5384,M35,#d83ad6
PA5383,Basal machinery,#3fea92
PA3959,Basal machinery,#3fea92
rnhB,Basal machinery,#3fea92
PA3954,Basal machinery,#3fea92
PA1149,Basal machinery,#3fea92
PA3956,Basal machinery,#3fea92
PA3957,Basal machinery,#3fea92
PA3951,Basal machinery,#3fea92
PA3952,M21,#b52f3a
PA5388,M35,#d83ad6
PA5471,M20.8,#1e3d99
PA5473,Basal machinery,#3fea92
PA5472,Basal machinery,#3fea92
PA5477,Basal machinery,#3fea92
ligD,Basal machinery,#3fea92
ccoP1,M22,#ffb5bd
zapA,Basal machinery,#3fea92
zapE,Basal machinery,#3fea92
etfA,Basal machinery,#3fea92
PA5074,Basal machinery,#3fea92
etfB,Basal machinery,#3fea92
oxyR,Basal machinery,#3fea92
PA5072,Basal machinery,#3fea92
glyS,Basal machinery,#3fea92
glyQ,Basal machinery,#3fea92
PA3734,Basal machinery,#3fea92
PA3730,Basal machinery,#3fea92
PA3731,Basal machinery,#3fea92
PA3733,Basal machinery,#3fea92
PA3081,Basal machinery,#3fea92
PA1383,Basal machinery,#3fea92
treA,Basal machinery,#3fea92
PA2701,Basal machinery,#3fea92
PA2706,Basal machinery,#3fea92
PA2704,Basal machinery,#3fea92
PA2705,Basal machinery,#3fea92
PA2708,Basal machinery,#3fea92
PA0962,Basal machinery,#3fea92
PA0968,Basal machinery,#3fea92
PA2812,Basal machinery,#3fea92
PA2813,Basal machinery,#3fea92
PA2933,Basal machinery,#3fea92
aprE,Basal machinery,#3fea92
aprD,Basal machinery,#3fea92
aprF,Basal machinery,#3fea92
aprA,M11,#37ba93
vreI,M20.1,#9ba0e8
PA1997,Basal machinery,#3fea92
hpcC,Basal machinery,#3fea92
estX,Basal machinery,#3fea92
aprX,Basal machinery,#3fea92
flgE,Basal machinery,#3fea92
