id,source,target,Effect,Evidence
abrB-yxaM,abrB,yxaM,-,Weak
abrB-rok,abrB,rok,-,Weak
abrB-yerI,abrB,yerI,-,Weak
abrB-epsO,abrB,epsO,-,Weak
abrB-ctaB2,abrB,ctaB2,-,Weak
abrB-yncM,abrB,yncM,-,Weak
abrB-yvrP,abrB,yvrP,-,Weak
abrB-albD,abrB,albD,-,Weak
abrB-yxbD,abrB,yxbD,-,Weak
abrB-epsM,abrB,epsM,-,Weak
abrB-yoaW,abrB,yoaW,-,Weak
abrB-abrB,abrB,abrB,-,Weak
abrB-ydeJ,abrB,ydeJ,-,Weak
abrB-yxbB,abrB,yxbB,-,Weak
abrB-ctaF,abrB,ctaF,-,Weak
abrB-ctaG,abrB,ctaG,-,Weak
abrB-ctaD,abrB,ctaD,-,Weak
abrB-ctaE,abrB,ctaE,-,Weak
abrB-ctaC,abrB,ctaC,-,Weak
abrB-ywqC,abrB,ywqC,-,Weak
abrB-sunS,abrB,sunS,-,Weak
abrB-ywqF,abrB,ywqF,-,Weak
abrB-ywqE,abrB,ywqE,-,Weak
abrB-ywqD,abrB,ywqD,-,Weak
abrB-yrpD,abrB,yrpD,-,Weak
abrB-yjdB,abrB,yjdB,-,Weak
abrB-sboA,abrB,sboA,-,Weak
abrB-ymzB,abrB,ymzB,-,Weak
abrB-phrK,abrB,phrK,-,Weak
abrB-phrH,abrB,phrH,-,Weak
abrB-gmuE,abrB,gmuE,+,Weak
abrB-sboX,abrB,sboX,-,Weak
abrB-rbsA,abrB,rbsA,+,Weak
abrB-rbsC,abrB,rbsC,+,Weak
abrB-rbsB,abrB,rbsB,+,Weak
abrB-spoIIAB,abrB,spoIIAB,-,Weak
abrB-rbsD,abrB,rbsD,+,Weak
abrB-phrE,abrB,phrE,-,Weak
abrB-ctaB1,abrB,ctaB1,-,Weak
abrB-asnH,abrB,asnH,-,Weak
abrB-ydjF,abrB,ydjF,-,Weak
abrB-ydjI,abrB,ydjI,-,Weak
abrB-ydjH,abrB,ydjH,-,Weak
abrB-rocG,abrB,rocG,-,Weak
abrB-rocA,abrB,rocA,-,Weak
abrB-rocB,abrB,rocB,-,Weak
abrB-rocC,abrB,rocC,-,Weak
abrB-ybdZ,abrB,ybdZ,-,Weak
abrB-yjcM,abrB,yjcM,-,Weak
abrB-pksM,abrB,pksM,-,Weak
abrB-gudD,abrB,gudD,-,Weak
abrB-yflA,abrB,yflA,-,Weak
abrB-pksN,abrB,pksN,-,Weak
abrB-ywoF,abrB,ywoF,-,Weak
abrB-ybdO,abrB,ybdO,-,Weak
abrB-ybdN,abrB,ybdN,-,Weak
abrB-gudP,abrB,gudP,-,Weak
abrB-ydeH,abrB,ydeH,-,Weak
abrB-amyE,abrB,amyE,+,Weak
abrB-spoVG,abrB,spoVG,-,Weak
abrB-yocH,abrB,yocH,-,Weak
abrB-yxbC,abrB,yxbC,-,Weak
abrB-pksC,abrB,pksC,-,Weak
abrB-yheH,abrB,yheH,-,Weak
abrB-yheI,abrB,yheI,-,Weak
abrB-yheJ,abrB,yheJ,-,Weak
abrB-yocD,abrB,yocD,-,Weak
abrB-ppsA,abrB,ppsA,-,Weak
abrB-ntdR,abrB,ntdR,-,Weak
abrB-qcrB,abrB,qcrB,-,Weak
abrB-acpK,abrB,acpK,-,Weak
abrB-ywbF,abrB,ywbF,-,Weak
abrB-bacD,abrB,bacD,-,Weak
abrB-bacE,abrB,bacE,-,Weak
abrB-bacB,abrB,bacB,-,Weak
