id,NDA,Color
opuCB,Intermodular,#35a6ba
opuCC,Intermodular,#35a6ba
opuCA,Intermodular,#35a6ba
opuCD,Intermodular,#35a6ba
abrB,Global regulator,#0ea311
speH,M72,#8646a8
yngHB,Basal machinery,#1f6c7f
speE,Basal machinery,#1f6c7f
speB,Basal machinery,#1f6c7f
gerPC,Basal machinery,#1f6c7f
metA,Basal machinery,#1f6c7f
yvyI,Basal machinery,#1f6c7f
yvyF,Basal machinery,#1f6c7f
yvyG,Basal machinery,#1f6c7f
yvyD,Basal machinery,#1f6c7f
yvyE,Basal machinery,#1f6c7f
yvyC,Basal machinery,#1f6c7f
ykpC,M25.3,#040a5b
ypeB,Basal machinery,#1f6c7f
mmgD,Basal machinery,#1f6c7f
mmgC,Basal machinery,#1f6c7f
mmgB,Basal machinery,#1f6c7f
mmgA,Basal machinery,#1f6c7f
ydgH,Basal machinery,#1f6c7f
yllA,Basal machinery,#1f6c7f
ydgB,Basal machinery,#1f6c7f
ydgA,Basal machinery,#1f6c7f
ydgG,Basal machinery,#1f6c7f
cheV,Basal machinery,#1f6c7f
cheW,M113,#f0f49f
yacP,Basal machinery,#1f6c7f
ykqA,Basal machinery,#1f6c7f
naiP,M83,#c9c4fc
xtmB,M65,#498dfc
xtmA,M65,#498dfc
cheY,M113,#f0f49f
cheD,M113,#f0f49f
cheB,M113,#f0f49f
cheC,M113,#f0f49f
cheA,M113,#f0f49f
yacO,Basal machinery,#1f6c7f
yacL,Basal machinery,#1f6c7f
med,Basal machinery,#1f6c7f
gltX,Basal machinery,#1f6c7f
gltR,Basal machinery,#1f6c7f
cspR,Basal machinery,#1f6c7f
drm,Basal machinery,#1f6c7f
gltA,M103,#052d91
gltC,M103,#052d91
gltB,M103,#052d91
cspB,Basal machinery,#1f6c7f
ccpN,M72,#8646a8
murAA,Basal machinery,#1f6c7f
ccpB,Basal machinery,#1f6c7f
ccpA,Global regulator,#0ea311
yfjR,M8,#930e0a
liaG,M87,#f484e3
ywlF,Basal machinery,#1f6c7f
ywlG,Basal machinery,#1f6c7f
ywlB,Basal machinery,#1f6c7f
BSU_29679,Basal machinery,#1f6c7f
yyaC,Basal machinery,#1f6c7f
yyaD,Basal machinery,#1f6c7f
vpr,M25.4,#8cf486
new_1077024_1077320_c,Basal machinery,#1f6c7f
BSU35239,M25.19,#fcd216
BSU16845,M45,#0cd68f
mleN,M49,#76c1ed
era,Basal machinery,#1f6c7f
yngJ,Basal machinery,#1f6c7f
yngE,Basal machinery,#1f6c7f
yngF,Basal machinery,#1f6c7f
yngG,Basal machinery,#1f6c7f
yngA,M8,#930e0a
yngB,M8,#930e0a
yngC,M8,#930e0a
cypE,M108,#e5149f
mnmE,M25.4,#8cf486
rsoA,M25.2,#41459b
mnmA,Basal machinery,#1f6c7f
cypX,M17,#e5a0e5
hom,M122,#65d624
argJ,M25.15,#d7e587
eno,M42,#a2d33f
azoR2,M56,#34c9ba
azoR1,M43,#1fb7a3
yjiB,Basal machinery,#1f6c7f
argC,M25.15,#d7e587
mccA,Basal machinery,#1f6c7f
mccB,Basal machinery,#1f6c7f
hslO,Basal machinery,#1f6c7f
pcrA,Basal machinery,#1f6c7f
argG,M25.15,#d7e587
xpaC,Basal machinery,#1f6c7f
yodR,Basal machinery,#1f6c7f
ruvB,Basal machinery,#1f6c7f
fadR,M89,#347000
ysdA,M36,#9ef788
ysdB,Basal machinery,#1f6c7f
yxbD,Basal machinery,#1f6c7f
fadA,M89,#347000
yxbA,Basal machinery,#1f6c7f
fadF,M89,#347000
yxbC,Basal machinery,#1f6c7f
yxbB,Basal machinery,#1f6c7f
fadH,M89,#347000
fadN,M89,#347000
fadM,M89,#347000
yrpE,M19,#c9e224
yrpD,Basal machinery,#1f6c7f
yvdQ,Basal machinery,#1f6c7f
yvdP,Basal machinery,#1f6c7f
ureA,M21,#717cf2
mrnC,Basal machinery,#1f6c7f
mtnA,Basal machinery,#1f6c7f
ftsE,Basal machinery,#1f6c7f
mtnB,Basal machinery,#1f6c7f
mtnE,Basal machinery,#1f6c7f
mtnD,Basal machinery,#1f6c7f
ftsA,M25.3,#040a5b
ykuJ,Basal machinery,#1f6c7f
mtnK,Basal machinery,#1f6c7f
ftsH,M100,#64ef64
ftsW,M26,#d8249f
mtnU,Basal machinery,#1f6c7f
mtnW,Basal machinery,#1f6c7f
mtnX,Basal machinery,#1f6c7f
swrAA,M113,#f0f49f
ftsZ,M25.3,#040a5b
yttA,Basal machinery,#1f6c7f
ykuN,Intermodular,#35a6ba
ligd,Basal machinery,#1f6c7f
mdh,M84,#89ed89
citN,Basal machinery,#1f6c7f
rnhB,Basal machinery,#1f6c7f
divIVA,Basal machinery,#1f6c7f
yybR,M70,#8ceacb
ligA,Basal machinery,#1f6c7f
sleB,Basal machinery,#1f6c7f
ybdK,Basal machinery,#1f6c7f
whiA,Basal machinery,#1f6c7f
smf,Basal machinery,#1f6c7f
smc,Basal machinery,#1f6c7f
prfB,Basal machinery,#1f6c7f
rpmGB,Basal machinery,#1f6c7f
yxjJ,Basal machinery,#1f6c7f
sodF,Basal machinery,#1f6c7f
sodA,Basal machinery,#1f6c7f
prmA,M101,#0350bc
etfA,M89,#347000
etfB,M89,#347000
ybbH,M123,#8e0b39
bmrU,Basal machinery,#1f6c7f
ybbF,M123,#8e0b39
ybbE,M123,#8e0b39
isp,Basal machinery,#1f6c7f
ybbC,M123,#8e0b39
ybbA,M119,#70b20c
bmrR,M45,#0cd68f
accD,Basal machinery,#1f6c7f
bmrA,Basal machinery,#1f6c7f
ybbR,Basal machinery,#1f6c7f
ybbP,Basal machinery,#1f6c7f
cymR,Global regulator,#0ea311
accA,Basal machinery,#1f6c7f
spxA,Global regulator,#0ea311
glyA,M26,#d8249f
yphA,Basal machinery,#1f6c7f
pucA,M21,#717cf2
pucB,M21,#717cf2
pucC,M21,#717cf2
pucD,M21,#717cf2
pucE,M21,#717cf2
pucF,M21,#717cf2
pucG,M21,#717cf2
pucI,M21,#717cf2
pucJ,M21,#717cf2
pucK,M21,#717cf2
pucL,M21,#717cf2
pucM,M21,#717cf2
