id,source,target,Effect,Evidence
xapR-xapA,xapR,xapA,+,Weak
xapR-xapB,xapR,xapB,+,Weak
mlc-crr,mlc,crr,-,Strong
mlc-mlc,mlc,mlc,-,Strong
mlc-manX,mlc,manX,-,Strong
mlc-manY,mlc,manY,-,Strong
mlc-malT,mlc,malT,-,Strong
mlc-ptsI,mlc,ptsI,-,Strong
mlc-ptsH,mlc,ptsH,-,Strong
mlc-bidA,mlc,bidA,-,Strong
mlc-manZ,mlc,manZ,-,Strong
mlc-ptsG,mlc,ptsG,-,Strong
fur-aspC,fur,aspC,-,Strong
fur-cyoA,fur,cyoA,-,Weak
fur-glnD,fur,glnD,-,Strong
fur-sufB,fur,sufB,-,Strong
fur-sufC,fur,sufC,-,Strong
fur-sufA,fur,sufA,-,Strong
fur-yjjZ,fur,yjjZ,-,Strong
fur-sufD,fur,sufD,-,Strong
fur-sufE,fur,sufE,-,Strong
fur-b4707,fur,b4707,+,Strong
fur-fecD,fur,fecD,-,Strong
fur-fumB,fur,fumB,+,Strong
fur-fumC,fur,fumC,-,Strong
fur-sufS,fur,sufS,-,Strong
fur-ompF,fur,ompF,+,Strong
fur-katE,fur,katE,+,Strong
fur-katG,fur,katG,+,Strong
fur-feoC,fur,feoC,-,Weak
fur-gspC,fur,gspC,-,Strong
fur-ybdZ,fur,ybdZ,-,Strong
fur-gspF,fur,gspF,-,Strong
fur-gspG,fur,gspG,-,Strong
fur-gspD,fur,gspD,-,Strong
fur-gspE,fur,gspE,-,Strong
fur-gspJ,fur,gspJ,-,Strong
fur-gspK,fur,gspK,-,Strong
fur-gspH,fur,gspH,-,Strong
fur-gspI,fur,gspI,-,Strong
fur-gspO,fur,gspO,-,Strong
fur-zwf,fur,zwf,-,Strong
fur-gspM,fur,gspM,-,Strong
fur-fhuE,fur,fhuE,-,Weak
fur-fhuD,fur,fhuD,-,Strong
fur-fhuF,fur,fhuF,-,Strong
fur-fhuA,fur,fhuA,-,Strong
fur-yhhY,fur,yhhY,-,Weak
fur-fhuC,fur,fhuC,-,Strong
fur-fhuB,fur,fhuB,-,Strong
fur-flhC,fur,flhC,-,Weak
fur-cirA,fur,cirA,-,Strong
fur-gspL,fur,gspL,-,Strong
fur-flhD,fur,flhD,-,Weak
fur-fepC,fur,fepC,-,Strong
fur-fepB,fur,fepB,-,Strong
fur-fepA,fur,fepA,-,Strong
fur-fepG,fur,fepG,-,Strong
fur-fepE,fur,fepE,-,Strong
fur-fepD,fur,fepD,-,Strong
fur-entA,fur,entA,-,Strong
fur-entC,fur,entC,-,Strong
fur-entB,fur,entB,-,Strong
fur-entE,fur,entE,-,Strong
fur-entD,fur,entD,-,Strong
fur-nrdF,fur,nrdF,-,Weak
fur-entF,fur,entF,-,Strong
fur-nrdH,fur,nrdH,-,Weak
fur-entH,fur,entH,-,Strong
fur-entS,fur,entS,+-,Strong
fur-fecE,fur,fecE,-,Strong
fur-fecB,fur,fecB,-,Strong
fur-fecC,fur,fecC,-,Strong
fur-fecA,fur,fecA,-,Strong
fur-metJ,fur,metJ,-,Weak
fur-metH,fur,metH,-,Weak
fur-fecI,fur,fecI,-,Strong
fur-rpoS,fur,rpoS,-,Strong
fur-zinT,fur,zinT,+,Strong
fur-nohA,fur,nohA,-,Strong
fur-oppC,fur,oppC,-,Strong
fur-oppB,fur,oppB,-,Strong
fur-oppD,fur,oppD,-,Strong
fur-sodA,fur,sodA,-,Strong
fur-amtB,fur,amtB,+-,Strong
fur-ndh,fur,ndh,-,Strong
fur-fnr,fur,fnr,-,Strong
fur-grcA,fur,grcA,-,Strong
fur-fiu,fur,fiu,-,Weak
fur-b4451,fur,b4451,-,Strong
fur-sdhC,fur,sdhC,+,Weak
fur-gltB,fur,gltB,-,Strong
fur-gltD,fur,gltD,-,Strong
fur-gltF,fur,gltF,-,Strong
fur-purR,fur,purR,-,Weak
fur-oppF,fur,oppF,-,Strong
fur-nfeF,fur,nfeF,-,Weak
fur-garL,fur,garL,-,Strong
fur-tonB,fur,tonB,+-,Strong
fur-garK,fur,garK,-,Strong
fur-ompW,fur,ompW,+,Strong
fur-exbB,fur,exbB,-,Strong
fur-exbD,fur,exbD,-,Strong
fur-garR,fur,garR,-,Strong
fur-garP,fur,garP,-,Strong
fur-fes,fur,fes,-,Strong
