id,NDA,Color
xapA,M54,#55c6c1
xapB,M54,#55c6c1
xapR,M54,#55c6c1
speG,M56.1,#7fed44
xseB,Basal machinery,#b7d159
speE,Basal machinery,#b7d159
speB,M56.27,#4885b5
speC,Basal machinery,#b7d159
speA,M56.27,#4885b5
frdA,M56.3,#13f462
frdB,M56.3,#13f462
frdC,M56.3,#13f462
frdD,M56.3,#13f462
hchA,Basal machinery,#b7d159
pgpC,Basal machinery,#b7d159
yeaD,Basal machinery,#b7d159
pgpA,Basal machinery,#b7d159
kbaY,M36,#d10e1e
kbaZ,M36,#d10e1e
mlc,M56.9,#191977
mbiA,Basal machinery,#b7d159
fur,Global regulator,#5ee3ed
cmk,Basal machinery,#b7d159
blc,Basal machinery,#b7d159
upp,Basal machinery,#b7d159
bluF,M56.1,#7fed44
bluR,M56.38,#76f2cd
tolC,M56.1,#7fed44
btsR,M56.1,#7fed44
speD,Basal machinery,#b7d159
btsT,M56.1,#7fed44
entA,Basal machinery,#b7d159
cheW,Basal machinery,#b7d159
entC,Basal machinery,#b7d159
entB,Basal machinery,#b7d159
entE,Basal machinery,#b7d159
entD,Basal machinery,#b7d159
entF,Basal machinery,#b7d159
entH,Basal machinery,#b7d159
cheZ,Basal machinery,#b7d159
cheY,Basal machinery,#b7d159
yacC,Basal machinery,#b7d159
fecD,Intermodular,#159626
fecE,Intermodular,#159626
fecB,Intermodular,#159626
fecC,Intermodular,#159626
fecA,Intermodular,#159626
fecI,M56.1,#7fed44
rcsA,M56.1,#7fed44
rcsB,M56.1,#7fed44
rcsD,Basal machinery,#b7d159
lacA,Intermodular,#159626
uspA,M56.5,#d81c74
uspB,Basal machinery,#b7d159
uspD,M56.1,#7fed44
uspE,M56.1,#7fed44
gltX,Basal machinery,#b7d159
glk,Basal machinery,#b7d159
grcA,M56.1,#7fed44
gltI,Basal machinery,#b7d159
gpsA,Basal machinery,#b7d159
gltK,Basal machinery,#b7d159
gltJ,Basal machinery,#b7d159
gltL,Basal machinery,#b7d159
cspI,M56.1,#7fed44
gltA,Basal machinery,#b7d159
ycjF,M56.12,#959bed
cspD,M56.1,#7fed44
gltB,Intermodular,#159626
cspB,Basal machinery,#b7d159
gltD,Intermodular,#159626
cspA,M42,#f925cf
nikB,M66,#fccc85
b4134,Basal machinery,#b7d159
apaH,Basal machinery,#b7d159
yhbS,M56.1,#7fed44
dgcC,M56.1,#7fed44
sgbE,M13,#fc8f58
apaG,Basal machinery,#b7d159
yfeS,Basal machinery,#b7d159
nikA,M66,#fccc85
sgbU,M13,#fc8f58
yfeX,Basal machinery,#b7d159
yfeY,Basal machinery,#b7d159
b0670,Basal machinery,#b7d159
fbaB,Basal machinery,#b7d159
b0672,Basal machinery,#b7d159
b0673,Basal machinery,#b7d159
rssA,Basal machinery,#b7d159
rssB,Basal machinery,#b7d159
b4007,Basal machinery,#b7d159
pgpB,Basal machinery,#b7d159
b4009,Basal machinery,#b7d159
b4008,Basal machinery,#b7d159
glgP,M56.1,#7fed44
yeaE,Basal machinery,#b7d159
era,Basal machinery,#b7d159
holC,Basal machinery,#b7d159
acrD,Intermodular,#159626
mnmG,M56.1,#7fed44
gatY,M58,#ff4305
gatZ,M58,#ff4305
glgX,M56.1,#7fed44
gatD,M58,#ff4305
gatA,M58,#ff4305
gatB,M58,#ff4305
gatC,M58,#ff4305
ygiC,M56.1,#7fed44
ygiB,M56.1,#7fed44
ygiM,Basal machinery,#b7d159
eno,Basal machinery,#b7d159
insCD5,Basal machinery,#b7d159
ygiZ,M56.1,#7fed44
rluA,Basal machinery,#b7d159
amiA,Basal machinery,#b7d159
amiB,Basal machinery,#b7d159
gpmA,Basal machinery,#b7d159
kdpA,M32,#e87c7a
kdpC,M32,#e87c7a
kdpB,M32,#e87c7a
kdpE,M32,#e87c7a
lptA,Basal machinery,#b7d159
kdpF,M32,#e87c7a
yhiD,M56.1,#7fed44
carA,Intermodular,#159626
yhiL,Basal machinery,#b7d159
adiY,M56.1,#7fed44
hslO,Basal machinery,#b7d159
argE,M56.35,#d882d4
yjeF,Basal machinery,#b7d159
adiA,M56.1,#7fed44
adiC,M56.1,#7fed44
arcA,Global regulator,#5ee3ed
hslU,Basal machinery,#b7d159
b3851,Basal machinery,#b7d159
fadR,M56.5,#d81c74
evgA,M56.1,#7fed44
fadB,Intermodular,#159626
fadA,Intermodular,#159626
yggN,Basal machinery,#b7d159
fadE,M56.5,#d81c74
fadD,M56.5,#d81c74
fadJ,M56.5,#d81c74
fadI,M56.5,#d81c74
fadH,Intermodular,#159626
creD,M56.6,#5c63b5
fadM,M56.5,#d81c74
fadL,Intermodular,#159626
ompT,M56.1,#7fed44
fis,Global regulator,#5ee3ed
ompW,M56.1,#7fed44
ompR,M56.1,#7fed44
fiu,Basal machinery,#b7d159
rirA,Basal machinery,#b7d159
ompX,Basal machinery,#b7d159
atpF,Basal machinery,#b7d159
fic,Basal machinery,#b7d159
ompF,Intermodular,#159626
rcdA,M56.1,#7fed44
uof,Intermodular,#159626
ompC,Intermodular,#159626
ompN,M56.1,#7fed44
decR,M56.1,#7fed44
srlB,M45,#e888d3
srlA,M45,#e888d3
srlE,M45,#e888d3
srlD,M45,#e888d3
gcvP,Intermodular,#159626
gcvR,Basal machinery,#b7d159
gcvT,Intermodular,#159626
tnaC,M56.1,#7fed44
gcvH,Intermodular,#159626
srlR,M45,#e888d3
tnaB,M56.1,#7fed44
gcvA,M56.32,#6bffd5
glnQ,M56.1,#7fed44
b2189,Basal machinery,#b7d159
ftsA,M56.1,#7fed44
ftsL,M56.1,#7fed44
ftsK,Basal machinery,#b7d159
zwf,M56.1,#7fed44
safA,M56.1,#7fed44
ftsW,M56.1,#7fed44
hemB,Basal machinery,#b7d159
b2348,Basal machinery,#b7d159
ftsZ,M56.1,#7fed44
flhD,Intermodular,#159626
mdh,Intermodular,#159626
yieF,Basal machinery,#b7d159
yrfG,Basal machinery,#b7d159
rnhB,Basal machinery,#b7d159
zntR,M57,#869cf4
b3969,Basal machinery,#b7d159
b3968,Basal machinery,#b7d159
fepC,Basal machinery,#b7d159
fepB,M56.1,#7fed44
fepA,Basal machinery,#b7d159
fepG,Basal machinery,#b7d159
fepE,Basal machinery,#b7d159
fepD,Basal machinery,#b7d159
lapB,Basal machinery,#b7d159
ligA,Basal machinery,#b7d159
aidB,M6,#9cba09
csqR,M38,#f9b6db
sfsB,M56.1,#7fed44
sfsA,Basal machinery,#b7d159
gor,M56.4,#f9a9b5
degP,Basal machinery,#b7d159
prfA,Basal machinery,#b7d159
prfB,Basal machinery,#b7d159
prfC,Basal machinery,#b7d159
dcuD,M56.1,#7fed44
