id,source,target,Effect,Evidence
mlc-crr,mlc,crr,-,Strong
mlc-mlc,mlc,mlc,-,Strong
mlc-manX,mlc,manX,-,Strong
mlc-manY,mlc,manY,-,Strong
mlc-malT,mlc,malT,-,Strong
mlc-ptsI,mlc,ptsI,-,Strong
mlc-ptsH,mlc,ptsH,-,Strong
mlc-bidA,mlc,bidA,-,Strong
mlc-manZ,mlc,manZ,-,Strong
mlc-ptsG,mlc,ptsG,-,Strong
fur-aspC,fur,aspC,-,Strong
fur-sufB,fur,sufB,-,Strong
fur-sufC,fur,sufC,-,Strong
fur-sufA,fur,sufA,-,Strong
fur-yjjZ,fur,yjjZ,-,Strong
fur-sufD,fur,sufD,-,Strong
fur-sufE,fur,sufE,-,Strong
fur-b4707,fur,b4707,+,Strong
fur-entS,fur,entS,+-,Strong
fur-fumB,fur,fumB,+,Strong
fur-fumC,fur,fumC,-,Strong
fur-sufS,fur,sufS,-,Strong
fur-ompF,fur,ompF,+,Strong
fur-katE,fur,katE,+,Strong
fur-katG,fur,katG,+,Strong
fur-gspC,fur,gspC,-,Strong
fur-ybdZ,fur,ybdZ,-,Strong
fur-gspF,fur,gspF,-,Strong
fur-gspG,fur,gspG,-,Strong
fur-gspD,fur,gspD,-,Strong
fur-gspE,fur,gspE,-,Strong
fur-gspJ,fur,gspJ,-,Strong
fur-gspK,fur,gspK,-,Strong
fur-gspH,fur,gspH,-,Strong
fur-gspI,fur,gspI,-,Strong
fur-gspO,fur,gspO,-,Strong
fur-zwf,fur,zwf,-,Strong
fur-gspM,fur,gspM,-,Strong
fur-fhuD,fur,fhuD,-,Strong
fur-fhuF,fur,fhuF,-,Strong
fur-fhuA,fur,fhuA,-,Strong
fur-fhuC,fur,fhuC,-,Strong
fur-fhuB,fur,fhuB,-,Strong
fur-cirA,fur,cirA,-,Strong
fur-gspL,fur,gspL,-,Strong
fur-fepC,fur,fepC,-,Strong
fur-fepB,fur,fepB,-,Strong
fur-fepA,fur,fepA,-,Strong
fur-fepG,fur,fepG,-,Strong
fur-fepE,fur,fepE,-,Strong
fur-fepD,fur,fepD,-,Strong
fur-entA,fur,entA,-,Strong
fur-entC,fur,entC,-,Strong
fur-entB,fur,entB,-,Strong
fur-entE,fur,entE,-,Strong
fur-entD,fur,entD,-,Strong
fur-entF,fur,entF,-,Strong
fur-entH,fur,entH,-,Strong
fur-fecD,fur,fecD,-,Strong
fur-fecE,fur,fecE,-,Strong
fur-fecB,fur,fecB,-,Strong
fur-fecC,fur,fecC,-,Strong
fur-fecA,fur,fecA,-,Strong
fur-fecI,fur,fecI,-,Strong
fur-rpoS,fur,rpoS,-,Strong
fur-zinT,fur,zinT,+,Strong
fur-nohA,fur,nohA,-,Strong
fur-oppC,fur,oppC,-,Strong
fur-oppB,fur,oppB,-,Strong
fur-oppD,fur,oppD,-,Strong
fur-oppF,fur,oppF,-,Strong
fur-amtB,fur,amtB,+-,Strong
fur-ndh,fur,ndh,-,Strong
fur-fnr,fur,fnr,-,Strong
fur-grcA,fur,grcA,-,Strong
fur-b4451,fur,b4451,-,Strong
fur-gltB,fur,gltB,-,Strong
fur-gltD,fur,gltD,-,Strong
