id,NDA,Color
xapA,Basal machinery,#e54bc6
xapB,Basal machinery,#e54bc6
xapR,Basal machinery,#e54bc6
speG,M37.1,#a019d6
speD,Basal machinery,#e54bc6
speE,Basal machinery,#e54bc6
speB,Basal machinery,#e54bc6
speC,Basal machinery,#e54bc6
frdA,M37.7,#4a299b
frdB,M37.7,#4a299b
frdC,M37.7,#4a299b
frdD,M37.7,#4a299b
hchA,Basal machinery,#e54bc6
yeaD,Basal machinery,#e54bc6
pgpA,Basal machinery,#e54bc6
kbaY,M28,#c8c0f7
kbaZ,M28,#c8c0f7
mlc,M37.20,#8bad1a
mbiA,Basal machinery,#e54bc6
fur,Global regulator,#ce6952
cmk,Basal machinery,#e54bc6
blc,Basal machinery,#e54bc6
upp,Basal machinery,#e54bc6
bluF,M37.1,#a019d6
bluR,M37.43,#4295bf
tolC,M53,#209cc1
btsR,M54,#5e17b5
btsT,M54,#5e17b5
entA,Basal machinery,#e54bc6
cheW,Basal machinery,#e54bc6
entC,Basal machinery,#e54bc6
entB,Basal machinery,#e54bc6
entE,Basal machinery,#e54bc6
entD,Basal machinery,#e54bc6
entF,Basal machinery,#e54bc6
entH,Basal machinery,#e54bc6
cheZ,M37.1,#a019d6
cheY,M37.1,#a019d6
yacC,Basal machinery,#e54bc6
entS,Basal machinery,#e54bc6
fecE,Intermodular,#07ed1e
fecB,Intermodular,#07ed1e
fecC,Intermodular,#07ed1e
fecA,Intermodular,#07ed1e
fecI,M37.1,#a019d6
rcsA,M37.1,#a019d6
rcsB,M37.1,#a019d6
rcsD,Basal machinery,#e54bc6
lacA,Intermodular,#07ed1e
uspA,M37.3,#ba5e0e
uspB,Basal machinery,#e54bc6
uspD,M37.1,#a019d6
uspE,M37.1,#a019d6
gltX,Basal machinery,#e54bc6
glk,Basal machinery,#e54bc6
grcA,M37.17,#4dd8ea
gltI,Basal machinery,#e54bc6
gpsA,Basal machinery,#e54bc6
gltK,Basal machinery,#e54bc6
gltJ,Basal machinery,#e54bc6
gltL,Basal machinery,#e54bc6
cspI,M37.1,#a019d6
gltA,Basal machinery,#e54bc6
caiC,M30,#f9ef5c
cspD,M37.1,#a019d6
gltB,Intermodular,#07ed1e
cspB,Basal machinery,#e54bc6
gltD,Intermodular,#07ed1e
cspA,M1,#edaae5
nikB,M55,#afc5ed
b4134,Basal machinery,#e54bc6
apaH,Basal machinery,#e54bc6
yhbS,M37.1,#a019d6
dgcC,M37.1,#a019d6
sgbE,M18,#697cc6
apaG,Basal machinery,#e54bc6
yfeS,Basal machinery,#e54bc6
nikA,M55,#afc5ed
sgbU,M18,#697cc6
yfeX,Basal machinery,#e54bc6
yfeY,Basal machinery,#e54bc6
b0670,Basal machinery,#e54bc6
fbaB,Basal machinery,#e54bc6
b0672,Basal machinery,#e54bc6
b0673,Basal machinery,#e54bc6
rssA,Basal machinery,#e54bc6
rssB,Basal machinery,#e54bc6
b4007,Basal machinery,#e54bc6
pgpB,Basal machinery,#e54bc6
b4009,Basal machinery,#e54bc6
b4008,Basal machinery,#e54bc6
glgP,M37.1,#a019d6
era,Basal machinery,#e54bc6
holC,Basal machinery,#e54bc6
acrD,Intermodular,#07ed1e
mnmG,M37.9,#4b990c
gatY,M57,#07b724
gatZ,M57,#07b724
glgX,Basal machinery,#e54bc6
gatD,M57,#07b724
gatA,M57,#07b724
gatB,M57,#07b724
gatC,M57,#07b724
ygiC,Basal machinery,#e54bc6
ygiB,Basal machinery,#e54bc6
ygiM,Basal machinery,#e54bc6
eno,Basal machinery,#e54bc6
insCD5,Basal machinery,#e54bc6
rluA,Basal machinery,#e54bc6
amiA,Basal machinery,#e54bc6
amiB,Basal machinery,#e54bc6
gpmA,M37.15,#47a8e0
kdpA,M71,#8fbcef
kdpC,M71,#8fbcef
kdpB,M71,#8fbcef
kdpE,M71,#8fbcef
lptA,Basal machinery,#e54bc6
kdpF,M71,#8fbcef
yhiD,M37.1,#a019d6
carA,Intermodular,#07ed1e
adiY,M37.1,#a019d6
hslO,Basal machinery,#e54bc6
ibaG,M37.1,#a019d6
yjeF,Basal machinery,#e54bc6
adiA,M37.1,#a019d6
adiC,M37.1,#a019d6
