id,source,target,Effect,Evidence
Rv0238-etfB,Rv0238,etfB,-,Weak
Rv0238-Rv3030,Rv0238,Rv3030,-,Weak
Rv0238-pflA,Rv0238,pflA,?,Weak
Rv0238-fabG,Rv0238,fabG,-,Weak
Rv0238-fadA2,Rv0238,fadA2,-,Weak
Rv0238-fadE24,Rv0238,fadE24,-,Weak
Rv0232-Rv1573,Rv0232,Rv1573,?,Weak
Rv0232-Rv1572c,Rv0232,Rv1572c,?,Weak
Rv0042c-gca,Rv0042c,gca,?,Weak
Rv0042c-PE31,Rv0042c,PE31,?,Weak
Rv0042c-ppe66,Rv0042c,ppe66,?,Weak
Rv0042c-Rv0830,Rv0042c,Rv0830,?,Weak
Rv3830c-Rv0991c,Rv3830c,Rv0991c,?,Weak
Rv3830c-Rv2929,Rv3830c,Rv2929,?,Weak
Rv3830c-Rv0257,Rv3830c,Rv0257,?,Weak
Rv3830c-fadE9,Rv3830c,fadE9,?,Weak
Rv3830c-Rv1990c,Rv3830c,Rv1990c,?,Weak
Rv3830c-Rv0472c,Rv3830c,Rv0472c,?,Weak
Rv3830c-Rv0042c,Rv3830c,Rv0042c,?,Weak
Rv3830c-Rv1481,Rv3830c,Rv1481,?,Weak
Rv3830c-lppR,Rv3830c,lppR,?,Weak
Rv3830c-PE_PGRS14,Rv3830c,PE_PGRS14,?,Weak
Rv3830c-Rv2516c,Rv3830c,Rv2516c,?,Weak
Rv3830c-cysH,Rv3830c,cysH,?,Weak
Rv3830c-Rv1816,Rv3830c,Rv1816,?,Weak
Rv3830c-espJ,Rv3830c,espJ,?,Weak
Rv3830c-Rv3830c,Rv3830c,Rv3830c,+,Weak
Rv3830c-Rv2709,Rv3830c,Rv2709,?,Weak
Rv3830c-Rv1810,Rv3830c,Rv1810,?,Weak
Rv3830c-icl,Rv3830c,icl,?,Weak
Rv3830c-pcp,Rv3830c,pcp,?,Weak
Rv3830c-murD,Rv3830c,murD,?,Weak
Rv3830c-Rv2390c,Rv3830c,Rv2390c,?,Weak
Rv3830c-Rv3294c,Rv3830c,Rv3294c,?,Weak
Rv3830c-PE22,Rv3830c,PE22,?,Weak
Rv3830c-irtA,Rv3830c,irtA,?,Weak
Rv3830c-pks1,Rv3830c,pks1,?,Weak
Rv3830c-Rv0318c,Rv3830c,Rv0318c,?,Weak
Rv3830c-Rv1523,Rv3830c,Rv1523,?,Weak
Rv3830c-cas2,Rv3830c,cas2,?,Weak
Rv3830c-Rv3742c,Rv3830c,Rv3742c,?,Weak
Rv3830c-Rv2012,Rv3830c,Rv2012,?,Weak
Rv3830c-Rv2293c,Rv3830c,Rv2293c,?,Weak
Rv3830c-rbsK,Rv3830c,rbsK,?,Weak
Rv3830c-mftB,Rv3830c,mftB,?,Weak
Rv3830c-mtrA,Rv3830c,mtrA,?,Weak
Rv3830c-mmpL2,Rv3830c,mmpL2,?,Weak
Rv3830c-fbpB,Rv3830c,fbpB,?,Weak
Rv3830c-Rv3831,Rv3830c,Rv3831,?,Weak
Rv3830c-sthA,Rv3830c,sthA,?,Weak
Rv3830c-Rv3747,Rv3830c,Rv3747,?,Weak
Rv3830c-Rv2011c,Rv3830c,Rv2011c,?,Weak
Rv3830c-ripA,Rv3830c,ripA,?,Weak
Rv3830c-folB,Rv3830c,folB,?,Weak
Rv3830c-esxQ,Rv3830c,esxQ,?,Weak
Rv3830c-Rv3179,Rv3830c,Rv3179,?,Weak
Rv3830c-mftR,Rv3830c,mftR,?,Weak
Rv3830c-serA2,Rv3830c,serA2,?,Weak
Rv3830c-Rv2517c,Rv3830c,Rv2517c,?,Weak
Rv3830c-atpA,Rv3830c,atpA,?,Weak
Rv3830c-xylB,Rv3830c,xylB,?,Weak
Rv3830c-atpE,Rv3830c,atpE,?,Weak
Rv3830c-Rv0473,Rv3830c,Rv0473,?,Weak
Rv3830c-Rv1158c,Rv3830c,Rv1158c,?,Weak
Rv3830c-Rv0433,Rv3830c,Rv0433,?,Weak
Rv3830c-lipF,Rv3830c,lipF,?,Weak
Rv3830c-Rv1883c,Rv3830c,Rv1883c,?,Weak
Rv3830c-glf,Rv3830c,glf,?,Weak
Rv3830c-mmpL12,Rv3830c,mmpL12,?,Weak
Rv3830c-ftsW,Rv3830c,ftsW,?,Weak
Rv3830c-Rv2712c,Rv3830c,Rv2712c,?,Weak
Rv3830c-Rv1504c,Rv3830c,Rv1504c,?,Weak
Rv3830c-pimE,Rv3830c,pimE,?,Weak
