id,NDA,Color
Rv0238,M14,#27bc51
Rv2929,Basal machinery,#0e1f6d
rbfA,Basal machinery,#0e1f6d
Rv1324,Basal machinery,#0e1f6d
Rv0232,M1.4,#68b3f9
Rv1322,Basal machinery,#0e1f6d
Rv0042c,M19,#d356b6
Rv1567c,Basal machinery,#0e1f6d
Rv3534c,Basal machinery,#0e1f6d
xseA,Basal machinery,#0e1f6d
xseB,Basal machinery,#0e1f6d
speE,Basal machinery,#0e1f6d
Rv1871c,Basal machinery,#0e1f6d
Rv0455c,Basal machinery,#0e1f6d
Rv3830c,Global regulator,#d8081d
metC,Basal machinery,#0e1f6d
frdA,Basal machinery,#0e1f6d
frdB,Basal machinery,#0e1f6d
frdD,Basal machinery,#0e1f6d
clgR,M1.8,#d4e87d
Rv1524,Basal machinery,#0e1f6d
Rv0309,Basal machinery,#0e1f6d
Rv1523,Basal machinery,#0e1f6d
Rv1520,Basal machinery,#0e1f6d
dnaJ1,Basal machinery,#0e1f6d
Rv0306,Basal machinery,#0e1f6d
Rv0268c,Basal machinery,#0e1f6d
dnaJ2,Basal machinery,#0e1f6d
Rv0302,Global regulator,#d8081d
Rv2811,Basal machinery,#0e1f6d
Rv0122,Basal machinery,#0e1f6d
Rv0128,Basal machinery,#0e1f6d
Rv2949c,Basal machinery,#0e1f6d
mce1B,Basal machinery,#0e1f6d
yrbE3A,Basal machinery,#0e1f6d
mce1A,Basal machinery,#0e1f6d
Rv1587c,M1.3,#95edb1
Rv3780,Basal machinery,#0e1f6d
Rv3784,Basal machinery,#0e1f6d
Rv3785,Basal machinery,#0e1f6d
Rv3403c,Basal machinery,#0e1f6d
erg3,Basal machinery,#0e1f6d
Rv3827c,Basal machinery,#0e1f6d
Rv0947c,M1.12,#f79c33
Rv0380c,Basal machinery,#0e1f6d
dlaT,Basal machinery,#0e1f6d
Rv2901c,Basal machinery,#0e1f6d
hbhA,M1.13,#71bbe2
ppe3,M5,#783faa
ppe2,Basal machinery,#0e1f6d
ppe1,M1.1,#47e8d2
cmr,M22,#52d3cf
upp,Basal machinery,#0e1f6d
kshA,Basal machinery,#0e1f6d
Rv2269c,Basal machinery,#0e1f6d
Rv1979c,Basal machinery,#0e1f6d
Rv3741c,Basal machinery,#0e1f6d
Rv3259,Basal machinery,#0e1f6d
kstD,Basal machinery,#0e1f6d
Rv3254,Basal machinery,#0e1f6d
kstR,Global regulator,#d8081d
Rv2658c,Basal machinery,#0e1f6d
fecB,Basal machinery,#0e1f6d
Rv2729c,Basal machinery,#0e1f6d
Rv1505c,Basal machinery,#0e1f6d
mec,Basal machinery,#0e1f6d
vapB49,Basal machinery,#0e1f6d
vapB48,Basal machinery,#0e1f6d
Rv3334,Basal machinery,#0e1f6d
Rv3337,Basal machinery,#0e1f6d
aroA,Basal machinery,#0e1f6d
vapB42,Basal machinery,#0e1f6d
vapB40,Basal machinery,#0e1f6d
vapB47,Basal machinery,#0e1f6d
vapB46,Basal machinery,#0e1f6d
Rv3890c,Basal machinery,#0e1f6d
Rv0825c,M3,#ea4bd0
mazF8,Basal machinery,#0e1f6d
mazF3,Basal machinery,#0e1f6d
mazF2,Basal machinery,#0e1f6d
glf,Basal machinery,#0e1f6d
sugB,Basal machinery,#0e1f6d
gpsA,Basal machinery,#0e1f6d
crtB,Basal machinery,#0e1f6d
Rv1111c,Basal machinery,#0e1f6d
gltB,Basal machinery,#0e1f6d
Rv0308,M19,#d356b6
kgtP,Basal machinery,#0e1f6d
pstC2,Basal machinery,#0e1f6d
Rv1272c,Basal machinery,#0e1f6d
vapC37,Basal machinery,#0e1f6d
vapC34,Basal machinery,#0e1f6d
Rv3241c,Basal machinery,#0e1f6d
Rv1898,Basal machinery,#0e1f6d
vapC30,Basal machinery,#0e1f6d
typA,Basal machinery,#0e1f6d
Rv1895,M1.20,#be1cff
Rv1893,Basal machinery,#0e1f6d
vapC39,Basal machinery,#0e1f6d
vapC38,Basal machinery,#0e1f6d
PPE41,Basal machinery,#0e1f6d
PPE43,M2,#4f17b7
Rv0749A,Basal machinery,#0e1f6d
mtb12,Basal machinery,#0e1f6d
Rv1250,Basal machinery,#0e1f6d
Rv3529c,Basal machinery,#0e1f6d
lpqC,Basal machinery,#0e1f6d
lpqB,Basal machinery,#0e1f6d
lpqF,Basal machinery,#0e1f6d
lpqE,Basal machinery,#0e1f6d
lpqD,Basal machinery,#0e1f6d
Rv0204c,Basal machinery,#0e1f6d
lpqJ,Basal machinery,#0e1f6d
lpqH,Basal machinery,#0e1f6d
lpqR,Basal machinery,#0e1f6d
lpqQ,M11,#eaba8c
lpqP,Basal machinery,#0e1f6d
lpqW,Basal machinery,#0e1f6d
kgd,Basal machinery,#0e1f6d
lpqT,M1.33,#eff44e
lpqZ,Basal machinery,#0e1f6d
lpqY,Basal machinery,#0e1f6d
lpqX,Basal machinery,#0e1f6d
hspR,M27,#e2b08e
erp,Basal machinery,#0e1f6d
Rv1995,Basal machinery,#0e1f6d
mmuM,Basal machinery,#0e1f6d
Rv2311,Basal machinery,#0e1f6d
Rv2312,Basal machinery,#0e1f6d
Rv3815c,Basal machinery,#0e1f6d
era,Basal machinery,#0e1f6d
Rv2081c,Basal machinery,#0e1f6d
Rv2082,Basal machinery,#0e1f6d
Rv2798c,Basal machinery,#0e1f6d
Rv0093c,Basal machinery,#0e1f6d
Rv1729c,Basal machinery,#0e1f6d
Rv2159c,Basal machinery,#0e1f6d
Rv2238c,Basal machinery,#0e1f6d
gatC,Basal machinery,#0e1f6d
Rv3363c,Basal machinery,#0e1f6d
Rv2922A,Basal machinery,#0e1f6d
far,Basal machinery,#0e1f6d
Rv3762c,Basal machinery,#0e1f6d
Rv2286c,Basal machinery,#0e1f6d
Rv3008,Basal machinery,#0e1f6d
smtB,Basal machinery,#0e1f6d
Rv3493c,Basal machinery,#0e1f6d
parD1,Basal machinery,#0e1f6d
parD2,Basal machinery,#0e1f6d
Rv0756c,Basal machinery,#0e1f6d
whiB5,Global regulator,#d8081d
whiB4,Global regulator,#d8081d
whiB7,Basal machinery,#0e1f6d
whiB6,M1.36,#c43c5a
whiB1,Global regulator,#d8081d
whiB3,M1.38,#c0b8f2
whiB2,M1.39,#ba9e14
