Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Middle_Output,010,N0,Preserved,1006
010,010_N0_NS,Input_Output,010,N0,Preserved,92
010,010_N0_NS,Middle_Middle,010,N0,Preserved,44
010,010_N0_NS,Middle_Middle,100,NP,Altered,4
010,010_N0_NS,Middle_Middle,100,NN,Altered,2
010,010_P0_NS,Middle_Output,010,P0,Preserved,1573
010,010_P0_NS,Input_Output,010,P0,Preserved,53
010,010_P0_NS,Middle_Middle,010,P0,Preserved,52
010,010_P0_NS,Input_Middle,010,P0,Preserved,3
010,010_P0_NS,Middle_Middle,100,PN,Altered,3
010,010_P0_NS,Middle_Middle,100,PP,Altered,3
021C,021C_0NN000_NS,Middle_Middle_Output,120,NNN0P0,Altered,100
021C,021C_0NN000_NS,Middle_Middle_Output,030,0NN0P0,Altered,83
021C,021C_0NN000_NS,Middle_Middle_Output,120,NNN0N0,Altered,19
021C,021C_0NN000_NS,Middle_Middle_Output,120,PNN0P0,Altered,9
021C,021C_0NN000_NS,Middle_Middle_Middle,120,NNN0P0,Altered,2
021C,021C_0NN000_NS,Middle_Input_Output,030,0NN0P0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,030,0NN0P0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,120,0NNPP0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,120,NNN0N0,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Output,030,0NP0N0,Altered,429
021C,021C_0NP000_NS,Middle_Middle_Output,120,PNP0N0,Altered,64
021C,021C_0NP000_NS,Middle_Middle_Output,120,NNP0N0,Altered,25
021C,021C_0NP000_NS,Middle_Middle_Middle,030,0NP0N0,Altered,9
021C,021C_0NP000_NS,Middle_Middle_Middle,300,NNPPNP,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,120,NPN0N0,Altered,116
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,99
021C,021C_0PN000_NS,Middle_Middle_Output,120,NPN0P0,Altered,33
021C,021C_0PN000_NS,Middle_Middle_Middle,120,NPN0N0,Altered,8
021C,021C_0PN000_NS,Middle_Middle_Output,120,PPN0N0,Altered,7
021C,021C_0PN000_NS,Middle_Input_Output,030,0PN0N0,Altered,6
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0P0,Altered,6
021C,021C_0PN000_NS,Middle_Middle_Middle,030,0PN0N0,Altered,4
021C,021C_0PN000_NS,Middle_Input_Middle,120,0PNPN0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,120,NPN0P0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,120,PPN0P0,Altered,1
