Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Middle_Output,010,N0,Preserved,144
010,010_N0_NS,Middle_Middle,010,N0,Preserved,4
010,010_N0_NS,Input_Middle,010,N0,Preserved,1
010,010_N0_NS,Input_Output,010,N0,Preserved,1
010,010_P0_NS,Middle_Output,010,P0,Preserved,113
010,010_P0_NS,Middle_Middle,010,P0,Preserved,20
010,010_P0_NS,Input_Output,010,P0,Preserved,2
010,010_P0_NS,Middle_Middle,100,PN,Altered,2
021C,021C_0NN000_NS,Middle_Middle_Output,030,0NN0P0,Altered,3
021C,021C_0NP000_NS,Middle_Middle_Output,030,0NP0N0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,28
021C,021C_0PP000_NS,Middle_Middle_Output,030,0PP0P0,Altered,6
021C,021C_0PP000_NS,Middle_Middle_Middle,030,0PP0P0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,120,0PPNP0,Altered,1
021D,021D_N0N000_NS,Middle_Output_Output,021,N0N000,Preserved,802
021D,021D_N0N000_NS,Middle_Middle_Output,021,N0N000,Preserved,9
021D,021D_N0N000_NS,Middle_Output_Middle,021,N0N000,Preserved,7
021D,021D_N0N000_NS,Middle_Middle_Middle,021,N0N000,Preserved,3
021D,021D_N0P000_NS,Middle_Output_Output,021,N0P000,Preserved,49
021D,021D_N0P000_NS,Middle_Output_Middle,021,N0P000,Preserved,5
021D,021D_N0P000_NS,Middle_Output_Middle,120,N0PN0P,Altered,4
021D,021D_N0P000_NS,Input_Middle_Output,021,N0P000,Preserved,1
021D,021D_N0P000_NS,Middle_Middle_Output,021,N0P000,Preserved,1
021D,021D_P0P000_NS,Middle_Output_Output,021,P0P000,Preserved,1887
021D,021D_P0P000_NS,Middle_Output_Middle,021,P0P000,Preserved,409
021D,021D_P0P000_NS,Middle_Middle_Output,021,P0P000,Preserved,408
021D,021D_P0P000_NS,Middle_Middle_Middle,021,P0P000,Preserved,84
021D,021D_P0P000_NS,Middle_Output_Middle,120,P0PN0N,Altered,3
021D,021D_P0P000_NS,Middle_Middle_Output,120,PNP0P0,Altered,2
021D,021D_P0P000_NS,Middle_Output_Middle,030,P0P00N,Altered,2
021D,021D_P0P000_NS,Input_Output_Output,021,P0P000,Preserved,1
021D,021D_P0P000_NS,Middle_Middle_Output,030,P0P0P0,Altered,1
021D,021D_P0P000_NS,Middle_Middle_Output,120,PNP0N0,Altered,1
021D,021D_P0P000_NS,Middle_Output_Middle,030,P0P00P,Altered,1
021U,021U_0N0N00_NS,Output_Middle_Middle,021,0N0N00,Preserved,32
021U,021U_0N0N00_NS,Output_Input_Middle,021,0N0N00,Preserved,4
021U,021U_0N0N00_NS,Output_Middle_Middle,120,0N0NNN,Altered,2
021U,021U_0N0N00_NS,Middle_Middle_Middle,021,0N0N00,Preserved,1
021U,021U_0N0N00_NS,Output_Middle_Middle,030,0N0NN0,Altered,1
021U,021U_0N0N00_NS,Output_Middle_Middle,120,0N0NPP,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,021,0N0P00,Preserved,13
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0P0N,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0P0P,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0PP0,Altered,1
021U,021U_0P0P00_NS,Output_Middle_Middle,021,0P0P00,Preserved,17
021U,021U_0P0P00_NS,Output_Middle_Middle,030,0P0PP0,Altered,4
021U,021U_0P0P00_NS,Output_Middle_Input,021,0P0P00,Preserved,3
021U,021U_0P0P00_NS,Output_Input_Middle,021,0P0P00,Preserved,2
021U,021U_0P0P00_NS,Output_Middle_Middle,030,0P0PN0,Altered,2
021U,021U_0P0P00_NS,Middle_Middle_Input,021,0P0P00,Preserved,1
030T,030T_0N0NN0_NS,Output_Middle_Middle,030,0N0NN0,Preserved,2
030T,030T_0N0NP0_NS,Output_Middle_Middle,120,0N0NPN,Altered,1
030T,030T_0N0PP0_NS,Output_Middle_Middle,120,0N0PPN,Altered,8
030T,030T_0P0NN0_NS,Output_Middle_Middle,030,0P0NN0,Preserved,2
030T,030T_0P0NP0_NS,Output_Middle_Middle,030,0P0NP0,Preserved,39
030T,030T_0P0NP0_NS,Output_Middle_Middle,120,0P0NPN,Altered,11
030T,030T_0P0NP0_NS,Middle_Middle_Middle,030,0P0NP0,Preserved,1
030T,030T_0P0PP0_NS,Output_Middle_Middle,030,0P0PP0,Preserved,29
100,100_NN_NS,Middle_Middle,100,NN,Preserved,2
100,100_PN_NS,Middle_Middle,100,PN,Preserved,1
111D,111D_P000NN_NS,Middle_Middle_Middle,120,P0N0NN,Altered,1
111D,111D_P000PN_NS,Middle_Middle_Middle,120,P0P0PN,Altered,1
111D,111D_P000PN_NS,Middle_Middle_Middle,300,PNPPPN,Altered,1
111U,111U_0N00NN_NS,Output_Middle_Middle,120,0N0PNN,Altered,30
111U,111U_0N00NN_NS,Middle_Middle_Middle,120,0N0PNN,Altered,3
111U,111U_0N00PN_NS,Output_Middle_Middle,120,0N0PPN,Altered,9
111U,111U_0P00NN_NS,Output_Middle_Middle,120,0P0NNN,Altered,7
111U,111U_0P00PN_NS,Output_Middle_Middle,120,0P0NPN,Altered,24
120U,120U_0N0NNN_NS,Output_Middle_Middle,120,0N0NNN,Preserved,11
