Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Middle_Output,010,N0,Preserved,827
010,010_N0_NS,Input_Output,010,N0,Preserved,63
010,010_N0_NS,Middle_Middle,010,N0,Preserved,46
010,010_N0_NS,Middle_Middle,100,NP,Altered,23
010,010_N0_NS,Middle_Middle,100,NN,Altered,19
010,010_N0_NS,Input_Middle,010,N0,Preserved,10
010,010_P0_NS,Middle_Output,010,P0,Preserved,1610
010,010_P0_NS,Middle_Middle,010,P0,Preserved,73
010,010_P0_NS,Input_Output,010,P0,Preserved,45
010,010_P0_NS,Middle_Middle,100,PP,Altered,27
010,010_P0_NS,Middle_Middle,100,PN,Altered,23
010,010_P0_NS,Input_Middle,010,P0,Preserved,4
021C,021C_0NN000_NS,Middle_Middle_Output,120,PNN0P0,Altered,51
021C,021C_0NN000_NS,Middle_Middle_Output,120,NNN0P0,Altered,48
021C,021C_0NN000_NS,Middle_Middle_Output,030,0NN0P0,Altered,32
021C,021C_0NN000_NS,Middle_Input_Output,030,0NN0P0,Altered,7
021C,021C_0NN000_NS,Middle_Middle_Output,030,0NN0N0,Altered,5
021C,021C_0NN000_NS,Middle_Middle_Output,120,NNN0N0,Altered,4
021C,021C_0NN000_NS,Middle_Middle_Output,120,PNN0N0,Altered,4
021C,021C_0NN000_NS,Middle_Middle_Middle,120,PNN0P0,Altered,2
021C,021C_0NN000_NS,Middle_Middle_Middle,030,0NN0P0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,120,NNN0N0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,120,NNN0P0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,300,NNNPPP,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,300,PNNPNP,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,300,PNNPPN,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,300,PNNPPP,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Output,120,PNP0N0,Altered,277
021C,021C_0NP000_NS,Middle_Middle_Output,120,NNP0N0,Altered,98
021C,021C_0NP000_NS,Middle_Middle_Middle,120,PNP0N0,Altered,20
021C,021C_0NP000_NS,Middle_Middle_Output,030,0NP0N0,Altered,18
021C,021C_0NP000_NS,Middle_Input_Output,030,0NP0N0,Altered,5
021C,021C_0NP000_NS,Middle_Middle_Middle,300,PNPNNN,Altered,4
021C,021C_0NP000_NS,Middle_Middle_Middle,120,NNP0N0,Altered,2
021C,021C_0NP000_NS,Middle_Middle_Output,120,NNP0P0,Altered,2
021C,021C_0NP000_NS,Middle_Middle_Middle,300,NNPNNP,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Middle,300,PNPNNP,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Middle,300,PNPPNP,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Output,120,PNP0P0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,120,NPN0N0,Altered,45
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,34
021C,021C_0PN000_NS,Middle_Middle_Output,120,PPN0N0,Altered,25
021C,021C_0PN000_NS,Middle_Input_Output,030,0PN0N0,Altered,15
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0P0,Altered,7
021C,021C_0PN000_NS,Middle_Middle_Output,120,PPN0P0,Altered,6
021C,021C_0PN000_NS,Middle_Middle_Middle,030,0PN0N0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,120,NPN0P0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,120,PPN0P0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,300,NPNNNP,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,300,NPNPNN,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Middle,300,NPNPNP,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,120,NPN0P0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Output,120,NPP0P0,Altered,183
021C,021C_0PP000_NS,Middle_Middle_Output,120,PPP0P0,Altered,163
021C,021C_0PP000_NS,Middle_Middle_Output,030,0PP0P0,Altered,58
021C,021C_0PP000_NS,Middle_Middle_Middle,120,PPP0P0,Altered,8
021C,021C_0PP000_NS,Middle_Middle_Output,120,NPP0N0,Altered,7
021C,021C_0PP000_NS,Middle_Middle_Middle,300,NPPNPN,Altered,4
021C,021C_0PP000_NS,Middle_Middle_Output,120,PPP0N0,Altered,4
021C,021C_0PP000_NS,Middle_Input_Output,030,0PP0P0,Altered,3
021C,021C_0PP000_NS,Middle_Middle_Middle,300,PPPPPP,Altered,3
021C,021C_0PP000_NS,Middle_Input_Middle,120,0PPNP0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,120,0PPNP0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,120,0PPPP0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,120,NPP0P0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,300,PPPPNP,Altered,1
021D,021D_N0N000_NS,Middle_Output_Output,021,N0N000,Preserved,15788
021D,021D_N0N000_NS,Middle_Middle_Output,021,N0N000,Preserved,646
021D,021D_N0N000_NS,Middle_Output_Middle,021,N0N000,Preserved,509
021D,021D_N0N000_NS,Middle_Middle_Output,120,NPN0P0,Altered,295
021D,021D_N0N000_NS,Middle_Output_Middle,120,N0NP0P,Altered,199
021D,021D_N0N000_NS,Middle_Middle_Output,120,NNN0N0,Altered,193
021D,021D_N0N000_NS,Middle_Middle_Output,120,NPN0N0,Altered,145
021D,021D_N0N000_NS,Middle_Output_Middle,120,N0NN0P,Altered,142
021D,021D_N0N000_NS,Middle_Output_Middle,120,N0NP0N,Altered,133
021D,021D_N0N000_NS,Input_Output_Output,021,N0N000,Preserved,128
021D,021D_N0N000_NS,Middle_Middle_Output,120,NNN0P0,Altered,126
021D,021D_N0N000_NS,Middle_Output_Middle,120,N0NN0N,Altered,49
021D,021D_N0N000_NS,Middle_Middle_Output,030,N0N0N0,Altered,37
021D,021D_N0N000_NS,Middle_Output_Middle,030,N0N00N,Altered,28
021D,021D_N0N000_NS,Middle_Middle_Output,030,N0N0P0,Altered,22
021D,021D_N0N000_NS,Middle_Middle_Middle,021,N0N000,Preserved,20
021D,021D_N0N000_NS,Middle_Output_Middle,030,N0N00P,Altered,17
021D,021D_N0N000_NS,Middle_Middle_Middle,120,N0NP0P,Altered,13
021D,021D_N0N000_NS,Middle_Middle_Middle,120,NPN0P0,Altered,12
021D,021D_N0N000_NS,Input_Middle_Output,021,N0N000,Preserved,10
021D,021D_N0N000_NS,Middle_Middle_Middle,120,NNN0N0,Altered,10
021D,021D_N0N000_NS,Middle_Middle_Middle,120,N0N0NN,Altered,9
021D,021D_N0N000_NS,Middle_Middle_Middle,300,NNNPNP,Altered,9
021D,021D_N0N000_NS,Input_Output_Middle,030,N0N00N,Altered,6
021D,021D_N0N000_NS,Middle_Middle_Middle,120,N0N0NP,Altered,6
021D,021D_N0N000_NS,Input_Output_Middle,030,N0N00P,Altered,5
