Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Middle_Output,010,N0,Preserved,205
010,010_N0_NS,Input_Output,010,N0,Preserved,181
010,010_N0_NS,Middle_Middle,010,N0,Preserved,13
010,010_N0_NS,Input_Middle,010,N0,Preserved,5
010,010_P0_NS,Input_Output,010,P0,Preserved,151
010,010_P0_NS,Middle_Output,010,P0,Preserved,50
010,010_P0_NS,Input_Middle,010,P0,Preserved,17
010,010_P0_NS,Middle_Middle,100,PP,Altered,11
010,010_P0_NS,Middle_Middle,010,P0,Preserved,3
021C,021C_0NN000_NS,Middle_Middle_Output,030,0NN0P0,Altered,40
021C,021C_0NN000_NS,Middle_Middle_Middle,030,0NN0P0,Altered,4
021C,021C_0NN000_NS,Middle_Input_Output,030,0NN0P0,Altered,3
021C,021C_0NN000_NS,Middle_Input_Middle,030,0NN0P0,Altered,1
021C,021C_0NP000_NS,Middle_Middle_Output,030,0NP0N0,Altered,20
021C,021C_0NP000_NS,Middle_Middle_Middle,030,0NP0N0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,2
021C,021C_0PP000_NS,Middle_Middle_Middle,300,PPPPPP,Altered,9
021D,021D_N0N000_NS,Input_Output_Output,021,N0N000,Preserved,2699
021D,021D_N0N000_NS,Middle_Output_Output,021,N0N000,Preserved,1501
021D,021D_N0N000_NS,Middle_Output_Middle,021,N0N000,Preserved,132
021D,021D_N0N000_NS,Input_Output_Middle,021,N0N000,Preserved,84
021D,021D_N0N000_NS,Middle_Middle_Output,021,N0N000,Preserved,78
021D,021D_N0N000_NS,Input_Middle_Output,021,N0N000,Preserved,56
021D,021D_N0N000_NS,Middle_Output_Middle,030,N0N00P,Altered,4
021D,021D_N0N000_NS,Middle_Middle_Middle,021,N0N000,Preserved,3
021D,021D_N0N000_NS,Input_Middle_Middle,021,N0N000,Preserved,2
021D,021D_N0N000_NS,Input_Middle_Output,030,N0N0N0,Altered,1
021D,021D_N0N000_NS,Input_Middle_Output,030,N0N0P0,Altered,1
021D,021D_N0N000_NS,Input_Output_Middle,030,N0N00P,Altered,1
021D,021D_N0N000_NS,Middle_Middle_Output,030,N0N0P0,Altered,1
021D,021D_N0P000_NS,Input_Output_Output,021,N0P000,Preserved,2358
021D,021D_N0P000_NS,Middle_Output_Output,021,N0P000,Preserved,388
021D,021D_N0P000_NS,Input_Output_Middle,021,N0P000,Preserved,314
021D,021D_N0P000_NS,Input_Middle_Output,021,N0P000,Preserved,88
021D,021D_N0P000_NS,Middle_Output_Middle,021,N0P000,Preserved,31
021D,021D_N0P000_NS,Middle_Middle_Output,021,N0P000,Preserved,25
021D,021D_N0P000_NS,Input_Middle_Middle,021,N0P000,Preserved,14
021D,021D_N0P000_NS,Input_Middle_Output,030,N0P0N0,Altered,5
021D,021D_N0P000_NS,Input_Middle_Output,030,N0P0P0,Altered,5
021D,021D_N0P000_NS,Input_Output_Middle,030,N0P00N,Altered,3
021D,021D_N0P000_NS,Input_Output_Middle,030,N0P00P,Altered,3
021D,021D_N0P000_NS,Middle_Middle_Middle,021,N0P000,Preserved,3
021D,021D_N0P000_NS,Input_Middle_Middle,030,N0P00N,Altered,1
021D,021D_N0P000_NS,Middle_Middle_Output,030,N0P0N0,Altered,1
021D,021D_P0P000_NS,Input_Output_Output,021,P0P000,Preserved,4587
021D,021D_P0P000_NS,Input_Middle_Output,021,P0P000,Preserved,654
021D,021D_P0P000_NS,Input_Output_Middle,021,P0P000,Preserved,520
021D,021D_P0P000_NS,Middle_Output_Output,021,P0P000,Preserved,227
021D,021D_P0P000_NS,Input_Middle_Middle,021,P0P000,Preserved,72
021D,021D_P0P000_NS,Input_Middle_Output,030,P0P0P0,Altered,22
021D,021D_P0P000_NS,Input_Middle_Output,030,P0P0N0,Altered,20
021D,021D_P0P000_NS,Middle_Output_Middle,021,P0P000,Preserved,19
021D,021D_P0P000_NS,Input_Output_Middle,030,P0P00P,Altered,7
021D,021D_P0P000_NS,Middle_Middle_Output,021,P0P000,Preserved,7
021D,021D_P0P000_NS,Middle_Middle_Middle,300,PPPPPP,Altered,5
021D,021D_P0P000_NS,Input_Middle_Middle,030,P0P0P0,Altered,2
021D,021D_P0P000_NS,Middle_Middle_Output,120,PPP0P0,Altered,2
021D,021D_P0P000_NS,Input_Output_Middle,030,P0P00N,Altered,1
021U,021U_0N0N00_NS,Output_Input_Middle,021,0N0N00,Preserved,9
021U,021U_0N0N00_NS,Output_Input_Input,021,0N0N00,Preserved,8
021U,021U_0N0N00_NS,Output_Middle_Middle,021,0N0N00,Preserved,8
021U,021U_0N0N00_NS,Output_Middle_Input,021,0N0N00,Preserved,7
021U,021U_0N0P00_NS,Output_Input_Middle,021,0N0P00,Preserved,5
021U,021U_0N0P00_NS,Output_Middle_Middle,021,0N0P00,Preserved,3
021U,021U_0N0P00_NS,Output_Middle_Input,021,0N0P00,Preserved,2
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0PN0,Altered,1
021U,021U_0P0P00_NS,Output_Input_Input,021,0P0P00,Preserved,4
021U,021U_0P0P00_NS,Middle_Middle_Middle,300,PPPPPP,Altered,3
021U,021U_0P0P00_NS,Output_Middle_Middle,021,0P0P00,Preserved,3
021U,021U_0P0P00_NS,Output_Input_Middle,021,0P0P00,Preserved,2
021U,021U_0P0P00_NS,Output_Middle_Input,021,0P0P00,Preserved,2
021U,021U_0P0P00_NS,Output_Input_Middle,030,0P0PN0,Altered,1
030T,030T_0N0NN0_NS,Output_Input_Middle,030,0N0NN0,Preserved,2
030T,030T_0N0NN0_NS,Output_Middle_Middle,030,0N0NN0,Preserved,2
030T,030T_0P0PN0_NS,Output_Input_Middle,030,0P0PN0,Preserved,1
030T,030T_0P0PP0_NS,Middle_Middle_Middle,300,PPPPPP,Altered,2
100,100_NN_NS,Middle_Middle,100,NN,Preserved,1
100,100_PP_NS,Middle_Middle,100,PP,Preserved,3
111D,111D_P000PP_NS,Middle_Middle_Middle,300,PPPPPP,Altered,1
111U,111U_0N00NN_NS,Output_Middle_Middle,120,0N0PNN,Altered,1
111U,111U_0N00PP_NS,Output_Middle_Middle,120,0N0NPP,Altered,1
111U,111U_0P00PP_NS,Output_Middle_Middle,120,0P0PPP,Altered,7
111U,111U_0P00PP_NS,Middle_Middle_Middle,300,PPPPPP,Altered,3
120C,120C_0PP0PP_NS,Middle_Middle_Middle,300,PPPPPP,Altered,1
120D,120D_P0P0NN_NS,Input_Middle_Middle,120,P0P0NN,Preserved,1
