Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Middle_Output,010,N0,Preserved,71
010,010_N0_NS,Input_Output,010,N0,Preserved,48
010,010_N0_NS,Input_Middle,010,N0,Preserved,18
010,010_N0_NS,Middle_Middle,100,NP,Altered,8
010,010_N0_NS,Middle_Middle,010,N0,Preserved,6
010,010_N0_NS,Middle_Middle,100,NN,Altered,2
010,010_P0_NS,Middle_Output,010,P0,Preserved,292
010,010_P0_NS,Input_Output,010,P0,Preserved,74
010,010_P0_NS,Input_Middle,010,P0,Preserved,12
010,010_P0_NS,Middle_Middle,010,P0,Preserved,8
010,010_P0_NS,Middle_Middle,100,PN,Altered,5
010,010_P0_NS,Middle_Middle,100,PP,Altered,1
021C,021C_0NN000_NS,Middle_Input_Middle,120,0NNPP0,Altered,2
021C,021C_0NN000_NS,Middle_Input_Output,030,0NN0P0,Altered,1
021C,021C_0NN000_NS,Middle_Middle_Middle,300,PNNPPN,Altered,1
021C,021C_0NP000_NS,Middle_Input_Output,030,0NP0N0,Altered,46
021C,021C_0NP000_NS,Middle_Middle_Output,030,0NP0N0,Altered,11
021C,021C_0NP000_NS,Middle_Middle_Output,120,PNP0N0,Altered,11
021C,021C_0NP000_NS,Middle_Input_Middle,120,0NPNN0,Altered,1
021C,021C_0PN000_NS,Middle_Middle_Output,120,PPN0N0,Altered,8
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,3
021C,021C_0PN000_NS,Middle_Input_Middle,120,0PNPN0,Altered,1
021C,021C_0PP000_NS,Middle_Input_Output,030,0PP0P0,Altered,25
021C,021C_0PP000_NS,Middle_Middle_Output,030,0PP0P0,Altered,24
021C,021C_0PP000_NS,Middle_Middle_Output,120,PPP0P0,Altered,14
021C,021C_0PP000_NS,Middle_Input_Middle,030,0PP0P0,Altered,2
021C,021C_0PP000_NS,Middle_Input_Middle,120,0PPNP0,Altered,2
021C,021C_0PP000_NS,Middle_Middle_Middle,030,0PP0P0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Middle,120,PPP0P0,Altered,1
021D,021D_N0N000_NS,Middle_Output_Output,021,N0N000,Preserved,291
021D,021D_N0N000_NS,Input_Output_Output,021,N0N000,Preserved,102
021D,021D_N0N000_NS,Middle_Middle_Output,120,NPN0N0,Altered,28
021D,021D_N0N000_NS,Input_Middle_Output,030,N0N0N0,Altered,20
021D,021D_N0N000_NS,Input_Output_Middle,021,N0N000,Preserved,13
021D,021D_N0N000_NS,Middle_Output_Middle,021,N0N000,Preserved,11
021D,021D_N0N000_NS,Input_Middle_Output,030,N0N0P0,Altered,10
021D,021D_N0N000_NS,Middle_Middle_Output,120,NNN0P0,Altered,7
021D,021D_N0N000_NS,Input_Middle_Output,021,N0N000,Preserved,4
021D,021D_N0N000_NS,Input_Output_Middle,030,N0N00N,Altered,4
021D,021D_N0N000_NS,Input_Output_Middle,030,N0N00P,Altered,2
021D,021D_N0N000_NS,Middle_Middle_Middle,120,N0NP0N,Altered,2
021D,021D_N0N000_NS,Middle_Output_Middle,120,N0NP0N,Altered,2
021D,021D_N0N000_NS,Input_Middle_Middle,021,N0N000,Preserved,1
021D,021D_N0N000_NS,Input_Middle_Middle,030,N0N0N0,Altered,1
021D,021D_N0N000_NS,Input_Middle_Middle,120,N0N0NP,Altered,1
021D,021D_N0N000_NS,Middle_Middle_Middle,120,NPN0N0,Altered,1
021D,021D_N0N000_NS,Middle_Middle_Output,021,N0N000,Preserved,1
021D,021D_N0N000_NS,Middle_Middle_Output,120,NNN0N0,Altered,1
021D,021D_N0N000_NS,Middle_Middle_Output,120,NPN0P0,Altered,1
021D,021D_N0P000_NS,Middle_Output_Output,021,N0P000,Preserved,334
021D,021D_N0P000_NS,Input_Output_Output,021,N0P000,Preserved,31
021D,021D_N0P000_NS,Middle_Middle_Output,120,NPP0P0,Altered,22
021D,021D_N0P000_NS,Middle_Middle_Output,120,NNP0N0,Altered,15
021D,021D_N0P000_NS,Input_Output_Middle,021,N0P000,Preserved,11
021D,021D_N0P000_NS,Middle_Middle_Output,021,N0P000,Preserved,10
021D,021D_N0P000_NS,Input_Middle_Output,021,N0P000,Preserved,9
021D,021D_N0P000_NS,Middle_Middle_Output,120,NPP0N0,Altered,4
021D,021D_N0P000_NS,Middle_Output_Middle,021,N0P000,Preserved,4
021D,021D_N0P000_NS,Input_Middle_Middle,021,N0P000,Preserved,3
021D,021D_N0P000_NS,Input_Middle_Output,030,N0P0N0,Altered,3
021D,021D_P0P000_NS,Middle_Output_Output,021,P0P000,Preserved,2513
021D,021D_P0P000_NS,Input_Output_Output,021,P0P000,Preserved,136
021D,021D_P0P000_NS,Middle_Middle_Output,021,P0P000,Preserved,85
021D,021D_P0P000_NS,Middle_Output_Middle,021,P0P000,Preserved,74
021D,021D_P0P000_NS,Middle_Middle_Output,120,PNP0N0,Altered,45
021D,021D_P0P000_NS,Input_Output_Middle,021,P0P000,Preserved,19
021D,021D_P0P000_NS,Middle_Middle_Output,120,PPP0P0,Altered,12
021D,021D_P0P000_NS,Input_Middle_Output,030,P0P0N0,Altered,11
021D,021D_P0P000_NS,Input_Middle_Output,021,P0P000,Preserved,7
021D,021D_P0P000_NS,Middle_Middle_Output,030,P0P0P0,Altered,6
021D,021D_P0P000_NS,Middle_Middle_Middle,021,P0P000,Preserved,5
021D,021D_P0P000_NS,Input_Middle_Middle,021,P0P000,Preserved,2
021D,021D_P0P000_NS,Middle_Middle_Output,120,PNP0P0,Altered,2
021D,021D_P0P000_NS,Middle_Middle_Middle,300,PNPNNN,Altered,1
021D,021D_P0P000_NS,Middle_Middle_Output,030,P0P0N0,Altered,1
021D,021D_P0P000_NS,Middle_Output_Middle,120,P0PN0N,Altered,1
021D,021D_P0P000_NS,Middle_Output_Middle,120,P0PN0P,Altered,1
021D,021D_P0P000_NS,Middle_Output_Middle,120,P0PP0P,Altered,1
021U,021U_0N0N00_NS,Middle_Input_Input,021,0N0N00,Preserved,6
021U,021U_0N0N00_NS,Middle_Middle_Input,120,PN0N0N,Altered,3
021U,021U_0N0N00_NS,Middle_Input_Middle,120,0NPNN0,Altered,1
021U,021U_0N0N00_NS,Middle_Middle_Input,030,0N0N0N,Altered,1
021U,021U_0N0N00_NS,Output_Middle_Middle,021,0N0N00,Preserved,1
021U,021U_0N0N00_NS,Output_Middle_Middle,030,0N0NN0,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,021,0N0P00,Preserved,9
021U,021U_0N0P00_NS,Output_Middle_Input,030,0N0P0P,Altered,5
021U,021U_0N0P00_NS,Output_Input_Input,021,0N0P00,Preserved,4
021U,021U_0N0P00_NS,Middle_Input_Input,021,0N0P00,Preserved,2
021U,021U_0N0P00_NS,Output_Input_Middle,021,0N0P00,Preserved,2
021U,021U_0N0P00_NS,Middle_Input_Middle,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Middle_Input_Middle,030,0N0PN0,Altered,1
021U,021U_0N0P00_NS,Middle_Input_Middle,030,0N0PP0,Altered,1
021U,021U_0N0P00_NS,Middle_Middle_Input,030,0N0P0P,Altered,1
021U,021U_0N0P00_NS,Middle_Middle_Middle,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Middle_Middle_Middle,030,0N0P0N,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0P0P,Altered,1
021U,021U_0N0P00_NS,Output_Middle_Middle,030,0N0PN0,Altered,1
021U,021U_0P0P00_NS,Output_Middle_Middle,021,0P0P00,Preserved,67
021U,021U_0P0P00_NS,Output_Middle_Input,030,0P0P0N,Altered,51
021U,021U_0P0P00_NS,Output_Middle_Middle,120,0P0PPN,Altered,25
021U,021U_0P0P00_NS,Output_Input_Middle,021,0P0P00,Preserved,21
021U,021U_0P0P00_NS,Output_Input_Input,021,0P0P00,Preserved,20
021U,021U_0P0P00_NS,Output_Middle_Middle,120,0P0PNN,Altered,13
021U,021U_0P0P00_NS,Output_Middle_Input,021,0P0P00,Preserved,12
021U,021U_0P0P00_NS,Middle_Middle_Input,030,0P0P0N,Altered,5
021U,021U_0P0P00_NS,Output_Input_Middle,030,0P0PP0,Altered,3
021U,021U_0P0P00_NS,Middle_Input_Input,021,0P0P00,Preserved,2
021U,021U_0P0P00_NS,Middle_Input_Middle,021,0P0P00,Preserved,1
021U,021U_0P0P00_NS,Middle_Middle_Middle,030,0P0P0P,Altered,1
021U,021U_0P0P00_NS,Middle_Middle_Middle,120,0P0PPN,Altered,1
021U,021U_0P0P00_NS,Middle_Middle_Middle,120,PP0P0N,Altered,1
021U,021U_0P0P00_NS,Output_Middle_Input,030,0P0P0P,Altered,1
030C,030C_N00NN0_NS,Middle_Middle_Middle,300,NPPNNP,Altered,1
030T,030T_0N0NN0_NS,Output_Middle_Middle,120,0N0NNP,Altered,1
030T,030T_0P0NP0_NS,Output_Middle_Middle,120,0P0NPN,Altered,1
030T,030T_0P0PN0_NS,Output_Middle_Middle,120,0P0PNN,Altered,12
030T,030T_0P0PP0_NS,Output_Middle_Middle,120,0P0PPN,Altered,13
030T,030T_0P0PP0_NS,Output_Middle_Middle,030,0P0PP0,Preserved,4
100,100_PN_NS,Middle_Middle,100,PN,Preserved,3
100,100_PP_NS,Middle_Middle,100,PP,Preserved,4
111D,111D_N000NP_NS,Middle_Middle_Middle,120,N0P0NP,Altered,1
111D,111D_N000PN_NS,Middle_Middle_Middle,120,N0N0PN,Altered,1
111D,111D_N000PP_NS,Middle_Middle_Middle,120,N0N0PP,Altered,1
111D,111D_P000PN_NS,Input_Middle_Middle,120,P0P0PN,Altered,3
111D,111D_P000PN_NS,Middle_Middle_Middle,120,P0P0PN,Altered,1
111U,111U_0N00PP_NS,Output_Middle_Middle,120,0N0NPP,Altered,1
111U,111U_0P00PN_NS,Output_Middle_Middle,120,0P0NPN,Altered,25
111U,111U_0P00PN_NS,Middle_Middle_Middle,120,0P0NPN,Altered,1
111U,111U_0P00PN_NS,Middle_Middle_Middle,300,PPPNPN,Altered,1
111U,111U_0P00PP_NS,Output_Middle_Middle,120,0P0PPP,Altered,44
111U,111U_0P00PP_NS,Middle_Middle_Middle,120,0P0PPP,Altered,1
111U,111U_0P00PP_NS,Middle_Middle_Middle,300,PPPPPP,Altered,1
120D,120D_N0N0PP_NS,Input_Middle_Middle,120,N0N0PP,Preserved,1
120U,120U_0P0PPP_NS,Output_Middle_Middle,120,0P0PPP,Preserved,1
