Topo_MAN_Code,Topo_Circuit,Topo_Level_String,Coh_MAN_Base,Coh_EdgeString,Status,Count
010,010_N0_NS,Input_Output,010,N0,Preserved,45
010,010_N0_NS,Middle_Output,010,N0,Preserved,15
010,010_N0_NS,Input_Middle,010,N0,Preserved,5
010,010_N0_NS,Middle_Middle,010,N0,Preserved,5
010,010_P0_NS,Middle_Output,010,P0,Preserved,28
010,010_P0_NS,Input_Output,010,P0,Preserved,27
010,010_P0_NS,Middle_Middle,010,P0,Preserved,5
010,010_P0_NS,Input_Middle,010,P0,Preserved,4
021C,021C_0NN000_NS,Middle_Input_Output,030,0NN0P0,Altered,4
021C,021C_0NN000_NS,Middle_Input_Middle,030,0NN0P0,Altered,3
021C,021C_0NP000_NS,Middle_Input_Output,030,0NP0N0,Altered,2
021C,021C_0PN000_NS,Middle_Middle_Output,030,0PN0N0,Altered,1
021C,021C_0PP000_NS,Middle_Input_Output,030,0PP0P0,Altered,1
021C,021C_0PP000_NS,Middle_Middle_Output,030,0PP0P0,Altered,1
021D,021D_N0N000_NS,Input_Output_Output,021,N0N000,Preserved,74
021D,021D_N0N000_NS,Input_Output_Middle,021,N0N000,Preserved,16
021D,021D_N0N000_NS,Middle_Output_Output,021,N0N000,Preserved,16
021D,021D_N0N000_NS,Middle_Output_Middle,021,N0N000,Preserved,14
021D,021D_N0N000_NS,Middle_Middle_Output,021,N0N000,Preserved,10
021D,021D_N0N000_NS,Middle_Middle_Middle,021,N0N000,Preserved,6
021D,021D_N0N000_NS,Input_Middle_Output,021,N0N000,Preserved,2
021D,021D_N0N000_NS,Input_Middle_Middle,021,N0N000,Preserved,1
021D,021D_N0P000_NS,Input_Output_Output,021,N0P000,Preserved,40
021D,021D_N0P000_NS,Middle_Output_Output,021,N0P000,Preserved,11
021D,021D_N0P000_NS,Input_Output_Middle,021,N0P000,Preserved,7
021D,021D_N0P000_NS,Input_Middle_Output,021,N0P000,Preserved,3
021D,021D_N0P000_NS,Middle_Output_Middle,021,N0P000,Preserved,1
021D,021D_P0P000_NS,Input_Output_Output,021,P0P000,Preserved,63
021D,021D_P0P000_NS,Middle_Output_Output,021,P0P000,Preserved,23
021D,021D_P0P000_NS,Input_Middle_Output,021,P0P000,Preserved,9
021D,021D_P0P000_NS,Middle_Middle_Output,021,P0P000,Preserved,5
021D,021D_P0P000_NS,Input_Output_Middle,021,P0P000,Preserved,4
021D,021D_P0P000_NS,Middle_Output_Middle,021,P0P000,Preserved,2
021U,021U_0N0N00_NS,Output_Middle_Input,021,0N0N00,Preserved,5
021U,021U_0N0N00_NS,Output_Input_Input,021,0N0N00,Preserved,3
021U,021U_0N0N00_NS,Middle_Input_Middle,021,0N0N00,Preserved,1
021U,021U_0N0N00_NS,Output_Input_Middle,021,0N0N00,Preserved,1
021U,021U_0N0N00_NS,Output_Middle_Middle,021,0N0N00,Preserved,1
021U,021U_0N0P00_NS,Output_Input_Input,021,0N0P00,Preserved,5
021U,021U_0N0P00_NS,Output_Input_Middle,021,0N0P00,Preserved,4
021U,021U_0N0P00_NS,Output_Middle_Input,021,0N0P00,Preserved,2
021U,021U_0N0P00_NS,Middle_Input_Input,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Middle_Input_Middle,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Middle_Middle_Input,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Middle_Middle_Middle,021,0N0P00,Preserved,1
021U,021U_0N0P00_NS,Output_Middle_Middle,021,0N0P00,Preserved,1
021U,021U_0P0P00_NS,Output_Input_Middle,021,0P0P00,Preserved,4
021U,021U_0P0P00_NS,Output_Middle_Input,021,0P0P00,Preserved,4
021U,021U_0P0P00_NS,Output_Input_Input,021,0P0P00,Preserved,3
021U,021U_0P0P00_NS,Middle_Input_Middle,021,0P0P00,Preserved,2
021U,021U_0P0P00_NS,Output_Input_Middle,030,0P0PN0,Altered,1
021U,021U_0P0P00_NS,Output_Middle_Middle,021,0P0P00,Preserved,1
030T,030T_0N0PN0_NS,Output_Input_Middle,030,0N0PN0,Preserved,1
