TopoName,MAN_code,EdgeString,SelfActivation,NumPreSplitGroups,NumGroups,NumNodes,AbsMeanCohVal,AbsMedianCohVal,CohMatMean,CohMatMedian,AbsMeanWalkVal,AbsMedianWalkVal,MeanCoh,MedianCoh,PreSplitMeanCoh,PreSplitMedianCoh
001_00_NS,001,00,NS,2,2,2,,,,,-0.6226831029374404,-0.6226831029374404,,,,
001_00_SA,001,00,SA,2,2,2,,,,,-0.6226831029374404,-0.6226831029374404,,,,
003_000000_NS,003,000000,NS,3,3,3,,,,,-0.8669867071696596,-0.8669867071696596,,,,
003_000000_SA,003,000000,SA,3,3,3,,,,,-0.8669867071696596,-0.8669867071696596,,,,
010_N0_NS,010,N0,NS,2,2,2,1.0,1.0,-1.0,-1.0,-0.5795782962949,-0.6226831029374404,,,,
010_N0_SA,010,N0,SA,2,2,2,1.0,1.0,0.3333333333333333,1.0,-0.14528381439164817,-0.18838862103418863,1.0,1.0,1.0,1.0
010_P0_NS,010,P0,NS,1,1,2,1.0,1.0,1.0,1.0,-0.5795782962949,-0.6226831029374404,1.0,1.0,1.0,1.0
010_P0_SA,010,P0,SA,1,1,2,1.0,1.0,1.0,1.0,-0.14528381439164817,-0.18838862103418863,1.0,1.0,1.0,1.0
012_0000N0_NS,012,0000N0,NS,3,3,3,1.0,1.0,-1.0,-1.0,-0.8502471286226975,-0.8669867071696596,,,,
012_0000N0_SA,012,0000N0,SA,3,3,3,1.0,1.0,0.3333333333333333,1.0,-0.4875848984954847,-0.4326922252664078,1.0,1.0,1.0,1.0
012_0000P0_NS,012,0000P0,NS,2,2,3,1.0,1.0,1.0,1.0,-0.8502471286226975,-0.8669867071696596,1.0,1.0,1.0,1.0
012_0000P0_SA,012,0000P0,SA,2,2,3,1.0,1.0,1.0,1.0,-0.4875848984954847,-0.4326922252664078,1.0,1.0,1.0,1.0
021C_0NN000_NS,021C,0NN000,NS,2,2,3,1.0,1.0,-0.3333333333333333,-1.0,-0.8748038951216769,-0.8669867071696596,1.0,1.0,1.0,1.0
021C_0NN000_SA,021C,0NN000,SA,2,2,3,1.0,1.0,0.3333333333333333,1.0,-0.4405094132184252,-0.4326922252664078,1.0,1.0,1.0,1.0
021C_0NP000_NS,021C,0NP000,NS,2,2,3,1.0,1.0,-0.3333333333333333,-1.0,-0.8748038951216769,-0.8669867071696596,1.0,1.0,1.0,1.0
021C_0NP000_SA,021C,0NP000,SA,2,2,3,1.0,1.0,0.3333333333333333,1.0,-0.4405094132184252,-0.4326922252664078,1.0,1.0,1.0,1.0
021C_0PN000_NS,021C,0PN000,NS,2,2,3,1.0,1.0,-0.3333333333333333,-1.0,-0.8748038951216769,-0.8669867071696596,1.0,1.0,1.0,1.0
021C_0PN000_SA,021C,0PN000,SA,2,2,3,1.0,1.0,0.3333333333333333,1.0,-0.4405094132184252,-0.4326922252664078,1.0,1.0,1.0,1.0
