Experiment	Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	R1	R2
DRX019539	DRR021386	2016-04-18 10:58:11	2016-04-18 11:04:19	10480809	838464720	0	80	480		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/DRR021386/DRR021386.1	GAII05_8	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	DRP003075	PRJDB2960	2	317559	DRS026983	SAMD00018587	simple	83333	Escherichia coli K-12	SAMD00018587							no					KEIO-IAB	DRA002329		public	18D5C81DB13951E6EDC96FD429797BD1	F20CB8A6A2D36C20CB85BE9F4EE4E2B5		
DRX019542	DRR021389	2016-04-18 10:58:11	2016-04-18 11:04:26	20217934	2021793400	0	100	956		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/DRR021389/DRR021389.1	GAII08_10	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	DRP003075	PRJDB2960	2	317559	DRS026976	SAMD00018590	simple	83333	Escherichia coli K-12	SAMD00018590							no					KEIO-IAB	DRA002332		public	446DF5A768534E78D3AB37E24F79FA07	5D83358C7D1902FBAFC4D91563A6C7D6		
DRX019545	DRR021392	2016-04-18 10:58:11	2016-04-18 11:03:44	37715105	1357743780	0	36	766		https://sra-downloadb.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/DRR021392/DRR021392.1	GAII06_2	RNA-Seq	RT-PCR	TRANSCRIPTOMIC	SINGLE	0	0	ILLUMINA	Illumina Genome Analyzer IIx	DRP003075	PRJDB2960	2	317559	DRS026975	SAMD00018593	simple	83333	Escherichia coli K-12	SAMD00018593							no					KEIO-IAB	DRA002335		public	6BDF36EF5230432C8963226C06961438	A702D36D24F9B9463A0E18AC817EC9F1		
DRX021104	DRR023050	2021-08-08 13:10:53	2021-08-08 13:09:26	15144738	3059237076	15144738	202	1823		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023050	BHY187-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200394	SAMD00019994	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019994							no					UTGSFSCB-ML	DRA002514		public	E07A0DA4F6F9AFEB4EB7E14186A59E60	3246E38592E8B36BBD55F1653192301A		
DRX021105	DRR023051	2021-08-08 13:10:53	2021-08-08 13:11:37	14421218	2913086036	14421218	202	1725		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023051	BHY187-2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200394	SAMD00019994	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019994							no					UTGSFSCB-ML	DRA002514		public	5863F88938EC7C4B0A60CA5F92023404	4470DE9884845BF0E037D647DC25DB16		
DRX021106	DRR023052	2021-08-08 13:10:53	2021-08-08 13:12:17	8195758	1655543116	8195758	202	988		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023052	BHY188-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200395	SAMD00019995	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019995							no					UTGSFSCB-ML	DRA002514		public	3531667BEFB88B282AE5E177839168F5	F82884AAF614B8B02C776895EFB1AE4D		
DRX021107	DRR023053	2021-08-08 13:10:53	2021-08-08 13:10:18	12529904	2531040608	12529904	202	1507		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023053	BHY188-2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200395	SAMD00019995	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019995							no					UTGSFSCB-ML	DRA002514		public	0642D227562569DD67C4BA042C405CF5	2CF9FE56C6D6843AFB3D50F3B14734AA		
DRX021108	DRR023054	2021-08-08 13:10:53	2021-08-08 13:10:05	7137702	1441815804	7137702	202	855		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023054	BHY189-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200396	SAMD00019996	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019996							no					UTGSFSCB-ML	DRA002514		public	692A2AF439672C6E10E7CBB2A21376AD	83F1ACC94759D9239F303092A3740B0A		
DRX021109	DRR023055	2021-08-08 13:10:53	2021-08-08 13:09:38	6240969	1260675738	6240969	202	754		https://sra-download.ncbi.nlm.nih.gov/traces/dra1/DRR/000022/DRR023055	BHY189-2	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200396	SAMD00019996	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019996							no					UTGSFSCB-ML	DRA002514		public	914CCFADD20F13B359D514485B3EE649	1FCE59223D45AC73F230F80003AD531D		
DRX021110	DRR023056	2021-08-08 13:10:53	2021-08-08 13:11:28	26732510	5399967020	26732510	202	3217		https://sra-download.ncbi.nlm.nih.gov/traces/dra2/DRR/000022/DRR023056	BHY193-1	RNA-Seq	cDNA	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina HiSeq 2500	DRP007589	PRJDB3140		753011	DRS200397	SAMD00019997	simple	511145	Escherichia coli str. K-12 substr. MG1655	SAMD00019997							no					UTGSFSCB-ML	DRA002514		public	28E7C4D9D7901AE9961988890C293B1B	D9051AA727B47ABA5CEFD4302F8C7CFA		
