,YieP,GlpR,YgbI,efeU-repair,ydcI-KO,BW25113,proVWX,DhaR/Mlc,ArgR,YneJ,NarL,e14-deletion,MalT,OxyR,Crp-2,AtoC,PurR-1,yheO-KO,CsqR,MetJ,entC-menF-KO,uncharacterized-6,PurR-2,Cbl+CysB,GlcC,Crp-1,YiaJ,GcvA,XylR,fur-KO,RpoH,GadEWX,translation,PrpR,GadWX,fimbriae,CecR,uncharacterized-4,ArcA-1,nitrate-related,Fnr,CdaR,Pyruvate,SrlR+GutM,NagC/TyrR,CpxR,thrA-KO,Lrp,deletion-1,Leu/Ile,deletion-2,Fur-1,uncharacterized-5,Thiamine,CysB,FliA,PuuR,NikR,NtrC+RpoN,RcsAB,His-tRNA,Fur-2,Copper,AllR/AraC/FucR,Cra,ArcA-2,EvgA,uncharacterized-2,Zinc,SoxS,Nac,Tryptophan,curli,gadWX-KO,flu-yeeRS,uncharacterized-1,FadR/IclR,lipopolysaccharide,FlhDC,crp-KO,GntR/TyrR,purR-KO,RpoS,membrane,duplication-1,uncharacterized-3,ExuR/FucR,FecI,iron-related,RbsR,sgrT,insertion
b0002,0.0726925259,-0.0063199058,-0.0383741333,-0.0100453339,-0.0043448463,-0.0055990587,0.0090428827,-0.0050722816,-0.012186346,-0.0135434212,-0.0080542967,0.0086873448,0.055236487,-0.0099920125,0.0130111421,-0.0614887353,0.0072642956,-0.0078383076,0.003164065,-0.0047077233,0.0037886317,-0.0092191399,0.0045871674,-0.0073769956,-0.0065775574,-0.0214406979,0.0072770399,-0.0017291026,0.009471202,0.0086055135,0.0032008003,-0.0158055998,0.0356847968,0.0351974225,0.0049183053,-0.146382192,0.0043309496,-0.0044163888,-0.0077165073,0.0533729791,0.0049641092,-0.0007947313,0.0198146904,0.0044193312,-0.0342569505,0.0082608812,0.4792089124,0.0187509791,0.0139620357,0.0189714673,0.02472698,-0.0054598666,-0.0054280931,-0.003444816,0.0536349976,0.0245455239,0.0558289585,0.0292946357,0.0079798679,0.0186689876,0.0370143562,0.0147156908,0.0018446872,-0.0108880263,0.0012120327,-0.0085016266,-0.0093207829,-0.0106598345,-0.0221806586,-0.0019340629,-0.0266154703,-0.0016790141,0.037036673,0.0056252968,0.0890525139,0.0247782435,0.0120553526,-0.0012129856,-0.0218527563,-0.0040574789,-0.0029798168,-0.0019234104,-0.0101516143,-0.0121235422,-0.0120267486,-0.0021229658,-3.5869000000000005e-05,-0.0136673064,-0.0188829106,0.004408325,-0.0063154458,-0.0017802773
b0003,0.0159751128,-0.0099693707,-0.0245714384,-0.0067745677,-0.0035830163,0.006680211,-0.0108410335,-0.0126198692,-0.0036846913,0.0035116389,0.0029447356,0.0011160689,0.0217473964,-0.0084609439,0.0027563429,-0.0061062062,-0.0031843707,0.0033808852,0.001022889,0.0079667992,0.0269422249,-0.0034969109,0.0008515373,-0.043512414,-0.00862364,-0.0036866886,0.0123627328,-0.0048844949,0.0001800739,-0.001098285,0.023066159,0.0003152691,0.0408105397,-0.0038588511,-0.0166477408,-0.0159036753,0.00047365,-0.0161262935,0.0030417147,0.0201784648,-0.0082316113,0.0051069813,-0.00355614,0.013130406,-0.037808498,0.0131720323,0.0114200298,0.0021192928,0.0105873541,0.1375497713,0.0072085709,-0.0017851219,-0.0164763397,0.0015587408,0.0236844407,-0.0025275351,-0.0240841065,0.0065553926,0.0004463168,-0.0124660135,-0.0007115231,0.0135252535,0.0076497821,-0.0114673014,0.0130214043,0.0114475835,0.0132184129,-0.0084238481,-0.0015415477,-0.0020428344,0.0061071857,0.0023554455,0.0013065811,-0.0134845028,0.0156537047,0.0033241008,0.0070993446,-0.0006749342,6.47275e-05,0.0109010002,-0.0030795656,-0.0190800319,0.004702231,0.0044017419,0.0011821241,-0.0044151793,-0.0015139952,-0.0050523909,0.0155021245,0.0008601084,-0.0224381746,-0.0200870973
b0004,0.0153190473,-0.0038075564,-0.0270183227,-0.0044553297,-0.0084178315,0.0032453466,-0.0164939828,-0.0138179655,-0.0081039508,0.0021436468,-0.007141534,-0.0002141726,0.0217004881,-0.0103950392,-0.0015104251,0.0005850459,-0.0012953576,0.0001290311,0.004064637,0.0040280168,0.0241318635,-0.0031549275,-0.0003523884,-0.0412830288,-0.0074074662,0.0044608182,0.0101985218,-0.003339933,-0.0020108644,-0.0152775888,0.0246948865,-0.0005440326,0.0362435427,-0.0035423117,-0.0107001583,-0.0121201183,0.0042604499,-0.0110959302,0.0039438644,0.022823134,-0.0029891164,0.0063900706,0.0035684686,0.0201182112,-0.0322259576,0.0087985451,0.0113389566,-0.0001727139,0.006748088,0.134220745,0.0050137017,-0.0066124074,-0.0061403348,-0.0040286195,0.0236348295,-0.0030577328,-0.0221901109,0.0039798755,0.0038898961,-0.0082900636,0.0050531747,0.0163673444,0.0071086701,-0.0086929087,0.0065822594,0.0123472372,0.0052858519,-0.005211742,-0.0016523393,-0.0015704362,0.0003858277,-0.0077095721,0.0030354111,-0.0090055048,0.0063516122,0.0037103869,-0.0017260279,0.0099024364,0.0018681964,0.0134884085,-0.0052304167,-0.0149624188,0.0035065937,0.0053420317,0.0037589103,0.0006999884,0.001858571,-0.0023443312,0.0162625008,0.0024857126,-0.0165654905,-0.0141424343
b0005,0.0082291441,-0.0006851762,-0.0052154863,-0.0020291797,-0.0280690246,0.0147476309,-0.0192397881,-0.0024033808,-0.0085069615,-0.0190916874,0.0010334153,-0.0152760647,0.009456517,0.0255006954,0.0052039884,0.0053985449,0.0052660088,0.0215336577,0.0037189995,0.0067014102,0.0163219521,-0.0068902216,-0.0009505914,-0.0092492166,-0.018420776,0.0087693938,0.0074645975,-0.0109310723,0.0086864406,0.007267425,0.0212063442,-0.0043949589,0.0289724837,-0.0085600792,0.0070147427,0.0052517935,-0.0126494957,0.0094276163,-0.0010987249,0.003541327,-0.0140337199,-0.0030582052,-0.0042827289,0.0025393695,-0.0230868489,0.0136640198,-0.015323922,0.0083258747,-0.0053863665,0.0964734254,0.0036867911,-0.0065368515,0.0012552844,-0.0012321685,-0.0016951619,0.0041492414,0.0098488189,-0.000106414,-0.0127289512,0.0009196422,0.0005852036,0.0109999491,-0.0023700883,0.0065649208,0.0227745134,0.009414951,-0.0072633624,0.0001498191,0.0001708614,-0.0058256402,0.004737096,-0.008901337,-0.0139444916,-0.0179638894,-0.0051625241,0.0239688594,0.0069932451,-0.0153193187,-0.0082239031,0.0223518981,0.0012644011,-0.0070682855,-0.0068564353,0.0106763767,0.0088743575,0.0184973723,0.0006998527,-0.0132670634,0.0152654688,0.0168862924,-0.0153186678,-0.020726757
b0006,-0.0049407031,-0.0018488525,-0.0023261182,0.0060745159,0.0016071834,0.0096776604,0.0016609101,0.0037544196,-0.000152375,-0.0010133049,-0.0022470619,-0.0067218786,-0.0095221059,0.0473645155,-0.0024573115,-0.0024542417,-0.0009716477,0.001285106,0.0066357784,-0.0038696129,-0.0073903365,-0.003585475,0.0018183486,-0.0034559482,-0.0057203878,0.0024291217,-0.0048054063,-0.0245299268,-0.0071976989,-0.0031048681,0.0035839325,0.0036480131,0.0007003455,-0.001543397,-0.0054977421,-0.0023053373,-0.0019236896,-0.005077053,0.0098893257,0.0078742921,-0.0045350572,0.0021597918,-0.0004552995,0.0001349505,-0.0032690959,-0.0026946757,-0.0056611042,-0.0031789201,-0.00545196,-0.0163715432,-0.003683712,-0.003735661,-0.0046160583,0.0104415567,-0.0037636288,0.0037680194,-0.011674821,0.0143177389,-0.0047365348,0.0021278504,0.0071650668,0.0098084098,-0.000628114,-0.0060106017,-0.00114888,-0.0055546072,-0.0034411836,-0.0061031132,0.0048375861,0.0057814477,-0.005488403,-0.0023100712,0.0096425735,0.0040026987,0.0022904573,-0.0025376781,0.0046338412,0.0058584922,-0.0080743459,-0.0041828063,-0.0052936833,-0.0082549133,-0.0147607176,0.0050711079,0.0014956034,-0.0025056937,-0.0028187053,0.0057995725,0.0039745506,-0.0109755004,-0.0087562708,0.0061692252
b0007,0.0081107963,-0.0039294683,0.0032071534,-0.0031287483,-0.0166760229,-0.0053360819,0.0132172054,-0.0011615866,0.0063832376,-0.0043104718,-0.0023399448,0.0050324704,-0.009877576,0.0210054916,-0.0039175583,-0.0316138414,3.36395e-05,-0.0002798428,-0.0058388129,-0.0061710191,-0.0197487563,-0.0042139903,-0.0038997794,-0.0043520345,0.0007484126,-0.002111453,-0.0022056278,0.0160536396,0.0029270528,-0.0072586393,-0.0002513173,-0.0001133477,0.0033620113,0.0053318351,0.009354851,0.0021105051,-0.0048414219,0.0242041746,0.001613553,-0.0188233686,0.0300522566,-0.0067388352,-0.0004817949,-0.0048993506,0.0126244745,0.0192730324,-5.96064e-05,-0.0120933001,0.0020768152,-0.0018308846,0.0024636119,-0.003222021,-0.031291994,-0.0082418449,-0.0086598371,0.009265262,-0.0263069269,-0.0150110367,-0.0078491678,0.0084096293,0.0094622377,-0.0079153426,0.0018271739,0.0006714799,-0.0062711648,0.0084825303,-0.0114963728,-0.0028607101,-0.0009882883,-0.0020250617,0.0076862909,0.0104983994,0.0002383233,-0.005193562,0.0003270703,-0.0087480875,0.0098948046,-0.0030040762,-0.0109120532,-0.0064647156,-0.0011023471,-0.0103409675,-0.0003373377,-0.0104675472,0.0161219991,0.0103608787,-0.0038989604,-0.0228390118,-0.0036650016,-0.0018230516,-0.0236037477,-0.0127648085
b0008,0.0086287232,-0.0012703621,-0.0056636984,-0.0091522738,0.001695694,0.0028567868,-0.026839672,0.0058823461,-0.0082368287,0.0003301963,0.005347396,-0.0089118878,0.0020022323,-0.0034077803,-0.0001115062,-0.0040146656,0.0031574636,-0.0024873287,-0.000583653,-0.0009491871,0.0043403606,-0.0052030596,-0.0072652001,-0.0102572262,0.0009748,-0.0030835296,0.0007603581,0.0184035289,-0.0005259878,0.004566331,0.0086695967,-0.0024977553,0.012013353,-0.0028769807,0.000928539,0.0089134573,-0.0026626301,-0.0054123356,0.0040351548,-0.008672404,-0.0075630991,0.0024377217,-0.0014875778,0.0108635473,0.0113673742,-0.004371915,0.0112530513,0.0072663293,-0.0034526885,0.0121682775,0.0003371925,-0.0059115309,-0.0121237707,-0.0047463051,0.0058824999,-0.0035226219,-0.0056500112,-0.0035055193,-0.0057292339,-0.0018030522,-0.0042079694,0.0137046469,0.0039878811,0.0018052682,-0.0043365465,-0.0031147131,0.0018147739,-0.0028130479,-0.0007882463,0.0012845707,-0.0066673073,0.0011547481,-0.0040302396,0.0029374215,0.0127612676,0.0059955491,-0.0020190736,0.0049857061,-8.44298e-05,-0.0114078306,-0.0053033905,-0.0186199829,0.0003943665,0.0072151745,-0.0007066629,-0.0129593298,-0.0023294393,0.0063911973,-0.003650235,-0.0085365229,0.0028980643,-0.0008911945
b0009,0.002952292,0.0020534414,-0.0028823341,0.0029956771,0.0032859898,0.0081085601,-0.0020843764,0.000514739,0.002229897,0.0005550742,0.00133778,0.0040185904,0.0059734374,-0.0094251877,-0.0095145395,-4.6589e-06,0.0009558872,-0.0034778497,-0.0009465378,-0.0075697957,0.0056086655,-0.0053265795,-0.007178343,-0.0084516415,0.0023065083,0.0138788486,-0.0025789154,0.0072838449,-0.0005530716,0.0041371993,-0.0039351493,-0.0003912792,0.0019812256,-0.0134021129,0.00392328,-0.0056674347,-0.0072178204,-0.0144754941,-0.0116117954,0.0131490708,0.004149505,0.0007584984,-0.0014634382,0.0009518955,-0.0025758075,0.0089153291,0.0020310262,0.0027206581,0.0029635992,0.0088910474,0.0025968109,-0.0033251016,0.00763031,8.53254e-05,-0.0020099081,-0.001263184,-0.0001209384,-0.0014463843,-0.009529446,0.0022641979,-0.0181015807,-0.0008867554,-0.0080390002,0.0040284377,0.0072983223,-0.0037836931,0.0046592868,0.0008483075,0.0019721885,-0.0082990924,0.0095920699,0.0098817391,-0.0070925482,-0.007200867,0.0013560588,-0.0042073423,0.0031747622,-0.0159952274,0.0002078173,4.64186e-05,0.0101092908,-0.0243094656,-0.0092910208,-0.0002258702,0.0160134959,0.0021785928,0.0048908452,-0.0023651727,-0.0034899634,-0.0060664247,-0.0119819056,0.011477098
b0010,0.0061423501,0.0008837253,0.0081657979,-0.0149452778,0.003451683,0.0009213091,-0.0001809722,0.0006772044,0.0065320998,0.0090501754,0.0118023773,0.0077897269,0.0126280363,-0.0042678428,-0.0043073262,0.0005976999,-0.0056700576,-0.0004878457,0.0001736542,-0.0090504664,0.0104444945,-0.0118186369,0.0059679691,0.0151849277,0.0104103895,-7.6665e-06,-0.0072616718,-0.0106239029,-0.0070965621,-0.0192214979,0.0127711268,0.0024158952,0.00611371,-0.0153037495,0.0054332948,0.0017128363,0.0091590907,-0.0024316415,-5.71024e-05,-0.0181784488,0.0004385202,-0.0105037951,0.0031682712,-0.0133221729,-0.0022982927,0.0195532686,0.0029020295,0.0042298805,0.0086180469,-0.0018704658,0.0078489534,-0.0113552431,0.0167538847,-0.008746067,0.0049291595,0.0011706635,-0.0068635996,-0.0114804382,-0.0035343189,-0.0089991435,-0.0003392282,0.001264703,-0.0006301752,-0.0148236714,0.0038418469,0.0088094217,-0.0099515419,-0.0005239805,0.0037325664,-0.0044116934,0.0175099148,-0.0022215017,0.0117132501,0.0096809111,-0.0056482024,0.0279766871,-0.0145870169,-0.0153174015,0.002004704,-0.0114243846,-0.0127382053,-0.013684598,-0.0092140626,-0.0105882754,0.0013626662,0.0039791743,-0.005207654,0.0031901084,-0.0151367385,-0.0057844394,-0.0013022617,0.0108000338
b0011,-0.0331801818,0.0017695747,-0.0136753904,0.0006686161,-0.0059700868,-0.0020224626,0.003701197,0.0045243157,0.0109727219,0.002833226,-0.0039572433,0.005353595,-0.0089674818,-0.0246096178,-0.0065503016,0.0189869862,0.0157670735,-0.009679608,0.0082225226,-0.0116562865,0.0011691226,0.001042666,0.0022591634,0.0103766878,-0.0013951118,-0.0035350187,0.0116906651,-0.0045117827,0.0081914404,0.0126184341,0.0204768878,-1.35573e-05,-0.0018191769,0.011135872,0.0109078406,0.0068126209,0.0005832524,0.0001974914,0.0071274871,0.0062200867,0.0080064152,0.0063617315,0.0034313424,-0.0018869385,0.0081686143,0.0253360293,-0.0012749238,-0.0018652079,-0.0025571005,-0.0123554462,0.0005543447,-0.0102015644,-0.0052398875,-0.0163859928,0.0039956376,-0.0062592737,-0.0084035528,0.0017937116,-0.0045488706,-0.0014040803,0.0011697646,0.0087989449,-0.0039958632,-0.0010023641,0.002786979,0.0130655387,0.009587775,0.0173787486,-0.0048747871,0.0050551507,-0.0053040723,0.0063476331,-0.0086063918,-0.0167106318,-0.0036547116,0.014152461,0.0290343626,-0.0073938339,0.0034194686,-0.0012316984,0.0034478329,0.0042254266,-0.0074136945,0.0040532498,-0.0199131465,-0.0027260605,-0.0054505151,0.0018979434,-0.0435201283,-0.0063920567,0.0132681821,-0.0097447357
b0014,0.0030354174,-0.0081035941,0.0110703502,-7.09341e-05,0.0006642209,0.0083693077,-0.0050605731,-0.0003241877,-0.0006121749,-0.002409903,-0.0044584178,-0.0068111592,0.0069339857,0.0023515311,0.006616456,-0.0043808641,0.0036090818,-0.0015031323,0.0059328989,0.0042111396,-0.0037171568,0.0139196861,-0.0046451796,-0.0044660578,-0.0076502271,-0.0009334865,-0.0022804939,0.0054229494,0.0013567837,-0.0117843722,0.1916240119,-0.0028951432,0.0084906153,0.0004711408,0.0030276294,-0.0101094573,-0.0037441295,-0.018591592,-0.0058577165,-0.0095833398,0.0064898512,0.0060638567,-0.0068314364,-0.0046871018,0.0051476813,-0.0023105792,0.0006060046,0.0044514605,-0.007981495,0.0081729244,-0.0082904887,-0.000333793,-0.0010316425,-0.0050260404,-0.001608488,0.0018214567,-0.0086819754,0.0058564356,0.0003925915,0.0115406933,-0.0122467994,0.0044143105,0.0016942618,0.0023542437,-0.0026403005,0.0015744461,-0.0024031158,-0.0009482797,-0.004877468,0.0051913737,0.0081773018,0.0120984924,-0.0066263217,0.0062044047,0.0071141169,0.0046618273,-0.0017197641,-0.0027274395,-0.0024207136,-0.0092333061,0.000268964,-0.0150744744,0.000492136,-0.000505919,0.0009748867,-0.0046465534,-0.0108970487,-0.0066748281,0.0019220591,-0.0066096757,-0.0057699262,-0.0028852845
b0015,0.0034144996,-0.0090176982,0.01686335,0.0020106038,0.0028594572,0.0054126464,-0.000872934,-0.0013470837,-0.0067657916,-0.0043871952,-0.0027990242,-0.0071518241,0.0057893481,0.0054983743,0.0003221038,-0.0053113418,0.0012890896,-0.0030905508,0.0082917592,-0.002793765,0.0017019789,0.002285571,-0.0128179879,0.0155774374,-0.0043390245,-0.0013877461,-0.0058237892,-0.007591632,0.0036259475,0.0058956554,0.1411661544,-0.0022705098,0.0046379074,-0.0036011834,-0.0119144364,-0.0164385097,-0.0120236025,-0.0074142525,-0.0014073562,-0.0135654003,0.0053922234,-0.0072543699,0.0006106375,-0.0004061582,0.0038877437,0.0024720572,-0.0151177674,-0.0024660408,-0.0060132883,0.0021404606,-0.007225747,-0.0026695167,0.0227735109,-0.0062027152,-0.0013350777,0.0008977585,-0.0029582119,0.0098952512,-0.0031991325,0.0103346515,-0.0057890485,0.005895208,-0.0042444922,0.0035312234,-0.0074141992,0.0031721194,-0.0001056683,0.0102418129,-0.004874406,0.0065236927,0.008620219,0.0111616736,-0.0078071306,0.0030703812,0.0086825792,-0.0092974366,-0.0031649238,-0.007004039,-0.0038482052,-0.0086789896,0.0061612207,-0.0133455938,0.0027043195,0.0057373095,-0.0095483672,-0.0027172534,-0.0063215552,-0.0056840103,0.0088908609,-0.0089213748,0.0013143308,-0.0005883013
