regulator_id,regulator_name,target_id,target_name,effect,evidence
b3255,AccB,b3255,accB,repression,0
b3255,AccB,b3256,accC,repression,0
,AccDA,b0185,accA,,
,AccDA,b2316,accD,,
b0118,AcnB,b0118,acnB,,
b0464,AcrR,b0462,acrB,repression,1
b0464,AcrR,b0463,acrA,repression,1
b0464,AcrR,b0464,acrR,repression,1
b0464,AcrR,b1530,marR,repression,1
b0464,AcrR,b1531,marA,repression,1
b0464,AcrR,b1532,marB,repression,1
b0464,AcrR,b1891,flhC,repression,0
b0464,AcrR,b1892,flhD,repression,0
b0464,AcrR,b4062,soxS,repression,1
b0464,AcrR,b4063,soxR,repression,1
b2213,Ada,b2068,alkA,activation,1
b2213,Ada,b2212,alkB,unknown,1
b2213,Ada,b2213,ada,unknown,1
b2213,Ada,b4187,aidB,activation,1
,Adenosylcobalamin,b3966,btuB,,
,Adenosylcobalamin,b3967,murI,,
b4116,AdiY,b1492,gadC,activation,1
b4116,AdiY,b1493,gadB,activation,1
b4116,AdiY,b3212,gltB,activation,1
b4116,AdiY,b3213,gltD,activation,1
b4116,AdiY,b3214,gltF,activation,1
b4116,AdiY,b3516,gadX,activation,1
b4116,AdiY,b3517,gadA,activation,1
b4116,AdiY,b4117,adiA,activation,1
b3131,AgaR,b3131,agaR,repression,1
b3131,AgaR,b3132,kbaZ,repression,1
b3131,AgaR,b3133,agaV,repression,1
b3131,AgaR,b3134,agaW,repression,1
b3131,AgaR,b3135,agaA,repression,1
b3131,AgaR,b3136,agaS,repression,1
b3131,AgaR,b3137,kbaY,repression,1
b3131,AgaR,b3138,agaB,repression,1
b3131,AgaR,b3139,agaC,repression,1
b3131,AgaR,b3140,agaD,repression,1
b3131,AgaR,b3141,agaI,repression,1
b4187,AidB,b4187,aidB,repression,1
b2697,AlaS,b2697,alaS,repression,1
b0506,AllR,b0504,allS,repression,1
b0506,AllR,b0505,allA,repression,1
b0506,AllR,b0507,gcl,repression,1
b0506,AllR,b0508,hyi,repression,1
b0506,AllR,b0509,glxR,repression,1
b0506,AllR,b0511,ybbW,repression,1
b0506,AllR,b0512,allB,repression,1
b0506,AllR,b0513,ybbY,repression,1
b0506,AllR,b0514,glxK,repression,1
b0504,AllS,b0515,allE,activation,0
b0504,AllS,b0516,allC,activation,0
b0504,AllS,b0517,allD,activation,0
,AlpA,b2622,intA,,
b4089,AlsR,b4085,alsE,repression,1
b4089,AlsR,b4086,alsC,repression,1
b4089,AlsR,b4087,alsA,repression,1
b4089,AlsR,b4088,alsB,repression,1
b4089,AlsR,b4089,alsR,repression,1
b4089,AlsR,b4090,rpiB,repression,1
b0564,AppY,b0972,hyaA,activation,0
b0564,AppY,b0973,hyaB,activation,0
b0564,AppY,b0974,hyaC,activation,0
b0564,AppY,b0975,hyaD,activation,0
b0564,AppY,b0976,hyaE,activation,0
b0564,AppY,b0977,hyaF,activation,0
b0564,AppY,b0978,appC,activation,0
b0564,AppY,b0979,appB,activation,0
b0564,AppY,b0980,appA,activation,0
b0064,AraC,b0061,araD,unknown,1
b0064,AraC,b0062,araA,unknown,1
b0064,AraC,b0063,araB,unknown,1
b0064,AraC,b0064,araC,unknown,1
b0064,AraC,b0396,araJ,activation,1
b0064,AraC,b1497,ydeM,repression,0
b0064,AraC,b1498,ydeN,repression,0
b0064,AraC,b1900,araG,activation,1
b0064,AraC,b1901,araF,activation,1
b0064,AraC,b2840,ygeA,activation,1
b0064,AraC,b2841,araE,activation,1
b0064,AraC,b3564,xylB,repression,0
b0064,AraC,b3565,xylA,repression,0
b0064,AraC,b4227,ytfQ,,
b0064,AraC,b4230,ytfT,,
b0064,AraC,b4231,yjfF,,
b0064,AraC,b4460,araH,activation,1
b0064,AraC,b4485,ytfR,,
b4401,ArcA,b0002,thrA,,
b4401,ArcA,b0032,carA,,
b4401,ArcA,b0035,caiE,activation,0
b4401,ArcA,b0036,caiD,activation,0
b4401,ArcA,b0037,caiC,activation,0
b4401,ArcA,b0038,caiB,activation,0
b4401,ArcA,b0039,caiA,activation,0
b4401,ArcA,b0040,caiT,activation,0
b4401,ArcA,b0114,aceE,repression,0
b4401,ArcA,b0115,aceF,repression,0
b4401,ArcA,b0116,lpd,repression,1
b4401,ArcA,b0118,acnB,repression,0
b4401,ArcA,b0221,fadE,repression,1
b4401,ArcA,b0311,betA,repression,0
