TopoName,MAN-PNStr,MAN,EdgeString,SelfActivation,CircuitType,Category,MiddleNode,NumPosEdges,NumNegEdges,NumNullEdges
001_00_NS,001-00,001,00,NS,Dyad,Holistic,False,0,0,2
001_00_SA,001-00,001,00,SA,Dyad,Holistic,False,0,0,2
010_N0_NS,010-N0,010,N0,NS,Dyad,Holistic,False,0,1,1
010_N0_SA,010-N0,010,N0,SA,Dyad,Holistic,False,0,1,1
010_P0_NS,010-P0,010,P0,NS,Dyad,Holistic,False,1,0,1
010_P0_SA,010-P0,010,P0,SA,Dyad,Holistic,False,1,0,1
100_NN_NS,100-NN,100,NN,NS,Dyad,Holistic,True,0,2,0
100_NN_SA,100-NN,100,NN,SA,Dyad,Holistic,True,0,2,0
100_PN_NS,100-PN,100,PN,NS,Dyad,Holistic,True,1,1,0
100_PN_SA,100-PN,100,PN,SA,Dyad,Holistic,True,1,1,0
100_PP_NS,100-PP,100,PP,NS,Dyad,Holistic,True,2,0,0
100_PP_SA,100-PP,100,PP,SA,Dyad,Holistic,True,2,0,0
003_000000_NS,003-000000,003,000000,NS,Triad,Pendant,False,0,0,6
003_000000_SA,003-000000,003,000000,SA,Triad,Pendant,False,0,0,6
012_0000N0_NS,012-0000N0,012,0000N0,NS,Triad,Pendant,False,0,1,5
012_0000N0_SA,012-0000N0,012,0000N0,SA,Triad,Pendant,False,0,1,5
012_0000P0_NS,012-0000P0,012,0000P0,NS,Triad,Pendant,False,1,0,5
012_0000P0_SA,012-0000P0,012,0000P0,SA,Triad,Pendant,False,1,0,5
021C_0NN000_NS,021C-0NN000,021C,0NN000,NS,Triad,Pendant,True,0,2,4
021C_0NN000_SA,021C-0NN000,021C,0NN000,SA,Triad,Pendant,True,0,2,4
021C_0NP000_NS,021C-0NP000,021C,0NP000,NS,Triad,Pendant,True,1,1,4
021C_0NP000_SA,021C-0NP000,021C,0NP000,SA,Triad,Pendant,True,1,1,4
021C_0PN000_NS,021C-0PN000,021C,0PN000,NS,Triad,Pendant,True,1,1,4
021C_0PN000_SA,021C-0PN000,021C,0PN000,SA,Triad,Pendant,True,1,1,4
021C_0PP000_NS,021C-0PP000,021C,0PP000,NS,Triad,Pendant,True,2,0,4
021C_0PP000_SA,021C-0PP000,021C,0PP000,SA,Triad,Pendant,True,2,0,4
021D_N0N000_NS,021D-N0N000,021D,N0N000,NS,Triad,Pendant,False,0,2,4
021D_N0N000_SA,021D-N0N000,021D,N0N000,SA,Triad,Pendant,False,0,2,4
021D_N0P000_NS,021D-N0P000,021D,N0P000,NS,Triad,Pendant,False,1,1,4
