,bname,gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,End,Orientation,Length,Chr
1,b0001,thrL,216.4094118,-2.46413628,0.265964297,-9.264913784,1.95E-20,1.44E-18,190,255,+,66,NC_000913.3
2,b0002,thrA,7063.263828,-6.405726554,0.614098447,-10.43110691,1.79E-25,2.68E-23,337,2799,+,2463,NC_000913.3
3,b0003,thrB,2647.021728,-3.466998383,0.359090156,-9.65495246,4.68E-22,4.03E-20,2801,3733,+,933,NC_000913.3
4,b0004,thrC,3512.215323,-2.106487779,0.35932525,-5.86234277,4.56E-09,5.75E-08,3734,5020,+,1287,NC_000913.3
5,b0005,yaaX,111.8719297,0.47381763,0.29988828,1.579980484,0.114111336,0.183385123,5234,5530,+,297,NC_000913.3
6,b0006,yaaA,397.5677773,0.103205977,0.21454485,0.481046165,0.630483689,0.724107473,5683,6459,-,777,NC_000913.3
7,b0007,yaaJ,332.4579528,-0.751732733,0.248848035,-3.020850584,0.002520657,0.007150111,6529,7959,-,1431,NC_000913.3
8,b0008,talB,18049.35831,0.953568237,0.246402225,3.869966016,0.000108851,0.000466915,8238,9191,+,954,NC_000913.3
9,b0009,mog,611.0018365,0.819400046,0.248267864,3.300467622,0.000965239,0.003113548,9306,9893,+,588,NC_000913.3
10,b0010,satP,210.5201762,-0.056739155,0.261797169,-0.216729445,0.8284192,0.876311933,9928,10494,-,567,NC_000913.3
11,b0013,yaaI,10.07696159,0.035521445,0.542405437,0.065488733,0.947784877,0.961090455,11382,11786,-,405,NC_000913.3
12,b0014,dnaK,13987.91843,-2.838672574,0.811159577,-3.499524205,0.000466089,0.001698497,12163,14079,+,1917,NC_000913.3
13,b0015,dnaJ,1020.556221,-1.92570843,0.703817801,-2.736089409,0.006217413,0.015457551,14168,15298,+,1131,NC_000913.3
14,b0016,insL1,358.4586669,-0.168548503,0.290829231,-0.579544574,0.56222178,0.662788543,15445,16557,+,1113,NC_000913.3
15,b0019,nhaA,1153.267587,-2.090693907,0.426432316,-4.902756727,9.45E-07,6.71E-06,17489,18655,+,1167,NC_000913.3
16,b0020,nhaR,471.3693243,-0.900223365,0.346289716,-2.599624888,0.009332571,0.022224826,18715,19620,+,906,NC_000913.3
