;bname;gname;RNAP_1.0X_60min_1;RNAP_1.0X_60min_2;RNAP_1.0X_60min_3;RNAP_1.0X_125min_1;RNAP_1.0X_125min_2;RNAP_1.0X_125min_3;RNAP_0.5X_60min_1;RNAP_0.5X_60min_2;RNAP_0.5X_60min_3;RNAP_0.5X_125min_1;RNAP_0.5X_125min_2;RNAP_0.5X_125min_3;RNAP_0.25X_1;RNAP_0.25X_2;RNAP_0.25X_3;RNAP_0.5X_1;RNAP_0.5X_2;RNAP_0.5X_3;RNAP_0.75X_1;RNAP_0.75X_2;RNAP_0.75X_3;RNAP_1.0X_1;RNAP_1.0X_2;RNAP_1.0X_3;Start;End;Orientation;Length;Chr
1;b0001;thrL;21.3093364078519;24.9904300441402;30.2774331536196;15.9347364040026;16.6930309503872;20.4808953495537;32.4682403644104;35.9590286492258;43.067331949605;12.370359651373;19.4667643365259;17.6538778415027;67.334186173703;72.2573428434911;102.491636017828;131.063639223824;161.681496832427;131.320438846681;214.129794695498;333.020101845465;344.044415181561;406.729325737996;527.543027796438;410.244971333523;190;255;+;66;NC_000913.3
2;b0002;thrA;7691.54889921306;7478.17075596721;7116.27812799894;1164.23167851744;1265.09327416863;1319.55482894982;8694.9947695891;9067.66839104643;9126.68542898713;1402.66133602513;1328.76365600286;1422.01986013304;153.635748734365;197.435556501933;296.200828091524;3679.92372749271;663.16817344826;677.156697705061;10144.9040467999;10363.0034263222;13640.3491666101;13994.0308636729;23839.0313947305;17031.2763418291;337;2799;+;2463;NC_000913.3
3;b0003;thrB;4121.67427888714;4163.06094976695;3671.13876987637;2799.5340019782;3377.9540487462;3454.44434895806;4358.16552091429;4515.42659752421;4842.38313608371;2419.09255404628;2563.33329102254;2656.90861514615;489.358310783532;537.350380582582;614.949816106971;1841.91221552052;1029.00681458604;670.305196547843;4003.82314232525;4027.0605631904;3772.58391595282;5438.84925070667;7359.14742905414;5712.00657958845;2801;3733;+;933;NC_000913.3
4;b0004;thrC;3771.75254418978;3843.35579299536;3698.17219233496;2768.66045019544;2873.58604217379;2749.31638049485;4609.56246773586;4529.98144245365;4348.00605474554;1439.0851727764;1606.94999797322;1631.21831255485;1356.16741166754;1348.46449672712;1784.37938307039;3141.62663782344;2044.31180740662;1312.06247160728;6192.59326074573;5329.17772233423;4954.71576465625;5027.49800081256;8145.01536131727;6464.41331424695;3734;5020;+;1287;NC_000913.3
5;b0005;yaaX;38.1324967298402;44.8104262860446;38.928128340368;13.9428943535022;9.53887482879266;19.5056146186226;51.9491845830566;46.2330368347188;66.3954700889744;22.6789926941839;13.1871629376466;14.1231022732021;148.893904637625;127.21363176671;157.837119467456;120.141669288505;105.504027594041;86.7856813247633;142.416514396534;174.642932587339;113.094184921274;149.057054034663;87.1457509044263;85.5404408312451;5234;5530;+;297;NC_000913.3
6;b0006;yaaA;468.805400972741;488.605994311294;498.496310136379;286.825255272046;313.590509996559;317.941518283548;536.189798017977;522.262082762565;499.760497831875;421.279470349537;427.012895123794;445.760415497942;495.996892518968;387.747149624931;489.91002016522;438.439078832077;491.895401380011;439.637990921498;460.581067835599;376.680834992299;457.138600102835;387.086148074513;465.296062864705;438.176543849848;5683;6459;-;777;NC_000913.3
7;b0007;yaaJ;616.849211806239;579.950324817461;530.936417086686;1146.30510006293;1135.12610462633;1172.28743857922;525.057829893037;517.125078669818;489.890900926757;1039.79745291819;902.378721018958;996.561404152825;228.556885462851;240.179336775548;269.553002726889;339.361208704543;424.756474729257;348.28464215859;400.988341953361;469.138858126773;486.900227713697;510.722619250552;350.139177740999;391.042015228549;6529;7959;-;1431;NC_000913.3
8;b0008;talB;9724.90821013072;9651.47643084037;10202.4136358715;13077.4389825598;13068.2585154459;12881.5078941384;9679.24628463595;10140.4460790817;9543.00297116664;14551.6664032318;14466.9457027382;15048.1654720969;20637.4538778303;23119.2965827547;28115.5055924107;18796.7102586834;32189.689873595;31707.6054387461;17726.3108344622;14349.827627593;18179.5926098187;11066.041910775;13862.399090297;12391.1438575547;8238;9191;+;954;NC_000913.3
9;b0009;mog;400.391215663322;389.506013101772;480.113582864539;449.160382387822;394.670946041296;357.928028251724;370.137940154279;382.706804909617;378.633626723611;468.011940143613;605.981534991854;516.375926863953;817.493922277916;961.735056156325;741.0145284089;691.204668763736;827.590034633779;769.651963327506;613.098044246071;541.90674670483;760.707201733624;446.015681064961;413.942316796025;600.528809100986;9306;9893;+;588;NC_000913.3
10;b0010;satP;309.546149924585;304.193855364879;298.448983942822;260.931308615542;215.817043001434;233.09209469254;413.73814864363;386.131474304781;354.408252501958;268.711701315936;290.117584628225;299.23322941347;232.350360740243;261.551226912355;182.435112111735;244.184042125338;184.974593833709;247.79595851939;259.581873758221;258.540027653805;234.52162557359;286.559297679043;185.184720671906;244.401259517843;9928;10494;-;567;NC_000913.3
11;b0011;yaaW;11.2154402146589;12.9260845055898;22.7080748652147;15.9347364040026;21.4624683647835;19.5056146186226;16.6979521874111;8.56167348791089;22.4309020570859;29.5514147227245;21.3506447561897;30.0115923305545;8.53531937413137;7.12396337893574;9.22424724160456;3.90070354832808;15.0720039420059;5.7095842976818;6.06027720836314;10.2731136816082;15.4760463576481;12.7102914293124;6.22469649317331;10.4743396936219;10643;11356;-;714;NC_000913.3
14;b0014;dnaK;25571.2036894223;25370.4569286046;25383.3023517166;9950.24696327435;10454.6068123568;10811.9621831025;15705.3516962705;16459.8172805087;16010.2806522657;4949.51834495492;5283.02865687717;5576.86001013069;2098.74019721697;2109.71086921911;6358.58109854608;5257.36824243659;41357.5788168642;4479.73983996114;4364.40963622285;4191.43038209613;4374.95925879666;3273.47778356745;70525.8112676536;39420.1774369458;12163;14079;+;1917;NC_000913.3
15;b0015;dnaJ;11520.5001884976;10720.8944889362;10287.8392508406;2202.97730785335;2501.56992385088;2832.215242624;9537.31369104295;9467.49854293187;9616.57632991389;1108.52167320359;1017.92338675834;1147.50205969767;382.192634197216;335.843987864114;622.124230628219;911.984489599106;3284.32667718074;405.380485135408;548.455087356864;613.818542476087;442.853018849621;374.375856645201;2759.09672059907;3018.35555504536;14168;15298;+;1131;NC_000913.3
16;b0016;insL1;1339.12356163027;1383.95278106515;1399.24994645656;343.592753711305;369.631399615716;336.47185217124;1236.57612587883;1177.23010458775;1199.60464201296;350.493523455569;346.633997218138;365.435271319105;384.089371835912;346.02107840545;391.518049588105;466.524144380039;535.741231029483;327.730138686935;361.596540099001;398.939247969117;305.949531839658;303.891513264469;479.301629974345;504.514028576119;15445;16557;+;1113;NC_000913.3
20;b0019;nhaA;3843.5313615636;3695.99842963164;3421.34994635901;1679.12284857177;1883.92777868655;2025.65807814395;3347.93941357592;3521.41630557775;3763.90536517902;1873.42224498016;1909.6267853992;1771.56664139479;630.665264866374;510.889945175106;475.561191122724;1259.14710540031;324.7331758414;693.14353373857;1720.10868097374;1921.07225846073;1046.4188267979;2265.89831753469;1811.38667951343;2808.86876117293;17489;18655;+;1167;NC_000913.3
21;b0020;nhaR;367.866439040811;387.782535167693;387.118609606993;199.184205050032;207.47052752624;195.056146186226;377.559252237572;344.179274214018;385.811515381878;227.477169144693;207.854806302906;228.617718047459;431.507812803308;320.578352052108;303.375242612772;638.155100506474;215.118601717721;400.812817697262;731.273449809152;775.620082961416;502.376274071345;804.214803163765;477.745455851051;720.983715577638;18715;19620;+;906;NC_000913.3
