Gene_name	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component
SCO0034	SCO0034	1095467	Q9S1V8		hypothetical protein	Basal machinery
SCO0072	SCO0072	1095503	Q8CK70			Basal machinery
SCO0186	SCO0186	1095610	Q9RIX9		phytoene dehydrogenase (phytoene desaturase) (secreted protein)	M26
SCO0191	SCO0191	1095615	Q9RI55		lycopene cyclase	M26
SCO0194	SCO0194	1095618	Q9RI52		sigma factor	M26
SCO0200	SCO0200	1095624	Q9RI46			Basal machinery
SCO0204	SCO0204	1095628	Q9RI42			Global regulator
SCO0207	SCO0207	1095631	Q9RI41			Basal machinery
SCO0208	SCO0208	1095632	Q9RI40			Basal machinery
SCO0255	SCO0255	1095679	Q8CK65			Basal machinery
SCO0256	SCO0256	1095680	Q9S2E4			Basal machinery
SCO0379	SCO0379	1095802	Q9RJK9		catalase	M10
SCO0475	SCO0475	1095898	Q9RJF9			Basal machinery
SCO0607	SCO0607	1096030	Q9RJN7			Basal machinery
SCO0608	SCO0608	1096031	Q9RJN6			Global regulator
SCO0666	SCO0666	1096089	Q7AKS0		catalase	M28
SCO0674	SCO0674	1096097	Q9RJ91			Basal machinery
SCO0675	SCO0675	1096098	Q9RJ90			Basal machinery
SCO0712	SCO0712	1096135	Q7AKS3		transcriptional activator	M25
SCO0736	SCO0736	1096159	Q9EWT5			Basal machinery
SCO0800	SCO0800	1096223	Q9RD77			Basal machinery
SCO0801	SCO0801	1096224	Q9RD76			Basal machinery
SCO0812	SCO0812	1096235	Q9XAB3			Basal machinery
SCO0888	SCO0888	1096311	Q9RD22			Basal machinery
SCO1021	SCO1021	1096444	Q8CK40			Basal machinery
SCO1086	SCO1086	1096509	Q9K3R2			Basal machinery
SCO1132	SCO1132	1096555	Q9EWZ4		oxidoreductase	M19
SCO1133	SCO1133	1096556	Q9EWZ3		oxidoreductase, molybdopterin binding subunit	M19
SCO1134	SCO1134	1096557	Q9EWZ2		oxidoreductase, iron-sulphur binding subunit	M19
SCO1135	SCO1135	1096558	Q9EWZ1		TetR family transcriptional regulator	M19
SCO1147	SCO1147	1096570	Q8CK38			Basal machinery
SCO1178	SCO1178	1096601	Q9RJZ2			Basal machinery
SCO1196	SCO1196	1096619	Q9RJX4			Basal machinery
SCO1215	SCO1215	1096638	Q9FC98			Basal machinery
SCO1220	SCO1220	1096643	Q9FC93			Basal machinery
SCO1221	SCO1221	1096644	Q9FC92			Basal machinery
SCO1276	SCO1276	1096699	Q9K2W6		RNA polymerase ECF sigma factor	Basal machinery
SCO1346	SCO1346	1096769	Q9K3Y7			Basal machinery
SCO1347	SCO1347	1096770	Q9K3Y6			Basal machinery
SCO1390	SCO1390	1096816	Q9KZP2		PTS system sugar phosphotransferase component IIA	Basal machinery
SCO1393	SCO1393	1096819	Q9KZN9			Basal machinery
SCO1394	SCO1394	1096820	Q9KZN8			Basal machinery
SCO1397	SCO1397	1096823	Q9KZN5			Basal machinery
SCO1402	SCO1402	1096828	Q9KZN0			Basal machinery
SCO1403	SCO1403	1096829	Q9KZM9			Basal machinery
SCO1429	SCO1429	1096855	Q7AKQ9			Basal machinery
SCO1430	SCO1430	1096856	Q9RKY8			Basal machinery
SCO1434	SCO1434	1096860	Q9RKZ2			Basal machinery
SCO1444	SCO1444	1096870	Q9L115			Basal machinery
SCO1480	SCO1480	1096906	Q9KXR9			M3
SCO1489	SCO1489	1096915	Q7AKQ8		DNA-binding protein	Global regulator
SCO1541	SCO1541	1096967	Q9L268		regulator	Basal machinery
SCO1547	SCO1547	1096973	Q9L1D5			Basal machinery
SCO1565	SCO1565	1096996	Q8CJI8		glycerophosphoryl diester phosphodiesterase	Basal machinery
SCO1568	SCO1568	1096999	Q9L1B3		TetR family transcriptional regulator	Basal machinery
SCO1571	SCO1571	1097002	Q9L1B0			Basal machinery
SCO1581	SCO1581	1097012	O88041			Basal machinery
SCO1619	SCO1619	1097050	Q9RJ82			Basal machinery
SCO1678	SCO1678	1097109	Q9AD89			M22
SCO1679	SCO1679	1097110	Q9AD88			M22
SCO1697	SCO1697	1097128	Q9S255			Global regulator
SCO1698	SCO1698	1097129	Q9S254			Basal machinery
SCO1700	SCO1700	1097131	Q9S252			Basal machinery
SCO1753	SCO1753	1097184	Q9EWX3			Basal machinery
SCO1839	SCO1839	1097273	Q9RJ29			Basal machinery
SCO1844	SCO1844	1097278	Q9RJ24			Basal machinery
SCO1845	SCO1845	1097279	Q9RJ23			Basal machinery
SCO1863	SCO1863	1097297	Q93RW3		hypothetical protein	Basal machinery
SCO1906	SCO1906	1097340	Q9X9W6			Basal machinery
SCO1909	SCO1909	1097343	Q9X9W3			Basal machinery
SCO1967	SCO1967	1097401	Q93JJ4			Basal machinery
SCO1968	SCO1968	1097402	Q93JJ3		secreted hydrolase	Basal machinery
SCO2014	SCO2014	1097448	Q9S2I9			Basal machinery
SCO2015	SCO2015	1097449	Q9S2I8			Basal machinery
SCO2026	SCO2026	1097460	Q9S2Y9		glutamate synthase large subunit	Basal machinery
SCO2055	SCO2055	1097489	Q9S2T4			Basal machinery
SCO2068	SCO2068	1097502	Q8CK08		secreted alkaline phosphatase	Basal machinery
