Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
clgR	1.0	0.553890499761822	Middle		cg2152	3344966.0	Q8NP59	NCgl1887	transcriptional regulator	M23.2	Q8NP59	['GO:0001216', 'GO:0000976']	True	False	False	False
cg2873		0.7996883503263913	Output		cg2873	3342791.0	Q8NMH7	NCgl2507,ptrB	prolyl oligopeptidase	M23.2	Q8NMH7	['GO:0004252']	False	False	False	False
cg0892		0.7996883503263913	Output		cg0892	3343357.0	Q8NS97	NCgl0748	hypothetical protein	M23.2	Q8NS97	[]	False	False	False	False
clpP2		0.7996883503263913	Output		cg2645	3345290.0	Q8NN01	NCgl2328,clpP	ATP-dependent Clp protease proteolytic subunit	M23.2	Q8NN01	['GO:0004176', 'GO:0051117', 'GO:0004252']	False	False	False	False
clpP1		0.7996883503263913	Output		cg2644	3345289.0	Q8NN02	NCgl2327,clpP2	ATP-dependent Clp protease proteolytic subunit	M23.2	Q8NN02	['GO:0004176', 'GO:0051117', 'GO:0004252']	False	False	False	False
cg0297		0.7996883503263913	Output		cg0297	3342561.0	Q8NTQ9	NCgl0240	hypothetical protein	M23.2	Q8NTQ9	['GO:0003677']	False	False	False	False
recR		0.7996883503263913	Output		cg0298	3343031.0	Q8NTQ8	NCgl0241	recombination protein RecR	M23.2	Q8NTQ8	['GO:0003677', 'GO:0008270']	False	False	False	False
clpC		0.7996883503263913	Output		cg2963	3345370.0	Q8NMA0	NCgl2585	ATP-dependent protease	M23.2	Q8NMA0	['GO:0005524', 'GO:0016887']	False	False	False	False
cg2126		0.7996883503263913	Output		cg2126					M23.2		[]	False	False	False	False
crtR	0.36787944117147864	0.4915874119786877	Middle	-0.3678794411714786	cg0725	3345464.0	Q8NSP1	NCgl0601	MarR family transcriptional regulator	M20	Q8NSP1	['GO:0003700']	True	False	False	False
cg0718		0.5418565021250868	Output		cg0718	3343170.0	Q8NSP7	NCgl0595,crtYf	C50 carotenoid epsilon cyclase	M20	Q8NSP7	['GO:0016872', 'GO:0045436']	False	False	False	False
cg0719		0.5418565021250868	Output		cg0719	3342881.0		crtYe	C50 carotenoid epsilon cyclase	M20		[]	False	False	False	False
cg0722		0.5418565021250868	Output		cg0722	3343008.0	Q8NSP3	NCgl0599	RND superfamily drug efflux protein	M20	Q8NSP3	[]	False	False	False	False
cg0721		0.5418565021250868	Output		cg0721	3344300.0	Q8NSP4	crtB2,NCgl0598	phytoene synthase	M20	Q8NSP4	['GO:0004311', 'GO:0051996']	False	False	False	False
cg0720		0.5418565021250868	Output		cg0720	3345249.0		crtI2	phytoene dehydrogenase	M20		[]	False	False	False	False
cg0723		0.4915874119786877	Output		cg0723	3344963.0		crtE	geranylgeranyl-pyrophosphate sythase	M20		[]	False	False	False	False
cg0717		0.5418565021250868	Output		cg0717	3343009.0	Q8NSP8	ubiA,NCgl0594	prenyltransferase	M20	Q8NSP8	['GO:0016765']	False	False	False	False
sugR	0.5606044638460286	0.614659384920131	Middle	-0.464607932229396	cg2115	3343314.0	Q8NP85	NCgl1856	transcriptional regulators of sugar metabolism, DeoR family	M23.1	Q8NP85	['GO:0003700']	True	False	False	False
cg2120		0.563314312152565	Output		cg2120	3343349.0		ptsF	sugar specific PTS system, fructose/mannitol-specific transport protein	M23.1		[]	False	False	False	False
ramA	0.47690984569020295	0.5283791843836687	Middle	-0.5757121898363353	cg2831	3344672.0	Q8NML3	NCgl2472	LuxR family transcriptional regulator	M23.1	Q8NML3	['GO:0003677']	False	False	False	False
