Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
PA5085	1.0		Input		PA5085					M54		[]	False	False	False	False
PA5083		1.0	Output		PA5083					M54		[]	False	False	False	False
PA5082		1.0	Output		PA5082					M54		[]	False	False	False	False
dadA2		1.0	Output		PA5084	880266	Q9HU99		oxidoreductase	M54	Q9HU99	['GO:0008718']	False	False	False	False
cifR	0.3678794411714786	0.3678794411714786	Middle	-0.3678794411714786	PA2931	PseudoCap:PA2931	Q9HZR6		CifR protein	M51	Q9HZR6	['GO:0001217', 'GO:0000976']	True	False	False	False
morB		0.3678794411714786	Output		PA2932	878999	Q9HZR5		morphinone reductase	M51	Q9HZR5	['GO:0010181', 'GO:0016628']	False	False	False	False
cif		0.3678794411714786	Output		PA2934	PseudoCap:PA2934	Q9HZR3		CFTR inhibitory factor	M51	Q9HZR3	['GO:0004301', 'GO:0016787']	False	False	False	False
cmpX	1.0		Input		PA1775	877590	G3XCV6		hypothetical protein	M39	G3XCV6	[]	False	False	False	False
exoS		0.7926959595726352	Output		PA3841	879837	G3XDA1		exoenzyme S	M39	G3XDA1	['GO:0005096', 'GO:0106274', 'GO:0016779', 'GO:0090729']	False	False	False	False
rsmY		1.0	Output		PA0527.1	4179186		RsmY	regulatory RNA RsmY	M39		[]	False	False	False	False
oprF		0.9651492787611489	Output		PA1777	878442	P13794		porin	M39	P13794	['GO:0005509', 'GO:0001851', 'GO:0015288']	False	False	False	False
sigX		1.0	Output		PA1776	878527	Q9I2W5		RNA polymerase sigma factor SigX	Global regulator	Q9I2W5	['GO:0003677', 'GO:0016987']	True	False	False	False
mvfR	0.36787944117147864	0.5953571565866898	Middle	-0.3678794411714786	PA1003	PseudoCap:PA100	Q9I4X0		transcriptional regulator MvfR	Global regulator	Q9I4X0	['GO:0003677', 'GO:0003700']	True	False	False	False
phnB		0.7330508375634555	Output		PA1002	880689	P09786		anthranilate synthase component II	Basal machinery	P09786	['GO:0004048', 'GO:0004049']	False	False	False	False
phnA		0.7402656797914702	Output		PA1001	878421	P09785		anthranilate synthase component I	M30	P09785	['GO:0004049', 'GO:0046872']	False	False	False	False
pqsD		0.7527811712662452	Output		PA0999	880625	P20582		3-oxoacyl-ACP synthase	Basal machinery	P20582	['GO:0004315', 'GO:0016746']	False	False	False	False
pqsE		0.7527811712662452	Output		PA1000	880721	P20581		quinolone signal response protein	Basal machinery	P20581	['GO:0016787', 'GO:0046872']	False	False	False	False
pqsA		0.7594627612320224	Output		PA0996	880760	Q9I4X3		coenzyme A ligase	M30	Q9I4X3	['GO:0016878', 'GO:0018860', 'GO:0005524']	False	False	False	False
pqsB		0.7527811712662452	Output		PA0997	883098	Q9I4X2		PqsB protein	Basal machinery	Q9I4X2	['GO:0016746']	False	False	False	False
pqsC		0.7527811712662452	Output		PA0998	880660	Q9I4X1		PqsC protein	Basal machinery	Q9I4X1	['GO:0004315']	False	False	False	False
rhlI		0.7875739237136355	Output		PA3476	878967	P54291	vsmI	autoinducer synthesis protein RhlI	Basal machinery	P54291	['GO:0061579']	False	False	False	False
lrp	1.0	1.0	Middle	1.0	PA5308	878436	Q9HTP6		leucine-responsive regulatory protein	M49	Q9HTP6	['GO:0043565']	False	False	False	False
