,bname,gname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Start,End,Orientation,Length,Chr
1,b0001,thrL,216.4094118,-0.616064587,0.254025442,-2.425208207,0.015299609,0.125614831,190,255,+,66,NC_000913.3
2,b0002,thrA,7063.263828,-0.716335369,0.611560075,-1.171324616,0.241468321,0.509766454,337,2799,+,2463,NC_000913.3
3,b0003,thrB,2647.021728,-0.653242806,0.357589469,-1.826795424,0.067730534,0.266629908,2801,3733,+,933,NC_000913.3
4,b0004,thrC,3512.215323,-0.268022527,0.358866955,-0.74685764,0.455149498,0.697156002,3734,5020,+,1287,NC_000913.3
5,b0005,yaaX,111.8719297,0.432566658,0.300203392,1.440911962,0.149609556,0.396238643,5234,5530,+,297,NC_000913.3
6,b0006,yaaA,397.5677773,-0.001365865,0.214830683,-0.006357868,0.994927189,0.996800658,5683,6459,-,777,NC_000913.3
7,b0007,yaaJ,332.4579528,0.108288113,0.246324455,0.439615764,0.660215422,0.827577309,6529,7959,-,1431,NC_000913.3
8,b0008,talB,18049.35831,0.437522954,0.24642834,1.775457137,0.075822437,0.277318446,8238,9191,+,954,NC_000913.3
9,b0009,mog,611.0018365,0.391612706,0.248848774,1.57369755,0.115557388,0.34826606,9306,9893,+,588,NC_000913.3
10,b0010,satP,210.5201762,0.078072961,0.26130693,0.298778762,0.765108856,0.883763111,9928,10494,-,567,NC_000913.3
11,b0013,yaaI,10.07696159,-0.059477952,0.546407626,-0.108852713,0.913319313,NA,11382,11786,-,405,NC_000913.3
12,b0014,dnaK,13987.91843,-2.424573297,0.811131653,-2.989124256,0.002797783,0.050679017,12163,14079,+,1917,NC_000913.3
13,b0015,dnaJ,1020.556221,-1.697170812,0.703688232,-2.411822075,0.015873026,0.127275452,14168,15298,+,1131,NC_000913.3
14,b0016,insL1,358.4586669,-0.272182104,0.291120737,-0.934945778,0.349816244,0.614721865,15445,16557,+,1113,NC_000913.3
15,b0019,nhaA,1153.267587,-0.552535126,0.425423123,-1.298789595,0.194016146,0.451584852,17489,18655,+,1167,NC_000913.3
16,b0020,nhaR,471.3693243,0.042970229,0.34488197,0.124594015,0.900844967,0.949316653,18715,19620,+,906,NC_000913.3
17,b0021,insB1,91.46087405,0.456514697,0.414885545,1.100338882,0.271184497,0.539590781,19811,20314,-,504,NC_000913.3
18,b0022,insA1,24.12357709,0.140140982,0.410901717,0.341057182,0.733060534,NA,20233,20508,-,276,NC_000913.3
19,b0023,rpsT,2327.395245,0.554365154,0.411074475,1.348575957,0.177473207,0.429077686,20815,21078,-,264,NC_000913.3
20,b0024,yaaY,54.15598671,-1.13794859,0.288142659,-3.949254142,7.84E-05,0.005294337,21181,21399,+,219,NC_000913.3
21,b0025,ribF,991.0865282,0.078513211,0.164537677,0.477174665,0.63323775,0.81252784,21407,22348,+,942,NC_000913.3
22,b0026,ileS,4770.826652,-0.351063176,0.273910601,-1.281670641,0.199958208,0.458769685,22391,25207,+,2817,NC_000913.3
23,b0027,lspA,470.0347621,-0.138209568,0.237366456,-0.582262425,0.560389931,0.766038331,25207,25701,+,495,NC_000913.3
24,b0028,fkpB,352.3504484,-0.260460796,0.264843393,-0.983452118,0.32538497,0.591855284,25826,26275,+,450,NC_000913.3
25,b0029,ispH,699.7599301,0.053949391,0.354293533,0.152273147,0.878971504,0.940177032,26277,27227,+,951,NC_000913.3
26,b0030,rihC,1477.41988,-0.883344518,0.48688304,-1.814284841,0.069633884,0.268697637,27293,28207,+,915,NC_000913.3
27,b0031,dapB,631.7724163,-0.093248494,0.255424728,-0.365072303,0.715057435,0.858163015,28374,29195,+,822,NC_000913.3
28,b0032,carA,150.7322495,2.063625726,0.409380507,5.04085,4.63E-07,0.000180301,29651,30799,+,1149,NC_000913.3
29,b0033,carB,473.4596577,0.776283865,0.325183866,2.387215192,0.016976551,0.133470104,30817,34038,+,3222,NC_000913.3
30,b0034,caiF,457.2596598,-0.197995239,0.382109047,-0.518164228,0.604343691,0.794343204,34300,34695,+,396,NC_000913.3
31,b0035,caiE,100.0495871,-0.201235505,0.351252473,-0.572908435,0.566706693,0.769672801,34781,35371,-,591,NC_000913.3
32,b0036,caiD,12.99186588,-1.181307978,0.486554834,-2.427903074,0.015186401,NA,35377,36162,-,786,NC_000913.3
33,b0037,caiC,122.017162,0.428506277,0.337207606,1.270749146,0.203817905,0.464200259,36271,37824,-,1554,NC_000913.3
34,b0038,caiB,126.5184133,0.75055509,0.340615879,2.203523488,0.027557873,0.165253036,37898,39115,-,1218,NC_000913.3
35,b0039,caiA,266.8778042,0.688844182,0.356788167,1.930681131,0.053522498,0.233239604,39244,40386,-,1143,NC_000913.3
36,b0040,caiT,13.00667033,0.058822108,0.634269852,0.092739877,0.926110216,NA,40417,41931,-,1515,NC_000913.3
37,b0041,fixA,11.70005288,-0.83719478,0.564258718,-1.483707302,0.137886588,NA,42403,43173,+,771,NC_000913.3
38,b0042,fixB,17.49942347,-0.865946997,0.534672889,-1.619582767,0.105321934,NA,43188,44129,+,942,NC_000913.3
39,b0043,fixC,21.01531634,-0.603042279,0.497967963,-1.211006176,0.225893038,NA,44180,45466,+,1287,NC_000913.3
40,b0046,kefF,71.21408242,-0.272772556,0.340435189,-0.801246655,0.422988866,0.673392111,47246,47776,+,531,NC_000913.3
41,b0047,kefC,431.5692205,-0.123310531,0.384711964,-0.320526895,0.748568945,0.873525051,47769,49631,+,1863,NC_000913.3
42,b0048,folA,636.3153586,-0.230756603,0.333666302,-0.691578986,0.489201762,0.722941814,49823,50302,+,480,NC_000913.3
43,b0049,apaH,666.3123023,-0.018077308,0.298371282,-0.060586622,0.951688428,0.976705316,50380,51222,-,843,NC_000913.3
44,b0050,apaG,686.1577056,-0.212239776,0.260697394,-0.814123121,0.415574422,0.666444119,51229,51606,-,378,NC_000913.3
45,b0051,rsmA,1368.995569,0.067912951,0.235018813,0.288968149,0.772605751,0.888032234,51609,52430,-,822,NC_000913.3
46,b0052,pdxA,842.2787437,0.316127127,0.226578963,1.395218351,0.162950005,0.412457588,52427,53416,-,990,NC_000913.3
47,b0053,surA,3820.210924,-0.170315734,0.198633033,-0.857439125,0.391202244,0.645308913,53416,54702,-,1287,NC_000913.3
48,b0054,lptD,6732.196157,-0.072473735,0.174894264,-0.414386,0.67859144,0.839474761,54755,57109,-,2355,NC_000913.3
49,b0055,djlA,334.7387428,0.250613723,0.294542995,0.850856163,0.394849259,0.648071835,57364,58179,+,816,NC_000913.3
50,b0056,yabP,113.1116793,0.311419184,0.274241787,1.135564304,0.256138955,0.525197529,58474,59124,+,651,NC_000913.3
51,b0057,yabQ,69.90434178,-0.178225589,0.270482592,-0.658917039,0.509949044,0.735774601,59121,59279,+,159,NC_000913.3
52,b0058,rluA,232.7591158,-0.429761381,0.273626304,-1.570614279,0.116272271,0.349553444,59687,60346,-,660,NC_000913.3
53,b0059,rapA,934.1576655,-0.669235698,0.244131527,-2.741291573,0.006119817,0.076537375,60358,63264,-,2907,NC_000913.3
54,b0060,polB,656.9727598,-0.158996317,0.24294427,-0.654455927,0.512818113,0.738694735,63429,65780,-,2352,NC_000913.3
55,b0061,araD,89.30778861,0.238839883,0.370302053,0.644986657,0.518935833,0.742281243,65855,66550,-,696,NC_000913.3
56,b0062,araA,365.1716139,-0.382044539,0.344550616,-1.108819781,0.267507935,0.535628718,66835,68337,-,1503,NC_000913.3
57,b0063,araB,138.6076759,-1.111254768,0.330971933,-3.357549866,0.000786366,0.02432862,68348,70048,-,1701,NC_000913.3
58,b0064,araC,918.9178679,-1.222844969,0.426761504,-2.865405986,0.004164749,0.061295525,70387,71265,+,879,NC_000913.3
59,b0065,yabI,318.7839623,-0.341779926,0.184147989,-1.856006831,0.063452584,0.256451139,71351,72115,+,765,NC_000913.3
60,b0066,thiQ,76.10749711,0.068270846,0.256049342,0.266631601,0.789752822,0.897233605,72229,72927,-,699,NC_000913.3
61,b0067,thiP,38.71903366,0.442397138,0.316085242,1.399613394,0.161629121,0.410949387,72911,74521,-,1611,NC_000913.3
62,b0068,thiB,97.79708753,0.301337048,0.263985995,1.141488766,0.253666584,0.521351192,74497,75480,-,984,NC_000913.3
63,b4762,sroA,13.03710482,0.39118475,0.470080068,0.832166213,0.405315132,NA,75516,75608,-,93,NC_000913.3
64,b0069,sgrR,371.6124743,0.027411268,0.219412038,0.124930556,0.900578528,0.949316653,75644,77299,-,1656,NC_000913.3
65,b0070,setA,149.198469,0.261571748,0.29825161,0.877017052,0.380477376,0.637655277,77621,78799,+,1179,NC_000913.3
66,b0071,leuD,112.3057293,-0.597557044,0.282831016,-2.112770559,0.034620411,0.192313055,78848,79453,-,606,NC_000913.3
67,b0072,leuC,117.0576374,-0.483561636,0.316796509,-1.52641087,0.126907572,0.365220465,79464,80864,-,1401,NC_000913.3
68,b0073,leuB,96.88417259,-0.388082191,0.361394682,-1.07384588,0.282891763,0.551027639,80867,81958,-,1092,NC_000913.3
69,b0074,leuA,80.23537502,0.299453387,0.290929763,1.029297876,0.303339721,0.569798069,81958,83529,-,1572,NC_000913.3
70,b0076,leuO,40.12962632,-0.366026452,0.380469563,-0.962038721,0.336030154,0.602750856,84368,85312,+,945,NC_000913.3
71,b0077,ilvI,162.8555034,-0.088598772,0.25519935,-0.347174756,0.728460034,0.865046291,85630,87354,+,1725,NC_000913.3
72,b0078,ilvH,64.6464985,-0.319418571,0.301832651,-1.058263807,0.289935189,0.558157169,87357,87848,+,492,NC_000913.3
73,b0080,cra,3990.523356,0.39760034,0.247190925,1.608474662,0.107731261,0.333299548,88028,89032,+,1005,NC_000913.3
74,b0081,mraZ,628.9797275,-0.228353726,0.213435407,-1.069896173,0.284666046,0.55288472,89634,90092,+,459,NC_000913.3
75,b0082,rsmH,1122.451367,-0.134762769,0.227232828,-0.5930603,0.553140798,0.763076716,90094,91035,+,942,NC_000913.3
76,b0083,ftsL,304.3398565,-0.197241987,0.268819832,-0.733733021,0.463111469,0.703162469,91032,91397,+,366,NC_000913.3
77,b0084,ftsI,967.2055595,-0.204816119,0.165642731,-1.236493248,0.216275274,0.48128476,91413,93179,+,1767,NC_000913.3
78,b0085,murE,1394.517286,-0.299905703,0.190772289,-1.572061143,0.115936372,0.349107283,93166,94653,+,1488,NC_000913.3
79,b0086,murF,1692.729888,-0.262641125,0.243020939,-1.08073455,0.27981521,0.547723389,94650,96008,+,1359,NC_000913.3
80,b0087,mraY,781.7173528,0.010839043,0.204601278,0.052976419,0.957750697,0.980754668,96002,97084,+,1083,NC_000913.3
81,b0088,murD,1494.065476,-0.106632925,0.196402607,-0.54293029,0.5871778,0.782008986,97087,98403,+,1317,NC_000913.3
82,b0089,ftsW,1052.369668,0.108718227,0.190079343,0.571962345,0.567347485,0.769672801,98403,99647,+,1245,NC_000913.3
83,b0090,murG,1065.278026,0.033433774,0.192920215,0.17330363,0.86241277,0.934391146,99644,100711,+,1068,NC_000913.3
84,b0091,murC,2154.777428,0.130857287,0.168322795,0.777418693,0.436911787,0.684562766,100765,102240,+,1476,NC_000913.3
85,b0092,ddlB,1979.641286,-0.056935097,0.170164526,-0.33458852,0.737935506,0.867167237,102233,103153,+,921,NC_000913.3
86,b0093,ftsQ,1329.57274,-0.376614644,0.159223354,-2.365322897,0.018014357,0.135436972,103155,103985,+,831,NC_000913.3
87,b0094,ftsA,2260.805332,-0.256130075,0.19632244,-1.304639828,0.19201552,0.449020907,103982,105244,+,1263,NC_000913.3
88,b0095,ftsZ,8560.362218,-0.243943754,0.210832668,-1.157049127,0.24725229,0.515440671,105305,106456,+,1152,NC_000913.3
89,b0096,lpxC,13882.70785,0.240522104,0.201955372,1.190966604,0.233666696,0.500055178,106557,107474,+,918,NC_000913.3
90,b0097,secM,988.8024297,0.22677275,0.220381559,1.029000572,0.303479406,0.569798069,107705,108217,+,513,NC_000913.3
91,b0098,secA,5269.842798,0.152744113,0.229173734,0.666499211,0.505092068,0.732393973,108279,110984,+,2706,NC_000913.3
92,b0099,mutT,90.745463,0.530379644,0.272940305,1.943207482,0.051991095,0.229496043,111044,111433,+,390,NC_000913.3
93,b0101,yacG,232.4130821,0.703211751,0.229298177,3.066800442,0.002163633,0.043544143,111649,111846,-,198,NC_000913.3
94,b0102,zapD,564.124429,0.513731046,0.255973546,2.00696929,0.044752933,0.214912437,111856,112599,-,744,NC_000913.3
95,b0103,coaE,280.761127,-0.055846771,0.25454131,-0.219401601,0.826337223,0.917978521,112599,113219,-,621,NC_000913.3
96,b0104,guaC,729.4465906,1.003281723,0.194920048,5.147144866,2.64E-07,0.000154104,113444,114487,+,1044,NC_000913.3
97,b0106,hofC,61.99265269,0.407182114,0.308841919,1.318415955,0.187364443,0.443184095,114522,115724,-,1203,NC_000913.3
98,b0107,hofB,103.5248789,0.190400371,0.34143914,0.557640727,0.57708974,0.773880219,115714,117099,-,1386,NC_000913.3
99,b0109,nadC,580.4718218,0.24225088,0.197949887,1.223799033,0.221028049,0.487209369,117752,118645,-,894,NC_000913.3
100,b0110,ampD,412.702405,0.235245801,0.293839987,0.800591518,0.423368163,0.673689166,118733,119284,+,552,NC_000913.3
101,b0111,ampE,582.9829289,0.522735062,0.219771365,2.378540355,0.017381334,0.133555121,119281,120135,+,855,NC_000913.3
102,b0112,aroP,591.9063467,0.354631633,0.220923811,1.605221416,0.108445086,0.334324533,120178,121551,-,1374,NC_000913.3
103,b0113,pdhR,424.8200021,-0.011076189,0.306101274,-0.03618472,0.97113507,0.986370774,122092,122856,+,765,NC_000913.3
104,b0114,aceE,8421.753315,-0.582662222,0.501525081,-1.161780824,0.245324505,0.512644632,123017,125680,+,2664,NC_000913.3
105,b0115,aceF,7861.642512,-0.003420882,0.507423759,-0.006741667,0.994620969,0.996800658,125695,127587,+,1893,NC_000913.3
