Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
mlc	0.44345804936890004	0.8282411550583548	Middle	-0.3678794411714786	b1594	945510	P50456	JW1586	Mlc DNA-binding transcriptional repressor	M37.20	P50456	['GO:0003677', 'GO:0042802', 'GO:0046872']	False	False	False	False
crr		0.8484418325655132	Output		b2417	946880	P69783	iex,tgs,JW2410,treD,gsr	Enzyme IIA<sup>Glc</sup>; Crr	Intermodular	P69783	['GO:0016301', 'GO:0046872']	False	False	False	False
manX		0.5534398212049401	Output		b1817	946334	P69797	gptB,ptsL,JW1806	mannose PTS permease - ManX subunit	Intermodular	P69797	['GO:0016301', 'GO:0042803', 'GO:0022870', 'GO:0008982']	False	False	False	False
manY		0.4611036743138404	Output		b1818	946332	P69801	JW1807,pel,ptsP	mannose PTS permease - ManY subunit	Intermodular	P69801	['GO:0022870']	False	False	False	False
malT	1.0	0.5773312065149008	Middle		b3418	947921	P06993	malA,JW3381	MalT transcriptional activator	M37.20	P06993	['GO:0005524', 'GO:0003677', 'GO:0003700', 'GO:0042802', 'GO:0048031']	True	False	False	False
ptsI		0.8165596188148282	Output		b2416	946879	P08839	JW2409	PtsI	Intermodular	P08839	['GO:0042802', 'GO:0016301', 'GO:0046872', 'GO:0008965']	False	False	False	False
ptsH		0.8165596188148282	Output		b2415	946886	P0AA04	JW2408,hpr	HPr	Intermodular	P0AA04	['GO:0045152', 'GO:0008047', 'GO:0004857', 'GO:0030234', 'GO:0016775']	False	False	False	False
bidA		0.8604324686138668	Output							M37.20		[]	False	False	False	False
manZ		0.4611036743138404	Output		b1819	946342	P69805	ptsM,gptB,JW1808	mannose PTS permease - ManZ subunit	Intermodular	P69805	['GO:0022870']	False	False	False	False
ptsG		0.5519420750002721	Output		b1101	945651	P69786	umg,glcA,JW1087	glucose PTS permease - PtsG subunit	Intermodular	P69786	['GO:0055056', 'GO:0016301', 'GO:0008982', 'GO:0090564']	False	False	False	False
fur	0.6834795316475144	0.8044018097862409	Middle	-0.5710478409846402	b0683	945295	P0A9A9	JW0669	Fur	Global regulator	P0A9A9	['GO:0001216', 'GO:0003700', 'GO:0001217', 'GO:0043565', 'GO:0000976', 'GO:0008270']	True	False	False	False
aspC		0.8272858115363093	Output		b0928	945553	P00509	JW0911	AspC	Basal machinery	P00509	['GO:0042802', 'GO:0004069', 'GO:0004838', 'GO:0042803', 'GO:0030170']	False	False	False	False
sufB		0.8014699447212258	Output		b1683	945753	P77522	ynhE,JW5273	SufB component of SufBCD Fe-S cluster scaffold complex	Intermodular	P77522	['GO:0051537', 'GO:0051539']	False	False	False	False
sufC		0.8014699447212258	Output		b1682	946128	P77499	JW1672,ynhD	SufC component of SufBCD Fe-S cluster scaffold complex	Intermodular	P77499	['GO:0005524', 'GO:0016887']	False	False	False	False
sufA		0.8014699447212258	Output		b1684	949014	P77667	JW1674,ydiC	Fe-S cluster assembly, scaffold protein	Intermodular	P77667	['GO:0051537', 'GO:0051539', 'GO:0046872', 'GO:0042803']	False	False	False	False
yjjZ		0.7614974739269985	Output		b4567	1450313	P55914	JW5797	predicted protein	M37.6	P55914	[]	False	False	False	False
sufD		0.8014699447212258	Output		b1681	944878	P77689	JW1671,ynhC	SufD component of SufBCD Fe-S cluster scaffold complex	Intermodular	P77689	[]	False	False	False	False
sufE		0.8014699447212258	Output		b1679	946173	P76194	JW1669,ynhA	sulfur acceptor for SufS cysteine desulfurase	Intermodular	P76194	['GO:0008047', 'GO:0097163']	False	False	False	False
b4707		0.8462622689558027	Output		b4707			esrE		Basal machinery		[]	False	False	False	False
fumB		0.8717539903012563	Output		b4122	948642	P14407	JW4083	fumarase B monomer	M37.7	P14407	['GO:0051539', 'GO:0047808', 'GO:0004333', 'GO:0046872', 'GO:0042803']	False	False	False	False
fumC		0.8039343196736084	Output		b1611	946147	P05042	JW1603	fumarase C monomer	M37.1	P05042	['GO:0004333', 'GO:0042802']	False	False	False	False
sufS		0.8014699447212258	Output		b1680	946185	P77444	csdB,JW1670,ynhB	L-cysteine desulfurase	Intermodular	P77444	['GO:0031071', 'GO:0008826', 'GO:0016787', 'GO:0042803', 'GO:0030170', 'GO:0009000']	False	False	False	False
ompF		0.7157663944584436	Output		b0929	945554	P02931	coa,JW0912,tolF,cmlB,cry	OmpF	Intermodular	P02931	['GO:0042912', 'GO:0097718', 'GO:0042802', 'GO:0008289', 'GO:0001530', 'GO:0005216', 'GO:0015288']	False	False	False	False
katE		0.7423727717424662	Output		b1732	946234	P21179	JW1721	catalase II	Basal machinery	P21179	['GO:0004096', 'GO:0020037', 'GO:0042802', 'GO:0005506']	False	False	False	False
katG		0.3008856756716614	Output		b3942	948431	P13029	JW3914	hydroperoxidase I	Intermodular	P13029	['GO:0004096', 'GO:0020037', 'GO:0042802', 'GO:0046872', 'GO:0016491', 'GO:0004601']	False	False	False	False
gspC		0.6909642046976767	Output		b3324	947824	P45757	yheE,JW3286	putative protein secretion protein for export	M37.1	P45757	[]	False	False	False	False
ybdZ		0.7280730933082705	Output		b4511	1450243	P18393	JW0577	MbtH-like protein that enhances the catalytic function of EntF	Basal machinery	P18393	[]	False	False	False	False
gspF		0.6909642046976767	Output		b3327	947829	P41441	JW3289,hofF,hopF	putative protein secretion protein for export	M37.1	P41441	['GO:0046872']	False	False	False	False
gspG		0.6909642046976767	Output		b3328	947827	P41442	hofG,hopG,JW3290	putative protein secretion protein for export	M37.1	P41442	[]	False	False	False	False
gspD		0.6909642046976767	Output		b3325	947822	P45758	JW5707,yheF	putative protein secretion protein for export	M37.1	P45758	['GO:0042802']	False	False	False	False
gspE		0.6909642046976767	Output		b3326	947823	P45759	yheG,JW3288	putative protein secretion protein for export	M37.1	P45759	['GO:0005524', 'GO:0016887', 'GO:0046872', 'GO:0008564']	False	False	False	False
gspJ		0.6909642046976767	Output		b3331	947832	P45761	yheI,JW3293	putative protein secretion protein for export	M37.1	P45761	[]	False	False	False	False
gspK		0.6909642046976767	Output		b3332	947831	P45762	yheJ,JW3294	putative protein secretion protein for export	M37.1	P45762	[]	False	False	False	False
gspH		0.6909642046976767	Output		b3329	947834	P41443	hofH,JW3291,hopH	putative protein secretion protein for export	M37.1	P41443	[]	False	False	False	False
gspI		0.6909642046976767	Output		b3330	947833	P45760	JW5706,yheH	putative protein secretion protein for export	M37.1	P45760	[]	False	False	False	False
gspO		0.6909642046976767	Output		b3335	947840	P25960	hofD,yheC,hopO,hopD,JW3297	leader peptidase, integral membrane protein	M37.1	P25960	['GO:0004190', 'GO:0008233', 'GO:0016740']	False	False	False	False
zwf		0.5532062776938496	Output		b1852	946370	P0AC53	JW1841	glucose 6-phosphate-1-dehydrogenase	M37.1	P0AC53	['GO:0004345', 'GO:0042802', 'GO:0050661']	False	False	False	False
gspM		0.6909642046976767	Output		b3334	947841	P36678	pshM,JW5704,hopZ	putative protein secretion protein	M37.1	P36678	[]	False	False	False	False
fhuD		0.8272858115363093	Output		b0152	947510	P07822	JW0148	iron (III) hydroxamate ABC transporter - periplasmic binding protein	Basal machinery	P07822	[]	False	False	False	False
fhuF		0.5471059107482726	Output		b4367	948891	P39405	JW4331,yjjS	hydroxamate siderophore iron reductase	M37.6	P39405	['GO:0051537', 'GO:0000293', 'GO:0046872', 'GO:0016722']	False	False	False	False
fhuA		0.8272858115363093	Output		b0150	944856	P06971	JW0146,tonA	ferrichrome / phage / antibiotic outer membrane porin FhuA	Basal machinery	P06971	['GO:0005506', 'GO:0019904', 'GO:0015344', 'GO:0038023', 'GO:0015643', 'GO:0046790']	False	True	False	True
fhuC		0.8272858115363093	Output		b0151	945250	P07821	JW0147	iron (III) hydroxamate ABC transporter - ATP binding subunit	Basal machinery	P07821	['GO:0015625', 'GO:0005524', 'GO:0016887', 'GO:0015091', 'GO:0015344']	False	False	False	False
