Module_ID	GO_ID	GO_desc	q-value
M10	GO:0042744	hydrogen peroxide catabolic process	0.0478386633493
M13	GO:0016117	carotenoid biosynthetic process	0.00112683738616
M14	GO:0006412	translation	0.000000000477343731061
M15	GO:0042744	hydrogen peroxide catabolic process	0.0478386633493
M16.1	GO:0000160	phosphorelay signal transduction system	0.0000403982761109
M16.1	GO:0006352	DNA-templated transcription, initiation	0.000957319474147
M16.1	GO:0006355	regulation of transcription, DNA-templated	0.00270358466878
M16.1	GO:0017000	antibiotic biosynthetic process	0.027928937742
M16.1	GO:0019491	ectoine biosynthetic process	0.0106588922294
M16.1	GO:0043581	mycelium development	0.000196044025163
M16.2	GO:0006559	L-phenylalanine catabolic process	0.000241994175256
M16.2	GO:0006572	tyrosine catabolic process	0.000241994175256
M16.5	GO:0006099	tricarboxylic acid cycle	0.00426322333746
M17	GO:0006260	DNA replication	0.000650720846194
M18	GO:0006457	protein folding	0.000957319474147
M18	GO:0009408	response to heat	0.00190084175402
M26	GO:0009252	peptidoglycan biosynthetic process	0.00462787452552
M26	GO:0046677	response to antibiotic	0.00914572845827
M26	GO:0071555	cell wall organization	0.00462787452552
M29	GO:0006071	glycerol metabolic process	0.000206354845159
M29	GO:0006072	glycerol-3-phosphate metabolic process	0.00112683738616
M7	GO:0045893	positive regulation of transcription, DNA-templated	0.0215273985072
