;bname;gname;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;Start;End;Orientation;Length;Chr
1;b0001;thrL;133.022160067943;0.548581689675487;0.270211374098355;2.03019466336678;0.0423367560910005;0.58738937789049;190;255;+;66;NC_000913.3
2;b0002;thrA;6323.24112410573;0.273423189141397;0.450190475136013;0.607350009035153;0.543618656916557;0.998227012165091;337;2799;+;2463;NC_000913.3
3;b0003;thrB;3268.3112386623;0.202283127773083;0.248945618161065;0.812559503024506;0.416470658053021;0.998227012165091;2801;3733;+;933;NC_000913.3
4;b0004;thrC;3540.4196867933;0.253132971106288;0.238836914099238;1.05985698258147;0.289209668498923;0.998227012165091;3734;5020;+;1287;NC_000913.3
5;b0005;yaaX;78.2374290134806;0.424194327456935;0.28375528096339;1.49493015959645;0.134932670181832;0.95914528632278;5234;5530;+;297;NC_000913.3
6;b0006;yaaA;439.796497488282;0.0981413874440782;0.1193712366096;0.822152724823036;0.410989980948749;0.998227012165091;5683;6459;-;777;NC_000913.3
7;b0007;yaaJ;587.995365630419;-0.17310810752063;0.14108876786148;-1.22694464020401;0.219843398797958;0.998227012165091;6529;7959;-;1431;NC_000913.3
8;b0008;talB;16007.3772556858;-0.0093703154960668;0.163305602563806;-0.057379020370141;0.95424327478335;0.999684303779905;8238;9191;+;954;NC_000913.3
9;b0009;mog;557.437788138003;-0.163103132951688;0.175109613747624;-0.931434485297647;0.351628859269661;0.998227012165091;9306;9893;+;588;NC_000913.3
10;b0010;satP;269.018746893624;0.337050301462987;0.155836745724316;2.16284227379367;0.0305533129362403;0.50136905197332;9928;10494;-;567;NC_000913.3
11;b0011;yaaW;14.2975493817151;0.0240461251007964;0.415462717440102;0.057877937276678;0.95384585715905;0.999684303779905;10643;11356;-;714;NC_000913.3
12;b0014;dnaK;14972.4425166255;-0.671728119128827;0.682875114745014;-0.983676377458345;0.325274658213867;0.998227012165091;12163;14079;+;1917;NC_000913.3
13;b0015;dnaJ;3569.172473822;-0.191685851042615;0.557625124983519;-0.343753971000286;0.731031318755174;0.998227012165091;14168;15298;+;1131;NC_000913.3
14;b0016;insL1;610.575519365467;-0.188980376459639;0.174990524078911;-1.07994634254835;0.280166074908558;0.998227012165091;15445;16557;+;1113;NC_000913.3
15;b0019;nhaA;2008.55662248589;-0.0375015519021842;0.317018138345777;-0.118294656885785;0.905834190862522;0.998227012165091;17489;18655;+;1167;NC_000913.3
16;b0020;nhaR;409.905829447106;-0.0526510846005026;0.261231983286064;-0.201549151593918;0.840269200451954;0.998227012165091;18715;19620;+;906;NC_000913.3
17;b0021;insB1;83.9781624006029;-0.247922618595706;0.303612359979787;-0.816576171708595;0.414170676933822;0.998227012165091;19811;20314;-;504;NC_000913.3
18;b0022;insA1;36.5054141130363;0.182164067095525;0.252169462118738;0.722387499124498;0.470056270455165;0.998227012165091;20233;20508;-;276;NC_000913.3
19;b0023;rpsT;2661.96384768907;0.1520859925877;0.301463383267212;0.504492422726158;0.613915385532381;0.998227012165091;20815;21078;-;264;NC_000913.3
20;b0024;yaaY;65.9364007600112;0.133728970889428;0.211895575834826;0.631107895304388;0.527969979108521;0.998227012165091;21181;21399;+;219;NC_000913.3
21;b0025;ribF;2133.94925191549;-0.0054778450630334;0.0962843486321582;-0.0568923728607314;0.954630930049213;0.999684303779905;21407;22348;+;942;NC_000913.3
22;b0026;ileS;8313.88506201514;-0.00672723084929873;0.182813629422245;-0.0367983003814274;0.970645829231389;0.999954920072585;22391;25207;+;2817;NC_000913.3
23;b0027;lspA;1257.6012907887;-0.0590576222394327;0.136584123119622;-0.432390096963974;0.665457914421885;0.998227012165091;25207;25701;+;495;NC_000913.3
24;b0028;fkpB;444.27314263931;-0.0568810980593091;0.171947969663356;-0.330804127380347;0.740792443057358;0.998227012165091;25826;26275;+;450;NC_000913.3
25;b0029;ispH;1048.69126323467;-0.0345691543649901;0.233572651349092;-0.14800172094345;0.882341410084496;0.998227012165091;26277;27227;+;951;NC_000913.3
26;b0030;rihC;1953.59129610009;-0.0712941918252511;0.369328047549341;-0.193037578105211;0.846929538455945;0.998227012165091;27293;28207;+;915;NC_000913.3
27;b0031;dapB;996.34051256055;0.00959695693870545;0.165253784823841;0.0580740522762352;0.953689642784869;0.999684303779905;28374;29195;+;822;NC_000913.3
28;b0032;carA;1155.91233363105;0.23098636243866;0.290577021108788;0.794923017509296;0.426658284083378;0.998227012165091;29651;30799;+;1149;NC_000913.3
29;b0033;carB;9171.86849992874;0.153300615792274;0.218851836454318;0.700476716466909;0.483629640941781;0.998227012165091;30817;34038;+;3222;NC_000913.3
30;b0034;caiF;334.158129133773;-0.373134256491405;0.373528744222954;-0.998943889224993;0.317821873528545;0.998227012165091;34300;34695;+;396;NC_000913.3
31;b0035;caiE;68.9840066160597;-0.0135719248985726;0.394930893661402;-0.0343653158474064;0.972585841070167;0.999954920072585;34781;35371;-;591;NC_000913.3
32;b0036;caiD;40.4036394799164;-0.135654371449663;0.272775137983008;-0.497312080759036;0.61896899389249;0.998227012165091;35377;36162;-;786;NC_000913.3
33;b0037;caiC;149.80731309074;0.0714680590459792;0.222710803351396;0.320900728525576;0.748285621826104;0.998227012165091;36271;37824;-;1554;NC_000913.3
34;b0038;caiB;111.848994439484;0.0610328385977841;0.252973985005096;0.241261324149811;0.809352584455458;0.998227012165091;37898;39115;-;1218;NC_000913.3
35;b0039;caiA;188.445714087759;-0.16670533074493;0.283300007745818;-0.588440967832593;0.556236346262659;0.998227012165091;39244;40386;-;1143;NC_000913.3
36;b0040;caiT;15.3344316120598;0.226677988157799;0.489540917675458;0.463041964365634;0.643334287863118;0.998227012165091;40417;41931;-;1515;NC_000913.3
37;b0041;fixA;12.6952137190023;-0.558662684331422;0.481170353965049;-1.16104967757844;0.245621697619308;0.998227012165091;42403;43173;+;771;NC_000913.3
38;b0042;fixB;18.4558779920306;0.325466312345314;0.417973131143235;0.778677594550401;0.436169657673794;0.998227012165091;43188;44129;+;942;NC_000913.3
39;b0043;fixC;26.2902098042037;-0.215698168887381;0.41572460362949;-0.518848696960019;0.603866256144934;0.998227012165091;44180;45466;+;1287;NC_000913.3
40;b0045;yaaU;18.2570629803269;0.429692296249228;0.317897553616232;1.35166908760788;0.176481198207826;0.998227012165091;45807;47138;+;1332;NC_000913.3
41;b0046;kefF;100.748501608503;-0.0937636166987606;0.269593878307943;-0.347795793017449;0.727993549348781;0.998227012165091;47246;47776;+;531;NC_000913.3
42;b0047;kefC;503.371289776582;0.0154477439898944;0.271066209581402;0.05698882208059;0.954554099358276;0.999684303779905;47769;49631;+;1863;NC_000913.3
43;b0048;folA;605.751157583017;0.107173121075198;0.233347984345767;0.459284537535977;0.646029850037127;0.998227012165091;49823;50302;+;480;NC_000913.3
