Node	MeanAbsOutCoh	MeanAbsInCoh	NodeLevel	DiagCohval	Locus_tag	NCBI_gene_ID	Uniprot_ID	Synonyms	Product_function	NDA_component	Uniprot_ID_clean	GO_terms	Is_TF_GO	Is_SignalingReceptor_GO	Is_HistKinase_GO	Is_SignallingTransducer_GO
abrB	0.6583606252010521	0.6720910157800287	Middle	-0.32094951513744263	BSU00370	937009.0	P08874	cpsX	transition state regulatory protein AbrB	Global regulator	P08874	['GO:0003677', 'GO:0042802']	False	False	False	False
yxaM		0.6664650531367352	Output		BSU39930	937678.0	P42112		MFS transporter	Basal machinery	P42112	['GO:0022857']	False	False	False	False
rok	0.6130237108921438	0.6307996474345476	Middle	-0.3678794411714786	BSU14240	938793.0	O34857	ykuW	repressor rok	M25.7	O34857	['GO:0003677']	False	False	False	False
yerI		0.7172515684913867	Output		BSU06640	936055.0	O34640		hypothetical protein	Basal machinery	O34640	['GO:0004413']	False	False	False	False
epsO		0.6846461301277041	Output		BSU34220	936339.0	P71065	yvfF	pyruvyl transferase EpsO	M25.11	P71065	['GO:0016740']	False	False	False	False
ctaB2		0.7250500699164408	Output		BSU14880		P24009	ctaB		M25.1	P24009	['GO:0008495']	False	False	False	False
yncM		0.7172515684913867	Output		BSU17690	939576.0	O31803		hypothetical protein	Basal machinery	O31803	[]	False	False	False	False
yvrP		0.49147505885361686	Output		BSU33280	938618.0	O35007		efflux system protein YvrP	Basal machinery	O35007	[]	False	False	False	False
albD		0.7891730788945023	Output		BSU37400	937053.0	P71008	ywhP	antilisterial bacteriocin subtilosin biosynthesis protein AlbD	M25.7	P71008	[]	False	False	False	False
yxbD		0.32463661095005875	Output		BSU39870	937655.0	P46328	yxaR	hypothetical protein	Basal machinery	P46328	['GO:0016747']	False	False	False	False
epsM		0.6846461301277041	Output		BSU34240	936372.0	P71063	yvfD	acetyltransferase EpsM	M25.11	P71063	['GO:0016746']	False	False	False	False
yoaW		0.47990542736911806	Output		BSU18780	940131.0	O34541		hypothetical protein	Basal machinery	O34541	[]	False	False	False	False
ydeJ		0.7172515684913867	Output		BSU05220	939910.0	P96667		lipoprotein	Basal machinery	P96667	[]	False	False	False	False
yxbB		0.6664650531367352	Output		BSU39890	937673.0	P46326	yxaP	hypothetical protein	Basal machinery	P46326	['GO:0008168', 'GO:0008757']	False	False	False	False
ctaF		0.7250500699164408	Output		BSU14920	936259.0	P24013		cytochrome c oxidase subunit 4B	M25.1	P24013	['GO:0004129']	False	False	False	False
ctaG		0.7250500699164408	Output		BSU14930	939909.0	O34329		cytochrome c oxidase assembly factor CtaG	M25.1	O34329	[]	False	False	False	False
ctaD		0.7250500699164408	Output		BSU14900	936898.0	P24010		cytochrome c oxidase subunit 1	M25.1	P24010	['GO:0004129', 'GO:0020037', 'GO:0046872']	False	False	False	False
ctaE		0.7250500699164408	Output		BSU14910	935993.0	P24012		cytochrome c oxidase subunit 3	M25.1	P24012	['GO:0004129']	False	False	False	False
ctaC		0.7250500699164408	Output		BSU14890	936789.0	P24011		cytochrome c oxidase subunit 2	M25.1	P24011	['GO:0005507', 'GO:0004129', 'GO:0020037']	False	False	False	False
ywqC		0.768011584541365	Output		BSU36260	936897.0	P96715	tkmA	capsular polysaccharide biosynthesis protein YwqC	Basal machinery	P96715	['GO:0004713']	False	False	False	False
sunS		0.7261007899475277	Output		BSU21450		O31986	yolJ		Intermodular	O31986	['GO:0016757', 'GO:0008194']	False	False	False	False
ywqF		0.768011584541365	Output		BSU36230	936890.0	P96718	ugd	UDP-glucose 6-dehydrogenase YwqF	Basal machinery	P96718	['GO:0051287', 'GO:0003979']	False	False	False	False
ywqE		0.768011584541365	Output		BSU36240	936893.0	P96717	ptpZ	tyrosine-protein phosphatase YwqE	Basal machinery	P96717	['GO:0030145', 'GO:0004725']	False	False	False	False
ywqD		0.768011584541365	Output		BSU36250		P96716	ptkA		Basal machinery	P96716	['GO:0005524', 'GO:0004715']	False	False	False	False
yrpD		0.7172515684913867	Output		BSU26820	937397.0	O05411		hypothetical protein	Basal machinery	O05411	[]	False	False	False	False
yjdB		0.5940888188662373	Output		BSU11990	936431.0	O31643		hypothetical protein	Basal machinery	O31643	[]	False	False	False	False
sboA		0.7891730788945023	Output		BSU37350	938512.0	O07623	sbo	subtilosin-A	M25.7	O07623	[]	False	False	False	False
ymzB		0.2221202631427708	Output		BSU17240	940041.0	O31786		hypothetical protein	Basal machinery	O31786	[]	False	False	False	False
phrK		0.7144315321658412	Output		BSU18920	939608.0	O31840		phosphatase RapK inhibitor	Basal machinery	O31840	[]	False	False	False	False
phrH		0.6078619491956426	Output		BSU06839	8303115.0	Q59HN7		inhibitor of regulatory cascade	M48	Q59HN7	[]	False	False	False	False
gmuE		0.6944394694609383	Output		BSU05860	938016.0	O05510	ydhR	fructokinase	M20	O05510	['GO:0005524', 'GO:0008865', 'GO:0046872']	False	False	False	False
sboX		0.7891730788945023	Output		BSU37360	2914193.0	Q7WY57		bacteriocin-like protein SboX	M25.7	Q7WY57	[]	False	False	False	False
